"Year","n"
1887,1
1947,2
1948,1
1950,1
1951,1
1952,2
1953,1
1954,2
1958,2
1959,2
1960,1
1961,2
1962,2
1963,1
1964,3
1965,2
1966,1
1967,1
1968,8
1969,11
1970,5
1971,1
1972,2
1973,2
1974,2
1975,4
1977,2
1978,3
1979,7
1980,4
1981,2
1982,10
1983,9
1984,9
1985,6
1986,17
1987,12
1988,21
1989,11
1990,34
1991,34
1992,43
1993,26
1994,39
1995,44
1996,65
1997,57
1998,53
1999,57
2000,85
2001,89
2002,95
2003,122
2004,157
2005,197
2006,238
2007,249
2008,248
2009,307
2010,316
2011,371
2012,394
2013,453
2014,510
2015,546
2016,533
2017,561
2018,537
2019,557
2020,618
2021,613
2022,635
2023,356
NA,2
