"PMID","Year","Month","Title","DOI","Abstract","Full_Author_Name","Author_Address","Language","Publication_Type","Journal_name_short","Conflict_of_Interest_Statement","Journal_Title"
"37559796",2022,"Oct","An Evaluation of the Factors Related to Internet Gaming Disorder in Young Adults.","10.34172/ahj.2022.1381 [doi]","BACKGROUND: Game addiction is a growing problem all over the world. The present ","Unal, Egemen; Gokler, Mehmet Enes; Turan, Senol","Department of Public Health, Faculty of Medicine, Ankara Yildirim Beyazit ; Department of Public Health, Faculty of Medicine, Ankara Yildirim Beyazit ; Department of Psychiatry, Cerrahpasa Faculty of Medicine, Istanbul ","eng","Journal Article","Addict Health","Conflict of Interests The authors have no conflict of interest.","Addiction & health"
"37061593",2023,"Jun","Behind the ChatGPT Hype: Are Its Suggestions Contributing to Addiction?","10.1007/s10439-023-03201-5 [doi]","ChatGPT has been a frequent topic of discussion lately. All over the Internet, ","Haman, Michael; Skolnik, Milan","Department of Humanities, Faculty of Economics and Management, Czech University ; Department of Humanities, Faculty of Economics and Management, Czech University ","eng","Letter","Ann Biomed Eng",NA,"Annals of biomedical engineering"
"36941553",2023,"Mar","User-generated content and influencer marketing involving e-cigarettes on social ","10.1186/s12889-023-15389-1 [doi]; 530","BACKGROUND: Evidence suggests that experimentation with e-cigarettes among young ","Smith, Marissa J; Buckton, Christina; Patterson, Chris; Hilton, Shona","MRC/CSO Social and Public Health Sciences Unit, University of Glasgow, Glasgow, ; MRC/CSO Social and Public Health Sciences Unit, University of Glasgow, Glasgow, ; MRC/CSO Social and Public Health Sciences Unit, University of Glasgow, Glasgow, ; MRC/CSO Social and Public Health Sciences Unit, University of Glasgow, Glasgow, ","eng","Journal Article; Research Support, Non-U.S. Gov't; Review","BMC Public Health","The authors declare that they have no competing interests.","BMC public health"
"36941460",2023,"Mar","Alcohol branding during rugby union matches in Ireland after commencement of ","10.1007/s11845-023-03331-8 [doi]","BACKGROUND: Under Sect. 15 of the Public Health (Alcohol) Act 2018, Ireland has ","Critchlow, Nathan; Purves, Richard I","Institute for Social Marketing and Health, Faculty of Health Sciences and Sport, ; Institute for Social Marketing and Health, Faculty of Health Sciences and Sport, ","eng","Journal Article","Ir J Med Sci",NA,"Irish journal of medical science"
"36833113",2023,"Feb","Short Video Addiction on the Interaction of Creative Self-Efficacy and Career ","10.3390/healthcare11040579 [doi]; 579","In recent years, a variety of emerging online media, such as TikTok, Kuaishou, ","Lin, I-Tung; Shen, Yu-Min; Shih, Mei-Jen; Ho, Chien-Chang","College of General Education, Chihlee University of Technology, New Taipei City ; Department of Industrial Education, National Taiwan Normal University, Taipei ; Department of Applied English, Chihlee University of Technology, New Taipei City ; Department of Physical Education, Fu Jen Catholic University, New Taipei City ","eng","Journal Article","Healthcare (Basel)","The authors declare that they have no conflict of interest.","Healthcare (Basel, Switzerland)"
"36755488",2023,"Jan","Opioids in Satirical News Shows: Exploring Topics, Sentiments, and Engagement in ","10.1080/10810730.2023.2176575 [doi]","Prescription drug misuse and opioid overdose have become one of the most serious ","Ittefaq, Muhammad; Zain, Ali; Bokhari, Hasnain","School of Communication Studies, James Madison University, Harrisonburg ; School of Journalism and Mass Communications, College of Information and ; Willy Brandt School of Public Policy, University of Erfurt, Erfurt, Germany.","eng","Journal Article","J Health Commun",NA,"Journal of health communication"
"36556047",2022,"Dec","Problematic Use of Social Networks during the First Lockdown: User Profiles and ","10.3390/jcm11247431 [doi]; 7431","During the first lockdown, there was an increase in time spent using Social ","Gonzalez-Nuevo, Covadonga; Cuesta, Marcelino; Muniz, Jose; Postigo, Alvaro; Menendez-Aller, Alvaro; Kuss, Daria J","Department of Psychology, University of Oviedo, Plaza Feijoo s/n, 33003 Oviedo, ; Department of Psychology, University of Oviedo, Plaza Feijoo s/n, 33003 Oviedo, ; Faculty of Psychology, University of Nebrija, Calle Santa Cruz de Marcenado, 27, ; Department of Psychology, University of Oviedo, Plaza Feijoo s/n, 33003 Oviedo, ; Department of Psychology, University of Oviedo, Plaza Feijoo s/n, 33003 Oviedo, ; International Gaming Research Unit and Cyberpsychology Research Group, Psychology ","eng","Journal Article","J Clin Med","The authors declare that there is no conflict of interest.","Journal of clinical medicine"
"36522840",2023,"Apr","Palliative care for people who use drugs during communicable disease epidemics ","10.1177/02692163221143153 [doi]","BACKGROUND: People who use drugs with life-limiting illnesses experience ","Buchman, Daniel Z; Lo, Samantha; Ding, Philip; Dosani, Naheed; Fazelzad, Rouhi; Furlan, Andrea D; Isenberg, Sarina R; Spithoff, Sheryl; Tedesco, Alissa; Zimmermann, Camilla; Lau, Jenny","Everyday Ethics Lab, Centre for Addiction and Mental Health, Toronto, ON, Canada.; Dalla Lana School of Public Health, University of Toronto, Toronto, ON, Canada.; University of Toronto Joint Centre for Bioethics, Toronto, ON, Canada.; Department of Supportive Care, Princess Margaret Cancer Centre, University Health ; Department of Supportive Care, Princess Margaret Cancer Centre, University Health ; Department of Medicine, St Michael's Hospital, Unity Health Toronto, Toronto, ON, ; Palliative Education And Care for the Homeless (PEACH), Inner City Health ; Division of Palliative Care, McMaster University, Hamilton, ON, Canada.; Department of Family and Community Medicine, University of Toronto, Toronto, ON, ; Department of Supportive Care, Princess Margaret Cancer Centre, University Health ; Toronto Rehab, University Health Network, Toronto, ON, Canada.; Department of Medicine, University of Toronto, Toronto, ON, Canada.; Institute for Work & Health, Toronto, ON, Canada.; Department of Family and Community Medicine, University of Toronto, Toronto, ON, ; Bruyere Research Institute, Ottawa, ON, Canada.; Department of Medicine, University of Ottawa, Ottawa, ON, Canada.; Department of Family and Community Medicine, University of Toronto, Toronto, ON, ; Women's College Hospital, Toronto, ON, Canada.; Palliative Education And Care for the Homeless (PEACH), Inner City Health ; Department of Family and Community Medicine, University of Toronto, Toronto, ON, ; Temmy Latner Centre for Palliative Care, Sinai Health System, Toronto, ON, ; Department of Supportive Care, Princess Margaret Cancer Centre, University Health ; Department of Medicine, University of Toronto, Toronto, ON, Canada.; Division of Palliative Medicine, University of Toronto, ON, Canada.; Division of Palliative Care, University Health Network, Toronto, ON, Canada.; Department of Supportive Care, Princess Margaret Cancer Centre, University Health ; Department of Family and Community Medicine, University of Toronto, Toronto, ON, ; Division of Palliative Care, University Health Network, Toronto, ON, Canada.","eng","Journal Article; Research Support, Non-U.S. Gov't; Review","Palliat Med","The author(s) declared the following potential conflicts of interest with respect ","Palliative medicine"
"36405904",2022,NA,"Social media use and body image issues among adolescents in a vulnerable ","10.3389/fpsyt.2022.1001336 [doi]; 1001336","Widespread concern has been expressed regarding unrealistic body image and ","Sagrera, Caroline E; Magner, Johnette; Temple, Jazzlynn; Lawrence, Robert; Magner, Timothy J; Avila-Quintero, Victor J; McPherson, Pamela; Alderman, Laura Lane; Bhuiyan, Mohammad Alfrad Nobel; Patterson, James C 2nd; Murnane, Kevin S","Department of Psychiatry and Behavioral Medicine, School of Medicine, Louisiana ; Louisiana Addiction Research Center, Shreveport, LA, United States.; Department of Psychiatry and Behavioral Medicine, School of Medicine, Louisiana ; Louisiana Addiction Research Center, Shreveport, LA, United States.; School of Communication and Media Studies, Louisiana Tech University, Ruston, LA, ; Caddo Parish Magnet High School, Shreveport, LA, United States.; Caddo Parish Magnet High School, Shreveport, LA, United States.; Louisiana Addiction Research Center, Shreveport, LA, United States.; Child Study Center, Yale School of Medicine, New Haven, CT, United States.; Department of Psychiatry and Behavioral Medicine, School of Medicine, Louisiana ; Louisiana Addiction Research Center, Shreveport, LA, United States.; Department of Psychiatry and Behavioral Medicine, School of Medicine, Louisiana ; Louisiana Addiction Research Center, Shreveport, LA, United States.; Division of Clinical Informatics, Department of Internal Medicine, Louisiana ; Department of Psychiatry and Behavioral Medicine, School of Medicine, Louisiana ; Louisiana Addiction Research Center, Shreveport, LA, United States.; Department of Pharmacology, Toxicology and Neuroscience, School of Graduate ; Department of Psychiatry and Behavioral Medicine, School of Medicine, Louisiana ; Louisiana Addiction Research Center, Shreveport, LA, United States.; Department of Pharmacology, Toxicology and Neuroscience, School of Graduate ","eng","Journal Article","Front Psychiatry","The authors declare that the research was conducted in the absence of any ","Frontiers in psychiatry"
"36361288",2022,"Nov","Social Media Addiction among Vietnam Youths: Patterns and Correlated Factors.","10.3390/ijerph192114416 [doi]; 14416","BACKGROUND: Prior research has investigated how the excessive use of social media ","Doan, Linh Phuong; Le, Linh Khanh; Nguyen, Tham Thi; Nguyen, Thao Thi Phuong; Le, Minh Ngoc Vu; Vu, Giang Thu; Latkin, Carl A; Ho, Cyrus S H; Ho, Roger C M; Zhang, Melvyn W B","Faculty of Medicine, Duy Tan University, Da Nang 550000, Vietnam.; Institute for Global Health Innovations, Duy Tan University, Da Nang 550000, ; Department of Economics, Troy University, Troy, AL 36082, USA.; Faculty of Medicine, Duy Tan University, Da Nang 550000, Vietnam.; Institute for Global Health Innovations, Duy Tan University, Da Nang 550000, ; Faculty of Medicine, Duy Tan University, Da Nang 550000, Vietnam.; Institute for Global Health Innovations, Duy Tan University, Da Nang 550000, ; Institute of Health Economics and Technology, Hanoi 100000, Vietnam.; Center of Excellence in Evidence-Based Medicine, Nguyen Tat Thanh University, Ho ; Bloomberg School of Public Health, Johns Hopkins University, Baltimore, MD 21205, ; Department of Psychological Medicine, Yong Loo Lin School of Medicine, National ; Department of Psychological Medicine, Yong Loo Lin School of Medicine, National ; Institute for Health Innovation and Technology (iHealthtech), National University ; Lee Kong Chian School of Medicine, Nanyang Technological University Singapore, ","eng","Journal Article; Research Support, Non-U.S. Gov't","Int J Environ Res Public Health","The authors declare no conflict of interest.","International journal of environmental research and public health"
