"PMID","Year","Month","Title","DOI","Abstract","Full_Author_Name","Author_Address","Language","Publication_Type","Journal_name_short","Conflict_of_Interest_Statement","Journal_Title"
"37667058",2023,"Sep","Systematic Review of Gaming and Neuropsychological Assessment of Social ","10.1007/s11065-023-09599-y [doi]","Playing video games is associated with cognitive changes and possibly ","Hurel, Elodie; Grall-Bronnec, Marie; Bouillard, Orianne; Chirio-Espitalier, Marion; Barrangou-Poueys-Darlas, Malcolm; Challet-Bouju, Gaelle","CHU Nantes, UIC Psychiatrie et Sante Mentale, Nantes Universite, Nantes, F-44000, ; MethodS in Patient-centered outcomes and HEalth ResEarch, SPHERE, Nantes ; CHU Nantes, UIC Psychiatrie et Sante Mentale, Nantes Universite, Nantes, F-44000, ; MethodS in Patient-centered outcomes and HEalth ResEarch, SPHERE, Nantes ; CHU Nantes, UIC Psychiatrie et Sante Mentale, Nantes Universite, Nantes, F-44000, ; CHU Nantes, UIC Psychiatrie et Sante Mentale, Nantes Universite, Nantes, F-44000, ; MethodS in Patient-centered outcomes and HEalth ResEarch, SPHERE, Nantes ; CHU Nantes, UIC Psychiatrie et Sante Mentale, Nantes Universite, Nantes, F-44000, ; CHU Nantes, UIC Psychiatrie et Sante Mentale, Nantes Universite, Nantes, F-44000, ; MethodS in Patient-centered outcomes and HEalth ResEarch, SPHERE, Nantes ","eng","Journal Article; Review","Neuropsychol Rev",NA,"Neuropsychology review"
"37634339",2023,"Dec","Standalone effects of focus mode and social comparison functions on problematic ","S0306-4603(23)00229-0 [pii]; 10.1016/j.addbeh.2023.107834 [doi]","Problematic smartphone use (PSU) has been reported, particularly among ","Hamamura, Toshitaka; Kurokawa, Masayuki; Mishima, Koji; Konishi, Tatsuya; Nagata, Masatoshi; Honjo, Masaru","KDDI Research, Inc, Japan; National Center for Cognitive Behavior Therapy and ; Department of School Education, Aichi University of Education, Japan.; Department of Contemporary Education, Chubu University, Japan.; KDDI Research, Inc, Japan.; KDDI Research, Inc, Japan.; KDDI Research, Inc, Japan.","eng","Journal Article","Addict Behav","Declaration of Competing Interest TH, TK, MN, and MH are employees of KDDI ","Addictive behaviors"
"37610629",2023,"Aug","The Role of BDNF and NPY Levels, Effects of Behavioral Systems and Emotion ","10.1007/s11126-023-10046-7 [doi]","Internet addiction (IA), one of the behavioral addictions, is also related to ","Demirci, Esra; Tastepe, Neslihan; Ozmen, Sevgi; Kilic, Eser","Department of Child and Adolescent Psychiatry, Faculty of Medicine, University of ; Department of Child and Adolescent Psychiatry, Amasya Sabuncuoglu Serefeddin ; Department of Child and Adolescent Psychiatry, Faculty of Medicine, University of ; Department of Biochemistry, Faculty of Medicine, University of Erciyes, Kayseri, ","eng","Journal Article","Psychiatr Q",NA,"The Psychiatric quarterly"
"37578867",2023,"Aug","Addiction substitution and concurrent recovery in gambling disorder: Who ","10.1556/2006.2023.00046 [doi]","OBJECTIVES: When individuals recover from gambling disorder, their involvement in ","Kim, Hyoun S; McGrath, Daniel S; Hodgins, David C","1Department of Psychology, Toronto Metropolitan University, Toronto, ON, Canada.; 2University of Ottawa, Institute of Mental Health Research at The Royal, Ottawa, ; 2University of Ottawa, Institute of Mental Health Research at The Royal, Ottawa, ; 3Department of Psychology, University of Calgary, Calgary, AB, Canada.","eng","Journal Article","J Behav Addict",NA,"Journal of behavioral addictions"
"37576507",2023,NA,"I feel addicted to watching TV series: association between binge-watching and ","10.7717/peerj.15796 [doi]; e15796","BACKGROUND: Binge-watching (BW) is the consecutive viewing of three or more ","Favieri, Francesca; Forte, Giuseppe; Tambelli, Renata; Tomai, Manuela; Casagrande, Maria","Department of Dynamic, Clinical Psychology and Health, ""Sapienza"" University of ; Department of Dynamic, Clinical Psychology and Health, ""Sapienza"" University of ; Department of Dynamic, Clinical Psychology and Health, ""Sapienza"" University of ; Department of Dynamic, Clinical Psychology and Health, ""Sapienza"" University of ; Department of Dynamic, Clinical Psychology and Health, ""Sapienza"" University of ","eng","Journal Article; Research Support, Non-U.S. Gov't","PeerJ","The authors declare there are no competing interests.","PeerJ"
"37573802",2023,"Jul","Working memory performance in disordered gambling and gaming: A systematic ","S0010-440X(23)00045-7 [pii]; 10.1016/j.comppsych.2023.152408 [doi]","BACKGROUND: Converging evidence supports that gaming and gambling disorders are ","Ngetich, Ronald; Burleigh, Tyrone L; Czako, Andrea; Vekony, Teodora; Nemeth, Dezso; Demetrovics, Zsolt","Centre of Excellence in Responsible Gaming, University of Gibraltar, Gibraltar, ; Centre of Excellence in Responsible Gaming, University of Gibraltar, Gibraltar, ; Centre of Excellence in Responsible Gaming, University of Gibraltar, Gibraltar, ; INSERM, Universite Claude Bernard Lyon 1, CNRS, Centre de Recherche en ; Institute of Psychology, ELTE Eotvos Lorand University, Budapest, Hungary; ; Centre of Excellence in Responsible Gaming, University of Gibraltar, Gibraltar, ","eng","Journal Article; Review","Compr Psychiatry","Declaration of Competing Interest The University of Gibraltar receives funding ","Comprehensive psychiatry"
"37561637",2023,"Aug","Abnormal frontostriatal connectivity and serotonin function in gambling disorder: ","10.1556/2006.2023.00037 [doi]","BACKGROUND: The neurobiological mechanisms of gambling disorder are not yet fully ","Bellmunt-Gil, Albert; Majuri, Joonas; Arponen, Eveliina; Kaasinen, Valtteri; Joutsa, Juho","1Turku Brain and Mind Center, University of Turku, Turku, Finland.; 2Clinical Neurosciences, University of Turku, Turku, Finland.; 1Turku Brain and Mind Center, University of Turku, Turku, Finland.; 3Turku PET Centre, Turku University Hospital, Turku, Finland.; 3Turku PET Centre, Turku University Hospital, Turku, Finland.; 1Turku Brain and Mind Center, University of Turku, Turku, Finland.; 2Clinical Neurosciences, University of Turku, Turku, Finland.; 3Turku PET Centre, Turku University Hospital, Turku, Finland.; 4Neurocenter, Turku University Hospital, Turku, Finland.; 1Turku Brain and Mind Center, University of Turku, Turku, Finland.; 2Clinical Neurosciences, University of Turku, Turku, Finland.; 3Turku PET Centre, Turku University Hospital, Turku, Finland.; 4Neurocenter, Turku University Hospital, Turku, Finland.","eng","Journal Article","J Behav Addict",NA,"Journal of behavioral addictions"
"37559452",2023,"Aug","A Systematic Review of Pharmacological Treatments for Internet Gaming Disorder.","10.30773/pi.2022.0297 [doi]","OBJECTIVE: Internet gaming disorder (IGD) is an increasingly common behavioral ","Sa, Rafael Richard Clorado de; Coelho, Sophie; Parmar, Puneet Kaur; Johnstone, Samantha; Kim, Hyoun Soo; Tavares, Hermano","Department of Psychiatry, Faculty of Medicine, University of Sao Paulo, Sao ; Department of Psychology, York University, Toronto, ON, Canada.; Department of Psychology, Toronto Metropolitan University Toronto, ON, Canada.; Department of Psychology, Toronto Metropolitan University Toronto, ON, Canada.; Department of Psychology, Toronto Metropolitan University Toronto, ON, Canada.; Department of Psychiatry, Faculty of Medicine, University of Sao Paulo, Sao ","eng","Journal Article","Psychiatry Investig","Conflicts of Interest The authors have no potential conflicts of interest to ","Psychiatry investigation"
"37553657",2023,"Aug","Self-exclusion and breaching of self-exclusion from gambling: a repeated survey ","10.1186/s12954-023-00822-w [doi]; 107","BACKGROUND: Voluntary self-exclusion from gambling is a common harm reduction ","Hakansson, A; Komzia, N","Department of Clinical Sciences Lund, Psychiatry, Lund University, Lund, Sweden. ; Department of Clinical Sciences Lund, Psychiatry, Lund University, Lund, Sweden.","eng","Journal Article; Research Support, Non-U.S. Gov't","Harm Reduct J","Hakansson has an overall research funding from the state-owned gambling operator ","Harm reduction journal"
"37542792",2023,"Sep","Mapping the links between sexual addiction and gambling disorder: A Bayesian ","S0165-1781(23)00316-5 [pii]; 10.1016/j.psychres.2023.115366 [doi]","Contemporary literature and recent classification systems have expanded the field ","Hunt, Brian; Zarate, Daniel; Gill, Peter; Stavropoulos, Vasileios","Institute for Health and Sport, Victoria University, Melbourne, Australia. ; School of Health and Biomedical Sciences, RMIT University, Melbourne, Australia.; Institute for Health and Sport, Victoria University, Melbourne, Australia.; School of Health and Biomedical Sciences, RMIT University, Melbourne, Australia; ","eng","Journal Article","Psychiatry Res","Declaration of Competing Interest The authors of the present study do not report ","Psychiatry research"
"37533885",2023,NA,"Biopsychosocial factors of gaming disorder: a systematic review employing ","10.3389/fpsyt.2023.1200230 [doi]; 1200230","BACKGROUND AND AIMS: Considering the growing number of gamers worldwide and ","Chang, Rose Seoyoung; Lee, Minju; Im, Jooyeon Jamie; Choi, Kee-Hong; Kim, Jueun; Chey, Jeanyung; Shin, Suk-Ho; Ahn, Woo-Young","Department of Psychology, Seoul National University, Seoul, Republic of Korea.; Department of Psychology, Seoul National University, Seoul, Republic of Korea.; Department of Psychology, Seoul National University, Seoul, Republic of Korea.; School of Psychology, Korea University, Seoul, Republic of Korea.; Department of Psychology, Chungnam National University, Daejeon, Republic of ; Department of Psychology, Seoul National University, Seoul, Republic of Korea.; Department of Child and Adolescent Psychiatry, Dr. Shin's Neuropsychiatric ; Department of Psychology, Seoul National University, Seoul, Republic of Korea.","eng","Journal Article; Review","Front Psychiatry","The authors declare that the research was conducted in the absence of any ","Frontiers in psychiatry"
"37528996",2023,NA,"Current trends and perspectives in the exploration of anorexia athletica-clinical ","10.3389/fnut.2023.1214398 [doi]; 1214398","Elite athletes are exposed to a considerable amount of physical and psychological ","Vasiliu, Octavian","Department of Psychiatry, Dr. Carol Davila University Emergency Central Military ","eng","Journal Article","Front Nutr","The author declares that the research was conducted in the absence of any ","Frontiers in nutrition"
"37522110",2023,"Jun","A New Short Version of Internet Gaming Disorder-20: An Exploratory Structural ","10.36131/cnfioritieditore20230305 [doi]","OBJECTIVE: The purpose of this paper was to contribute to the psychometric ","Faraci, Palmira; Bottaro, Rossella; Nasonte, Giuliana; Valenti, Giusy Danila; Craparo, Giuseppe","Faculty of Human and Social Sciences - University of Enna ""Kore"".; Faculty of Human and Social Sciences - University of Enna ""Kore"".; Faculty of Human and Social Sciences - University of Enna ""Kore"".; Department of Psychological, Educational Sciences and Human Movement - University ; Faculty of Human and Social Sciences - University of Enna ""Kore"".","eng","Journal Article","Clin Neuropsychiatry","Competing interests: None.","Clinical neuropsychiatry"
"37510495",2023,"Jul","Effectiveness of Physiotherapy in Managing Symptomatology in Gambling Disorder ","10.3390/healthcare11142055 [doi]; 2055","Although the prevalence of gambling disorder (GD) and problem gambling has ","Carrascosa-Arteaga, Pablo; Lopez-Liria, Remedios; Catalan-Matamoros, Daniel; Rocamora-Perez, Patricia","498-Research Team Group, University of Almeria, Carretera del Sacramento s/n, La ; 498-Research Team Group, University of Almeria, Carretera del Sacramento s/n, La ; Health Research Centre, Department of Nursing, Physiotherapy and Medicine, ; Health Research Centre, Department of Nursing, Physiotherapy and Medicine, ; Culture and Technology Institute, Madrid University Carlos III, 28903 Madrid, ; 498-Research Team Group, University of Almeria, Carretera del Sacramento s/n, La ; Health Research Centre, Department of Nursing, Physiotherapy and Medicine, ","eng","Journal Article; Review","Healthcare (Basel)","The authors declare no conflict of interest.","Healthcare (Basel, Switzerland)"
"37505987",2023,"Jul","Abnormal structural alterations and disrupted functional connectivity in ","10.1556/2006.2023.00025 [doi]","BACKGROUND: Altered large-scale brain systems, including structural alterations ","Zeng, Xinglin; Han, Xinyang; Gao, Fei; Sun, Yinghao; Yuan, Zhen","1Centre for Cognitive and Brain Sciences, University of Macau, 999078, Macau SAR, ; 2Faculty of Health Sciences, University of Macau, 999078, Macau SAR, China.; 3Department of Health Technology and Informatics, The Hong Kong Polytechnic ; 1Centre for Cognitive and Brain Sciences, University of Macau, 999078, Macau SAR, ; 4Institute of Modern Languages and Linguistics, Fudan University, Shanghai, ; 1Centre for Cognitive and Brain Sciences, University of Macau, 999078, Macau SAR, ; 5Faculty of Business Administration, University of Macau, 999078, Macau SAR, ; 1Centre for Cognitive and Brain Sciences, University of Macau, 999078, Macau SAR, ; 2Faculty of Health Sciences, University of Macau, 999078, Macau SAR, China.","eng","Journal Article; Review","J Behav Addict",NA,"Journal of behavioral addictions"
"37505291",2023,"Jul","Higher striatal glutamate in male youth with internet gaming disorder.","10.1007/s00406-023-01651-5 [doi]","Internet gaming disorder (IGD) was included in the Diagnostic and Statistical ","Klar, Johanna; Slotboom, Johannes; Lerch, Stefan; Koenig, Julian; Wiest, Roland; Kaess, Michael; Kindler, Jochen","University Hospital of Child and Adolescent Psychiatry and Psychotherapy, ; Department of Neurology, University of Zurich, Zurich, Switzerland.; Support Center for Advanced Neuroimaging (SCAN), Neuroradiology, University ; University Hospital of Child and Adolescent Psychiatry and Psychotherapy, ; University Hospital of Child and Adolescent Psychiatry and Psychotherapy, ; Department of Child and Adolescent Psychiatry, Center for Psychosocial Medicine, ; Department of Child and Adolescent Psychiatry, Psychosomatics and Psychotherapy, ; Clinic and Polyclinic for Child and Adolescent Psychiatry, Psychosomatics and ; Institute of Diagnostic and Interventional Neuroradiology, University Hospital of ; University Hospital of Child and Adolescent Psychiatry and Psychotherapy, ; Department of Child and Adolescent Psychiatry, Center for Psychosocial Medicine, ; University Hospital of Child and Adolescent Psychiatry and Psychotherapy, ","eng","Journal Article","Eur Arch Psychiatry Clin Neurosci",NA,"European archives of psychiatry and clinical neuroscience"
"37484668",2023,NA,"Editorial: Risk behavior and its connection to addiction.","10.3389/fpsyt.2023.1229912 [doi]; 1229912",NA,"Dong, Huixi; Zhong, Na; Zhang, Jing; Xiao, Qian","Mental Health Centre, Xiangya Hospital, Central South University, Changsha, ; Shanghai Mental Health Center, Shanghai Jiao Tong University School of Medicine, ; Department of Computer Science, Donald Bren School of Information and Computer ; Mental Health Centre, Xiangya Hospital, Central South University, Changsha, ","eng","Editorial","Front Psychiatry","The authors declare that the research was conducted in the absence of any ","Frontiers in psychiatry"
"37464912",2023,"Jul","Early maladaptive schemas and addictive behaviours: A systematic review and ","10.1002/cpp.2882 [doi]","BACKGROUND: Recently, early maladaptive schemas have been increasingly focused as ","Sakulsriprasert, Chaiyun; Thawornwutichat, Ratipan; Phukao, Darunee; Guadamuz, Thomas E","Department of Psychology, Faculty of Humanities, Chiang Mai University, Chiang ; Center of Excellence in Research on Gender, Sexuality and Health, Faculty of ; Department of Health Social Science, Faculty of Social Sciences and Humanities, ; Center of Excellence in Research on Gender, Sexuality and Health, Faculty of ; John F. Kennedy School of Government, Harvard University, Cambridge, ","eng","Journal Article; Review","Clin Psychol Psychother",NA,"Clinical psychology & psychotherapy"
"37454485",2023,"Aug","A prospective investigation of impacts of comorbid attention deficit ","S0010-440X(23)00038-X [pii]; 10.1016/j.comppsych.2023.152401 [doi]","BACKGROUND: A close association between obsessive-compulsive disorder (OCD) and ","Miyauchi, Masahiro; Matsuura, Naomi; Mukai, Keiichiro; Hashimoto, Takuya; Ogino, Shun; Yamanishi, Kyosuke; Yamada, Hisashi; Hayashida, Kazuhisa; Matsunaga, Hisato","Department of Neuropsychiatry, Hyogo College of Medicine, Nishinomiya, Japan.; Graduate School of Education, Mie University, Mie, Japan.; Department of Neuropsychiatry, Hyogo College of Medicine, Nishinomiya, Japan.; Department of Neuropsychiatry, Hyogo College of Medicine, Nishinomiya, Japan.; Department of Neuropsychiatry, Hyogo College of Medicine, Nishinomiya, Japan.; Department of Neuropsychiatry, Hyogo College of Medicine, Nishinomiya, Japan.; Department of Neuropsychiatry, Hyogo College of Medicine, Nishinomiya, Japan.; Department of Neuropsychiatry, Hyogo College of Medicine, Nishinomiya, Japan.; Department of Neuropsychiatry, Hyogo College of Medicine, Nishinomiya, Japan. ","eng","Journal Article","Compr Psychiatry","Declaration of Competing Interest None.","Comprehensive psychiatry"
"37442974",2023,"Jul","Conceptualising social media addiction: a longitudinal network analysis of social ","10.1186/s12888-023-04985-5 [doi]; 509","BACKGROUND: Problematic social media use has been identified as negatively ","Tullett-Prado, Deon; Doley, Jo R; Zarate, Daniel; Gomez, Rapson; Stavropoulos, Vasileios","Institute for Health and Sport, Victoria University, Melbourne, Australia.; Institute for Health and Sport, Victoria University, Melbourne, Australia.; RMIT, Melbourne, Australia. Daniel.zarate@live.vu.edu.au.; Federation University, Ballarat, Australia.; RMIT, Melbourne, Australia.; National and Kapodistrian University of Athens, Athens, Greece.","eng","Journal Article","BMC Psychiatry","Dr Vasileios Stavropoulos is an associate editor for BMC Psychiatry. The ","BMC psychiatry"
"37439397",2023,"Jul","A systematic review of quality of life and health-related quality of life as ","10.1111/dar.13717 [doi]","ISSUES: Consideration of an individual's quality of life (QoL) can benefit ","Dyer, Andrew; Bohnke, Jan R; Curran, David; McGrath, Katie; Toner, Paul","Centre for Improving Health-Related Quality of Life, School of Psychology, ; School of Health Sciences, University of Dundee, Dundee, UK.; Centre for Improving Health-Related Quality of Life, School of Psychology, ; Centre for Improving Health-Related Quality of Life, School of Psychology, ; Centre for Improving Health-Related Quality of Life, School of Psychology, ","eng","Journal Article; Review","Drug Alcohol Rev",NA,"Drug and alcohol review"
