"Title","PMID","Year","Month","DOI","Abstract","Full_Author_Name","Author_Address","Language","Publication_Type","Journal_name_short","Conflict_of_Interest_Statement","Journal_Title","Label"
"I feel addicted to watching TV series: association between binge-watching and mental health.",37576507,2023,NA,"10.7717/peerj.15796 [doi]; e15796","BACKGROUND: Binge-watching (BW) is the consecutive viewing of three or more ","Favieri, Francesca; Forte, Giuseppe; Tambelli, Renata; Tomai, Manuela; Casagrande, Maria","Department of Dynamic, Clinical Psychology and Health, ""Sapienza"" University of ; Department of Dynamic, Clinical Psychology and Health, ""Sapienza"" University of ; Department of Dynamic, Clinical Psychology and Health, ""Sapienza"" University of ; Department of Dynamic, Clinical Psychology and Health, ""Sapienza"" University of ; Department of Dynamic, Clinical Psychology and Health, ""Sapienza"" University of ","eng","Journal Article; Research Support, Non-U.S. Gov't","PeerJ","The authors declare there are no competing interests.","PeerJ","behavioural_addictions"
"Working memory performance in disordered gambling and gaming: A systematic review.",37573802,2023,"Jul","S0010-440X(23)00045-7 [pii]; 10.1016/j.comppsych.2023.152408 [doi]","BACKGROUND: Converging evidence supports that gaming and gambling disorders are ","Ngetich, Ronald; Burleigh, Tyrone L; Czako, Andrea; Vekony, Teodora; Nemeth, Dezso; Demetrovics, Zsolt","Centre of Excellence in Responsible Gaming, University of Gibraltar, Gibraltar, ; Centre of Excellence in Responsible Gaming, University of Gibraltar, Gibraltar, ; Centre of Excellence in Responsible Gaming, University of Gibraltar, Gibraltar, ; INSERM, Universite Claude Bernard Lyon 1, CNRS, Centre de Recherche en ; Institute of Psychology, ELTE Eotvos Lorand University, Budapest, Hungary; ; Centre of Excellence in Responsible Gaming, University of Gibraltar, Gibraltar, ","eng","Journal Article; Review","Compr Psychiatry","Declaration of Competing Interest The University of Gibraltar receives funding ","Comprehensive psychiatry","behavioural_addictions"
"A Systematic Review of Pharmacological Treatments for Internet Gaming Disorder.",37559452,2023,"Aug","10.30773/pi.2022.0297 [doi]","OBJECTIVE: Internet gaming disorder (IGD) is an increasingly common behavioral ","Sa, Rafael Richard Clorado de; Coelho, Sophie; Parmar, Puneet Kaur; Johnstone, Samantha; Kim, Hyoun Soo; Tavares, Hermano","Department of Psychiatry, Faculty of Medicine, University of Sao Paulo, Sao ; Department of Psychology, York University, Toronto, ON, Canada.; Department of Psychology, Toronto Metropolitan University Toronto, ON, Canada.; Department of Psychology, Toronto Metropolitan University Toronto, ON, Canada.; Department of Psychology, Toronto Metropolitan University Toronto, ON, Canada.; Department of Psychiatry, Faculty of Medicine, University of Sao Paulo, Sao ","eng","Journal Article","Psychiatry Investig",NA,"Psychiatry investigation","behavioural_addictions"
"Self-exclusion and breaching of self-exclusion from gambling: a repeated survey study on the development of a nationwide self-exclusion service.",37553657,2023,"Aug","10.1186/s12954-023-00822-w [doi]; 107","BACKGROUND: Voluntary self-exclusion from gambling is a common harm reduction ","Hakansson, A; Komzia, N","Department of Clinical Sciences Lund, Psychiatry, Lund University, Lund, Sweden. ; Department of Clinical Sciences Lund, Psychiatry, Lund University, Lund, Sweden.","eng","Journal Article; Research Support, Non-U.S. Gov't","Harm Reduct J","Hakansson has an overall research funding from the state-owned gambling operator ","Harm reduction journal","behavioural_addictions"
"Mapping the links between sexual addiction and gambling disorder: A Bayesian network approach.",37542792,2023,"Jul","S0165-1781(23)00316-5 [pii]; 10.1016/j.psychres.2023.115366 [doi]","Contemporary literature and recent classification systems have expanded the field ","Hunt, Brian; Zarate, Daniel; Gill, Peter; Stavropoulos, Vasileios","Institute for Health and Sport, Victoria University, Melbourne, Australia. ; School of Health and Biomedical Sciences, RMIT University, Melbourne, Australia.; Institute for Health and Sport, Victoria University, Melbourne, Australia.; School of Health and Biomedical Sciences, RMIT University, Melbourne, Australia; ","eng","Journal Article","Psychiatry Res","Declaration of Competing Interest The authors of the present study do not report ","Psychiatry research","behavioural_addictions"
"Biopsychosocial factors of gaming disorder: a systematic review employing screening tools with well-defined psychometric properties.",37533885,2023,NA,"10.3389/fpsyt.2023.1200230 [doi]; 1200230","BACKGROUND AND AIMS: Considering the growing number of gamers worldwide and ","Chang, Rose Seoyoung; Lee, Minju; Im, Jooyeon Jamie; Choi, Kee-Hong; Kim, Jueun; Chey, Jeanyung; Shin, Suk-Ho; Ahn, Woo-Young","Department of Psychology, Seoul National University, Seoul, Republic of Korea.; Department of Psychology, Seoul National University, Seoul, Republic of Korea.; Department of Psychology, Seoul National University, Seoul, Republic of Korea.; School of Psychology, Korea University, Seoul, Republic of Korea.; Department of Psychology, Chungnam National University, Daejeon, Republic of ; Department of Psychology, Seoul National University, Seoul, Republic of Korea.; Department of Child and Adolescent Psychiatry, Dr. Shin's Neuropsychiatric ; Department of Psychology, Seoul National University, Seoul, Republic of Korea.","eng","Journal Article; Review","Front Psychiatry","The authors declare that the research was conducted in the absence of any ","Frontiers in psychiatry","behavioural_addictions"
"Effectiveness of Physiotherapy in Managing Symptomatology in Gambling Disorder Patients: A Systematic Review.",37510495,2023,"Jul","10.3390/healthcare11142055 [doi]; 2055","Although the prevalence of gambling disorder (GD) and problem gambling has ","Carrascosa-Arteaga, Pablo; Lopez-Liria, Remedios; Catalan-Matamoros, Daniel; Rocamora-Perez, Patricia","498-Research Team Group, University of Almeria, Carretera del Sacramento s/n, La ; 498-Research Team Group, University of Almeria, Carretera del Sacramento s/n, La ; Health Research Centre, Department of Nursing, Physiotherapy and Medicine, ; Health Research Centre, Department of Nursing, Physiotherapy and Medicine, ; Culture and Technology Institute, Madrid University Carlos III, 28903 Madrid, ; 498-Research Team Group, University of Almeria, Carretera del Sacramento s/n, La ; Health Research Centre, Department of Nursing, Physiotherapy and Medicine, ","eng","Journal Article; Review","Healthcare (Basel)","The authors declare no conflict of interest.","Healthcare (Basel, Switzerland)","behavioural_addictions"
"Abnormal structural alterations and disrupted functional connectivity in behavioral addiction: A meta-analysis of VBM and fMRI studies.",37505987,2023,"Jul","10.1556/2006.2023.00025 [doi]","BACKGROUND: Altered large-scale brain systems, including structural alterations ","Zeng, Xinglin; Han, Xinyang; Gao, Fei; Sun, Yinghao; Yuan, Zhen","1Centre for Cognitive and Brain Sciences, University of Macau, 999078, Macau SAR, ; 2Faculty of Health Sciences, University of Macau, 999078, Macau SAR, China.; 3Department of Health Technology and Informatics, The Hong Kong Polytechnic ; 1Centre for Cognitive and Brain Sciences, University of Macau, 999078, Macau SAR, ; 4Institute of Modern Languages and Linguistics, Fudan University, Shanghai, ; 1Centre for Cognitive and Brain Sciences, University of Macau, 999078, Macau SAR, ; 5Faculty of Business Administration, University of Macau, 999078, Macau SAR, ; 1Centre for Cognitive and Brain Sciences, University of Macau, 999078, Macau SAR, ; 2Faculty of Health Sciences, University of Macau, 999078, Macau SAR, China.","eng","Journal Article; Review","J Behav Addict",NA,"Journal of behavioral addictions","behavioural_addictions"
"Editorial: Risk behavior and its connection to addiction.",37484668,2023,NA,"10.3389/fpsyt.2023.1229912 [doi]; 1229912",NA,"Dong, Huixi; Zhong, Na; Zhang, Jing; Xiao, Qian","Mental Health Centre, Xiangya Hospital, Central South University, Changsha, ; Shanghai Mental Health Center, Shanghai Jiao Tong University School of Medicine, ; Department of Computer Science, Donald Bren School of Information and Computer ; Mental Health Centre, Xiangya Hospital, Central South University, Changsha, ","eng","Editorial","Front Psychiatry","The authors declare that the research was conducted in the absence of any ","Frontiers in psychiatry","behavioural_addictions"
"Early maladaptive schemas and addictive behaviours: A systematic review and meta-analysis.",37464912,2023,"Jul","10.1002/cpp.2882 [doi]","BACKGROUND: Recently, early maladaptive schemas have been increasingly focused as ","Sakulsriprasert, Chaiyun; Thawornwutichat, Ratipan; Phukao, Darunee; Guadamuz, Thomas E","Department of Psychology, Faculty of Humanities, Chiang Mai University, Chiang ; Center of Excellence in Research on Gender, Sexuality and Health, Faculty of ; Department of Health Social Science, Faculty of Social Sciences and Humanities, ; Center of Excellence in Research on Gender, Sexuality and Health, Faculty of ; John F. Kennedy School of Government, Harvard University, Cambridge, ","eng","Journal Article; Review","Clin Psychol Psychother",NA,"Clinical psychology & psychotherapy","behavioural_addictions"
