"Title","PMID"
"Definition of Substance and Non-substance Addiction.","29098666"
"Abstinence from Masturbation and Hypersexuality.","32130561"
"Is Smartphone Addiction in the Younger Population a Public Health Problem?","35032372"
"Internet Addiction and Other Behavioral Addictions.","27338971"
"Cognitive-Behavioral Therapy.","29098680"
"Neuroscience of Internet Pornography Addiction: A Review and Update.","26393658"
"COVID-19 and addiction.","32540735"
"Is Food Addictive? A Review of the Science.","34152831"
"Drug Addiction.","31747190"
"Expanding the definition of addiction: DSM-5 vs. ICD-11.","27151528"
"What Is the Evidence for ""Food Addiction?"" A Systematic Review.","29649120"
"Internet and Video Game Addictions: Diagnosis, Epidemiology, and Neurobiology.","29502753"
"Compulsivity in obsessive-compulsive disorder and addictions.","26774279"
"The assessment and treatment of adult heterosexual men with self-perceived problematic pornography use: A review.","29069616"
"Should compulsive sexual behavior be considered an addiction?","26893127"
"Impulsivity traits and addiction-related behaviors in youth.","29642723"
"Psychotherapy.","29098679"
"Drug Therapy.","29098675"
"Non-Substance Addiction in Childhood and Adolescence–The Internet, Computer Games and Social Media.","33750533"
"Intense, Passionate, Romantic Love: A Natural Addiction? How the Fields That Investigate Romance and Substance Abuse Can Inform Each Other.","27242601"
"Electroencephalography-detected neurophysiology of internet addiction disorder and internet gaming disorder in adolescents - A review.","34031341"
"Summary and Prospect.","29098681"
"Addictions: current perspectives.","35856543"
"Depressive symptoms and depression in individuals with internet gaming disorder: A systematic review and meta-analysis.","33592432"
"Editorial: Neurobiological Perspectives in Behavioral Addiction.","30723426"
"Biochemical Diagnosis in Substance and Non-substance Addiction.","29098673"
"Sexual addictions.","20666699"
"Compulsive shopping: A review and update.","35367751"
"Addictions comportementales dans la maladie de Parkinson.","27120903"
"Similarities and Differences in Neuroimaging.","29098669"
"Similarities and Differences in Genetics.","29098668"
"Editorial: Behavioral addictions: Emerging science.","36704742"
"Similarities and Differences in Psychology.","29098670"
"Similarities and Differences in Neurobiology.","29098667"
"Editorial: Behavioral Addictions, Risk-Taking, and Impulsive Choice.","35615567"
"Behavioural addiction-A rising tide?","26585600"
"Reward processing in obesity, substance addiction and non-substance addiction.","25263466"
"[Food addiction - substance use disorder or behavioral addiction?].","26098005"
"Excessive Exercise-A Meta-Review.","33329076"
"Ten myths about work addiction.","29409339"
"Romantic Love vs. Drug Addiction May Inspire a New Treatment for Addiction.","27713720"
"Maladaptive daydreaming as a new form of behavioral addiction.","30238787"
"Similarities and Differences in Diagnostic Scales.","29098672"
"Object attachment in buying-shopping disorder.","33011674"
"Similarities and Differences in Diagnostic Criterion.","29098671"
"Addiction aux jeux d'argent: apport des neurosciences et de la neuroimagerie.","27120904"
"Psychosocial intervention for sexual addiction.","29540923"
"[Non-substance-related addiction - behavioral addiction].","24668512"
"Editorial: Neurobiological Biomarkers for Developing Novel Treatments of Substance and Non-substance Addiction.","34987436"
"Disordered gambling: a behavioral addiction.","23375671"
"Clinical neuropsychiatric considerations regarding nonsubstance or behavioral addictions.","29302225"
"The need for a behavioural analysis of behavioural addictions.","28013082"
"[Gambling addiction].","23529775"
"Behavioural addictions: A challenge for psychopathology and psychiatric nosology.","27357713"
"Bihavioral Addictions in Childhood and Adolescence - Pandemic Knocking Door.","33030458"
"[Eating addiction - a behavioral addiction?].","25594277"
"""Eating addiction"", rather than ""food addiction"", better captures addictive-like eating behavior.","25205078"
"Behavioral Addiction versus Substance Addiction: Correspondence of Psychiatric and Psychological Views.","22624087"
"Gambling in adolescence: a narrative review of the last 20 years.","32634072"
"Beyond substance addiction: broadening the concept of addiction to include behavioral addiction.","23678252"
"Mobile Phone Addiction as an Emerging Behavioral Form of Addiction Among Adolescents in India.","35518537"
"Estimation of Behavioral Addiction Prevalence During COVID-19 Pandemic: A Systematic Review and Meta-analysis.","36118286"
"Behavioral addiction--quo vadis?","22652612"
"Behavioural addiction and substance addiction should be defined by their similarities not their dissimilarities.","28419617"
"How can we conceptualize behavioural addiction without pathologizing common behaviours?","28198052"
"Delay Discounting in Established and Proposed Behavioral Addictions: A Systematic Review and Meta-Analysis.","34899207"
"Exercise Addiction - Status, Identification and Treatment.","35473333"
"Longing to act: Bayesian inference as a framework for craving in behavioral addiction.","37201396"
"Severity of behavioral addiction symptoms among young adults using non-prescribed sedatives/hypnotics.","36941849"
"Tanning as a behavioral addiction.","20545604"
"Editorial: Obsessive-Compulsive Related Disorders: Towards an Advancement of the Knowledge of These Internalizing Disorders.","35211069"
"Factor structure of ten psychoactive substance addictions and behavioural addictions.","35544983"
"Addictive behaviors: where do we stand, and where are we going?","29302218"
"Cognitive functioning and social networking sites addiction - a review.","36342980"
"Frequent exercise: A healthy habit or a behavioral addiction?","29063048"
"Dimensionality of Cognitions in Behavioral Addiction.","27034915"
"Clinical Considerations in Internet and Video Game Addiction Treatment.","34801158"
"Review: Prevalence of Addictions among Transgender and Gender Diverse Subgroups.","34444595"
"Comparison of binge-eating disorder and food addiction.","37115520"
"[Behavioral Addictions in Psychosomatic Care].","34781382"
"A review of gambling disorder and substance use disorders.","27051333"
"Learning to lose control: A process-based account of behavioral addiction.","31846653"
"Hormonal responses in gambling versus alcohol abuse: A review of human studies.","32004637"
"Addictive behaviors and Parkinson's disease.","22921247"
"The Potential Cutaneous Effects of Pornography Addiction: A Narrative Review.","36721540"
"Behavioral addiction and autism spectrum disorder: A systematic review.","34325098"
"Fixating on the future: An overview of increased astrology use.","35510634"
"[Sleep disorders in Internet addiction].","27887821"
"Applying incentive sensitization models to behavioral addiction.","25036890"
"Addiction psychiatry and COVID-19: impact on patients and service provision.","32434597"
"Can't get enough. Addiction to physical exercises: phenomenon, diagnostic criteria, etiology, therapy and research challenges.","35472232"
"Selfitis and behavioural addiction: A plea for terminological and conceptual rigour.","30191723"
"Editorial: Community series in neurobiological biomarkers for developing novel treatments of substance and non-substance addiction, volume II.","37124254"
"Translational Models of Gambling-Related Decision-Making.","27418069"
"Exercise addiction: A narrative overview of research issues.","36698618"
"Altered neural activities during response inhibition in adults with addiction: a voxel-wise meta-analysis.","33612127"
"Co-occurring substance-related and behavioral addiction problems: A person-centered, lay epidemiology approach.","27829288"
"Ethical, Stigma, and Policy Implications of Food Addiction: A Scoping Review.","30934743"
"A motivation model of sex addiction - Relevance to the controversy over the concept.","36113783"
"Non-addictive psychoactive drug use: Implications for behavioral addiction.","22074968"
"The behavioral, anatomical and pharmacological parallels between social attachment, love and addiction.","22885871"
"Addiction to Work: A Critical Review of the Workaholism Construct and Recommendations for Assessment.","26489104"
"[Does really sex addiction exist?].","23241714"
"[Inclusion of gaming disorder as a behavioral addiction in ICD-11].","34974738"
"Behavioral Impulsivity in Obsessive-Compulsive Disorder.","27156379"
"The genetics of addiction-a translational perspective.","22806211"
"Pathological gambling and substance use disorders.","20575651"
"Methodological and Conceptual Limitations in Exercise Addiction Research.","26339214"
"Commentary on: Are we overpathologizing everyday life? A tenable blueprint for behavioral addiction research. Defining and classifying non-substance or behavioral addictions.","26551900"
"Explaining Excessive Weight Gain during Early Recovery from Addiction.","30572761"
"Nonprofessionals' perceptions of the causes of behavioral and substance addictions.","30798775"
"Does Smartphone Addiction Fall on a Continuum of Addictive Behaviors?","31936316"
"Editorial: Cognitive and Personality Variables in the Development of Behavioral Addictions in Adolescence and Emerging Adulthood.","35465520"
"Genetics of pathological gambling.","12635538"
"Cyberchondria: a Growing Concern During the COVID-19 Pandemic and a Possible Addictive Disorder?","36785757"
"Disordered gambling: the evolving concept of behavioral addiction.","25336388"
"A Comparison of Treatment-Seeking Behavioral Addiction Patients with and without Parkinson's Disease.","29163234"
"The neurobiology of pathological gambling.","11447573"
"Hatching the behavioral addiction egg: Reward Deficiency Solution System (RDSS)™ as a function of dopaminergic neurogenetics and brain functional connectivity linking all addictions under a common rubric.","25317338"
"[Biological basis of problematic internet use (PIN) and therapeutic implications].","26577405"
"Personality and Behavioral Inhibition/Activation Systems in Behavioral Addiction: Analysis of Binge-Watching.","36674381"
"Factors influencing the addiction characteristics of non-suicidal self-injurious behaviors in adolescents: A case-control study.","36532167"
"A Behavioral Addiction Model of Revenge, Violence, and Gun Abuse.","33404302"
"[The new types of addiction].","19899381"
"Behavioral Addictions and Criminal Responsibility.","29282238"
"How to pin a compulsive behavior down: A systematic review and conceptual synthesis of compulsivity-sensitive items in measures of behavioral addiction.","35780595"
"Myths about ""The myths about work addiction"".","30556780"
"Is monetary reward processing altered in drug-naïve youth with a behavioral addiction? Findings from internet gaming disorder.","32045732"
"Internet Addiction and Associated Factors among Undergraduates.","35945865"
"'Behavioural addiction' and 'selfitis' as constructs - The truth is out there! A reply to Starcevic et al. (2018).","29925250"
"Distinct patterns of prefrontal cortical disengagement during inhibitory control in addiction: A meta-analysis based on population characteristics.","33933507"
"[Behavioural addiction : an independent diagnostic category?].","17508195"
"Workaholism in engineers: Prevalence and associated factors.","36244836"
"[Gambling addiction: insights from neuroscience and neuroimaging].","26340839"
"An overview of gambling disorder: from treatment approaches to risk factors.","30090625"
"Binge Eating and Addictive-Like Behaviours in Males and Females.","33174818"
"Editorial: What is addictive in gambling? Nine years after the gambling disorder diagnosis: Does gambling fit among the addictions?","36873210"
"The genetics of gambling and behavioral addictions.","17146407"
"Naltrexone in the Treatment of Broadly Defined Behavioral Addictions: A Review and Meta-Analysis of Randomized Controlled Trials.","28877518"
"Can one simple questionnaire assess substance-related and behavioural addiction problems? Results of a proposed new screener for community epidemiology.","29357188"
"Reduced model-based decision-making in gambling disorder.","31873133"
"Typology of Internet gaming disorder and its clinical implications.","27649380"
"[Exercise addiction: a literature review].","18956613"
"Systematic review of SMART Recovery: Outcomes, process variables, and implications for research.","28165272"
"Online social networking addiction among college students in Singapore: Comorbidity with behavioral addiction and affective disorder.","28262144"
"Self-reported and neurocognitive impulsivity in obsessive-compulsive disorder.","31864219"
"Pathological gambling: a behavioral addiction.","27717269"
"Higher Risk Taking and Impaired Probability Judgment in Behavioral Addiction.","32574348"
"Online gaming and gaming disorder: more than just a trivial pursuit.","31366420"
"Early-Life Interpersonal and Affective Risk Factors for Pathological Gaming.","32499728"
"Non-invasive Brain Stimulation for Gambling Disorder: A Systematic Review.","33013280"
"Global scientific production regarding behavioral addictions: An analysis of the literature from 1995 to 2019.","34938832"
"The neural bases of cognitive processes in gambling disorder.","24961632"
"An Update Overview on Brain Imaging Studies of Internet Gaming Disorder.","29033857"
"A commentary on the ""eating addiction"" versus ""food addiction"" perspectives on addictive-like food consumption.","27984189"
"Work addiction as a behavioural addiction: Towards a valid identification of problematic behaviour.","30754989"
"Repetitive Transcranial Magnetic Stimulation (rTMS) as a Promising Treatment for Craving in Stimulant Drugs and Behavioral Addiction: A Meta-Analysis.","35160085"
"Does food addiction exist? A phenomenological discussion based on the psychiatric classification of substance-related disorders and addiction.","22647300"
"[Gambling in elderly patients].","28224962"
"Neural cue-reactivity in pathological gambling as evidence for behavioral addiction: a systematic review.","36373116"
"Relationships between Behavioural Addictions and Psychiatric Disorders: What Is Known and What Is Yet to Be Learned?","28439243"
"Argentine tango: Another behavioral addiction?","25215199"
"Assessing clinical trials of Internet addiction treatment: a systematic review and CONSORT evaluation.","21820990"
"Implicit memory associations and video gaming.","32335397"
"Kleptomania and Co-morbid addictive disorders.","28142063"
"Moving beyond the ""eating addiction"" versus ""food addiction"" debate: Comment on Schulte et al. (2017).","29936021"
"Neurobiological correlates of internet gaming disorder: Similarities to pathological gambling.","26621112"
"Short-term abstinence effects across potential behavioral addictions: A systematic review.","32062303"
"Parkinson's disease and Behavioural Addiction: The susceptibilities and risks.","34896771"
"[Functional neuroimaging of addiction].","26394506"
"[Clinical study of GIRK channel inhibitors as candidate medicines for drug dependence].","32378628"
"Mini-review: When neurostimulation joins cognitive-behavioral therapy. On the need of combining evidence-based treatments for addiction disorders.","35341891"
"Nomophobia: A rising concern among Indian students.","35017805"
"Review. The neurobiology of pathological gambling and drug addiction: an overview and new findings.","18640909"
"Commentary on: Are we overpathologizing everyday life? A tenable blueprint for behavioral addiction research. Can the emerging domain of behavioral addictions bring a new reflection for the field of addictions, by stressing the issue of the context of addiction development?","26551903"
"Contextualising over-engagement in work: Towards a more global understanding of workaholism as an addiction.","26165458"
"[Problematic Online Gambling: Review of the Situation in Switzerland].","32325518"
"The conceptual and empirical relationship between gambling, investing, and speculation.","27929350"
"Heightened Negative Affects Associated With Neurotic Personality in Behavioral Addiction.","33101082"
"Understanding the construction of 'behavior' in smartphone addiction: A scoping review.","36228362"
"Toward a delineation of the differences between high engagement and problem gaming.","36247099"
"Risk perception and emotional coping: a pathway for behavioural addiction?","24080746"
"Pathological choice: the neuroscience of gambling and gambling addiction.","24198353"
"An addiction to seeking fortune-telling services: a case report.","32207396"
"Withdrawal symptoms in internet gaming disorder: A systematic review.","26704173"
"Nosology of behavioral addictions: Intersections with philosophy of psychiatry •","35895455"
"Life Habits and Mental Health: Behavioural Addiction, Health Benefits of Daily Habits, and the Reward System.","35153878"
"Craving Facebook? Behavioral addiction to online social networking and its association with emotion regulation deficits.","25170590"
"[Contemporary behavioural addictions, an overview and the nursing position].","28648192"
"[""Heavy mental"" psychopathology in classical music].","34738527"
"Practical Treatments Considering the Role of Sociocultural Factors on Problem Gambling.","27307190"
"Neuropeptides and Neurotransmitters That Modulate Thalamo-Cortical Pathways Relevant to Migraine Headache.","28485844"
"Monoamine and genome-wide DNA methylation investigation in behavioral addiction.","32678220"
"Understanding the Phenomenon of Binge-Watching-A Systematic Review.","32580289"
"Reckless Generosity, Parkinson's Disease and Dopamine: A Case Series and Literature Review.","33816681"
"Addressing internet gaming disorder in children and adolescents.","34807860"
"Conceptualizing behavioural addiction in children and adolescents.","28508582"
"When Is a New Scale not a New Scale? The Case of the Bergen Shopping Addiction Scale and the Compulsive Online Shopping Scale.","27942256"
"Games in the Brain: Neural Substrates of Gambling Addiction.","26116634"
"Implicit associations in cybersex addiction: Adaption of an Implicit Association Test with pornographic pictures.","26026385"
"Internet addiction: reappraisal of an increasingly inadequate concept.","26831456"
"Relating Compulsivity and Impulsivity With Severity of Behavioral Addictions: A Dynamic Interpretation of Large-Scale Cross-Sectional Findings.","35782446"
"Neurocognitive predictors of addiction-related outcomes: A systematic review of longitudinal studies.","37391111"
"Addictive behaviors in alcohol use disorder: dysregulation of reward processing systems and maladaptive coping strategies.","31496396"
"[Benzodiazepine dependence: causalities and treatment options].","19101875"
"Should Hypersexual Disorder be Classified as an Addiction?","24273404"
"Diagnostic instruments for behavioural addiction: an overview.","19742294"
"Gambling disorder in the UK: key research priorities and the urgent need for independent research funding.","35180386"
"Comparable level of aggression between patients with behavioural addiction and healthy subjects.","34226502"
"A Typical Case Report: Internet Gaming Disorder Psychotherapy Treatment in Private Practice.","33669916"
"Comparison of impulsivity in non-problem, at-risk and problem gamblers.","27976705"
"[Study on religious addiction as a potential novel type of behavioral addiction in an adolescent population].","26042780"
"Applications of machine learning in addiction studies: A systematic review.","30878857"
"Think twice: Impulsivity and decision making in obsessive-compulsive disorder.","26690621"
"Closed Loop Deep Brain Stimulation for PTSD, Addiction, and Disorders of Affective Facial Interpretation: Review and Discussion of Potential Biomarkers and Stimulation Paradigms.","29780303"
"Prevalence of Suicidal Behavior and Associated Clinical Correlates in Patients with Behavioral Addictions.","34769603"
"Gambling disorder and its relationship with substance use disorders: implications for nosological revisions and treatment.","25864600"
"Efficacy combined with specified ingredients: a new direction for empirically supported addiction treatment.","23072622"
"Gaming disorder and the COVID-19 pandemic: Treatment demand and service delivery challenges.","35413005"
"Commentary on: Are we overpathologizing everyday life? A tenable blueprint for behavioral addiction research.","26551901"
"Smartphone addiction in students: A qualitative examination of the components model of addiction using face-to-face interviews.","31619046"
"Commentary on Muscle dysmorphia as an addiction: a response to Grant (2015) and Nieuwoudt (2015).","25786494"
"Targeting the glutamatergic system to treat pathological gambling: current evidence and future perspectives.","25013755"
"Why do we climb mountains? An exploration of features of behavioural addiction in mountaineering and the association with stress-related psychiatric disorders.","35980451"
"The Development and Validation of the Online Shopping Addiction Scale.","28559864"
"Digital detox: The effect of smartphone abstinence on mood, anxiety, and craving.","31430621"
"Language processing in Internet use disorder: Task-based fMRI study.","35749379"
"Stigma-related arguments against gaming disorder: a call for research.","33998096"
"[""Behavioral addiction"" : New challenges for psychiatrists and psychotherapists?].","23591977"
"Premorbid Personality Traits as Risk Factors for Behavioral Addictions: A Systematic Review of a Vulnerability Hypothesis.","36980025"
"An initial study of behavioral addiction symptom severity and demand for indoor tanning.","29048183"
"[Diagnosis and Therapy of Internet Addiction].","30326531"
"[The concept, the symptoms and the etiological factors of codependency].","24670293"
"Coping Strategies and Factors Related to Problematic Substance Use and Behavioral Addictions Among Adolescents and Young Adults with Cancer.","32255742"
"[Addictions to information and communication technologies in Comunitat Valenciana (Spain), 2018-2020].","36108491"
"An exploratory study of gambling cross addictions.","24234971"
"Emotional State of Young Men in Relation to Problematic Internet Use.","36231456"
"Alpha activity in the insula accompanies the urge to neutralize in sub-clinical obsessive-compulsive participants.","26165459"
"Gambling and COVID-19: Initial Findings from a UK Sample.","34104123"
"[Food addiction: Definition, measurement and limits of the concept, associated factors, therapeutic and clinical implications].","27211587"
"Cognitive dynamics of intertemporal choice in gambling disorder.","32454227"
"Absence of Objective Differences between Self-Identified Addicted and Healthy Smartphone Users?","33916256"
"Social communication disorder and behavioural addiction: Case report and clinical implications.","33989174"
"[The concept of behavioral addiction and limits of the term addiction].","23604411"
"[Problematic internet use (PIN)--a review of assessment questionnaires and risk factors].","26754664"
"Problem gambling among ethnic minorities: results from an epidemiological study.","28944157"
"Prevalence of Internet Addiction among Schoolchildren in Novi Sad.","26946768"
"Social media addiction: What is the role of content in YouTube?","28914072"
"Activation of the ventral and dorsal striatum during cue reactivity in Internet gaming disorder.","26732520"
"Substance and behavioral addictions may share a similar underlying process of dysregulation.","28431456"
"[Substance-related and addictive disorders in the DSM-5].","24571817"
"Data on the relationship between internet addiction and stress among Lebanese medical students in Lebanon.","31463341"
"Gambling at the time of COVID-19: Results from interviews in an Italian sample of gamblers.","35128510"
"Barriers to female sex addiction treatment in the UK.","27784181"
"Characteristics of behavioural addiction in Parkinson's disease patients with self-reported impulse control disorder and controls matched for levodopa equivalent dose: a matched case-control study.","36662280"
"Buying-shopping disorder-is there enough evidence to support its inclusion in ICD-11?","30604662"
"Are we overpathologizing everyday life? A tenable blueprint for behavioral addiction research.","26014667"
"Commentary on: Are we overpathologizing everyday life? A tenable blueprint for behavioral addiction research. Problems with atheoretical and confirmatory research approaches in the study of behavioral addictions.","26551896"
"Addictive behaviors and personality traits in adolescents.","26268304"
"Calorie Intake and Gambling: Is Fat and Sugar Consumption 'Impulsive'?","27766464"
"Excessive Product Trading: A Rare Form of Behavioral Addiction.","34928911"
"Problematic Attachment to Social Media: Five Behavioural Archetypes.","31212899"
"Gambling Disorder and Childhood Trauma: A Complex Association.","33006105"
"The Association Between Mobile Game Addiction and Depression, Social Anxiety, and Loneliness.","31552213"
"Reduced cortical thickness in gambling disorder: a morphometric MRI study.","25814469"
"Response to Cognitive impulsivity and the behavioral addiction model of obsessive-compulsive disorder: Abramovitch and McKay (2016).","27677325"
"Embodying or resisting social normativity? A carnal inquiry into exercise addiction experiences.","37216825"
"[Adolescents and young adults with cancer between adaptation and addiction: state of the question].","25953377"
"Comparison of Online Sexual Activity Among Iranian Individuals With and Without Substance Use Disorder: A Case-Control Study.","35935427"
"[Internet- and computer game addiction: phenomenology, comorbidity, etiology, diagnostics and therapeutic implications for the addictives and their relatives].","20597036"
"Aggravation of Obsessive-Compulsive Disorder Due to Excessive Porn Consumption: A Case Report.","36721539"
"Gambling disorder and comorbid behavioral addictions: Demographic, clinical, and personality correlates.","31951870"
"Another failure of the latent disease model? The case of compulsive sexual behavior disorder •","36112489"
"Moving internet gaming disorder forward: A reply.","25103100"
"Reliability and Validity of the Behavioral Addiction Measure for Video Gaming.","26720761"
"Internet gaming disorder and online gambling disorder: Clinical and personality correlates.","29280393"
"Cybersex addiction in a gay man: a case report.","33393441"
"Research on factors affecting serial entrepreneurial intention: An interpretive structure model.","36389459"
"The relationship between gaming disorder and addiction requires a behavioral analysis.","28816498"
"Development and validation of a stock addiction inventory (SAI).","27471543"
"Social Exclusion, Self-Forgiveness, Mindfulness, and Internet Addiction in College Students: a Moderated Mediation Approach.","33716585"
"Evidence for GABA-A receptor dysregulation in gambling disorder: correlation with impulsivity.","27739164"
"Compulsive Buying Behavior: Clinical Comparison with Other Behavioral Addictions.","27378999"
"The prefrontal dysfunction in individuals with Internet gaming disorder: a meta-analysis of functional magnetic resonance imaging studies.","24889021"
"Work addiction: An organizational behavior as well as an addictive behavior?","30541338"
"Assessment of online compulsive buying: Psychometric properties of the Italian compulsive online shopping scale (COSS).","35149277"
"Determining Typical Smartphone Usage: What Data Do We Need?","29781716"
"Commentary on: Muscle dysmorphia: could it be classified as an addiction to body image?","25592217"
"Behavioral addictions in euthymic patients with bipolar I disorder: a comparison to controls.","25505690"
"Cue reactivity towards shopping cues in female participants.","26165767"
"Rethinking the Medicalization of Violence: The Risks of a Behavioral Addiction Model.","33404314"
"Commentary on: Are we overpathologizing everyday life? A tenable blueprint for behavioral addiction research. On the slippery slopes: The case of gambling addiction.","26551898"
"Longitudinal modifiable risk and protective factors of internet gaming disorder: A systematic review and meta-analysis.","37224007"
"[Pathological gambling and computergame-addiction. Current state of research regarding two subtypes of behavioural addiction].","20195558"
"Addiction in Extreme Sports: An Exploration of Withdrawal States in Rock Climbers.","27348554"
"Criteria for conceptualizing behavioural addiction should be informed by the underlying behavioural mechanism.","28497595"
"Impaired non-verbal emotion processing in Pathological Gamblers.","26730447"
"Perspective: Can psychedelic-assisted therapy be a promising aid in compulsive sexual behavior disorder treatment?","35334305"
"Translational and Molecular Cytoarchitectural Genetic Guided Therapy to Induce Dopamine Homeostatic Neuro-signaling in Reward Deficiency and Associated Drug and Behavioral Addiction Seeking: A 60 Year Sojourn the Future is Now.","34708222"
"Benzodiazepines: more ""behavioural"" addiction than dependence.","12669174"
"Defining tolerance in Internet Gaming disorder: Isn't it time?","27297731"
"The Relationship Between Affective and Obsessive-Compulsive Symptoms in Internet Use Disorder.","34456816"
"Compulsive sexual behaviour as a behavioural addiction: the impact of the internet and other issues.","26936832"
"Neurological soft signs in individuals with pathological gambling.","23593341"
"Rates of Alexithymia and Its Association With Smartphone Addiction Among a Sample of University Students in Egypt.","32425823"
"Serum levels of brain-derived neurotrophic factor in patients with internet use disorder.","23375675"
"An international consensus for assessing internet gaming disorder using the new DSM-5 approach.","24456155"
"Behavioral Addiction from the Asian Americans Perspective: Exploration of Public and Help-Seeking Stigma.","37115421"
"Behavioural Addiction Open Definition 2.0-using the Open Science Framework for collaborative and transparent theoretical development.","28891143"
"[Computer games in childhood and adolescence: relations to addictive behavior, ADHD, and aggression].","19739057"
"[What do we mean by addiction?].","20182678"
"Pathological Gambling in Parkinson's disease: Autonomic measures supporting impaired decision-making.","29888425"
"How to counter the ten myths about work addiction?: Three postulates for future research.","30541339"
"The Relationship between Attachment Styles and Compulsive Online Shopping: The Mediating Roles of Family Functioning Patterns.","35805821"
"Interaction of Socioeconomic Status with Risky Internet Use, Gambling and Substance Use in Adolescents from a Structurally Disadvantaged Region in Central Europe.","32635320"
"Similarities between obesity in pets and children: the addiction model.","27469280"
"Not good enough? Further comments to the wording, meaning, and the conceptualization of Internet Gaming Disorder.","28301964"
"GamReg Sweden-Protocol for a systematic cohort data collection for improved clinical knowledge in specialized gambling disorder treatment.","36172517"
"Stigma and gaming disorder: should we take a 'glass half full' or 'glass half empty' perspective?","35129241"
"Problem Gambling and Problem Gaming in Elite Athletes: a Literature Review.","34867124"
"An Analysis of the Interaction Between Intelligent Software Agents and Human Users.","30930542"
"Meditation awareness training for the treatment of workaholism: A controlled trial.","28425778"
"The pharmacological management of gambling disorder: if, when, and how.","36690348"
"Meditation Awareness Training for the Treatment of Sex Addiction: A Case Study.","27348560"
"Decreased functional connectivity of insula-based network in young adults with internet gaming disorder.","27119360"
"Internet addiction in adolescents: Development and validation of Internet Addiction Diagnostic Questionnaire (KDAI).","33662841"
