"Title","PMID","Year","Month","DOI","Abstract","Full_Author_Name","Author_Address","Language","Publication_Type","Journal_name_short","Conflict_of_Interest_Statement","Journal_Title","Label"
"How the Rise of Problematic Pornography Consumption and the COVID-19 Pandemic Has Led to a Decrease in Physical Sexual Interactions and Relationships and an Increase in Addictive Behaviors and Cluster B Personality Traits: A Meta-Analysis.",37342297,2023,"Jun","10.7759/cureus.40539 [doi]; e40539","On January 13, 2018, an alert was sent to Hawaii's people that a missile was ","Irizarry, Ricardo; Gallaher, Haley; Samuel, Steven; Soares, Jason; Villela, Julia","Psychiatry, Tropical Texas Behavioral Health, McAllen, USA.; Medical School, Saint James School of Medicine, The Quarter, AIA.; Medical School, Saint James School of Medicine, The Quarter, AIA.; Medical School, Saint James School of Medicine, The Quarter, AIA.; Medical School, Saint James School of Medicine, The Quarter, AIA.","eng","Journal Article; Review","Cureus","The authors have declared that no competing interests exist.","Cureus","cybersex"
"[Behavioral (non-chemical) addictions and COVID-19].",36719118,2023,NA,"10.17116/jnevro202312301141 [doi]","The review examines the impact of the COVID-19 pandemic on the prevalence, ","Egorov, A Y","Sechenov Institute of Evolutionary Physiology and Biochemistry of the Russian ; Mechnikov North-West State Medical University, St. Petersburg, Russia.; Saint Petersburg State University, St. Petersburg, Russia.","rus","English Abstract; Journal Article","Zh Nevrol Psikhiatr Im S S Korsakova",NA,"Zhurnal nevrologii i psikhiatrii imeni S.S. Korsakova","cybersex"
"Global prevalence of digital addiction in general population: A systematic review and meta-analysis.",35150965,2022,"Mar","S0272-7358(22)00013-7 [pii]; 10.1016/j.cpr.2022.102128 [doi]","The present meta-analytic review aimed to synthesize the global prevalence ","Meng, Shi-Qiu; Cheng, Jia-Lu; Li, Yang-Yang; Yang, Xiao-Qin; Zheng, Jun-Wei; Chang, Xiang-Wen; Shi, Yu; Chen, Yun; Lu, Lin; Sun, Yan; Bao, Yan-Ping; Shi, Jie","National Institute on Drug Dependence and Beijing Key Laboratory of Drug ; National Institute on Drug Dependence and Beijing Key Laboratory of Drug ; National Institute on Drug Dependence and Beijing Key Laboratory of Drug ; National Institute on Drug Dependence and Beijing Key Laboratory of Drug ; National Institute on Drug Dependence and Beijing Key Laboratory of Drug ; National Institute on Drug Dependence and Beijing Key Laboratory of Drug ; Peking University Shenzhen Hospital, Shenzhen, China.; Peking University Shenzhen Hospital, Shenzhen, China.; National Institute on Drug Dependence and Beijing Key Laboratory of Drug ; National Institute on Drug Dependence and Beijing Key Laboratory of Drug ; National Institute on Drug Dependence and Beijing Key Laboratory of Drug ; National Institute on Drug Dependence and Beijing Key Laboratory of Drug ","eng","Journal Article; Meta-Analysis; Research Support, Non-U.S. Gov't; Review; Systematic Review","Clin Psychol Rev",NA,"Clinical psychology review","cybersex"
"Electrophysiological evidence of enhanced early attentional bias toward sexual images in individuals with tendencies toward cybersex addiction.",34817398,2021,"Nov","10.1556/2006.2021.00082 [doi]","BACKGROUND AND AIMS: Attentional bias is a key factor in addictive behavior ","Wang, Jianfeng; Chen, Yuanyuan; Zhang, Hui",NA,"eng","Journal Article","J Behav Addict",NA,"Journal of behavioral addictions","cybersex"
"Self-Perceived Problematic Use of Online Pornography Is Linked to Clinically Relevant Levels of Psychological Distress and Psychopathological Symptoms.",34791580,2022,"Feb","10.1007/s10508-021-02101-w [doi]","Online pornography is a widespread Internet application. As with other Internet ","Mennig, Manuel; Tennie, Sophia; Barke, Antonia","Department of Clinical Psychology and Psychotherapy, Philipps-Universitat ; Department of Clinical Psychology and Psychotherapy, Philipps-Universitat ; Department of Clinical and Biological Psychology, Catholic University of ","eng","Journal Article; Research Support, Non-U.S. Gov't","Arch Sex Behav","The authors declare that they have no conflict of interest.","Archives of sexual behavior","cybersex"
"The Impact of Negative Mood on Event-Related Potentials When Viewing Pornographic Pictures.",34290650,2021,NA,"10.3389/fpsyg.2021.673023 [doi]; 673023","Background: Negative affective states may increase the risk for problematic ","Markert, Charlotte; Baranowski, Andreas M; Koch, Simon; Stark, Rudolf; Strahler, Jana","Department of Psychotherapy and Systems Neuroscience, Psychology and Sport ; Bender Institute of Neuroimaging, University of Giessen, Giessen, Germany.; Center for Mind, Brain and Behavior, Universities of Marburg and Giessen, ; Department of Psychotherapy and Systems Neuroscience, Psychology and Sport ; Bender Institute of Neuroimaging, University of Giessen, Giessen, Germany.; Center for Mind, Brain and Behavior, Universities of Marburg and Giessen, ; Department of Psychotherapy and Systems Neuroscience, Psychology and Sport ; Bender Institute of Neuroimaging, University of Giessen, Giessen, Germany.; Department of Psychotherapy and Systems Neuroscience, Psychology and Sport ; Bender Institute of Neuroimaging, University of Giessen, Giessen, Germany.; Center for Mind, Brain and Behavior, Universities of Marburg and Giessen, ; Department of Psychotherapy and Systems Neuroscience, Psychology and Sport ; Bender Institute of Neuroimaging, University of Giessen, Giessen, Germany.; Center for Mind, Brain and Behavior, Universities of Marburg and Giessen, ","eng","Journal Article","Front Psychol","The authors declare that the research was conducted in the absence of any ","Frontiers in psychology","cybersex"
"Cybersex addiction in a gay man: a case report.",33393441,2021,"Jul-Sep","10.1080/10550887.2020.1860423 [doi]","BACKGROUND: Cybersex addiction is a sexual addiction characterized by virtual ","Skryabin, Valentin; Zastrozhin, Mikhail; Chumakov, Egor","Moscow Research and Practical Centre on Addictions, Moscow, Russia.; Russian Medical Academy of Continuous Professional Education, Moscow, Russia.; Moscow Research and Practical Centre on Addictions, Moscow, Russia.; Russian Medical Academy of Continuous Professional Education, Moscow, Russia.; Saint Petersburg State University, Saint Petersburg, Russia.; Saint Petersburg Psychiatric Hospital No. 1, Saint Petersburg, Russia.","eng","Case Reports","J Addict Dis",NA,"Journal of addictive diseases","cybersex"
"Event-related potentials in a two-choice oddball task of impaired behavioral inhibitory control among males with tendencies towards cybersex addiction.",32903206,2020,"Oct","10.1556/2006.2020.00059 [doi]","BACKGROUND AND AIMS: Impaired behavioral inhibitory control (BIC) is known to ","Wang, Jianfeng; Dai, Bing",NA,"eng","Journal Article","J Behav Addict",NA,"Journal of behavioral addictions","cybersex"
"Contribution of sexual desire and motives to the compulsive use of cybersex.",31505968,2019,"Sep","10.1556/2006.8.2019.47 [doi]","BACKGROUND AND AIMS: Cybersex is increasingly associated with concerns about ","Brahim, Farah Ben; Rothen, Stephane; Bianchi-Demicheli, Francesco; Courtois, Robert; Khazaal, Yasser","Department of Psychology,University of Tours, Tours,France.; Research Center for Statistics,University of Geneva, Geneva,Switzerland.; Department of Mental Health and Psychiatry,Geneva University Hospitals, ; Department of Mental Health and Psychiatry,Geneva University Hospitals, ; Department of Psychology,University of Tours, Tours,France.; Psychiatric University Clinic,University Hospital of Tours (CHRU), Tours,France.; Addiction Medicine, Department of Psychiatry,Lausanne University Hospital and ; Research Centre,University Institute of Mental Health at Montreal, ","eng","Journal Article","J Behav Addict",NA,"Journal of behavioral addictions","cybersex"
"Sexual Desire, Mood, Attachment Style, Impulsivity, and Self-Esteem as Predictive Factors for Addictive Cybersex.",30664470,2019,"Jan","10.2196/mental.9978 [doi]; e9978","BACKGROUND: An increasing number of studies are concerned with various aspects of ","Varfi, Nektaria; Rothen, Stephane; Jasiowka, Katarzyna; Lepers, Thibault; Bianchi-Demicheli, Francesco; Khazaal, Yasser","Geneva University Hospitals, Geneve, Switzerland.; Geneva University Hospitals, Geneve, Switzerland.; Geneva University Hospitals, Geneve, Switzerland.; Geneva University Hospitals, Geneve, Switzerland.; Geneva University Hospitals, Geneve, Switzerland.; Geneva University Hospitals, Geneve, Switzerland.","eng","Journal Article","JMIR Ment Health","Conflicts of Interest: None declared.","JMIR mental health","cybersex"
