"Title","PMID"
"Global prevalence of digital addiction in general population: A systematic review and meta-analysis.","35150965"
"Problematic cybersex: Conceptualization, assessment, and treatment.","26646983"
"Symptoms of cybersex addiction can be linked to both approaching and avoiding pornographic stimuli: results from an analog sample of regular cybersex users.","26052292"
"Contribution of sexual desire and motives to the compulsive use of cybersex.","31505968"
"Implicit associations in cybersex addiction: Adaption of an Implicit Association Test with pornographic pictures.","26026385"
"Cybersex addiction: Experienced sexual arousal when watching pornography and not real-life sexual contacts makes the difference.","26165929"
"Cybersex addiction in a gay man: a case report.","33393441"
"Cybersex Addiction: A Study on Spanish College Students.","27398694"
"Cybersex addiction in heterosexual female users of internet pornography can be explained by gratification hypothesis.","25080011"
"Sexual Desire, Mood, Attachment Style, Impulsivity, and Self-Esteem as Predictive Factors for Addictive Cybersex.","30664470"
"Getting stuck with pornography? Overuse or neglect of cybersex cues in a multitasking situation is related to symptoms of cybersex addiction.","25786495"
"Factor structure of the Cybersex Motives Questionnaire.","30156118"
"Evaluation and treatment of sex addiction.","23790248"
"Treatment of compulsive cybersex behavior.","18996308"
"The Impact of Negative Mood on Event-Related Potentials When Viewing Pornographic Pictures.","34290650"
"[Behavioral (non-chemical) addictions and COVID-19].","36719118"
"Event-related potentials in a two-choice oddball task of impaired behavioral inhibitory control among males with tendencies towards cybersex addiction.","32903206"
"[Relationships among cybersex addiction, gender egalitarianism, sexual attitude and the allowance of sexual violence in adolescents].","18182882"
"Sexual Excitability and Dysfunctional Coping Determine Cybersex Addiction in Homosexual Males.","26374928"
"Electrophysiological evidence of enhanced early attentional bias toward sexual images in individuals with tendencies toward cybersex addiction.","34817398"
"Factors Predicting Cybersex Use and Difficulties in Forming Intimate Relationships among Male and Female Users of Cybersex.","25941496"
"How the Rise of Problematic Pornography Consumption and the COVID-19 Pandemic Has Led to a Decrease in Physical Sexual Interactions and Relationships and an Increase in Addictive Behaviors and Cluster B Personality Traits: A Meta-Analysis.","37342297"
"Technology-mediated addictive behaviors constitute a spectrum of related yet distinct conditions: A network perspective.","30024188"
"""Technology-mediated addictive behaviors constitute a spectrum of related yet distinct conditions: A network perspective"": Correction to Baggio et al. (2018).","30211582"
"Where the Mind Cannot Dare: A Case of Addictive Use of Online Pornography and Its Relationship With Childhood Trauma.","30015567"
"Trait and state impulsivity in males with tendency towards Internet-pornography-use disorder.","29291508"
"Self-Perceived Problematic Use of Online Pornography Is Linked to Clinically Relevant Levels of Psychological Distress and Psychopathological Symptoms.","34791580"
"Watching pornographic pictures on the Internet: role of sexual arousal ratings and psychological-psychiatric symptoms for using Internet sex sites excessively.","21117979"
