"PMID","Year","Month","Title","DOI","Abstract","Full_Author_Name","Author_Address","Language","Publication_Type","Journal_name_short","Conflict_of_Interest_Statement","Journal_Title"
"37275972",2023,NA,"Effectiveness and mechanisms of the arts therapies in forensic care. A systematic ","10.3389/fpsyt.2023.1128252 [doi]; 1128252","INTRODUCTION: Mental health care provided to offenders with psychiatric problems ","Abbing, Annemarie; Haeyen, Suzanne; Nyapati, Sashank; Verboon, Peter; van Hooren, Susan","Department of Clinical Psychology, Faculty of Psychology, Open University, ; Department of Arts Therapies, Professorship Anthroposophic Healthcare, University ; KenVaK, Research Centre for the Arts Therapies, Heerlen, Netherlands.; KenVaK, Research Centre for the Arts Therapies, Heerlen, Netherlands.; Special Research Group Arts and Psychomotor Therapies/Master of Arts Therapies, ; Scelta, Expert Centre for Personality Disorders Apeldoorn, GGNet, Centre for ; Department of Arts Therapies, Professorship Anthroposophic Healthcare, University ; Department of Methodology and Statistics, Faculty of Psychology, Open University, ; Department of Clinical Psychology, Faculty of Psychology, Open University, ","eng","Systematic Review","Front Psychiatry","The authors declare that the research was conducted in the absence of any ","Frontiers in psychiatry"
"36767188",2023,"Jan","Substance Use and Attendance Motives of Electronic Dance Music (EDM) Event ","10.3390/ijerph20031821 [doi]; 1821","EDM event attendees are a high-risk population for substance use and associated ","Van Dyck, Edith; Ponnet, Koen; Van Havere, Tina; Hauspie, Bert; Dirkx, Nicky; Schrooten, Jochen; Waldron, Jon; Grabski, Meryem; Freeman, Tom P; Curran, Helen Valerie; De Neve, Jan","Institute for Psychoacoustics and Electronic Music (IPEM), Department of Art ; Research Group for Media, Innovation and Communication Technologies, Department ; Substance Use and Psychosocial Risk Behaviours (SUPR-B), University of Applied ; Research Group for Media, Innovation and Communication Technologies, Department ; Substance Use and Psychosocial Risk Behaviours (SUPR-B), University of Applied ; Substance Use and Psychosocial Risk Behaviours (SUPR-B), University of Applied ; VAD, 1030 Brussels, Belgium.; Clinical Psychopharmacology Unit, University College London, London WC1E 7HB, UK.; Clinical Psychopharmacology Unit, University College London, London WC1E 7HB, UK.; Clinical Psychopharmacology Unit, University College London, London WC1E 7HB, UK.; Addiction and Mental Health Group (AIM), Department of Psychology, University of ; Clinical Psychopharmacology Unit, University College London, London WC1E 7HB, UK.; Department of Data-Analysis, Ghent University, 9000 Ghent, Belgium.","eng","Journal Article; Research Support, Non-U.S. Gov't","Int J Environ Res Public Health","The authors declare no conflict of interest.","International journal of environmental research and public health"
"36405630",2022,NA,"No Good Time Without Drugs: Qualitative Study Among Nightlife Attendees in ","10.35198/01-2022-003-0003 [doi]","INTRODUCTION: Individuals who visit nightclubs and electronic dance music (EDM) ","Kirtadze, I; Mgebrishvili, T; Beselia, A; Gvasalia, T; Chokheli, M; Ompad, D C; Otiashvili, D","Ilia State University, School of Arts and Sciences, Tbilisi, Georgia.; Addiction Research Center Alternative Georgia, Tbilisi, Georgia.; Addiction Research Center Alternative Georgia, Tbilisi, Georgia.; Georgian Association of Addictologists Tbilisi, Georgia.; Addiction Research Center Alternative Georgia, Tbilisi, Georgia.; Georgian Association of Addictologists Tbilisi, Georgia.; Cactus Media, Tbilisi, Georgia.; Open Society Foundation, Tbilisi, Georgia.; New York University School of Global Public Health, Department of Epidemiology ; New York University School of Global Public Health, Center for Drug Use and HIV ; Addiction Research Center Alternative Georgia, Tbilisi, Georgia.; Ilia State University, School of Natural Sciences and Medicine, Tbilisi, Georgia.","eng","Journal Article","Adiktologie","Declaration of interest: The authors declare no conflict of interest.","Adiktologie"
"36213449",2022,NA,"Intervention in professional dance students to increase mental health- and ","10.3389/fspor.2022.727048 [doi]; 727048","INTRODUCTION: There is a need to change the culture within the art of dance, as ","Mathisen, Therese Fostervold; Sundgot-Borgen, Christine; Anstensrud, Beate; Sundgot-Borgen, Jorunn","Department of Health, Welfare and Organisation, Ostfold University College, ; Division of Mental Health and Addiction, Regional Department for Eating ; The Norwegian Association of Youth Mental Health, Oslo, Norway.; Institute of Sports Medicine, Norwegian School of Sport Sciences, Oslo, Norway.","eng","Journal Article","Front Sports Act Living","The authors declare that the research was conducted in the absence of any ","Frontiers in sports and active living"
"35861283",2022,"Sep","Connecting Through Dance: Understanding Conscious Clubbing Event Experiences.","10.1177/10497323221116804 [doi]","Individuals abstaining from alcohol consumption frequently find themselves in ","Hill, Kimberley M; Johansson, Mattias; Smith, Joanne; Brown, Kyle; Davies, Emma L","Psychology and Sociology Subject Group, Faculty of Health, Education and Society, ; Department of Social and Psychological Studies, 4209Karlstad University, ; Research and Evidence Team, NHS North of England Commissioning Support Unit, ; Faculty of Business, Law and Social Sciences, 1725Birmingham City University, ; The Centre for Psychological Research, 6395Oxford Brookes University, Oxford, UK.","eng","Journal Article","Qual Health Res",NA,"Qualitative health research"
"35325765",2022,"Apr","Aggressiveness in the dreams of drug-naive and clonazepam-treated patients with ","S1389-9457(22)00066-1 [pii]; 10.1016/j.sleep.2022.02.022 [doi]","BACKGROUND: Although aggressive dream content is considered a distinctive feature ","Cavallotti, Simone; Stein, Hans-Christian; Savarese, Mariantonietta; Terzaghi, Michele; D'Agostino, Armando","Department of Mental Health and Addiction, ASST Santi Paolo e Carlo, Milan, ; Department of Health Sciences, Universita degli Studi di Milano, Milan, Italy.; ""FM Puca"" Neurology Unit, University Hospital Consortium Corporation Polyclinic ; Sleep and Epilepsy Unit, IRCCS C. Mondino National Institute of Neurology ; Department of Mental Health and Addiction, ASST Santi Paolo e Carlo, Milan, ","eng","Journal Article","Sleep Med",NA,"Sleep medicine"
"35237204",2022,NA,"The Relationship Between Physical Exercise and Mobile Phone Addiction Tendency of ","10.3389/fpsyg.2022.730886 [doi]; 730886","This study aims to explore the relationship between physical exercise (PE), ","Guo, Ke-Lei; Ma, Qi-Shuai; Yao, Shu-Jun; Liu, Chao; Hui, Zhen; Jiang, Juan; Lin, Xi","School of Physical Education and Health, Zhaoqing University, Zhaoqing, China.; School of Physical Education, Huaibei Normal University, Huaibei, China.; School of Physical Education, Huaibei Normal University, Huaibei, China.; School of Physical Education, Huaibei Normal University, Huaibei, China.; School of Marxism, Zhaoqing University, Zhaoqing, China.; School of Wushu and Dancing, Shenyang Sport University, Shenyang, China.; School of Physical Education and Health, Longyan University, Longyan, China.","eng","Journal Article","Front Psychol","The authors declare that the research was conducted in the absence of any ","Frontiers in psychology"
"35134028",2021,"Dec","Commentary on ""The Father-Daughter Dinner Dance: A Waltz With Ethics and ","10.1097/01.ACM.0000803760.28371.94 [doi]",NA,"Soklaridis, Sophie","S. Soklaridis is associate professor, Departments of Psychiatry and Family and ","eng","Comment; Journal Article","Acad Med",NA,"Academic medicine : journal of the Association of American Medical Colleges"
"34260998",2021,"Aug","Conscious dance: Perceived benefits and psychological well-being of participants.","S1744-3881(21)00139-0 [pii]; 10.1016/j.ctcp.2021.101440 [doi]","BACKGROUND: Meta-analyses suggest that dance has potential to decrease ","Laird, Kelsey T; Vergeer, Ineke; Hennelly, Sarah E; Siddarth, Prabha","Department of Psychiatry & Biobehavioral Sciences, Semel Institute for ; Physically Active Lifestyles Research Group, Centre for Health Research, ; Centre for Psychological Research, Faculty of Health and Life Science, Oxford ; Department of Psychiatry & Biobehavioral Sciences, Semel Institute for ","eng","Journal Article","Complement Ther Clin Pract",NA,"Complementary therapies in clinical practice"
"34188472",2021,NA,"Algorithms to Predict Anxiety and Depression Among University Students in China ","10.2147/NDT.S315148 [doi]","PURPOSE: This study aims to identify potential risk factors associated with ","Zhang, Lirong; Zhao, Shaocong; Lin, Qiong; Song, Minmin; Wu, Shouren; Zheng, Hua","Department of Physical Education, Xiamen University of Technology, Xiamen, ; Department of Physical Education, Xiamen University of Technology, Xiamen, ; Department of Physical Education, JiMei University, Xiamen, Fujian, People's ; Department of Physical Education, Fujian Agriculture and Forestry University, ; Department of Physical Education, JiMei University, Xiamen, Fujian, People's ; College of Physical Education and Health Sciences, Chongqing Normal University, ","eng","Journal Article","Neuropsychiatr Dis Treat","The authors report no conflicts of interest in this work.","Neuropsychiatric disease and treatment"
