"PMID","Year","Month","Title","DOI","Abstract","Full_Author_Name","Author_Address","Language","Publication_Type","Journal_name_short","Conflict_of_Interest_Statement","Journal_Title"
"37426501",2022,NA,"Siddha management of alcohol withdrawal syndrome.","10.6026/97320630018748 [doi]","Addictive use of Alcohol has been a considerable health problem, not only having ","Selvasankari, E; Manjari, V","Department of Nanju Maruthuvam, National Institute of Siddha, Chennai - 47, Tamil ; Department of Nanju Maruthuvam, National Institute of Siddha, Chennai - 47, Tamil ","eng","Journal Article","Bioinformation",NA,"Bioinformation"
"37315796",2023,"Aug","Longitudinal changes in co-involved drugs, comorbidities, and demographics of ","S2949-8759(23)00152-2 [pii]; 10.1016/j.josat.2023.209101 [doi]","INTRODUCTION: We conducted a population-based observational study of all medical ","Shover, Chelsea L; Friedman, Joseph R; Romero, Ruby; Buhr, Russell; Chu, Brian; Tang, Amber; Medina, Jesus A; Wisk, Lauren; Lucas, Jonathan; Goodman-Meza, David","Division of General Internal Medicine and Health Services Research, University of ; UCLA David Geffen School of Medicine, Los Angeles, CA, USA.; Division of General Internal Medicine and Health Services Research, University of ; Division of Pulmonary and Critical Care, University of California, Los Angeles, ; UCLA David Geffen School of Medicine, Los Angeles, CA, USA.; UCLA David Geffen School of Medicine, Los Angeles, CA, USA.; UCLA David Geffen School of Medicine, Los Angeles, CA, USA.; Division of General Internal Medicine and Health Services Research, University of ; Department of Medical Examiner-Coroner, Los Angeles County, Los Angeles, CA, USA.; Division of Infectious Diseases, University of California, Los Angeles, CA, USA.","eng","Journal Article; Observational Study; Research Support, N.I.H., Extramural","J Subst Use Addict Treat","Declaration of competing interest None to declare.","Journal of substance use and addiction treatment"
"37214906",2023,"May","Pseudorabies virus hijacks DDX3X, initiating an addictive ""mad itch"" and immune ","2023.05.09.539956 [pii]; 10.1101/2023.05.09.539956 [doi]","Infections with defined Herpesviruses, such as Pseudorabies virus (PRV) and ","Cronin, Shane J F; Tejada, Miguel A; Song, Ren; Laval, Kathlyn; Cikes, Domagoj; Ji, Ming; Brai, Annalaura; Stadlmann, Johannes; Novatchikova, Maria; Perlot, Thomas; Ali, Omar Hasan; Botta, Lorenzo; Decker, Thomas; Lazovic, Jelena; Hagelkruys, Astrid; Enquist, Lynn; Rao, Shuan; Koyuncu, Orkide O; Penninger, Josef M",NA,"eng","Preprint","bioRxiv","Conflict of interest. The authors declare no conflict of interest.","bioRxiv : the preprint server for biology"
"37170622",2023,NA,"Receipt of Prescription Psychostimulants and Stimulant-Involved Fatal Overdose: A ","10.1080/10826084.2023.2212037 [doi]","Background: Rates of psychostimulant use, misuse, and hospitalization have ","Macmadu, Alexandria; Banks, Alexandra J; Hallowell, Benjamin D; Scagos, Rachel P; Hadland, Scott E; Chambers, Laura C; Marshall, Brandon D L","Brown University School of Public Health, Providence, Rhode Island, USA.; Brown University School of Public Health, Providence, Rhode Island, USA.; Rhode Island Department of Health, Providence, Rhode Island, USA.; Rhode Island Department of Health, Providence, Rhode Island, USA.; Grayken Center for Addiction, Boston Medical Center, Boston, Massachusetts, USA.; Department of Pediatrics, Boston Medical Center, Boston, Massachusetts, USA.; Division of General Pediatrics, Department of Pediatrics, Boston University ; Rhode Island Department of Health, Providence, Rhode Island, USA.; Brown University School of Public Health, Providence, Rhode Island, USA.","eng","Journal Article; Research Support, N.I.H., Extramural","Subst Use Misuse","DECLARATIONS OF INTEREST None of the authors report a conflict of interest. The ","Substance use & misuse"
"37105266",2023,"Jul","Buprenorphine and opioid analgesics: Dispensation and discontinuity among ","S2949-8759(23)00103-0 [pii]; 10.1016/j.josat.2023.209053 [doi]","BACKGROUND: This study describes overall trends and sociodemographic disparities ","Victor, Grant; Ray, Bradley; Del Pozo, Brandon; Jaffe, Kaitlyn; King, Andy; Huynh, Philip","School of Social Work, Rutgers, The State University of New Jersey, 120 Albany ; RTI International, Division for Applied Justice Research, 3040 Cornwallis Road, ; Miriam Hospital/Warren Alpert Medical School of Brown University, Department of ; Center for Bioethics and Social Sciences in Medicine, University of Michigan, ; School of Emergency Medicine, Wayne State University, 4201 St. Antoine, ; Center for Behavioral Health and Justice, Wayne State University, Detroit, MI ","eng","Journal Article; Research Support, U.S. Gov't, P.H.S.","J Subst Use Addict Treat","Declaration of competing interest The authors have no disclosures to declare.","Journal of substance use and addiction treatment"
"36738634",2023,"Mar","Concordance between controlled substance receipt and post-mortem toxicology in ","S0376-8716(23)00026-1 [pii]; 10.1016/j.drugalcdep.2023.109788 [doi]","BACKGROUND: Opioid overdoses are a leading cause of preventable death in the ","Howell, Benjamin A; Black, Anne C; Grau, Lauretta E; Lin, Hsiu-Ju; Greene, Christina; Lee, Hana; Heimer, Robert; Hawk, Kathryn E; D'Onofrio, Gail; Fiellin, David A; Becker, William C","SEICHE Center for Health and Justice, Yale School of Medicine, New Haven, CT, the ; Program in Addiction Medicine, Yale School of Medicine, New Haven, CT, the United ; Program in Addiction Medicine, Yale School of Medicine, New Haven, CT, the United ; School of Social Work, University of Connecticut, Storrs, CT, the United States ; U.S. Food and Drug Administration, Silver Spring, MD, the United States of ; U.S. Food and Drug Administration, Silver Spring, MD, the United States of ; Program in Addiction Medicine, Yale School of Medicine, New Haven, CT, the United ; Program in Addiction Medicine, Yale School of Medicine, New Haven, CT, the United ; Program in Addiction Medicine, Yale School of Medicine, New Haven, CT, the United ; Program in Addiction Medicine, Yale School of Medicine, New Haven, CT, the United ; Program in Addiction Medicine, Yale School of Medicine, New Haven, CT, the United ","eng","Journal Article; Research Support, N.I.H., Extramural; Research Support, U.S. Gov't, P.H.S.","Drug Alcohol Depend","Disclosures/Conflict of Interest The authors have no financial conflicts of ","Drug and alcohol dependence"
"36618829",2022,NA,"Developmental pathways linked to the vulnerability of adult midbrain dopaminergic ","10.3389/fnmol.2022.1071731 [doi]; 1071731","The degeneration of dopaminergic and other neurons in the aging brain is ","Prakash, Nilima","Laboratory of Applied Genetics and Stem Cell Biology, Department Hamm 2, ","eng","Journal Article; Review","Front Mol Neurosci","The author declares that the research was conducted in the absence of any ","Frontiers in molecular neuroscience"
"36564741",2022,"Dec","Sudden gamer death: non-violent death cases linked to playing video games.","10.1186/s12888-022-04373-5 [doi]; 824","BACKGROUND AND AIMS: Internet gaming disorder (IGD) is an emerging problem. ","Kuperczko, Diana; Kenyeres, Peter; Darnai, Gergely; Kovacs, Norbert; Janszky, Jozsef","Department of Neurology, Medical School, University of Pecs, Pecs, Hungary. ; 1st Department of Medicine, Medical School, University of Pecs, Pecs, Hungary.; Department of Neurology, Medical School, University of Pecs, Pecs, Hungary.; Department of Behavioural Sciences, Medical School, University of Pecs, Pecs, ; Department of Neurology, Medical School, University of Pecs, Pecs, Hungary.; Department of Neurology, Medical School, University of Pecs, Pecs, Hungary.","eng","Journal Article; Research Support, Non-U.S. Gov't","BMC Psychiatry","The authors declare no competing interests.","BMC psychiatry"
"36502321",2023,NA,"Insights into the Pathophysiology of Alzheimer's Disease and Potential ","10.3233/JAD-220666 [doi]","The aging population increases steadily because of a healthy lifestyle and ","Rajah Kumaran, Kesevan; Yunusa, Suleiman; Perimal, Enoch; Wahab, Habibah; Muller, Christian P; Hassan, Zurina","Malaysian Institute of Pharmaceuticals and Nutraceuticals, National Institutes of ; Centre for Drug Research, Universiti Sains Malaysia, Penang, Malaysia.; Department of Pharmacology, Bauchi State University Gadau, Bauchi State, Nigeria.; Curtin Medical School, Curtin University, Bentley, Western Australia, Australia.; Department of Biomedical Science, Faculty of Medicine and Health Sciences, ; School of Pharmaceutical Sciences, Universiti Sains Malaysia, Penang, Malaysia.; Centre for Drug Research, Universiti Sains Malaysia, Penang, Malaysia.; Section of Addiction Medicine, Department of Psychiatry and Psychotherapy, ; Centre for Drug Research, Universiti Sains Malaysia, Penang, Malaysia.; Section of Addiction Medicine, Department of Psychiatry and Psychotherapy, ","eng","Journal Article; Research Support, Non-U.S. Gov't; Review","J Alzheimers Dis",NA,"Journal of Alzheimer's disease : JAD"
"36335579",2023,"May","Fragmentation of rest periods, astrocyte activation, and cognitive decline in ","10.1002/alz.12817 [doi]","INTRODUCTION: Sleep disruption is associated with astrocyte activation and ","Wu, Rebecca; Tripathy, Shreejoy; Menon, Vilas; Yu, Lei; Buchman, Aron S; Bennett, David A; De Jager, Philip L; Lim, Andrew S P","Division of Neurology, Department of Medicine, Hurvitz Brain Sciences Program, ; Institute of Medical Sciences, University of Toronto, Toronto, Ontario, Canada.; Institute of Medical Sciences, University of Toronto, Toronto, Ontario, Canada.; Krembil Centre for Neuroinformatics, Centre for Addiction and Mental Health, ; Department of Psychiatry, University of Toronto, Toronto, Ontario, Canada.; Department of Physiology, University of Toronto, Toronto, Ontario, Canada.; Center for Translational & Computational Neuroimmunology, Department of ; Rush Alzheimer Disease Center, Rush University Medical Center, Chicago, Illinois, ; Department of Neurological Sciences, Rush University, Chicago, Illinois, USA.; Rush Alzheimer Disease Center, Rush University Medical Center, Chicago, Illinois, ; Department of Neurological Sciences, Rush University, Chicago, Illinois, USA.; Rush Alzheimer Disease Center, Rush University Medical Center, Chicago, Illinois, ; Department of Neurological Sciences, Rush University, Chicago, Illinois, USA.; Center for Translational & Computational Neuroimmunology, Department of ; Division of Neurology, Department of Medicine, Hurvitz Brain Sciences Program, ; Institute of Medical Sciences, University of Toronto, Toronto, Ontario, Canada.","eng","Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't","Alzheimers Dement",NA,"Alzheimer's & dementia : the journal of the Alzheimer's Association"
