"Title","PMID"
"Addiction to death.","29019296"
"[Heroin].","23888578"
"Ferroptosis at the crossroads of infection, aging and cancer.","32437084"
"The American Opioid Crisis: The Inexorable March to Death and Addiction.","30442426"
"The Role of Pharmacogenetics in Smoking.","34165800"
"Attacking the supply wagons to starve cancer cells to death.","26938658"
"Sudden gamer death: non-violent death cases linked to playing video games.","36564741"
"Protein Kinase CK2 in Cancer Energetics.","32626654"
"Addicted to death: invasive cancer and the immune response to unscheduled cell death.","15614039"
"The duality of oncomiR addiction in the maintenance and treatment of cancer.","22647359"
"Analysis of last statements prior to execution: methods, themes and future directions.","29186535"
"Characteristics and circumstances of death related to the self-administration of ketamine.","32533718"
"Applying a Lifespan Developmental Perspective to Chronic Pain: Pediatrics to Geriatrics.","27586828"
"Income trajectories prior to alcohol-attributable death in Finland and Sweden.","30548246"
"Developmental pathways linked to the vulnerability of adult midbrain dopaminergic neurons to neurodegeneration.","36618829"
"Framing Kin Resistance to Opioid Overdose in Philadelphia.","35244500"
"The killer of Socrates: Coniine and Related Alkaloids in the Plant Kingdom.","29135964"
"The association between familial death in childhood or adolescence and subsequent substance use disorder: A systematic review and meta-analysis.","33975176"
"Trends in MDMA-related mortality across four countries.","33739562"
"Death depression in Egyptian clinical and non-clinical groups.","33318811"
"[Clomethiazole poisoning].","6516604"
"Desomorphine (Krokodil): An overview of its chemistry, pharmacology, metabolism, toxicology and analysis.","28199917"
"Eating disorders in men aged midlife and beyond.","25869901"
"The Emerging Role of Inhaled Heroin in the Opioid Epidemic: A Review.","29987325"
"Pregnancy-Associated Death in Utah: Contribution of Drug-Induced Deaths.","31135726"
"Fighting addiction's death row: British Columbia Supreme Court Justice Ian Pitfield shows a measure of legal courage.","18957091"
"Service utilization and suicide among people with schizophrenia spectrum disorders.","29935885"
"Investigating opioid-related fatalities in southern Sweden: contact with care-providing authorities and comparison of substances.","31918732"
"Methadone maintenance programs--a two-edged sword?","11111797"
"Addiction to Runx1 is partially attenuated by loss of p53 in the Eµ-Myc lymphoma model.","27056890"
"Corrected US opioid-involved drug poisoning deaths and mortality rates, 1999-2015.","29430760"
"Lethal asphyxiation due to sadomasochistic sex training - How some sex partners avoid criminal responsibility even though their actions lead to someone's death.","29533207"
"Characterising mental health and addictions and assault-related health care use in the year prior to death: a population-based linked cohort study of homicide victims.","34095544"
"Solvent abuse-related toluene leukoencephalopathy.","15275029"
"Risk of relapse and death from colorectal cancer and its related factors using non-Markovian Multi-State model.","32821349"
"Insights into the Pathophysiology of Alzheimer's Disease and Potential Therapeutic Targets: A Current Perspective.","36502321"
"Factors associated with mortality in tuberculosis patients.","23901338"
"Dysrhythmias with Loperamide Used for Opioid Withdrawal.","29180560"
"Reporting of alcohol as a contributor to death in Australian national suicide statistics and its relationship to post-mortem alcohol concentrations.","32621553"
"A Small Dose Can Cause a Major Problem.","35345746"
"Siddha management of alcohol withdrawal syndrome.","37426501"
"Treatment Status and Use of Psychoactive Substances in Deceased Drug Users.","31578026"
"Habitual, toxic, and lethal concentrations of 103 drugs of abuse in humans.","9022645"
"Evaluation of metabolite/drug ratios in blood and urine as a tool for confirmation of a reduced tolerance in methadone-related deaths in Denmark.","23891033"
"Fatal poisonings where ethylmorphine from antitussive medications contributed to death.","10460420"
"Injuries and their burden in insured construction workers in Iran, 2012.","26787067"
"Risk of fentanyl-involved overdose among those with past year incarceration: Findings from a recent outbreak in 2014 and 2015.","29459328"
"New, previously unreported correlations between latent Toxoplasma gondii infection and excessive ethanol consumption.","28946032"
"Patterns of Alcohol Consumption Among Individuals With Alcohol Use Disorder During the COVID-19 Pandemic and Lockdowns in Germany.","35913741"
"[Refeeding syndrome during alcohol detoxification].","28880351"
"Sucrose Is Not the Whole Story: Risk Factors and Oral Health at the Contact (Yakutia, Siberia-16th/19th).","34681073"
"Jail and overdose: assessing the community impact of incarceration on overdose.","34251065"
"Critical care providers' support of families in bereavement: a mixed-methods study.","32240521"
"Alcohol use disorders and acute alcohol use preceding suicide in China.","19850415"
"Deaths among narcotic addicts in Denmark in 1978 and 1979.","7250866"
"Evaluation of poly-drug use in methadone-related fatalities using segmental hair analysis.","25622032"
"Increased use in propofol and reported patterns of adverse events among anesthetics in Korea.","25666110"
"Population-based analysis of health care contacts among suicide decedents: identifying opportunities for more targeted suicide prevention strategies.","27265704"
"Planned complex suicide involving combined drug intoxication and femoral catheterization.","34291457"
"Drug anticipation and the treatment of dependence.","3147377"
"Characteristics and circumstances of heroin and pharmaceutical opioid overdose deaths: Comparison across opioids.","31704378"
"The glucose dependence of Akt-transformed cells can be reversed by pharmacologic activation of fatty acid beta-oxidation.","15806154"
