"PMID","Year","Month","Title","DOI","Abstract","Full_Author_Name","Author_Address","Language","Publication_Type","Journal_name_short","Conflict_of_Interest_Statement","Journal_Title"
"37216825",2023,"May","Embodying or resisting social normativity? A carnal inquiry into exercise ","S0277-9536(23)00305-2 [pii]; 10.1016/j.socscimed.2023.115948 [doi]","Exercise addiction has sparked a growing interest in the scientific and clinical ","Moreau, Nicolas; Larocque, Emmanuelle; Jaimes, Annie; Vinit, Florence; Quidu, Matthieu; Favier-Ambrosini, Brice","University of Ottawa, 120 University Private, Office 12035, Ottawa, Ontario, K1N ; University of Ottawa, 120 University Private, Office 12035, Ottawa, Ontario, K1N ; Universite du Quebec a Montreal (UQAM), 100 Sherbrooke Street West, Office ; Universite du Quebec a Montreal (UQAM), 100 Sherbrooke Street West, Office ; Universite Claude Bernard - Lyon 1, 27-29 boulevard du 11 novembre 1918, 69 622, ; Universite du Quebec a Chicoutimi (UQAC), 555 boulevard de l'Universite, Office ","eng","Journal Article","Soc Sci Med",NA,"Social science & medicine (1982)"
"37193971",2023,"May","Investigating anabolic-androgenic steroid dependence and muscle dysmorphia with ","10.1186/s12888-023-04781-1 [doi]; 342","BACKGROUND: Anabolic-androgenic steroid (AAS) dependence has numerous adverse ","Scarth, Morgan; Westlye, Lars T; Havnes, Ingrid A; Bjornebekk, Astrid","Anabolic Androgenic Steroid Research Group, Section for Clinical Addiction ; Department of Psychology, University of Oslo, Oslo, Norway. morsca@ous-hf.no.; Department of Psychology, University of Oslo, Oslo, Norway.; Division of Mental Health and Addiction, Institute of Clinical Medicine, NORMENT, ; KG Jebsen Centre for Neurodevelopmental Disorders, University of Oslo, Oslo, ; Anabolic Androgenic Steroid Research Group, Section for Clinical Addiction ; Institute of Clinical Medicine, University of Oslo, Oslo, Norway.; Anabolic Androgenic Steroid Research Group, Section for Clinical Addiction ","eng","Journal Article","BMC Psychiatry","The authors declare that they have no competing interests.","BMC psychiatry"
"37163462",2023,"Feb","Understanding the influence of irrational beliefs and body image inflexibility on ","10.1080/02640414.2023.2208952 [doi]","Irrational beliefs are a risk factor for mental ill-health and exercise ","Miller, Anthony J; Turner, Martin J; Ollier, Wendy; Hattersley, Alisha A","Department of Psychology, Manchester Metropolitan University, Manchester, United ; Department of Psychology, Manchester Metropolitan University, Manchester, United ; Sport and Exercise, Staffordshire University, Stoke-on-Trent, United Kingdom.; Sport and Exercise, Staffordshire University, Stoke-on-Trent, United Kingdom.","eng","Journal Article","J Sports Sci",NA,"Journal of sports sciences"
"37124264",2023,NA,"Sociocultural predictors of obligatory exercise in young men: A Polish-Chinese ","10.3389/fpsyt.2023.1123864 [doi]; 1123864","BACKGROUND: Obligatory exercise has been shown to have negative physical and ","Guo, Shuai; Izydorczyk, Bernadetta; Lipowska, Malgorzata; Lizinczyk, Sebastian; Kamionka, Agata; Sajewicz-Radtke, Urszula; Radtke, Bartosz M; Liu, Taofeng; Lipowski, Mariusz","Faculty of Sport and Leisure, Guangdong Ocean University, Zhanjiang, China.; Gdansk University of Physical Education and Sport, Gdansk, Poland.; Institute of Psychology, Jagiellonian University, Krakow, Poland.; Institute of Psychology, University of Gdansk, Gdansk, Poland.; Central Board of Prison Service, Ministry of Justice, Warsaw, Poland.; Gdansk University of Physical Education and Sport, Gdansk, Poland.; Laboratory of Psychological and Educational Tests, Gdansk, Poland.; Laboratory of Psychological and Educational Tests, Gdansk, Poland.; School of Physical Education, Zhengzhou University, Zhengzhou, China.; WSB University in Gdansk, Gdansk, Poland.","eng","Journal Article","Front Psychiatry","The authors declare that the research was conducted without any commercial or ","Frontiers in psychiatry"
"37081413",2023,"Apr","The mediating effect of body appreciation between muscle dysmorphia and bulimia ","10.1186/s12888-023-04772-2 [doi]; 275","BACKGROUND: Muscle dysmorphia (MD) is a common psychological disorder present in ","Rahme, Deema; Dabbous, Mariam; Malaeb, Diana; Hallit, Souheil; Obeid, Sahar","Pharmacy Practice Department, Faculty of Pharmacy, Beirut Arab University, ; School of Pharmacy, Lebanese International University, Beirut, Lebanon.; School of Pharmacy, Lebanese International University, Beirut, Lebanon.; College of Pharmacy, Gulf Medical University, Ajman, United Arab Emirates.; School of Medicine and Medical Sciences, Holy Spirit University of Kaslik, P.O. ; Research Department, Psychiatric Hospital of the Cross, Jal Eddib, Lebanon. ; Applied Science Research Center, Applied Science Private University, Amman, ; Social and Education Sciences Department, School of Arts and Sciences, Lebanese ","eng","Journal Article","BMC Psychiatry","The authors have nothing to disclose.","BMC psychiatry"
"37063691",2023,"Feb","Exercise Behaviour and Body Esteem of Gym-Goers in India.","10.5964/ejop.3687 [doi]","Exercise dependence is described as exercise which is harmful if engaged ","Contractor, Ruhee; Rasquinha, Deepa","Department of Clinical Psychology, Manipal College of Health Professions, ; Department of Clinical Psychology, Manipal College of Health Professions, ","eng","Journal Article","Eur J Psychol","The authors have declared that no competing interests exist.","Europe's journal of psychology"
"36941849",2023,"Jun","Severity of behavioral addiction symptoms among young adults using non-prescribed ","10.1016/j.abrep.2023.100485 [doi]; 100485","INTRODUCTION: Young adulthood is considered a critical period in terms of ","Peter, Lea; Paksi, Borbala; Magi, Anna; Eisinger, Andrea; Kotyuk, Eszter; Czako, Andrea; Griffiths, Mark D; Demetrovics, Zsolt; Ando, Balint","Department of Psychiatry, University of Szeged, 8-10 Koranyi fasor, Szeged ; Institute of Education, ELTE Eotvos Lorand University, 23-27 Kazinczy Street, ; Doctoral School of Psychology, ELTE Eotvos Lorand University, 46 Izabella Street, ; Institute of Psychology, ELTE Eotvos Lorand University, 46 Izabella Street, ; Doctoral School of Psychology, ELTE Eotvos Lorand University, 46 Izabella Street, ; Institute of Psychology, ELTE Eotvos Lorand University, 46 Izabella Street, ; Institute of Psychology, ELTE Eotvos Lorand University, 46 Izabella Street, ; Institute of Psychology, ELTE Eotvos Lorand University, 46 Izabella Street, ; Centre of Excellence in Responsible Gaming, University of Gibraltar, Europa Point ; International Gaming Research Unit, Psychology Department, Nottingham Trent ; Institute of Psychology, ELTE Eotvos Lorand University, 46 Izabella Street, ; Centre of Excellence in Responsible Gaming, University of Gibraltar, Europa Point ; Department of Psychiatry, University of Szeged, 8-10 Koranyi fasor, Szeged ","eng","Journal Article","Addict Behav Rep","The authors declare that they have no known competing financial interests or ","Addictive behaviors reports"
"36881490",2022,"Oct","Exercise addiction symptoms and mental health during the forced exercises ","147190 [pii]; 10.12740/PP/OnlineFirst/147190 [doi]","OBJECTIVES: The paper describes the relationship between the symptoms of exercise ","Wyszomirska, Julia; Martyniak, Ewa; Bak-Sosnowska, Monika; Piekarska-Bugiel, Katarzyna; Chwalba, Artur; Krzystanek, Marek","Slaski Uniwersytet Medyczny w Katowicach, Wydzial Nauk o Zdrowiu w Katowicach, ; Slaski Uniwersytet Medyczny w Katowicach, Wydzial Lekarski w Katowicach, Katedra ; Slaski Uniwersytet Medyczny w Katowicach, Wydzial Nauk o Zdrowiu w Katowicach, ; Oddzial Dzienny Rehabilitacji Psychiatrycznej, Gornoslaskie Centrum Medyczne im. ; Slaski Uniwersytet Medyczny w Katowicach, Wydzial Lekarski w Zabrzu, Katedra i ; Slaski Uniwersytet Medyczny w Katowicach, Wydzial Lekarski w Katowicach, Katedra ","eng; pol","Journal Article","Psychiatr Pol",NA,"Psychiatria polska"
"36839311",2023,"Feb","The Mediating Role of Eating Attitudes in Sociocultural Attitudes toward the Body ","10.3390/nu15040952 [doi]; 952","The main aims of this study were to determine which sociocultural predictors of ","Guo, Shuai; Kamionka, Agata; Izydorczyk, Bernadetta; Lipowska, Malgorzata; Lizinczyk, Sebastian; Radtke, Bartosz M; Sajewicz-Radtke, Urszula; Lipowski, Mariusz","Faculty of Sport and Leisure, Guangdong Ocean University, Zhanjiang 524000, ; Faculty of Physical Culture, Gdansk University of Physical Education and Sport, ; Faculty of Physical Culture, Gdansk University of Physical Education and Sport, ; Institute of Psychology, Jagiellonian University, 30-374 Krakow, Poland.; Institute of Psychology, University of Gdansk, 80-309 Gdansk, Poland.; Central Board of Prison Service, Ministry of Justice, 00-950 Warsaw, Poland.; Laboratory of Psychological and Educational Tests, 80-239 Gdansk, Poland.; Laboratory of Psychological and Educational Tests, 80-239 Gdansk, Poland.; Faculty of Social and Humanities, WSB University in Gdansk, 80-266 Gdansk, ","eng","Journal Article","Nutrients","The authors declare no conflict of interest. The funders had no role in the ","Nutrients"
"36834178",2023,"Feb","Is (Disordered) Social Networking Sites Usage a Risk Factor for Dysfunctional ","10.3390/ijerph20043484 [doi]; 3484","BACKGROUND: Research over the past years has shown that exposure to thin and ","Mader, Lisa; Muller, Kai W; Wolfling, Klaus; Beutel, Manfred E; Scherer, Lara","Outpatient Clinic for Behavioural Addictions, Department of Psychosomatic ; Outpatient Clinic for Behavioural Addictions, Department of Psychosomatic ; Outpatient Clinic for Behavioural Addictions, Department of Psychosomatic ; Outpatient Clinic for Behavioural Addictions, Department of Psychosomatic ; Outpatient Clinic for Behavioural Addictions, Department of Psychosomatic ","eng","Journal Article","Int J Environ Res Public Health","The authors declare no conflict of interest.","International journal of environmental research and public health"
