"Title","PMID"
"Exercise addiction- diagnosis, bio-psychological mechanisms and treatment issues.","24001300"
"Exercise addiction.","23329605"
"The Effects of Physical Exercise on Mental Health: From Cognitive Improvements to Risk of Addiction.","34948993"
"A Scoping Review of the Relationship between Running and Mental Health.","33139666"
"Competitive Bodybuilding: Fitness, Pathology, or Both?","31219882"
"Excessive Exercise-A Meta-Review.","33329076"
"Addiction to exercise.","28446435"
"""I aspire to look and feel healthy like the posts convey"": engagement with fitness inspiration on social media and perceptions of its influence on health and wellbeing.","30097034"
"Exercise addiction and COVID-19-associated restrictions.","32755432"
"[Exercise addiction].","23888586"
"Frequent exercise: A healthy habit or a behavioral addiction?","29063048"
"The expanded interactional model of exercise addiction.","34524973"
"Running addiction.","36449271"
"[Exercise-risks and side effects].","31659423"
"Exercise Addiction - Status, Identification and Treatment.","35473333"
"A Review of the Components of Problematic Exercise in Psychometric Assessment Instruments.","35433585"
"Exercise dependence.","3311101"
"Exercise Addiction in Practitioners of Endurance Sports: A Literature Review.","30174636"
"Impact of exercise addiction on attitude to preparticipation evaluation and adherence to medical prescription.","32520862"
"Identifying the features of an exercise addiction: A Delphi study.","27554504"
"Exploring the contribution of exercise dependence to eating disorder symptoms.","31424602"
"Striving for success or addiction? Exercise dependence among elite Australian athletes.","22420455"
"Exercise Addiction and Muscle Dysmorphia: The Role of Emotional Dependence and Attachment.","34220650"
"Childhood onset exercise addiction or atypical anorexia nervosa during Covid-19: case report.","34372925"
"Body dissatisfaction, addiction to exercise and risk behaviour for eating disorders among exercise practitioners.","32528680"
"Compulsive exercise or exercise dependence? Clarifying conceptualizations of exercise in the context of eating disorder pathology.","34093941"
"Narcissism and Exercise Addiction: The Mediating Roles of Exercise-Related Motives.","33923617"
"The Role of Sports Physiotherapist in Confronting Exercise Addiction.","34549025"
"The exercise paradox: An interactional model for a clearer conceptualization of exercise addiction.","25215201"
"Screening for Low Energy Availability in Male Athletes: Attempted Validation of LEAM-Q.","35565840"
"Exercise addiction in athletes: Comparing two assessment instruments and willingness to stop exercise after medical advice.","33617274"
"Negative addiction to exercise: are there differences between genders?","21484043"
"Passion for Exercise: Passion's Relationship to General Fitness Indicators and Exercise Addiction.","30761207"
"Methodological and Conceptual Limitations in Exercise Addiction Research.","26339214"
"Muscle dysmorphia: could it be classified as an addiction to body image?","25592218"
"[Exercise dependence--symptoms and mechanisms].","23394023"
"Can't get enough. Addiction to physical exercises: phenomenon, diagnostic criteria, etiology, therapy and research challenges.","35472232"
"Psychological Attributes of Ultramarathoners.","29336959"
"Exercise addiction.","23260737"
"Self-determined to exercise? Leisure-time exercise behavior, exercise motivation, and exercise dependence in youth.","23407442"
"Exercise addiction in CrossFit: Prevalence and psychometric properties of the Exercise Addiction Inventory.","29531997"
"Dispositional mindfulness and its relationship to exercise motivation and experience.","36524058"
"Exercise dependence.","3395729"
"Exercise addiction: A narrative overview of research issues.","36698618"
"Embodying or resisting social normativity? A carnal inquiry into exercise addiction experiences.","37216825"
"Exercise dependence and orthorexia nervosa in Crossfit: exploring the role of perfectionism.","35990207"
"Exercise addiction: symptoms, diagnosis, epidemiology, and etiology.","22216780"
"Addiction, Passion, or Confusion? New Theoretical Insights on Exercise Addiction Research From the Case Study of a Female Body Builder.","30008948"
"""It's exercise or nothing"": a qualitative analysis of exercise dependence.","11131229"
"Estimation of Behavioral Addiction Prevalence During COVID-19 Pandemic: A Systematic Review and Meta-analysis.","36118286"
"[Exercise can be an addiction].","25293853"
"Mental disorders in individuals at risk for exercise addiction - A systematic review.","33364322"
"Orthorexic eating behaviors related to exercise addiction and internal motivations in a sample of university students.","29260414"
"Exercise dependence, body dismorphia, and anxiety in crossfit practitioners: A cross-sectional study.","36180163"
"Vulnerability to exercise addiction, socio-demographic, behavioral and psychological characteristics of runners at risk for eating disorders.","29247962"
"Using implicit attitudes of exercise importance to predict explicit exercise dependence symptoms and exercise behaviors.","26195916"
"The development and validation of the secondary exercise addiction scale.","34370271"
"Physical exercise-related endophenotypes in anorexia nervosa.","33710637"
"Compulsive exercise: links, risks and challenges faced.","28435339"
"Sex differences in addictive disorders.","24769267"
"Exercise dependence: Associations with capability for suicide and past suicidal behavior.","30368806"
"Exercise Dependence in Practitioners of Martial Arts and Combat Sports.","36554661"
"Exercise addiction measure through the Exercise Addiction Inventory (EAI) and health in habitual exercisers. A systematic review and meta-analysis.","30059575"
"Exercise dependence as a mediator of the exercise and eating disorders relationship: a pilot study.","25464059"
"No addiction transfer from preoperative food addiction to other addictive behaviors during the first year after bariatric surgery.","34460134"
"[Exercise addiction: an emergent behavioral disorder].","26040342"
"Dimensions of passion and their relationship to the risk of exercise addiction: Cultural and gender differences.","36092546"
"Exercise identity as a risk factor for exercise dependence.","23006037"
"A comparative meta-analysis of the prevalence of exercise addiction in adults with and without indicated eating disorders.","31894540"
"Binge Eating and Addictive-Like Behaviours in Males and Females.","33174818"
"A Systematic Review and Meta-Analysis on the Relationship between Body Dissatisfaction and Morbid Exercise Behaviour.","33445591"
"Exercisers' identities and exercise dependence: the mediating effect of exercise commitment.","23265023"
"Do exercise motives predict obligatory exercise?","22365798"
"Exercise- and cold-induced asthma.","8541793"
"Clarifying exercise addiction: differential diagnosis, co-occurring disorders, and phases of addiction.","22073029"
"Physical Sports Activities and Exercise Addiction during Lockdown in the Spanish Population.","33803533"
"Exercise Addiction Stability and Health Effects. A 6-Month Follow-up Postcompetition Study in Amateur Endurance Cyclists.","34145189"
"Factor structure of ten psychoactive substance addictions and behavioural addictions.","35544983"
"Exercise Excess.","29278165"
"Eating Disorders and Disordered Eating in Competitive Cycling: A Scoping Review.","36546973"
"Aging male symptomatology and eating behavior.","29863438"
"Beta-endorphin response to endurance exercise: relationship to exercise dependence.","8284151"
"The role of exercise dependence for the relationship between exercise behavior and eating pathology: mediator or moderator?","18420757"
"Effects of Physical Exercise on Cognitive Functioning and Wellbeing: Biological and Psychological Benefits.","29755380"
"Symptoms of exercise addiction in aerobic and anaerobic exercises: Beyond the components model of addiction.","34938830"
"Is problematic exercise really problematic? A dimensional approach.","30915933"
"[Exercise addiction: a literature review].","18956613"
"The influence of exercise identity and social physique anxiety on exercise dependence.","26551910"
"[Doping in sports].","11421166"
"Exercise motivational regulations and exercise addiction: The mediating role of passion.","29788750"
"Mental Disorders in Individuals With Exercise Addiction-A Cross-Sectional Study.","34955915"
"Exercise Dependence and Body Image Concerns Amongst Group Fitness Instructors: A Self-Determination Theory Approach.","35126263"
"Apples and oranges in the basket of a clinical model for exercise addiction: Rebuttal to Brevers et al. (2022).","35895607"
"Examining the Relationship between Exercise Dependence, Disordered Eating, and Low Energy Availability.","34444761"
"Running to get ""lost""? Two types of escapism in recreational running and their relations to exercise dependence and subjective well-being.","36760907"
"The Influence of Psychological Needs and Exercise Motivation on Exercise Dependence among Chinese College Students.","30116967"
"Exercise dependence in relation to competitive orientation of runners.","8412056"
"Exercise dependence and its relationship with supplementation at gyms in Brazil.","27238809"
"Moderators of the association between exercise identity and obligatory exercise among participants of an athletic event.","23092850"
"Sociocultural predictors of obligatory exercise in young men: A Polish-Chinese comparison.","37124264"
"Revisiting the Role of Exercise Countermeasure on the Regulation of Energy Balance During Space Flight.","30984019"
"Obligatory exercise and coping in treatment-seeking women with poor body image.","29637520"
"Exercise addiction in adolescents and emerging adults - Validation of a youth version of the Exercise Addiction Inventory.","29409340"
"The Relationship between Betting Propensity as Perceived by Golfers and Exercise Addiction: Verification of Moderating Effects According to Background Variables.","36248285"
"Individuals at Risk of Exercise Addiction Have Higher Scores for Depression, ADHD, and Childhood Trauma.","35156014"
"Exercise Addiction During the COVID-19 Pandemic: an International Study Confirming the Need for Considering Passion and Perfectionism.","33293905"
"Associations between Impulsivity and Exercise Addiction, Disordered Eating, and Alcohol Use Behaviors: A Latent Profile Analysis.","35321617"
"Is exercise addiction in fitness centers a socially accepted behavior?","29450243"
"Examining the reliability of the scores of self-report instruments assessing problematic exercise: A systematic review and meta-analysis.","35482912"
"The Prevalence of Exercise Addiction Symptoms in a Sample of National Level Elite Athletes.","34179773"
"Influence of Goal Contents on Exercise Addiction: Analysing the Mediating Effect of Passion for Exercise.","29134055"
"Social physique anxiety, obligation to exercise, and exercise choices among college students.","18682340"
"A descriptive study of exercise dependence: a short report among Italian and Japanese runners.","33028178"
"Urges to Move and Other Motivation States for Physical Activity in Clinical and Healthy Populations: A Scoping Review Protocol.","35898999"
"Investigation of the Exercise Dependence of Athletes Doing Kickboxing, Taekwondo, and Muay Thai.","30823528"
"Exercise addiction symptoms and mental health during the forced exercises deprivation in greatest COVID-19 pandemic restrictions in Poland.","36881490"
"Delineating adaptive esports involvement from maladaptive gaming: a self-regulation perspective.","32795945"
"Exercise Addiction and Its Relationship with Health Outcomes in Indoor Cycling Practitioners in Fitness Centers.","32545197"
"Drug, nicotine, and alcohol use among exercisers: Does substance addiction co-occur with exercise addiction?","29450253"
"Theoretical conceptualisations of problematic exercise in psychometric assessment instruments: A systematic review.","33822749"
"Protective and Risk Factors in Exercise Addiction: A Series of Moderated Mediation Analyses.","34574631"
"Prediction of obligatory exercise by exercise-related imagery.","11419231"
"Effects of exercise dependence on psychological health of Chinese college students.","26609655"
"Time Devoted to Individual, Collective, and Two-Person Sports: Its Association with Risk of Exercise Addiction and Alcohol Use Disorder.","34510044"
"Exercise addiction and rehabilitation.","27162766"
"Exercise Addiction in Athletes and Leisure Exercisers: The Moderating Role of Passion.","27363466"
"Exercise Dependence and Anxiety in Cross-Trainers, Bodybuilders and Gym Exercisers During COVID19.","35574906"
