"PMID","Year","Month","Title","DOI","Abstract","Full_Author_Name","Author_Address","Language","Publication_Type","Journal_name_short","Conflict_of_Interest_Statement","Journal_Title"
"37444108",2023,"Jun","Long-Term Impacts of the COVID-19 Pandemic on Drug/Alcohol Use Prevalence in a ","10.3390/ijerph20136261 [doi]; 6261","As time passes, the long-term effects of the COVID-19 pandemic are becoming ","Gili, Alessio; Lancia, Massimo; Gambelunghe, Angela; Tomassini, Luca; Nicoletti, Alessia; Aroni, Kyriaki; Gambelunghe, Cristiana","Hygiene and Public Health Section, Department of Medicine and Surgery, University ; Forensic Medicine, Forensic Science and Sports Medicine Section, Department of ; Occupational Medicine, Respiratory Diseases and Toxicology Section, Department of ; Forensic Medicine, Forensic Science and Sports Medicine Section, Department of ; Forensic Medicine, Forensic Science and Sports Medicine Section, Department of ; Forensic Medicine, Forensic Science and Sports Medicine Section, Department of ; Forensic Medicine, Forensic Science and Sports Medicine Section, Department of ","eng","Journal Article","Int J Environ Res Public Health","The authors declare no conflict of interest.","International journal of environmental research and public health"
"36928423",2023,"Mar","[Compulsive exercise in anorexia nervosa].","D6823 [pii]","Anorexia nervosa is the most deadly mental disorder. Early detection is crucial. ","Snijders, Fransje; van Furth, Eric F","GGZ Rivierduinen Eetstoornissen Ursula, Leiden.; Contact: Fransje Snijders (f.snijders@rivierduinen.nl).; GGZ Rivierduinen Eetstoornissen Ursula, Leiden.","dut","English Abstract; Journal Article","Ned Tijdschr Geneeskd",NA,"Nederlands tijdschrift voor geneeskunde"
"36424551",2022,"Nov","A novel nomogram to stratify quality of life among advanced cancer patients with ","10.1186/s12885-022-10294-z [doi]; 1205","BACKGROUND: It would be very helpful to stratify patients and direct patient ","Li, Yue; Long, Ze; Wang, Xiuju; Lei, Mingxing; Liu, Chunzi; Shi, Xiaolin; Liu, Yaosheng","Department of Oncology, The Fifth Medical Center of Chinese PLA General Hospital, ; Department of Orthopedics, The Second Xiangya Hospital of Central South ; Department of Oncology, The Fifth Medical Center of Chinese PLA General Hospital, ; Department of Orthopedic Surgery, Hainan Hospital of Chinese PLA General ; Chinese PLA Medical School, Beijing, China.; Department of Orthopedic Surgery, the Fourth Medical Center of Chinese PLA ; Department of Oncology, The Fifth Medical Center of Chinese PLA General Hospital, ; Department of Orthopedic Surgery, The Second Affiliated Hospital of Zhejiang ; Department of Orthopedic Surgery, the Fourth Medical Center of Chinese PLA ; National Clinical Research Center for Orthopedics, Sports Medicine & ","eng","Journal Article","BMC Cancer","The authors declare that they have no competing interests.","BMC cancer"
"36293907",2022,"Oct","""No Risk No Fun?"": Determinants of Satisfaction with Life in People Who Engage in ","10.3390/ijerph192013328 [doi]; 13328","(1) Background: In this paper, we attempt to identify which personality and ","Krokosz, Daniel; Lipowski, Mariusz","Departament of Psychology, Faculty of Physical Culture, Gdansk University of ; Departament of Psychology, Faculty of Physical Culture, Gdansk University of ","eng","Journal Article","Int J Environ Res Public Health","The authors declare no conflict of interest.","International journal of environmental research and public health"
"36125924",2022,"Sep","Development and validation of a prediction model for online gambling problems ","10.1556/2006.2022.00063 [doi]","BACKGROUND AND AIMS: Gambling disorder is characterized by problematic gambling ","Perrot, Bastien; Hardouin, Jean-Benoit; Thiabaud, Elsa; Saillard, Anais; Grall-Bronnec, Marie; Challet-Bouju, Gaelle","1Nantes Universite, Univ Tours, CHU Nantes, CHU Tours, INSERM, MethodS in ; 2Nantes Universite, CHU Nantes, Biostatistics and Methodology Unit, Department of ; 1Nantes Universite, Univ Tours, CHU Nantes, CHU Tours, INSERM, MethodS in ; 2Nantes Universite, CHU Nantes, Biostatistics and Methodology Unit, Department of ; 3Nantes Universite, CHU Nantes, UIC Psychiatrie et Sante Mentale, F-44000, ; 3Nantes Universite, CHU Nantes, UIC Psychiatrie et Sante Mentale, F-44000, ; 1Nantes Universite, Univ Tours, CHU Nantes, CHU Tours, INSERM, MethodS in ; 3Nantes Universite, CHU Nantes, UIC Psychiatrie et Sante Mentale, F-44000, ; 1Nantes Universite, Univ Tours, CHU Nantes, CHU Tours, INSERM, MethodS in ; 3Nantes Universite, CHU Nantes, UIC Psychiatrie et Sante Mentale, F-44000, ","eng","Journal Article","J Behav Addict",NA,"Journal of behavioral addictions"
"35980451",2023,"Apr","Why do we climb mountains? An exploration of features of behavioural addiction in ","10.1007/s00406-022-01476-8 [doi]","Common knowledge implies that individuals engaging in outdoor sports and ","Habelt, Leonie; Kemmler, Georg; Defrancesco, Michaela; Spanier, Bianca; Henningsen, Peter; Halle, Martin; Sperner-Unterweger, Barbara; Hufner, Katharina","Department of Psychiatry, Psychotherapy, Psychosomatics, and Medical Psychology, ; Department of Prevention, Rehabilitation and Sports Medicine, Klinikum Rechts der ; Department of Psychiatry, Psychotherapy, Psychosomatics, and Medical Psychology, ; Department of Psychiatry, Psychotherapy, Psychosomatics, and Medical Psychology, ; Department of Prevention, Rehabilitation and Sports Medicine, Klinikum Rechts der ; Department of Psychosomatics, Klinikum Rechts der Isar, School of Medicine, ; Department of Prevention, Rehabilitation and Sports Medicine, Klinikum Rechts der ; DZHK (German Centre for Cardiovascular Research), Partner Site Munich Heart ; Department of Psychiatry, Psychotherapy, Psychosomatics, and Medical Psychology, ; Department of Psychiatry, Psychotherapy, Psychosomatics, and Medical Psychology, ","eng","Journal Article","Eur Arch Psychiatry Clin Neurosci","On behalf of all authors, the corresponding author states that there is no ","European archives of psychiatry and clinical neuroscience"
"35874537",2022,NA,"New Insights on Bone Tissue and Structural Muscle-Bone Unit in Constitutional ","10.3389/fphys.2022.921351 [doi]; 921351","While few studies pointed out low bone mineral densities in constitutionally thin ","Bailly, Melina; Boscaro, Audrey; Thomas, Thierry; Feasson, Leonard; Costes, Frederic; Pereira, Bruno; Hager, Jorg; Estour, Bruno; Galusca, Bogdan; Metz, Lore; Courteix, Daniel; Thivel, David; Verney, Julien; Germain, Natacha","Universite Clermont Auvergne, CRNH, AME2P, Clermont-Ferrand, France.; Universite Clermont Auvergne, CRNH, AME2P, Clermont-Ferrand, France.; Department of Rheumatology, Hopital Nord, CHU, Saint-Etienne, France.; INSERM U1059, University of Lyon-Jean Monnet University, Saint-Etienne, France.; Inter-University Laboratory of Human Movement Biology (LIBM) EA 7424, Jean Monnet ; Department of Sport Medicine and Functional Explorations, CHU, Clermont-Ferrand, ; Biostatistics Unit, Delegation a la Recherche Clinique et a l'Innovation (DRCI), ; Metabolic Health Nestle Research, Lausanne, Switzerland.; Eating Disorders Addictions and Extreme Bodyweight Research Group (TAPE) EA 7423, ; Division of Endocrinology, Diabetes Metabolism and Eating Disorders, CHU, ; Eating Disorders Addictions and Extreme Bodyweight Research Group (TAPE) EA 7423, ; Division of Endocrinology, Diabetes Metabolism and Eating Disorders, CHU, ; Universite Clermont Auvergne, CRNH, AME2P, Clermont-Ferrand, France.; Universite Clermont Auvergne, CRNH, AME2P, Clermont-Ferrand, France.; Universite Clermont Auvergne, CRNH, AME2P, Clermont-Ferrand, France.; Universite Clermont Auvergne, CRNH, AME2P, Clermont-Ferrand, France.; Eating Disorders Addictions and Extreme Bodyweight Research Group (TAPE) EA 7423, ; Division of Endocrinology, Diabetes Metabolism and Eating Disorders, CHU, ","eng","Journal Article","Front Physiol","The authors declare that the research was conducted in the absence of any ","Frontiers in physiology"
"35731533",2022,"Aug","Assessment of Noninvasive Brain Stimulation Interventions for Negative Symptoms ","10.1001/jamapsychiatry.2022.1513 [doi]","IMPORTANCE: Negative symptoms have a detrimental impact on functional outcomes ","Tseng, Ping-Tao; Zeng, Bing-Syuan; Hung, Chao-Ming; Liang, Chih-Sung; Stubbs, Brendon; Carvalho, Andre F; Brunoni, Andre R; Su, Kuan-Pin; Tu, Yu-Kang; Wu, Yi-Cheng; Chen, Tien-Yu; Li, Dian-Jeng; Lin, Pao-Yen; Hsu, Chih-Wei; Chen, Yen-Wen; Suen, Mein-Woei; Satogami, Kazumi; Takahashi, Shun; Wu, Ching-Kuan; Yang, Wei-Cheng; Shiue, Yow-Ling; Huang, Tiao-Lai; Li, Cheng-Ta","Department of Psychology, College of Medical and Health Science, Asia University, ; Prospect Clinic for Otorhinolaryngology & Neurology, Kaohsiung, Taiwan.; Institute of Biomedical Sciences, National Sun Yat-sen University, Kaohsiung, ; Department of Psychiatry, Taipei Veterans General Hospital, Taipei, Taiwan.; Department of Internal Medicine, E-DA Cancer Hospital, Kaohsiung, Taiwan.; Division of General Surgery, Department of Surgery, E-Da Cancer Hospital, ; School of Medicine, College of Medicine, I-Shou University, Kaohsiung, Taiwan.; Department of Psychiatry, Beitou Branch, Tri-Service General Hospital; School of ; Graduate Institute of Medical Sciences, National Defense Medical Center, Taipei, ; Department of Psychological Medicine, Institute of Psychiatry, Psychology and ; Physiotherapy Department, South London and Maudsley NHS Foundation Trust, London, ; Innovation in Mental and Physical Health and Clinical Treatment (IMPACT) ; Service of Interdisciplinary Neuromodulation, National Institute of Biomarkers in ; Departamento de Ciencias Medicas, Faculdade de Medicina da University of Sao ; Department of Psychological Medicine, Institute of Psychiatry, Psychology and ; Department of Psychiatry & Mind-Body Interface Laboratory (MBI-Lab), China ; College of Medicine, China Medical University, Taichung, Taiwan.; An-Nan Hospital, China Medical University, Tainan, Taiwan.; Institute of Epidemiology & Preventive Medicine, College of Public Health, ; Department of Dentistry, National Taiwan University Hospital, Taipei, Taiwan.; Department of Sports Medicine, Landseed International Hospital, Taoyuan, Taiwan.; Department of Psychiatry, Tri-Service General Hospital; School of Medicine, ; Institute of Brain Science, National Yang Ming Chiao Tung University, Taipei, ; Department of Addiction Science, Kaohsiung Municipal Kai-Syuan Psychiatric ; Department of Psychiatry, Kaohsiung Chang Gung Memorial Hospital and Chang Gung ; Institute for Translational Research in Biomedical Sciences, Kaohsiung Chang Gung ; Department of Psychiatry, Kaohsiung Chang Gung Memorial Hospital and Chang Gung ; Prospect Clinic for Otorhinolaryngology & Neurology, Kaohsiung, Taiwan.; Department of Psychology, College of Medical and Health Science, Asia University, ; Gender Equality Education and Research Center, Asia University, Taichung, Taiwan.; Department of Medical Research, Asia University Hospital, Asia University, ; Department of Medical Research, China Medical University Hospital, China Medical ; Department of Neuropsychiatry, Wakayama Medical University, Wakayama, Japan.; Department of Neuropsychiatry, Wakayama Medical University, Wakayama, Japan.; Clinical Research and Education Center, Asakayama General Hospital, Sakai, Japan.; Graduate School of Comprehensive Rehabilitation, Osaka Prefecture University, ; Department of Psychiatry, Osaka University Graduate School of Medicine, Suita, ; Graduate School of Rehabilitation Science, Osaka Metropolitan University, ; Department of Psychiatry, Kaohsiung Kingswood Psychiatric Clinic, Kaohsiung, ; Department of Addiction Science, Kaohsiung Municipal Kai-Syuan Psychiatric ; Department of Adult Psychiatry, Kaohsiung Municipal Kai-Syuan Psychiatric ; Institute of Biomedical Sciences, National Sun Yat-sen University, Kaohsiung, ; Department of Psychiatry, Kaohsiung Chang Gung Memorial Hospital and Chang Gung ; Department of Psychiatry, Chang Gung Memorial Hospital-Kaohsiung Medical Center, ; Genomic and Proteomic Core Laboratory, Department of Medical Research, Kaohsiung ; Department of Psychiatry, Taipei Veterans General Hospital, Taipei, Taiwan.; Division of Psychiatry, School of Medicine, National Yang Ming Chiao Tung ; Institute of Brain Science and Brain Research Center, School of Medicine, ","eng","Journal Article; Meta-Analysis; Systematic Review","JAMA Psychiatry","Conflict of Interest Disclosures: Dr Stubbs is supported by a clinical ","JAMA psychiatry"
"35237728",2022,"Jan-Dec","Emotion-driven problem behaviour: The predictive utility of positive and negative ","10.1177/23982128221079573 [doi]; 23982128221079573","Impulsive urgency describes the tendency to act rashly when experiencing extreme ","Willie, Christopher; Gill, Peter Richard; Teese, Robert; Stavropoulos, Vasileios; Jago, Andrew","Institute for Health and Sport, Victoria University Australia, Melbourne, VIC, ; Institute for Health and Sport, Victoria University Australia, Melbourne, VIC, ; School of Health Sciences, Federation University Australia, Mt Helen, VIC, ; Institute for Health and Sport, Victoria University Australia, Melbourne, VIC, ; Institute for Health and Sport, Victoria University Australia, Melbourne, VIC, ","eng","Journal Article","Brain Neurosci Adv","Declaration of conflicting interests: The author(s) declared no potential ","Brain and neuroscience advances"
"34828706",2021,"Nov","Jealousy, Violence, and Sexual Ambivalence in Adolescent Students According to ","10.3390/children8110993 [doi]; 993","BACKGROUND: Emotional dependency in couples involves excessive and dysfunctional ","Arbinaga, Felix; Mendoza-Sierra, Maria Isabel; Caraballo-Aguilar, Belen Maria; Buiza-Calzadilla, Irene; Torres-Rosado, Lidia; Bernal-Lopez, Miriam; Garcia-Martinez, Julia; Fernandez-Ozcorta, Eduardo Jose","Department of Clinical and Experimental Psychology, University of Huelva, 21071 ; Department of Social, Evolutionary and Educational Psychology, University of ; Department of Clinical and Experimental Psychology, University of Huelva, 21071 ; Department of Clinical and Experimental Psychology, University of Huelva, 21071 ; Department of Clinical and Experimental Psychology, University of Huelva, 21071 ; Department of Clinical and Experimental Psychology, University of Huelva, 21071 ; CEU San Pablo Seville School, 41930 Bormujos, Spain.; Department of Physical Activity and Sports, Center for University Studies ","eng","Journal Article","Children (Basel)","The authors declare no conflict of interest.","Children (Basel, Switzerland)"
