"Title","PMID"
"Theobromine and the pharmacology of cocoa.","20859797"
"Assessment of Noninvasive Brain Stimulation Interventions for Negative Symptoms of Schizophrenia: A Systematic Review and Network Meta-analysis.","35731533"
"Addiction in Extreme Sports: An Exploration of Withdrawal States in Rock Climbers.","27348554"
"Commentary on: Addiction in extreme sports: An exploration of withdrawal states in rock climbers.","27998172"
"[Exercise addiction].","23888586"
"Response to ""Nature fix: Addiction to outdoor activities""R. C. Buckley's commentary on Heirene, R. M., Shearer, D., Roderique-Davies, G., & Mellalieu, S. D. (2016). Addiction in extreme sports: An exploration of withdrawal states in rock climbers. Journal of Behavioral Addictions, 5, 332-341.","27998174"
"The Role of Sports Physiotherapist in Confronting Exercise Addiction.","34549025"
"[Doping in sports].","11421166"
"[Compulsive exercise in anorexia nervosa].","36928423"
"Development and Initial Validation of a Rock Climbing Craving Questionnaire (RCCQ).","29520248"
"Adventure Thrills are Addictive.","26733908"
"Why do we climb mountains? An exploration of features of behavioural addiction in mountaineering and the association with stress-related psychiatric disorders.","35980451"
"Childhood onset exercise addiction or atypical anorexia nervosa during Covid-19: case report.","34372925"
"""No Risk No Fun?"": Determinants of Satisfaction with Life in People Who Engage in Extreme and High-Risk Sports.","36293907"
"[The psychological factors affecting athletic performance].","20442052"
"[Social-psychological characteristics of different types addictive behavior].","30778034"
"On the psychology of extremism: How motivational imbalance breeds intemperance.","32915010"
"Striving for success or addiction? Exercise dependence among elite Australian athletes.","22420455"
"Emotion-driven problem behaviour: The predictive utility of positive and negative urgency.","35237728"
"Implicit motives and basic need satisfaction in extreme endurance sports.","24918312"
"Daily Grind: A Comparison of Causality Orientations, Emotions, and Fantasy Sport Participation.","28293766"
"Antecedents of Exercise Dependence in Ultra-Endurance Sports: Reduced Basic Need Satisfaction and Avoidance-Motivated Self-Control.","30131734"
"Psychological and behavioural effects of endogenous testosterone and anabolic-androgenic steroids. An update.","8969015"
"Extreme binge drinking among adolescent athletes: A cause for concern?","26688434"
"New Insights on Bone Tissue and Structural Muscle-Bone Unit in Constitutional Thinness.","35874537"
"Characteristics of Internet use in relation to game genre in Korean adolescents.","17474846"
"Psychologic aspects of exercise.","2015642"
"Blunted cardiac stress reactors exhibit relatively high levels of behavioural impulsivity.","26988282"
"A taxometric analysis of actual Internet sports gambling behavior.","21381847"
"Proneness to Boredom and Risk Behaviors During Adolescents' Free Time.","28776483"
"Long-Term Impacts of the COVID-19 Pandemic on Drug/Alcohol Use Prevalence in a Population with Substance Use Disorders.","37444108"
"Voluntary Wheel Running Induces Exercise-Seeking Behavior in Male Rats: A Behavioral Study.","29664313"
"Substance use, religiosity, and other protective factors among Hungarian adolescents.","15236810"
"Exploring the uptake and use of electronic cigarettes provided to smokers accessing homeless centres: a four-centre cluster feasibility trial.","34009767"
"[Detection of high-risk personalities in risky sports].","17675908"
"Development and validation of a prediction model for online gambling problems based on players' account data.","36125924"
"Jealousy, Violence, and Sexual Ambivalence in Adolescent Students According to Emotional Dependency in the Couple Relationship.","34828706"
"A Case of Mistaken Identity? A Comparison of Professional and Amateur Problem Gamblers.","25722076"
"A novel nomogram to stratify quality of life among advanced cancer patients with spinal metastatic disease after examining demographics, dietary habits, therapeutic interventions, and mental health status.","36424551"
"Heterogeneity of alcohol, tobacco, and other substance use behaviors in U.S. college students: A latent class analysis.","26476004"
"Are nonpharmacological induced rewards related to anhedonia? A study among skydivers.","16303225"
"Skeletal muscle of females and males with constitutional thinness: a low intramuscular lipid content and oxidative profile.","32479741"
"[Views on health, disease and human life].","12768900"
"Bleeding injuries in professional football: estimating the risk for HIV transmission.","7825762"
"When and for whom are relative age effects important? Evidence from a simple test of cardiorespiratory fitness.","24803161"
"Doping in fitness sports: estimated number of unreported cases and individual probability of doping.","17034444"
"[Sensation seeking and anhedonia in risk taking. Study of a population of bungy jumpers].","9488922"
"Sensation seeking as a common factor in opioid dependent subjects and high risk sport practicing subjects. A cross sectional study.","12609693"
"Exercise dependence: when runners don't know when to quit.","17630515"
"Study finds extremely low risk of HIV infection in football.","11362491"
