"Title","PMID","Year","Month","Title_trunc","DOI","Abstract","Full_Author_Name","Author_Address","Language","Publication_Type","Journal_name_short","Conflict_of_Interest_Statement","Label","...15"
"The Lie/Bet Questionnaire for screening pathological gamblers: a follow-up study.","10079719",1998,"Dec","The Lie/Bet Questionnaire for screening pathological gamblers: a follow-up study.",NA,"This study follows up one in which was derived a two-item screening questionnaire ","Johnson, E E; Hamer, R M; Nora, R M","Psychiatry Department, University of Medicine and Dentistry of New Jersey-Robert ","eng","Journal Article","Psychol Rep",NA,"Psychological reports","gambling"
"Pathological gambling and obsessive-compulsive spectrum disorders.","10203933",1999,"Feb","Pathological gambling and obsessive-compulsive spectrum disorders.",NA,"To test the hypothesis that pathological gambling can be classified as an ","Blaszczynski, A","Psychiatry Research and Teaching Unit, School of Psychiatry, University of New ","eng","Journal Article; Research Support, Non-U.S. Gov't","Psychol Rep",NA,"Psychological reports","gambling"
"Charter/Las Vegas offers program for compulsive gamblers.","10287504",1988,"May-Jun","Charter/Las Vegas offers program for compulsive gamblers.",NA,NA,NA,NA,"eng","Journal Article","Rev Fed Am Health Syst",NA,"Review (Federation of American Health Systems)","gambling"
"Characteristics of problem gambling in a Canadian context: a preliminary study using a DSM-IV-based questionnaire.","10389610",1999,"Jun","Characteristics of problem gambling in a Canadian context: a preliminary study ",NA,"OBJECTIVE: To develop a self-report instrument to assess diagnostic criteria and ","Beaudoin, C M; Cox, B J","Department of Community Health Sciences, University of Manitoba, Winnipeg.","eng","Journal Article","Can J Psychiatry",NA,"Canadian journal of psychiatry. Revue canadienne de psychiatrie","gambling"
"Studies of the 48 bp repeat polymorphism of the DRD4 gene in impulsive, compulsive, addictive behaviors: Tourette syndrome, ADHD, pathological gambling, and substance abuse.","10402503",1999,"Aug","Studies of the 48 bp repeat polymorphism of the DRD4 gene in impulsive, ",NA,"Prior studies have reported an association between the presence of the 7 repeat ","Comings, D E; Gonzalez, N; Wu, S; Gade, R; Muhleman, D; Saucier, G; Johnson, P; Verde, R; Rosenthal, R J; Lesieur, H R; Rugle, L J; Miller, W B; MacMurray, J P","Department of Medical Genetics, City of Hope Medical Center, Duarte, California ","eng","Journal Article; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, P.H.S.","Am J Med Genet",NA,"American journal of medical genetics","gambling"
"Prevalence, assessment, and treatment of pathological gambling: a review.","10445649",1999,"Aug","Prevalence, assessment, and treatment of pathological gambling: a review.",NA,"OBJECTIVE: Although pathological gambling is an increasing problem, many mental ","Petry, N M; Armentano, C","Department of Psychiatry, University of Connecticut School of Medicine, ","eng","Journal Article; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, P.H.S.; Review","Psychiatr Serv",NA,"Psychiatric services (Washington, D.C.)","gambling"
"Estimating the prevalence of disordered gambling behavior in the United States and Canada: a research synthesis.","10474555",1999,"Sep","Estimating the prevalence of disordered gambling behavior in the United States ",NA,"OBJECTIVES: This study developed prevalence estimates of gambling-related ","Shaffer, H J; Hall, M N; Vander Bilt, J","Division on Addictions, Harvard Medical School, Boston, Mass. 02115-5729, USA.","eng","Journal Article; Meta-Analysis; Research Support, Non-U.S. Gov't","Am J Public Health",NA,"American journal of public health","gambling"
"Prevalence of problem gambling: a replication study 7 years later.","10566111",1999,"Oct","Prevalence of problem gambling: a replication study 7 years later.",NA,"OBJECTIVES: To investigate the relationship between availability of gambling ","Ladouceur, R; Jacques, C; Ferland, F; Giroux, I","Ecole de psychologie, Universite Laval, Quebec City. ","eng","Journal Article; Research Support, Non-U.S. Gov't","Can J Psychiatry",NA,"Canadian journal of psychiatry. Revue canadienne de psychiatrie","gambling"
"Prevalence of gambling disorders in a primary care setting.","10575391",1999,"Nov-Dec","Prevalence of gambling disorders in a primary care setting.",NA,"BACKGROUND: Pathologic gambling prevalence seems to be increasing as ","Pasternak, A V 4th; Fleming, M F","Department of Family Medicine, University of Wisconsin, Madison, USA.","eng","Journal Article; Research Support, Non-U.S. Gov't","Arch Fam Med",NA,"Archives of family medicine","gambling"
"Impulsivity predicts problem gambling in low SES adolescent males.","10605852",1999,"Apr","Impulsivity predicts problem gambling in low SES adolescent males.",NA,"AIMS: This study investigated whether impulsivity measured in 12-14-year-olds ","Vitaro, F; Arseneault, L; Tremblay, R E","Research Unit on Children's Psycho-Social Maladjustment, University of Montreal, ","eng","Journal Article; Research Support, Non-U.S. Gov't","Addiction",NA,"Addiction (Abingdon, England)","gambling"
