"Title","PMID","Year","Month","DOI","Abstract","Full_Author_Name","Author_Address","Language","Publication_Type","Journal_name_short","Conflict_of_Interest_Statement","Journal_Title","Label"
"Relationship of Gaming Disorder with parenting based on low affection-communication and personality trait of neuroticism in adolescents.","37179866",2023,NA,"10.3389/fpsyg.2023.1147601 [doi]; 1147601","BACKGROUND: Gaming Disorder is increasingly common in adolescents. We aimed to ","Rodriguez-Ruiz, Francesc; Mari-Sanmillan, Maria Isabel; Benito, Ana; Castellano-Garcia, Francisca; Sanchez-Llorens, Marta; Almodovar-Fernandez, Isabel; Haro, Gonzalo","Department of Mental Health, Consorci Hospitalari Provincial de Castello, ; TXP Research Group, Universidad Cardenal Herrera-CEU, CEU Universities, Castello ; TXP Research Group, Universidad Cardenal Herrera-CEU, CEU Universities, Castello ; Department of Educational Sciences, Universidad Cardenal Herrera-CEU, CEU ; TXP Research Group, Universidad Cardenal Herrera-CEU, CEU Universities, Castello ; Torrente Mental Health Unit, Hospital General de Valencia, Valencia, Spain.; TXP Research Group, Universidad Cardenal Herrera-CEU, CEU Universities, Castello ; Department of Educational Sciences, Universidad Cardenal Herrera-CEU, CEU ; TXP Research Group, Universidad Cardenal Herrera-CEU, CEU Universities, Castello ; Mislata Mental Health Unit, Hospital de Manises, Manises, Spain.; TXP Research Group, Universidad Cardenal Herrera-CEU, CEU Universities, Castello ; Nursing Unit Predepartmental, Universitat Jaume I, Castello de la Plana, Spain.; Department of Mental Health, Consorci Hospitalari Provincial de Castello, ; TXP Research Group, Universidad Cardenal Herrera-CEU, CEU Universities, Castello ","eng","Journal Article","Front Psychol","The authors declare that the research was conducted in the absence of any ","Frontiers in psychology","gaming"
"Treatment Modalities for Internet Addiction in Children and Adolescents: A Systematic Review of Randomized Controlled Trials (RCTs).","37176784",2023,"May","10.3390/jcm12093345 [doi]; 3345","BACKGROUND: In recent years, the use of the internet among children and ","Ayub, Shahana; Jain, Lakshit; Parnia, Shanli; Bachu, Anil; Farhan, Rabeea; Kumar, Harendra; Sullivan, Amanda; Ahmed, Saeed","Cornerstone Family Healthcare, Newburgh, NY 12550, USA.; Department of Psychiatry, University of Connecticut, 263 Farmington Avenue, ; CIMPAR, 101 Madison St. Suite 300, Oak Park, IL 60302, USA.; Psychiatry Residency Program, Baptist Health UAMS Hospital, 3500 Springhill, ; AHN Psychiatry and Behavioral Health Institute, 4 Allegheny Center, 8th Floor, ; Rutgers School of Public Health, 683 Hoes Ln W, Piscataway, NJ 08854, USA.; Dow University of Health Sciences Karachi, Karachi City 74200, Pakistan.; Quinnipiac University, 275 Mount Carmel Avenue, Hamden, CT 06518, USA.; Rutland Regional Medical Center, 160 Allen Street, Rutland, VT 05701, USA.","eng","Journal Article; Review","J Clin Med","The authors declare no conflict of interest.","Journal of clinical medicine","gaming"
"Neurobiological Link between Stress and Gaming: A Scoping Review.","37176554",2023,"Apr","10.3390/jcm12093113 [doi]; 3113","Research on video gaming has been challenged by the way to properly measure ","Wang, Grace Y; Simkute, Dovile; Griskova-Bulanova, Inga","School of Psychology and Wellbeing, University of Southern Queensland, Toowoomba, ; Centre of Health Research, University of Southern Queensland, Toowoomba, QLD ; Institute of Biosciences, Life Sciences Centre, Vilnius University, 10257 ; Institute of Biosciences, Life Sciences Centre, Vilnius University, 10257 ","eng","Journal Article; Review","J Clin Med","The authors declare no conflict of interest.","Journal of clinical medicine","gaming"
"Gaming disorder for general practitioners: A brief overview.","37167504",2023,"Sep-Oct","10.25259/NMJI_760_20 [pii]",NA,"George, Sanju; Sharma, Manoj Kumar; Griffiths, Mark D","Rajagiri School of Behavioural Science and Research, Rajagiri College of Social ; Department of Clinical Psyschology, Service for Healthy Use of Technology (SHUT) ; Department of Psychology International Gaming Research Unit, Nottingham Trent ","eng","Journal Article","Natl Med J India",NA,"The National medical journal of India","gaming"
"Prevalence of Internet Gaming Disorder Among Intermediate and High School Students in Albaha, Saudi Arabia: A Cross-Sectional Study.","37153233",2023,"Apr","10.7759/cureus.37115 [doi]; e37115","Background and Objectives Excessive video game use, particularly among young ","Alghamdi, Majed H; Alghamdi, Majed M","Preventive Medicine, Ministry of Health, Jeddah, SAU.; General Directorate of Health Affairs, Ministry of Health, Albaha, SAU.; Preventive Medicine, Ministry of Health, Jeddah, SAU.","eng","Journal Article","Cureus","The authors have declared that no competing interests exist.","Cureus","gaming"
"What Constitutes 'Gaming' in the Gaming Disorder?: Observations and Recommendations.","37152383",2023,"May","10.1177/02537176221150601 [doi]",NA,"Balhara, Yatan Pal Singh; Singh, Swarndeep; Gupta, Pawan Kumar","National Drug Dependence Treatment Center and Dept. of Psychiatry, All India ; Dept. of Psychiatry, Government Medical College and Hospital, Sector-32, ; Dept. of Psychiatry (PUT clinic), King George's Medical University, Lucknow, ","eng","Journal Article","Indian J Psychol Med","The authors declared no potential conflicts of interest with respect to the ","Indian journal of psychological medicine","gaming"
"Lack of educational impact of video game addiction in children and adolescents diagnosed with ADHD: A cross-sectional study.","37151982",2023,NA,"10.3389/fpsyt.2023.1136671 [doi]; 1136671","INTRODUCTION: The use of video games has become widespread worldwide. Excessive ","Blasco-Fontecilla, Hilario; Menendez-Garcia, Angela; Sanchez-Sanchez, Fernando; Bella-Fernandez, Marcos","Faculty of Medicine, Autonomous University of Madrid, Madrid, Spain.; Department of Psychiatry, IDIPHISA-Puerta de Hierro University Hospital, ; Spain Biomedical Research Networking Center for Mental Health Network (CIBERSAM), ; Korian, ITA Salud Mental, Madrid, Spain.; Department of Psychiatry, IDIPHISA-Puerta de Hierro University Hospital, ; R&D Department, TEA Ediciones, Madrid, Spain.; Department of Psychiatry, IDIPHISA-Puerta de Hierro University Hospital, ; Faculty of Psychology, Autonomous University of Madrid, Madrid, Spain.; Department of Psychology, Pontifical University of Comillas, Madrid, Spain.","eng","Journal Article","Front Psychiatry","In the last 24 months, HB-F has received lecture fees from Takeda and Rubio. He ","Frontiers in psychiatry","gaming"
"Measurement of craving among gamers with internet gaming disorder using repeated presentations of game videos: a resting-state electroencephalography study.","37143023",2023,"May","10.1186/s12889-023-15750-4 [doi]; 816","BACKGROUND: Internet gaming disorder (IGD) is receiving increasing attention ","Park, Sangin; Ha, Jihyeon; Ahn, Wonbin; Kim, Laehyun","Industry-Academy Cooperation Team, Hanyang University, 222, Wangsimni-ro, ; Center for Bionics, Korea Institute of Science and Technology, 5, Hwarang-ro ; Applied AI Research Lab, LG AI Research, 128, Yeoui-daero, Yeongdeungpo-gu, ; Center for Bionics, Korea Institute of Science and Technology, 5, Hwarang-ro ; Department of HY-KIST Bio-convergence, Hanyang University, 222, Wangsimni-ro, ","eng","Journal Article; Research Support, Non-U.S. Gov't","BMC Public Health","The author(s) declare(s) that they have no competing interests.","BMC public health","gaming"
"A cross-sectional study on gaming intensity and social vulnerability in adolescents that have a chronic condition.","37139357",2023,NA,"10.3389/fpubh.2023.1128156 [doi]; 1128156","BACKGROUND: Adolescents growing up with a chronic condition might experience more ","Alexandridis, Dionysis; Nijhof, Sanne L; van der Rijst, Vincent G; van der Neut, Damian Y; Spijkerman, Renske; Stevens, Gonneke W J M; Bakkes, Sander C J; Lesscher, Heidi M B; van den Eijnden, Regina J J M; van der Ent, Cornelis K; van den Berg, Gerrit; Peeters, Margot","Multimedia Group, Interaction Division, Department of Computer Science, Faculty ; Department of Paediatrics, Wilhelmina Children's Hospital, University Medical ; Department of Interdisciplinary Social Science, Faculty of Social and Behavioural ; Department of Interdisciplinary Social Science, Faculty of Social and Behavioural ; Parnassia Addiction Research Centre (PARC, Brijder Addiction Treatment), The ; Department of Interdisciplinary Social Science, Faculty of Social and Behavioural ; Multimedia Group, Interaction Division, Department of Computer Science, Faculty ; Department of Population Health Sciences, Division of Behavioural Neuroscience, ; Department of Interdisciplinary Social Science, Faculty of Social and Behavioural ; Department of Paediatrics, Wilhelmina Children's Hospital, University Medical ; Department of Paediatrics, Wilhelmina Children's Hospital, University Medical ; Department of Interdisciplinary Social Science, Faculty of Social and Behavioural ","eng","Journal Article; Research Support, Non-U.S. Gov't","Front Public Health","The authors declare that the research was conducted in the absence of any ","Frontiers in public health","gaming"
"Examination of game addiction studies conducted in Turkey: A systematic review study.","37124255",2023,NA,"10.3389/fpsyt.2023.1014621 [doi]; 1014621","The aim of this study is to examine the methodological orientations in game ","Boz, Canahmet; Dinc, Mehmet","Department of Psychology, Faculty of Economics, Administrative and Social ; Department of Psychology, Faculty of Economics, Administrative and Social ","eng","Journal Article; Review","Front Psychiatry","The authors declare that the research was conducted in the absence of any ","Frontiers in psychiatry","gaming"
