"Title","PMID"
"Association between Internet Gaming Disorder or Pathological Video-Game Use and Comorbid Psychopathology: A Comprehensive Review.","29614059"
"The cognitive psychology of Internet gaming disorder.","24786896"
"Neurobiological mechanisms underlying internet gaming disorder .","32699511"
"Systematic review and meta-analysis of epidemiology of internet addiction.","32853626"
"Internet and Video Game Addictions: Diagnosis, Epidemiology, and Neurobiology.","29502753"
"Internet Gaming Disorder: An Emergent Health Issue for Men.","29606034"
"Neuroscience of Internet Pornography Addiction: A Review and Update.","26393658"
"Behavioral Addictions as Mental Disorders: To Be or Not To Be?","29734827"
"Global prevalence of gaming disorder: A systematic review and meta-analysis.","33028074"
"Current Research and Viewpoints on Internet Addiction in Adolescents.","33457108"
"Treatments of internet gaming disorder: a systematic review of the evidence.","31544539"
"The Comparative Efficacy of Treatments for Children and Young Adults with Internet Addiction/Internet Gaming Disorder: An Updated Meta-Analysis.","35270305"
"Internet Gaming Disorder (IGD): A Case Report of Social Anxiety.","31777629"
"Electroencephalography-detected neurophysiology of internet addiction disorder and internet gaming disorder in adolescents - A review.","34031341"
"Cognitive-behavioral therapy for Internet gaming disorder: A systematic review and meta-analysis.","30341981"
"Internet Gaming Addiction: Disorder or Moral Panic?","28245695"
"Gaming disorder: Its delineation as an important condition for diagnosis, management, and prevention.","28816494"
"Technological Addictions.","36055740"
"Adolescent Internet gaming addiction and personality characteristics by game genre.","35143558"
"Breaking the habit.","30427215"
"Comparison of the Video Game Functional Assessment-Revised (VGFA-R) and Internet Gaming Disorder Test (IGD-20).","30873069"
"Reconsidering Internet Gaming Disorder During the COVID-19 Pandemic.","33469563"
"Editorial: Neural Mechanisms Underlying Internet Gaming Disorder.","30237770"
"Comparison of frontostriatal circuits in adolescent nicotine addiction and internet gaming disorder.","35049521"
"Conceptual Issues Concerning Internet Addiction and Internet Gaming Disorder: Further Critique on Ryding and Kaye (2017).","29491772"
"Pathologische Mediennutzung bei Kindern und Jugendlichen – eine Perspektive für die Praxis.","28677490"
"Internet gaming disorder does not qualify as a mental disorder.","29119800"
"Internet gaming disorder should qualify as a mental disorder.","29701485"
"Typology of Internet gaming disorder and its clinical implications.","27649380"
"Investigating how internet gaming disorder and bodily dissociation experiences vary by game genres.","35348912"
"Game of thorns: Modern day opium.","31065179"
"Gaming Disorder in Adults with Autism Spectrum Disorder.","34184139"
"Psychometric Properties of the Internet Gaming Disorder Scale-Short-Form (IGDS9-SF): Systematic Review.","34661543"
"Editorial: Internet Gaming Disorder: A Pathway Towards Assessment Consensus.","31447748"
"Prevalence of gaming disorder: A meta-analysis.","34864436"
"Withdrawal symptoms in internet gaming disorder: A systematic review.","26704173"
"Internet gaming disorder and the DSM-5.","23668389"
"Editorial: Problematic Gaming, Personality, and Psychiatric Disorders.","32010002"
"Exploring the prevalence of gaming disorder and Internet gaming disorder: a rapid scoping review.","32241295"
"Internet Gaming Disorder: Evidence for a Risk and Resilience Approach.","35564981"
"Internet Gaming Disorder in the DSM-5.","26216590"
"Reliability Generalization Meta-Analysis of Internet Gaming Disorder Scale.","36292440"
"Under the umbrella.","28301966"
"A Tripartite Neurocognitive Model of Internet Gaming Disorder.","29312016"
"Neurophysiological Markers of Internet Gaming Disorder: A Literature Review of Electroencephalography Studies.","34660067"
"Predatory monetization schemes in video games (e.g. 'loot boxes') and internet gaming disorder.","29952052"
"Treatment of Internet gaming disorder: An international systematic review and CONSORT evaluation.","28458097"
"Correlation Between Attention Deficit Hyperactivity Disorder, Internet Gaming Disorder or Gaming Disorder.","37254501"
"Emerging insights on internet gaming disorder: Conceptual and measurement issues.","32467831"
"The Association Between Internet Gaming Disorder and Sensation Seeking Among Arab Adolescents.","35911214"
"A Scoping Review of Cognitive Bias in Internet Addiction and Internet Gaming Disorders.","31935915"
"Independent component analysis for internet gaming disorder.","36817972"
"Tolerance in Internet gaming disorder: A need for increasing gaming time or something else?","29137493"
"Internet gaming disorder and gaming disorder in the context of seeking and not seeking treatment for video-gaming.","32559506"
"Neurobiological correlates of internet gaming disorder: Similarities to pathological gambling.","26621112"
"Gaming addiction, problematic gaming and engaged gaming - Prevalence and associated characteristics.","33354616"
"Sexual Differences in Internet Gaming Disorder (IGD): From Psychological Features to Neuroanatomical Networks.","35207293"
"Problematic Internet use and Internet gaming disorder: Overlap and relationship with health-related quality of life in adolescents.","36200222"
"Questions, challenges and perspectives relating to Internet gaming disorder.","29171693"
"Internet gaming disorder treatment: a review of definitions of diagnosis and treatment outcome.","24752874"
"Neural Basis of Video Gaming: A Systematic Review.","28588464"
"Video game disorder and mental wellbeing among university students: a cross-sectional study.","35432709"
"Enhanced Pavlovian-to-instrumental transfer in internet gaming disorder.","37267086"
"Social Bullying Among Undergraduates: The Roles of Internet Gaming Disorder, Risk-Taking Behavior, and Internet Addiction.","35911020"
"Subgroups of internet gaming disorder based on addiction-related resting-state functional connectivity.","36089824"
"Internet gaming disorder: Trends in prevalence 1998-2016.","28662436"
"Playerunknown's Battlegrounds: Yet Another Internet Gaming Addiction.","32468776"
"Internet gaming disorder: Feeling the flow of social games.","31193693"
"The Current Status of Psychological Intervention Research for Internet Addiction and Internet Gaming Disorder.","30742546"
"""One level more:"" A narrative review on internet gaming disorder.","28659692"
"A network analysis of internet gaming disorder symptoms.","35349859"
"Exploring Internet gaming disorder: an updated perspective of empirical evidence (from 2016 to 2021).","35526417"
"Internet gaming disorder behaviours: a preliminary exploration of individualism and collectivism profiles.","34016087"
"Smartphone addiction is more harmful to adolescents than Internet gaming disorder: Divergence in the impact of parenting styles.","36591056"
"Internet Gaming Disorder and Aggression among Students on School Closure during COVID-19 Pandemic.","35945851"
"The Effects of Smartphone and Internet Gaming Addiction on Eating Attitudes Among University Students.","34986558"
"Potential Correlates of Internet Gaming Disorder Among Indonesian Medical Students: Cross-sectional Study.","33871379"
"Altered Reward Processing System in Internet Gaming Disorder.","33343426"
"Novel approaches for treating Internet Gaming Disorder: A review of technology-based interventions.","35405548"
"Risk and protective factors of Internet gaming disorder among Chinese people: A meta-analysis.","34250835"
"Internet Gaming Disorder In Students Of Peshawar: A Cross Sectional Survey.","31933309"
"Effectiveness of multimodal psychotherapeutic intervention for internet gaming disorder.","35671563"
"Preventing Harmful Internet Use-Related Addiction Problems in Europe: A Literature Review and Policy Options.","32471093"
"Altered Heart Rate Variability During Gaming in Internet Gaming Disorder.","29624440"
"Internet Gaming Disorder in Children and Adolescents with Attention Deficit Hyperactivity Disorder.","35327800"
"Differential resting-state neurophysiological activity associated with game usage patterns and genres in Internet gaming disorder.","36001438"
"Gaming disorder: what doctors need to know.","32845747"
"Why and how to include parents in the treatment of adolescents presenting Internet gaming disorder?","31146552"
"Do Individuals with Internet Gaming Disorder Share Personality Traits with Substance-Dependent Individuals?","35954898"
"Similarities and differences between internet gaming disorder and tobacco use disorder: A large-scale network study.","34913220"
"Evaluation of Internet Gaming Disorder, Social Media Addiction, and Levels of Loneliness in Adolescents and Youth with Substance Use.","34328053"
"Digital Traces of Behaviour Within Addiction: Response to Griffiths (2017).","29491773"
"Internet Gaming Disorder as a formative construct: Implications for conceptualization and measurement.","27193187"
"A Multi-Analysis of Children and Adolescents' Video Gaming Addiction with the AHP and TOPSIS Methods.","35955031"
"Internet Gaming Disorder: Exploring Its Impact on Satisfaction in Life in PELLEAS Adolescent Sample.","31861283"
"Youth Gaming Addiction: Implications for School Nurses.","31829104"
"The Spanish Version of the Video Game Functional Assessment-Revised.","35594309"
"Internet Gaming Disorder: Investigating the Clinical Relevance of a New Phenomenon.","27809571"
"Reward-related decision-making deficits in internet gaming disorder: a systematic review and meta-analysis.","33861888"
"Brain stimulation to treat Internet addiction: A commentary.","26632195"
"A systematic review of the impact of COVID-19 on the game addiction of children and adolescents.","36061296"
"Internet gaming disorder: Inadequate diagnostic criteria wrapped in a constraining conceptual model.","28301963"
"Relationship of Internet gaming disorder with dissociative experience in Italian university students.","29983724"
"Relation between internet gaming addiction and comorbid psychiatric disorders and emotion avoidance among adolescents: A cross-sectional study.","35523030"
"Internet gaming disorder in adolescence: Psychological characteristics of a clinical sample.","30264606"
"[The Internet Gaming Disorder in the DSM-5].","25225726"
"Mischievous responding in Internet Gaming Disorder research.","27672496"
"Evaluating an Internet Gaming Disorder Scale Using Mokken Scaling Analysis.","31080426"
"Connectome-based prediction of craving for gaming in internet gaming disorder.","34176197"
"The Cognitive Psychopathology of Internet Gaming Disorder in Adolescence.","26875565"
"Addressing internet gaming disorder in children and adolescents.","34807860"
"Brain Activity toward Gaming-Related Cues in Internet Gaming Disorder during an Addiction Stroop Task.","27242623"
"Online gaming addiction in youth: Some comments on Rosendo-Rios et al. (2022).","35339731"
"Gaming Device Usage Patterns Predict Internet Gaming Disorder: Comparison across Different Gaming Device Usage Patterns.","29206183"
"N-acetylcysteine in the Treatment of Internet Gaming Disorder.","36199646"
