"PMID","Year","Month","Title","DOI","Abstract","Full_Author_Name","Author_Address","Language","Publication_Type","Journal_name_short","Conflict_of_Interest_Statement","Journal_Title"
"32965950",2023,"Jan","Impulse Control Disorders.",NA,"Impulsivity is a trait ubiquitous with human nature. What separates humans from ","Fariba, Kamron A; Gokarakonda, Srinivasa B","University Hospital; University of Arkansas For Medical Sciences","eng","Study Guide; Book Chapter",NA,"Disclosure: Kamron Fariba declares no relevant financial relationships with ",NA
"31985955",2023,"Jan","Obsessive-Compulsive Disorder.",NA,"Obsessive-compulsive disorder (OCD) is often a disabling condition consisting of ","Brock, Hannah; Hany, Manassa","University Hospital; Icahn School of Medicine at Mount Sinai","eng","Study Guide; Book Chapter",NA,"Disclosure: Hannah Brock declares no relevant financial relationships with ",NA
"37122274",2023,"May","Treatment Issues Related to the Use of Psychedelics, Trichotillomania, Social ","10.1176/appi.ajp.20230209 [doi]",NA,"Kalin, Ned H","Department of Psychiatry, University of Wisconsin School of Medicine and Public ","eng","Editorial","Am J Psychiatry",NA,"The American journal of psychiatry"
"36970962",2023,"Spring","Body Focused Repetitive Behavior Disorders: Behavioral Models and Neurobiological ","10.5080/u26213 [doi]","OBJECTIVE: Body Focused Repetitive Behaviors (BFRB) is an umbrella term for ","Okumus, Hande Gunal; Akdemir, Devrim",NA,"eng; tur","Journal Article; Review","Turk Psikiyatri Derg",NA,"Turk psikiyatri dergisi = Turkish journal of psychiatry"
"36941849",2023,"Jun","Severity of behavioral addiction symptoms among young adults using non-prescribed ","10.1016/j.abrep.2023.100485 [doi]; 100485","INTRODUCTION: Young adulthood is considered a critical period in terms of ","Peter, Lea; Paksi, Borbala; Magi, Anna; Eisinger, Andrea; Kotyuk, Eszter; Czako, Andrea; Griffiths, Mark D; Demetrovics, Zsolt; Ando, Balint","Department of Psychiatry, University of Szeged, 8-10 Koranyi fasor, Szeged ; Institute of Education, ELTE Eotvos Lorand University, 23-27 Kazinczy Street, ; Doctoral School of Psychology, ELTE Eotvos Lorand University, 46 Izabella Street, ; Institute of Psychology, ELTE Eotvos Lorand University, 46 Izabella Street, ; Doctoral School of Psychology, ELTE Eotvos Lorand University, 46 Izabella Street, ; Institute of Psychology, ELTE Eotvos Lorand University, 46 Izabella Street, ; Institute of Psychology, ELTE Eotvos Lorand University, 46 Izabella Street, ; Institute of Psychology, ELTE Eotvos Lorand University, 46 Izabella Street, ; Centre of Excellence in Responsible Gaming, University of Gibraltar, Europa Point ; International Gaming Research Unit, Psychology Department, Nottingham Trent ; Institute of Psychology, ELTE Eotvos Lorand University, 46 Izabella Street, ; Centre of Excellence in Responsible Gaming, University of Gibraltar, Europa Point ; Department of Psychiatry, University of Szeged, 8-10 Koranyi fasor, Szeged ","eng","Journal Article","Addict Behav Rep","The authors declare that they have no known competing financial interests or ","Addictive behaviors reports"
"36819945",2022,NA,"rTMS investigation of resistant Obsessive-Compulsive Related Disorders: Efficacy ","10.3389/fpsyt.2022.1035469 [doi]; 1035469","INTRODUCTION: Repetitive Transcranial Magnetic Stimulation (rTMS) is not only a ","Di Ponzio, Michele; Makris, Nikos; Tenerini, Carlotta; Grassi, Eleonora; Ragone, Samuele; Pallanti, Stefano","Institute for Neuroscience, Florence, Italy.; Department of Psychiatry, Massachusetts General Hospital, Harvard Medical School, ; Department of Psychiatry, Center for Morphometric Analysis, A. A. Martinos Center ; Department of Neurology, Center for Morphometric Analysis, A. A. Martinos Center ; Department of Anatomy and Neurobiology, Boston University Medical School, Boston, ; Institute for Neuroscience, Florence, Italy.; Institute for Neuroscience, Florence, Italy.; Institute for Neuroscience, Florence, Italy.; Institute for Neuroscience, Florence, Italy.; Department of Psychiatry and Behavioral Science, Albert Einstein College of ","eng","Journal Article","Front Psychiatry","The authors declare that the research was conducted in the absence of any ","Frontiers in psychiatry"
"36738812",2023,"Apr","Autism and gambling: A systematic review, focusing on neurocognition.","S0149-7634(23)00040-4 [pii]; 10.1016/j.neubiorev.2023.105071 [doi]","Autism spectrum disorders (hereafter autism) are prevalent and often associated ","Chamberlain, Samuel R; Aslan, Betul; Quinn, Anthony; Anilkumar, Amith; Robinson, Janine; Grant, Jon E; Sinclair, Julia","Department of Psychiatry, Faculty of Medicine, University of Southampton, UK; ; Department of Psychiatry, Faculty of Medicine, University of Southampton, UK.; Department of Psychiatry, Faculty of Medicine, University of Southampton, UK.; Department of Psychiatry, Faculty of Medicine, University of Southampton, UK.; Chitra Sethia Autism Centre, Cambridgeshire and Peterborough NHS Foundation ; Department of Psychiatry & Behavioral Neuroscience, University of Chicago, ; Department of Psychiatry, Faculty of Medicine, University of Southampton, UK. ","eng","Journal Article; Research Support, Non-U.S. Gov't; Review; Systematic Review","Neurosci Biobehav Rev","Declaration of interest This study was funded by a grant from the Society for the ","Neuroscience and biobehavioral reviews"
"35629112",2022,"Apr","FOXN3 and GDNF Polymorphisms as Common Genetic Factors of Substance Use and ","10.3390/jpm12050690 [doi]; 690","Epidemiological and phenomenological studies suggest shared underpinnings between ","Vereczkei, Andrea; Barta, Csaba; Magi, Anna; Farkas, Judit; Eisinger, Andrea; Kiraly, Orsolya; Belik, Andrea; Griffiths, Mark D; Szekely, Anna; Sasvari-Szekely, Maria; Urban, Robert; Potenza, Marc N; Badgaiyan, Rajendra D; Blum, Kenneth; Demetrovics, Zsolt; Kotyuk, Eszter","Department of Molecular Biology, Institute of Biochemistry and Molecular Biology, ; Department of Molecular Biology, Institute of Biochemistry and Molecular Biology, ; Institute of Psychology, ELTE Eotvos Lorand University, 1075 Budapest, Hungary.; Doctoral School of Psychology, ELTE Eotvos Lorand University, 1075 Budapest, ; Institute of Psychology, ELTE Eotvos Lorand University, 1075 Budapest, Hungary.; Nyiro Gyula National Institute of Psychiatry and Addictions, 1135 Budapest, ; Institute of Psychology, ELTE Eotvos Lorand University, 1075 Budapest, Hungary.; Doctoral School of Psychology, ELTE Eotvos Lorand University, 1075 Budapest, ; Institute of Psychology, ELTE Eotvos Lorand University, 1075 Budapest, Hungary.; Department of Molecular Biology, Institute of Biochemistry and Molecular Biology, ; International Gaming Research Unit, Psychology Department, Nottingham Trent ; Institute of Psychology, ELTE Eotvos Lorand University, 1075 Budapest, Hungary.; Department of Molecular Biology, Institute of Biochemistry and Molecular Biology, ; Institute of Psychology, ELTE Eotvos Lorand University, 1075 Budapest, Hungary.; Departments of Psychiatry, Child Study and Neuroscience, Yale University School ; Connecticut Council on Problem Gambling, Wethersfield, CT 06109, USA.; Connecticut Mental Health Center, New Haven, CT 06519, USA.; Department of Psychiatry, Ichan School of Medicine at Mount Sinai, New York, NY ; Division of Addiction Research & Education, Center for Psychiatry, Medicine, & ; Institute of Psychology, ELTE Eotvos Lorand University, 1075 Budapest, Hungary.; Centre of Excellence in Responsible Gaming, University of Gibraltar, Gibraltar ; Institute of Psychology, ELTE Eotvos Lorand University, 1075 Budapest, Hungary.","eng","Journal Article","J Pers Med","Mark D. Griffiths' university currently receives research funding from Norsk ","Journal of personalized medicine"
"35211069",2022,NA,"Editorial: Obsessive-Compulsive Related Disorders: Towards an Advancement of the ","10.3389/fpsyg.2022.849610 [doi]; 849610",NA,"Loscalzo, Yura; Giannini, Marco; Rice, Kenneth G","Department of Health Sciences, School of Psychology, University of Florence, ; Department of Health Sciences, School of Psychology, University of Florence, ; Center for the Study of Stress, Trauma, and Resilience, Department of Counseling ","eng","Editorial","Front Psychol","The authors declare that the research was conducted in the absence of any ","Frontiers in psychology"
"35069274",2021,NA,"The Prevalence of Impulse Control Disorders and Behavioral Addictions in Eating ","10.3389/fpsyt.2021.724034 [doi]; 724034","Aim: Individuals with eating disorders (EDs) may present with impulse control ","Devoe, Daniel J; Anderson, Alida; Bahji, Anees; Singh, Manya; Patten, Scott B; Soumbasis, Andrea; Ramirez Pineda, Ana; Flanagan, Jordyn; Richardson, Candice; Lange, Tom; Dimitropoulos, Gina; Paslakis, Georgios","Mathison Centre for Mental Health Research and Education, Department of ; Mathison Centre for Mental Health Research and Education, Department of ; Mathison Centre for Mental Health Research and Education, Department of ; Mathison Centre for Mental Health Research and Education, Department of ; Mathison Centre for Mental Health Research and Education, Department of ; Mathison Centre for Mental Health Research and Education, Department of ; Mathison Centre for Mental Health Research and Education, Department of ; Mathison Centre for Mental Health Research and Education, Department of ; Faculty of Social Work, University of Calgary, Calgary, AB, Canada.; Mathison Centre for Mental Health Research and Education, Department of ; Mathison Centre for Mental Health Research and Education, Department of ; Faculty of Social Work, University of Calgary, Calgary, AB, Canada.; Ruhr-University Bochum, University Clinic for Psychosomatic Medicine and ","eng","Systematic Review","Front Psychiatry","The authors declare that the research was conducted in the absence of any ","Frontiers in psychiatry"
