"Title","PMID","Year","Month","DOI","Abstract","Full_Author_Name","Author_Address","Language","Publication_Type","Journal_name_short","Conflict_of_Interest_Statement","Journal_Title","Label"
"Co-occurrences of substance use and other potentially addictive behaviors: Epidemiological results from the Psychological and Genetic Factors of the Addictive Behaviors (PGA) Study.",32609628,2020,"Jun","10.1556/2006.2020.00033 [doi]","BACKGROUND AND AIMS: Changes in the nomenclature of addictions suggest a ","Kotyuk, Eszter; Magi, Anna; Eisinger, Andrea; Kiraly, Orsolya; Vereczkei, Andrea; Barta, Csaba; Griffiths, Mark D; Szekely, Anna; Kokonyei, Gyongyi; Farkas, Judit; Kun, Bernadette; Badgaiyan, Rajendra D; Urban, Robert; Blum, Kenneth; Demetrovics, Zsolt","1Institute of Psychology, ELTE Eotvos Lorand University, Budapest, Hungary.; 1Institute of Psychology, ELTE Eotvos Lorand University, Budapest, Hungary.; 2Doctoral School of Psychology, ELTE Eotvos Lorand University, Budapest, Hungary.; 1Institute of Psychology, ELTE Eotvos Lorand University, Budapest, Hungary.; 2Doctoral School of Psychology, ELTE Eotvos Lorand University, Budapest, Hungary.; 1Institute of Psychology, ELTE Eotvos Lorand University, Budapest, Hungary.; 3Department of Medical Chemistry, Molecular Biology and Pathobiochemistry, ; 3Department of Medical Chemistry, Molecular Biology and Pathobiochemistry, ; 4International Gaming Research Unit, Psychology Department, Nottingham Trent ; 1Institute of Psychology, ELTE Eotvos Lorand University, Budapest, Hungary.; 1Institute of Psychology, ELTE Eotvos Lorand University, Budapest, Hungary.; 5SE-NAP2 Genetic Brain Imaging Migraine Research Group, Hungarian Academy of ; 6Department of Pharmacodynamics, Faculty of Pharmacy, Semmelweis University, ; 1Institute of Psychology, ELTE Eotvos Lorand University, Budapest, Hungary.; 7Nyiro Gyula National Institute of Psychiatry and Addictions, Budapest, Hungary.; 1Institute of Psychology, ELTE Eotvos Lorand University, Budapest, Hungary.; 8Department of Psychiatry, Ichan School of Medicine at Mount Sinai, New York, NY, ; 1Institute of Psychology, ELTE Eotvos Lorand University, Budapest, Hungary.; 9Graduate School of Biomedical Sciences, Western University of Health Sciences, ; 1Institute of Psychology, ELTE Eotvos Lorand University, Budapest, Hungary.","eng","Journal Article","J Behav Addict",NA,"Journal of behavioral addictions","hair_pulling"
"Naltrexone in the Treatment of Broadly Defined Behavioral Addictions: A Review and Meta-Analysis of Randomized Controlled Trials.",28877518,2017,NA,"10.1159/000480539 [doi]","INTRODUCTION: Broadly defined behavioral addiction is a conceptual framework ","Mouaffak, Faycal; Leite, Claudio; Hamzaoui, Sonia; Benyamina, Amine; Laqueille, Xavier; Kebir, Oussama","Unite de Psychiatrie d'Urgence, de Liaison et de Recherche, Pole 93G04, EPS Ville ","eng","Journal Article; Meta-Analysis; Review","Eur Addict Res",NA,"European addiction research","hair_pulling"
"Naltrexone: A Pan-Addiction Treatment?",27401883,2016,"Aug","10.1007/s40263-016-0373-0 [doi]","Addiction is a major public health problem with few efficacious and safe ","Aboujaoude, Elias; Salame, Wael O","Department of Psychiatry and Behavioral Sciences, Stanford University School of ; Gilbert and Rose Marie Chagouri School of Medicine, Byblos, Lebanon.","eng","Journal Article; Review","CNS Drugs",NA,"CNS drugs","hair_pulling"
"Opioid antagonists in broadly defined behavioral addictions: a narrative review.",26798982,2016,NA,"10.1517/14656566.2016.1145660 [doi]","INTRODUCTION: Naltrexone (NTX), a mu-opioid receptor antagonist, has been ","Piquet-Pessoa, Marcelo; Fontenelle, Leonardo F","a Obsessive, Compulsive, and Anxiety Spectrum Disorders Research Program, ; a Obsessive, Compulsive, and Anxiety Spectrum Disorders Research Program, ; b D'Or Institute for Research and Education (IDOR) , Rio de Janeiro , Brasil.; c Monash Institute of Cognitive and Clinical Neurosciences (MICCN), School of ","eng","Journal Article; Research Support, Non-U.S. Gov't; Review","Expert Opin Pharmacother",NA,"Expert opinion on pharmacotherapy","hair_pulling"
"Compulsivity in obsessive-compulsive disorder and addictions.",26774279,2016,"May","S0924-977X(15)00386-7 [pii]; 10.1016/j.euroneuro.2015.12.003 [doi]","Compulsive behaviors are driven by repetitive urges and typically involve the ","Figee, Martijn; Pattij, Tommy; Willuhn, Ingo; Luigjes, Judy; van den Brink, Wim; Goudriaan, Anneke; Potenza, Marc N; Robbins, Trevor W; Denys, Damiaan","Academic Medical Center, Department of Psychiatry, Amsterdam, The Netherlands.; Neuroscience Campus Amsterdam, Department of Anatomy and Neurosciences, VU ; Academic Medical Center, Department of Psychiatry, Amsterdam, The Netherlands; ; Academic Medical Center, Department of Psychiatry, Amsterdam, The Netherlands.; Academic Medical Center, Department of Psychiatry, Amsterdam, The Netherlands; ; Academic Medical Center, Department of Psychiatry, Amsterdam, The Netherlands; ; Department of Psychiatry, Yale University School of Medicine, New Haven, CT, ; Department of Psychology and Behavioural and Clinical Neuroscience Institute, ; Academic Medical Center, Department of Psychiatry, Amsterdam, The Netherlands; ","eng","Comparative Study; Journal Article; Review","Eur Neuropsychopharmacol",NA,"European neuropsychopharmacology : the journal of the European College of ","hair_pulling"
"Behavioural addiction-A rising tide?",26585600,2016,"May","S0924-977X(15)00266-7 [pii]; 10.1016/j.euroneuro.2015.08.013 [doi]","The term 'addiction' was traditionally used in relation to centrally active ","Chamberlain, Samuel R; Lochner, Christine; Stein, Dan J; Goudriaan, Anna E; van Holst, Ruth Janke; Zohar, Joseph; Grant, Jon E","Department of Psychiatry, University of Cambridge, UK; Cambridge and Peterborough ; MRC Unit on Anxiety and Stress Disorders, Department of Psychiatry, Stellenbosch ; MRC Unit on Anxiety and Stress Disorders, Department of Psychiatry and Mental ; Amsterdam Institute for Addiction Research, Academic Medical Center, University ; Amsterdam Institute for Addiction Research, Academic Medical Center, University ; Division of Psychiatry, Chaim Sheba Medical Center, Ramat Gan, Israel.; Department of Psychiatry and Behavioral Neuroscience, University of Chicago, ","eng","Journal Article; Review","Eur Neuropsychopharmacol",NA,"European neuropsychopharmacology : the journal of the European College of ","hair_pulling"
"Tricotillomania: pathopsychology theories and treatment possibilities.",22693797,2012,"Feb",NA,"The phenomenon of hair pulling has been recognized for centuries, yet the true ","Shoenfeld, Netta; Rosenberg, Oded; Kotler, Moshe; Dannon, Pinhas N","Beer Yaakov Mental Health Hospital, Beer Yaakov, Israel.","eng","Journal Article; Review","Isr Med Assoc J",NA,"The Israel Medical Association journal : IMAJ","hair_pulling"
"[Trichotillomania and comorbidity--lamotrigine in a new perspective].",19213199,2008,"Oct",NA,"Trichotillomania an impulse disorder that causes people to pull out the hair) is ","Moretti, Magdolna","Pszichiatriai maganrendeles, Eger. moretti@vipmail.hu","hun","Case Reports; Journal Article; Review","Neuropsychopharmacol Hung",NA,"Neuropsychopharmacologia Hungarica : a Magyar Pszichofarmakologiai Egyesulet ","hair_pulling"
"[Internet addiction].",17803171,2007,"Jul",NA,"The Internet provides inexpensive, interesting and comfortable recreation, but ","Dannon, Pinhas Nadim; Iancu, Iulian","Rehovot Mental Health Center, Psychiatry B. Department, Beer Yaakov Mental Health ","heb","English Abstract; Journal Article; Review","Harefuah",NA,"Harefuah","hair_pulling"
"The neurobiology and genetics of impulse control disorders: relationships to drug addictions.",17719013,2008,"Jan",NA,"Impulse control disorders (ICDs), including pathological gambling, ","Brewer, Judson A; Potenza, Marc N","Department of Psychiatry, Yale University School of Medicine, New Haven, CT, USA.","eng","Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, Non-P.H.S.; Review","Biochem Pharmacol",NA,"Biochemical pharmacology","hair_pulling"
