"Title","PMID"
"Clinical trials of N-acetylcysteine in psychiatry and neurology: A systematic review.","25957927"
"Impulse Control Disorders.","32965950"
"Impulsivity.","10888030"
"Obsessive-Compulsive Disorder.","31985955"
"Trichotillomania: a psychopathological perspective and the psychiatric comorbidity of hair pulling.","30901067"
"Compulsivity in obsessive-compulsive disorder and addictions.","26774279"
"Disentangling Reward Processing in Trichotillomania: 'Wanting' and 'Liking' Hair Pulling Have Distinct Clinical Correlates.","32051656"
"Behavioural addiction-A rising tide?","26585600"
"[Gambling brain].","23300105"
"Addicted to hair pulling? How an alternate model of trichotillomania may improve treatment outcome.","17454177"
"Trivializing dependence.","2285838"
"Naltrexone: A Pan-Addiction Treatment?","27401883"
"Tricotillomania: pathopsychology theories and treatment possibilities.","22693797"
"Cocaine-induced trichotillomania.","15679755"
"Opioid antagonists in broadly defined behavioral addictions: a narrative review.","26798982"
"[Internet addiction].","17803171"
"Volitional disorders: a proposal for DSM-V.","18609413"
"Corticostriatal circuitry in regulating diseases characterized by intrusive thinking.","27069381"
"Editorial: Obsessive-Compulsive Related Disorders: Towards an Advancement of the Knowledge of These Internalizing Disorders.","35211069"
"Affective regulation in trichotillomania before and after self-help interventions.","26783728"
"Body esteem in adolescent hair pullers.","25215223"
"Autism and gambling: A systematic review, focusing on neurocognition.","36738812"
"Impulse control disorders in non-treatment seeking hair pullers.","26165931"
"Comorbidity and quality of life in adults with hair pulling disorder.","27137957"
"Treatment Issues Related to the Use of Psychedelics, Trichotillomania, Social Anxiety Disorder, Schizophrenia, and Opioid Use Disorder.","37122274"
"Severity of behavioral addiction symptoms among young adults using non-prescribed sedatives/hypnotics.","36941849"
"Body Focused Repetitive Behavior Disorders: Behavioral Models and Neurobiological Mechanisms.","36970962"
"Obsessive compulsive spectrum disorder.","7961531"
"Use of N-Acetylcysteine in Psychiatric Conditions among Children and Adolescents: A Scoping Review.","29392100"
"Epidemiology of behavioral dependence: literature review and results of original studies.","10881210"
"[Trichotillomania and comorbidity--lamotrigine in a new perspective].","19213199"
"The opiate antagonist, naltrexone, in the treatment of trichotillomania: results of a double-blind, placebo-controlled study.","24145220"
"Scales to assess impulsive and compulsive behaviors in Parkinson's disease: Critique and recommendations.","31136681"
"N-acetylcysteine reduces addiction-like behaviour towards high-fat high-sugar food in diet-induced obese rats.","34028895"
"The overlap between binge eating disorder and substance use disorders: Diagnosis and neurobiology.","25215200"
"FOXN3 and GDNF Polymorphisms as Common Genetic Factors of Substance Use and Addictive Behaviors.","35629112"
"N-acetylcysteine decreases binge eating in a rodent model.","26975440"
"Probing compulsive and impulsive behaviors, from animal models to endophenotypes: a narrative review.","19940844"
"Facebook Role Play Addiction - A Comorbidity with Multiple Compulsive-Impulsive Spectrum Disorders.","27156380"
"An A-B-C model of habit disorders: hair-pulling, skin-picking, and other stereotypic conditions.","17075554"
"Naltrexone in the Treatment of Broadly Defined Behavioral Addictions: A Review and Meta-Analysis of Randomized Controlled Trials.","28877518"
"Transdiagnostic dimensions in obsessive-compulsive and related disorders: associations with internalizing and externalizing symptoms.","32138800"
"The neurobiology and genetics of impulse control disorders: relationships to drug addictions.","17719013"
"Epidemiologic and clinical updates on impulse control disorders: a critical review.","16960655"
"DBT-enhanced cognitive-behavioral treatment for trichotillomania: A randomized controlled trial.","26165460"
"The Use of Naltrexone in Dermatology. Current Evidence and Future Directions.","30887922"
"Managing a case of trichotillomania with trichobezoar.","24778542"
"Psychosocial issues for women with trichotillomania.","11011830"
"Trichotillomania-psychopathological correlates and associations with health-related quality of life in a large sample.","32264982"
"Treatment of the sensory and motor components of urges to eat (eating addiction?): a mobile-health pilot study for obesity in young people.","31939105"
"Trichotillomania: the impact of treatment history on the outcome of an Internet-based intervention.","28461751"
"Racial-ethnic related clinical and neurocognitive differences in adults with gambling disorder.","27262266"
"The relationship of DSM-IV pathological gambling to compulsive buying and other possible spectrum disorders: results from the Iowa PG family study.","25660732"
"rTMS investigation of resistant Obsessive-Compulsive Related Disorders: Efficacy of targeting the reward system.","36819945"
"Trichotillomania: an important psychocutaneous disorder.","21049760"
"Cross-cutting issues and future directions for the OCD spectrum.","19811839"
"The Prevalence of Impulse Control Disorders and Behavioral Addictions in Eating Disorders: A Systematic Review and Meta-Analysis.","35069274"
"Disordered reward processing and functional connectivity in trichotillomania: a pilot study.","23777938"
"Impulse control disorders : nosology and concept.","21407856"
"Classifying hypersexual disorders: compulsive, impulsive, and addictive models.","18996299"
"[The dialectic of the obsessionality and the dissociativity: toward a psychopathology of binge-eating].","7732148"
"A typology of heroin-dependent patients based on their history of self-injurious behaviours.","19351573"
"Study of impulse control disorders among women presenting nicotine dependence.","24941141"
"Co-occurrences of substance use and other potentially addictive behaviors: Epidemiological results from the Psychological and Genetic Factors of the Addictive Behaviors (PGA) Study.","32609628"
"Association between problematic Internet use and impulse control disorders among Iranian university students.","22489545"
"[ADH/D and impulsiveness: Prevalence of impulse control disorders and other comorbidities, in 81 adults with attention deficit/hyperactivity disorder (ADH/D)].","26928277"
"[Alternating addictions: apropos of 3 cases].","9035985"
"Obsessive-compulsive spectrum conditions in obsessive-compulsive disorder and other anxiety disorders.","14625876"
