"Title","PMID","Year","Month","DOI","Abstract","Full_Author_Name","Author_Address","Language","Publication_Type","Journal_name_short","Conflict_of_Interest_Statement","Journal_Title","Label"
"An intervention based on Well-Being Therapy to prevent alcohol use and other unhealthy lifestyle behaviors among students: a three-arm cluster randomized controlled trial.",37467370,2023,"Jul","10.1080/13548506.2023.2235740 [doi]","Unhealthy lifestyle, such as alcohol use, and negative health outcomes have been ","Fantini, Luana; Gostoli, Sara; Artin, Michael G; Rafanelli, Chiara","Department of Psychology ""Renzo Canestrari"", University of Bologna, Bologna, ; Department of Psychology ""Renzo Canestrari"", University of Bologna, Bologna, ; Vagelos College of Physicians and Surgeons, Columbia University, New York, NY, ; Department of Psychology ""Renzo Canestrari"", University of Bologna, Bologna, ","eng","Journal Article","Psychol Health Med",NA,"Psychology, health & medicine","internet"
"At-risk internet addiction and related factors among senior high school teachers in Japan based on a Nationwide survey.",37465913,2023,"Jul","10.1002/npr2.12350 [doi]","BACKGROUND: Internet addiction (IA) has been drawing attention to mental health. ","Fukuda, Mari; Chowdhury, Mohammad; Chowdhury, Tanvir Turin; Tsumura, Hideki; Tsuchie, Rina; Kinuta, Minako; Hisamatsu, Takashi; Kanda, Hideyuki","Okayama University, Okayama, Japan.; University of Calgary, Calgary, Alberta, Canada.; University of Calgary, Calgary, Alberta, Canada.; Tokushima University, Tokushima, Japan.; Shimane University, Izumo, Japan.; Okayama University, Okayama, Japan.; Okayama University, Okayama, Japan.; Okayama University, Okayama, Japan.","eng","Journal Article","Neuropsychopharmacol Rep",NA,"Neuropsychopharmacology reports","internet"
"Eye movement verification and evaluation of initial sandplay picture system for internet addiction symptoms in Chinese adolescents.",37455314,2023,"Jul","10.1186/s13052-023-01487-8 [doi]; 86","BACKGROUND: Sandplay therapy is a psychotherapeutic technique, based on the ","Ge, Ying; Huo, Jun Yu; Yang, Hai Bo; Wenger, Jay L; Yuan, Jing Yi; Sun, Xiao Jie","Key Laboratory of Emotion and Mental Health in Chongqing, School of Education, ; School of Humanities & Social Sciences, Fuzhou University, Fuzhou, 350116, China.; Key Laboratory of Emotion and Mental Health in Chongqing, School of Education, ; College of transportation engineering, Tongji University, Shanghai, 201804, ; Academy of Psychology and Behavior, Tianjin Normal University, Tianjin, 300387, ; Social Sciences Division, Harrisburg Area Community College, Central ; Key Laboratory of Emotion and Mental Health in Chongqing, School of Education, ; Chongqing Qijiang District Special Education School, Chongqing, 401420, China.","eng","Journal Article","Ital J Pediatr","The authors declare that they have no competing interests.","Italian journal of pediatrics","internet"
"Parental neglect and short-form video application addiction in Chinese adolescents: The mediating role of alexithymia and the moderating role of refusal self-efficacy.",37451180,2023,"Jul","S0145-2134(23)00333-2 [pii]; 10.1016/j.chiabu.2023.106345 [doi]","BACKGROUND: The phenomenon of short-form video application addiction among ","Li, Fang; Wang, Gang; Zhu, Dan; Liu, Saifeng; Liao, Jundong; Zhang, Siyuan; Li, Jie","School of Psychology, Sichuan Normal University, Chengdu, China. Electronic ; School of Psychology, Sichuan Normal University, Chengdu, China.; School of Psychology, Sichuan Normal University, Chengdu, China.; School of Psychology, Sichuan Normal University, Chengdu, China.; School of Psychology, Sichuan Normal University, Chengdu, China.; School of Psychology, Sichuan Normal University, Chengdu, China.; School of Chinese Studies, Dalian University of Foreign Languages, Dalian, China.","eng","Journal Article","Child Abuse Negl","Declaration of competing interest The authors declare that they have no conflicts ","Child abuse & neglect","internet"
"Potential risk and protective factors related to problematic social media use among adolescents in Iran: A latent profile analysis.",37442018,2023,"Jul","S0306-4603(23)00197-1 [pii]; 10.1016/j.addbeh.2023.107802 [doi]","This study aimed to assess Problematic Social Media Use (PSMU) among Iranian ","Akbari, Mehdi; Hossein Bahadori, Mohammad; Khanbabaei, Salar; Boruki Milan, Bahman; Jamshidi, Shiva; Potenza, Marc N","Department of Clinical Psychology, Faculty of Psychology and Education, Kharazmi ; Department of Clinical Psychology, Faculty of Psychology and Education, Kharazmi ; Department of Clinical Psychology, Faculty of Psychology and Education, Kharazmi ; Department of Clinical Psychology, Faculty of Psychology and Education, Kharazmi ; Department of Clinical Psychology, Faculty of Psychology and Education, Kharazmi ; Department of Psychiatry and Child Study Center, Yale School of Medicine, New ","eng","Journal Article","Addict Behav","Declaration of Competing Interest The authors declare that they have no known ","Addictive behaviors","internet"
"Latent profile analysis for health-related quality of life, sleep quality, morning and evening type, and internet addiction among medical students.",37438416,2023,"Jul","10.1038/s41598-023-38302-7 [doi]; 11247","Health-related quality of life, sleep quality, morning and evening types, and ","Yu, Ling; Wu, Yifan; Guo, Chaowei; Qiao, Qiao; Wang, Xue; Zang, Shuang","Phase I Clinical Trails Center, The First Hospital of China Medical University, ; Department of Community Nursing, School of Nursing, China Medical University, ; School of Nursing, Jilin University, 965 Xinjiang Street, Changchun, 130021, ; Department of Community Nursing, School of Nursing, China Medical University, ; Department of Radiation Oncology, The First Hospital of China Medical University, ; Department of Community Nursing, School of Nursing, China Medical University, ; Department of Community Nursing, School of Nursing, China Medical University, ","eng","Journal Article; Observational Study; Research Support, Non-U.S. Gov't","Sci Rep","The authors declare no competing interests.","Scientific reports","internet"
"Network analysis of suicidality and internet addiction symptoms among Chinese primary and secondary school students.",37437741,2023,"Jul","S0165-0327(23)00864-9 [pii]; 10.1016/j.jad.2023.07.030 [doi]","BACKGROUND: The COVID-19 pandemic has increased the risk of both Internet ","Yang, Yuan; Zhang, Er Liang; Liu, Yujie; Ge, Xin; Su, Zhaohui; Cheung, Teris; Ng, Chee H; Xiang, Mi; Xiang, Yu-Tao","Guangdong Mental Health Center, Guangdong Provincial People's Hospital (Guangdong ; School of Public Health, Shanghai Jiao Tong University, Shanghai, China. ; School of Public Health, Shanghai Jiao Tong University, Shanghai, China.; School of Public Health, Shanghai Jiao Tong University, Shanghai, China.; School of Public Health, Southeast University, Nanjing, China. Electronic ; School of Nursing, Hong Kong Polytechnic University, Hong Kong SAR, China. ; Department of Psychiatry, The Melbourne Clinic and St Vincent's Hospital, ; Ministry of Education - Shanghai Key Laboratory of Children's Environmental ; Unit of Psychiatry, Department of Public Health and Medicinal Administration, & ","eng","Journal Article","J Affect Disord","Declaration of competing interest The authors declare that they have no competing ","Journal of affective disorders","internet"
"A systematic review and meta-analysis of factors related to non-suicidal self-injury among Chinese adolescents.",37437488,2023,"Jul","S0165-1781(23)00279-2 [pii]; 10.1016/j.psychres.2023.115329 [doi]","BACKGROUND: Over the past several decades the prevalence of adolescent ","Jin, Meng-Ke; Wang, Xiao-Yan; Wang, Rui-Xin; Cheng, Shu-Ying; Yang, Shi-Ying; Zhang, Shi-Lei; Lv, Shao-Bo","School of Psychology and Mental Health, Tangshan Key Laboratory of Mental Health ; Library, North China University of Science and Technology, Tangshan, PR China.; School of Psychology and Mental Health, Tangshan Key Laboratory of Mental Health ; School of Psychology and Mental Health, Tangshan Key Laboratory of Mental Health ; School of Psychology and Mental Health, Tangshan Key Laboratory of Mental Health ; Hui Hua College of Hebei Normal University, Shijiazhuang, PR China.; School of Psychology and Mental Health, Tangshan Key Laboratory of Mental Health ","eng","Journal Article; Review","Psychiatry Res","Declaration of Competing Interest We declare that we have no financial and ","Psychiatry research","internet"
"Cue-reactivity to distal cues in individuals at risk for gaming disorder.",37437451,2023,"Jul","S0010-440X(23)00036-6 [pii]; 10.1016/j.comppsych.2023.152399 [doi]","BACKGROUND: Gaming disorder (GD) is a disorder due to addictive behaviors ","Diers, Martin; Mueller, Silke M; Mallon, Lukas; Schmid, Anna M; Thomas, Tobias A; Klein, Lena; Krikova, Kseniya; Stark, Rudolf; Wegmann, Elisa; Steins-Loeber, Sabine; Brand, Matthias; Antons, Stephanie","Department of Psychosomatic Medicine and Psychotherapy, LWL University Hospital, ; General Psychology: Cognition and Center for Behavioral Addiction Research ; Department of Psychosomatic Medicine and Psychotherapy, LWL University Hospital, ; Department of Clinical Psychology and Psychotherapy, Otto-Friedrich University of ; Department of Psychosomatic Medicine and Psychotherapy, Hannover Medical School, ; General Psychology: Cognition and Center for Behavioral Addiction Research ; Department of Psychotherapy and Systems Neuroscience, Justus Liebig University, ; Department of Psychotherapy and Systems Neuroscience, Justus Liebig University, ; General Psychology: Cognition and Center for Behavioral Addiction Research ; Department of Clinical Psychology and Psychotherapy, Otto-Friedrich University of ; General Psychology: Cognition and Center for Behavioral Addiction Research ; General Psychology: Cognition and Center for Behavioral Addiction Research ","eng","Journal Article","Compr Psychiatry","Declaration of Competing Interest The authors declare that they have no known ","Comprehensive psychiatry","internet"
"Association Between Family Atmosphere and Internet Addiction Among Adolescents: The Mediating Role of Self-Esteem and Negative Emotions.",37435194,2023,NA,"10.3389/ijph.2023.1605609 [doi]; 1605609","Objectives: Family atmosphere is a significant predictor of internet addiction in ","Shi, Yijian; Tang, Zijun; Gan, Zhilin; Hu, Manji; Liu, Yang","Department of Psychology, Shanghai Normal University, Shanghai, China.; Department of Psychology, Shanghai Normal University, Shanghai, China.; Department of Psychology, Shanghai Normal University, Shanghai, China.; Shanghai Pudong New Area Mental Health Center, School of Medicine, Tongji ; Department of Psychology, Shanghai Normal University, Shanghai, China.","eng","Journal Article","Int J Public Health","The authors declare that they do not have any conflicts of interest.","International journal of public health","internet"
