"Title","PMID"
"The relationship between addictive use of social media and video games and symptoms of psychiatric disorders: A large-scale cross-sectional study.","26999354"
"Internet addiction or excessive internet use.","20545603"
"Behavioral Addictions: Excessive Gambling, Gaming, Internet, and Smartphone Use Among Children and Adolescents.","31679605"
"Internet addiction: a systematic review of epidemiological research for the last decade.","24001297"
"Internet Addiction Increases in the General Population During COVID-19: Evidence From China.","33738888"
"Excessive Smartphone Use Is Associated With Health Problems in Adolescents and Young Adults.","34140904"
"Internet Addiction: The Role of Parental Care and Mental Health in Adolescence.","34948485"
"Internet Addiction In Medical Students.","30838826"
"Internet Addiction.","35743892"
"Neuropsychological Correlates of Internet Addiction.","35032380"
"Effectiveness of Cognitive Behavioral Therapy-Based Intervention in Preventing Gaming Disorder and Unspecified Internet Use Disorder in Adolescents: A Cluster Randomized Clinical Trial.","35179587"
"Internet Addiction and Depression Among Postgraduate Residents: A cross-sectional survey.","34522406"
"Association of Internet Addiction With Nonsuicidal Self-injury Among Adolescents in China.","32496567"
"Sleep quality, internet addiction and depressive symptoms among undergraduate students in Nepal.","28327098"
"Internet addiction: Prevalence and relation with mental states in adolescents.","27178110"
"Internet and smartphone use disorder in Asia.","32220564"
"Conceptualizing Internet use disorders: Addiction or coping process?","27278653"
"The association between Internet addiction and psychiatric disorder: a review of the literature.","22153731"
"Association of Cyberbullying and Internet Use Disorder.","36160297"
"""Internet Addiction"": a Conceptual Minefield.","29491771"
"Association between urbanization and Internet addiction.","35081557"
"How to overcome taxonomical problems in the study of Internet use disorders and what to do with ""smartphone addiction""?","31668089"
"Internet Addiction in the Web of Science Database: A Review of the Literature with Scientific Mapping.","32316177"
"The evolution of Internet addiction.","26059165"
"Addiction to the Internet and mobile phones and its relationship with loneliness in Iranian adolescents.","30507551"
"Neurobiological findings related to Internet use disorders.","27450920"
"The correlation of Internet addiction towards adolescents' social interaction.","32833664"
"The relationship between Internet Use Disorder, depression and burnout among Chinese and German college students.","30321691"
"Neurobiological Risk Factors for the Development of Internet Addiction in Adolescents.","31207886"
"The Relationship Between Affective and Obsessive-Compulsive Symptoms in Internet Use Disorder.","34456816"
"Psychometric evaluation of the internet addiction test in India.","35588630"
"Internet Addiction as a Moderator of the Relationship between Cyberhate Severity and Decisional Forgiveness.","35627383"
"Language processing in Internet use disorder: Task-based fMRI study.","35749379"
"Internet addiction among Czech adolescents.","33934552"
"Developmental and family considerations in internet use disorder taxonomy. Commentary on: How to overcome taxonomical problems in the study of Internet use disorders and what to do with ""smartphone addiction""? (Montag et al., 2020).","33289694"
"Data on the prevalence of addiction to the Internet among individuals with a history of drug abuse.","30456235"
"Investigating the Association Between Adolescent Internet Addiction and Parental Attitudes.","36299409"
"The relationship between real-life social support and Internet addiction among the elderly in China.","36091503"
"A critical review of ""Internet addiction"" criteria with suggestions for the future.","25592305"
"Cultural Correlates of Internet Addiction.","30958038"
"The Relationship Between Self-Control and Internet Addiction Among Students: A Meta-Analysis.","34899477"
"Internet Use and Quality of Life: The Multiple Mediating Effects of Risk Perception and Internet Addiction.","35162817"
"The 2D:4D Marker and Different Forms of Internet Use Disorder.","29249989"
"Collection of smartphone and internet addiction.","37316810"
"The effect of internet addiction and smartphone addiction on sleep quality among Turkish adolescents.","35178305"
"Exercise-Based Interventions for Internet Addiction: Neurobiological and Neuropsychological Evidence.","32670157"
"How has Internet Addiction been Tracked Over the Last Decade? A Literature Review and 3C Paradigm for Future Research.","33456731"
"Addiction to the internet and online gaming.","15938649"
"Telemedicine as bridge to the offline world for person affected with problematic internet use or internet use disorder and concerned significant others.","36636726"
"Feelings of Loneliness: Understanding the Risk of Suicidal Ideation in Adolescents with Internet Addiction. A Theoretical Model to Answer to a Systematic Literature Review, without Results.","35206200"
"The association between premenstrual dysphoric disorder and internet use disorder.","24512539"
"The relationship between internet addiction and aggressive behavior among adolescents during the COVID-19 pandemic: Anxiety as a mediator.","35598380"
"The Relationship Between Being Bullied and Addictive Internet Use Among Chinese Rural Adolescents: The Mediating Effect of Adult Attachment.","33084482"
"Unpacking the mechanisms underlying the relation between ostracism and Internet addiction.","30551316"
"Prevalence and determinants of Internet addiction among the students of professional colleges in the Jammu region.","35309600"
"The Mediating Effect of Social Anxiety on the Relationship Between Internet Addiction and Aggression in Teenagers.","36250853"
"Internet society, internet addiction, and pathological social withdrawal: the chicken and egg dilemma for internet addiction and hikikomori.","32101902"
"Shyness, Loneliness Avoidance, and Internet Addiction: What are the Relationships?","29236584"
"Internet Addiction in Constipated Adolescents.","36919833"
"The associations of cognitive distortions with internet addiction and internet activities in adolescents: A cross-sectional study.","35637598"
"Prevention of Internet addiction: A systematic review.","27998173"
"Internet addiction test: Croatian preliminary study.","31805882"
"Prevalence of Internet Addiction Among Iranian University Students: A Systematic Review and Meta-analysis.","35085012"
"Opposing associations of Internet Use Disorder symptom domains with structural and functional organization of the striatum: A dimensional neuroimaging approach.","36422683"
"The Relationship Between Adolescents' Stress and Internet Addiction: A Mediated-Moderation Model.","31636590"
"Prevalence of Internet Addiction in Iran: A Systematic Review and Meta-analysis.","30574288"
"Analysis of the relationship between personality traits and Internet addiction.","33829445"
"Addressing the question of disorder-specific risk factors of internet addiction: a comparison of personality traits in patients with addictive behaviors and comorbid internet addiction.","23865056"
"Internet Addiction Through the Phase of Adolescence: A Questionnaire Study.","28373154"
"Can pharmacotherapy play a role in treating internet addiction disorder?","31058549"
"Internet addiction and problematic Internet use: A systematic review of clinical research.","27014605"
"Associations between the dark triad of personality and unspecified/specific forms of Internet-use disorder.","30541336"
"The Impact of Mental Health Predictors of Internet Addiction among Pre-Service Teachers in Ghana.","36661592"
"The effect of psychiatric symptoms on the internet addiction disorder in Isfahan's University students.","22091309"
"Precursor or sequela: pathological disorders in people with Internet addiction disorder.","21358822"
"The effect of COVID-19 uncertainty on internet addiction, happiness and life satisfaction in adolescents.","36428049"
"The evolution of Internet addiction: A global perspective.","26562678"
"Examination of the Correlation Between Internet Addiction and Social Phobia in Adolescents.","27561297"
"Internet addiction, substance use and alexithymic dimensions in two different faculties' students.","34623121"
"A contribution to the clinical characterization of Internet addiction in a sample of treatment seekers: validity of assessment, severity of psychopathology and type of co-morbidity.","24602498"
"Quality of Life in Internet Use Disorder Patients With and Without Comorbid Mental Disorders.","35401273"
"Prevalence of Addiction to the Internet, Computer Games, DVD, and Video and Its Relationship to Anxiety and Depression in a Sample of Iranian High School Students.","25053960"
"Internet addiction: a 21st century epidemic?","20955578"
"Internet addiction assessment tools: dimensional structure and methodological status.","23651255"
"[Internet addiction].","26394521"
"Effect of Alexithymia on Internet Addiction Among College Students: The Mediating Role of Metacognition Beliefs.","35082726"
"The influence of environmental pressure on Internet Use Disorder in adolescents: The potential mediating role of cognitive function.","31101387"
"Does cyberchondria predict Internet addiction among students during the COVID-19 pandemic? A web-based survey study.","34978086"
"Personality traits and college students' internet addiction: The mediating roles of general health and self-esteem.","35703171"
"Self-concept clarity and Internet addiction disorder among junior high school students: A moderate mediation model.","36061278"
"A study of Internet addiction through the lens of the interpersonal theory.","18085967"
"Internet addiction: a new disorder enters the medical lexicon.","8653648"
"The association between harmful alcohol use and Internet addiction among college students: comparison of personality.","19335391"
"Effect of Internet addiction on marital life.","34158711"
"Comorbidity of Internet use disorder and attention deficit hyperactivity disorder: Two adult case-control studies.","29280392"
"Internet Addiction: A Review of the First Twenty Years.","28949307"
"The impact of interaction with children on internet addiction in older adults: A moderated mediation model.","36081734"
"Problems with 'Internet addiction' diagnosis and classification.","21685852"
"The effect of Internet addiction on eating attitude and body image in university students.","33949745"
"The Role of Resilience in Internet Addiction among Adolescents between Sexes: A Moderated Mediation Model.","30126239"
"Internet addiction, headache, and insomnia in university students: a cross-sectional study.","34106366"
"Personality Associations With Smartphone and Internet Use Disorder: A Comparison Study Including Links to Impulsivity and Social Anxiety.","31245341"
"A Phenotype Classification of Internet Use Disorder in a Large-Scale High-School Study.","29649137"
"Internet Use Patterns, Internet Addiction, and Psychological Distress Among Engineering University Students: A Study from India.","30275622"
"Electrophysiological studies in Internet addiction: A review within the dual-process framework.","26476664"
"The relationship between internet addiction and risky health behaviors in university students: A cross-sectional study in Turkey.","34056724"
"Individual Differences in Tendencies Toward Internet Use Disorder, Internet Literacy and Their Link to Autistic Traits in Both China and Germany.","34646170"
"Prevalence and determinants of Internet Addiction among medical students and its association with depression.","35817304"
"The association between parental depression and adolescent's Internet addiction in South Korea.","29755577"
"Predictors of the initiation and persistence of internet addiction among adolescents in Taiwan.","24930050"
"Anxiety-Related Coping Styles, Social Support, and Internet Use Disorder.","31632303"
"Editorial: Clinical practices for co-occurring psychiatric and addictive disorders.","36606132"
"Examining the Application of the DC-IA-A Diagnostic Criteria for Internet Addiction Disorder in At-Risk College Students.","26609702"
"Examining the diagnostic criteria for Internet addiction: Expert validation.","24787664"
"Internet use disorders: What's new and what's not?. •","33011713"
"Trends in Scientific Literature on Addiction to the Internet, Video Games, and Cell Phones from 2006 to 2010.","27141282"
"Why Are Turkish University Students Addicted to the Internet? A Moderated Mediation Model.","34442090"
"The Association of Internet Addiction and Perceived Parental Protective Factors Among Malaysian Adolescents.","31523984"
"Relationship between headache and Internet addiction in children.","31648430"
"Internet addiction and self-evaluated attention-deficit hyperactivity disorder traits among Japanese college students.","27573254"
"Internet Addiction Among Male Adolescents in Indonesia: A Qualitative Study.","34189970"
"Addictive internet use among Korean adolescents: a national survey.","24505318"
"The Prevalence of Internet Addiction and Its Relationship with Mental Health Among High School Students in Bushehr, Iran (2018).","36452467"
"The relationships between self-efficacy, internet addiction and shame.","25035557"
"The comorbid psychiatric symptoms of Internet addiction: attention deficit and hyperactivity disorder (ADHD), depression, social phobia, and hostility.","17577539"
"The Mediating Role of Metacognition in the Relationship between Internet Addiction and General Health.","24494136"
"Examining Factors Influencing Internet Addiction and Adolescent Risk Behaviors Among Excessive Internet Users.","28850266"
"The relationship between coping style and Internet addiction among mainland Chinese students: A meta-analysis.","30551332"
"The Relationship Between Internet Usage Style and Internet Addiction and Food Addiction in Obese Children Compared to Healthy Children.","36856359"
"Arabic validation of the Internet addiction test.","23441685"
"The relationship between internet addiction and body mass index in Turkish adolescents.","23952625"
"Mediating Effect of Internet Addiction on the Relationship Between Individualism and Cyberbullying: Cross-Sectional Questionnaire Study.","32463369"
"The Longitudinal Relationship between Internet Addiction and Depressive Symptoms in Adolescents: A Random-Intercept Cross-Lagged Panel Model.","34948478"
"The relationship between internet addiction and psychosomatic disorders in Iranian undergraduate nursing students: a cross-sectional study.","32469289"
"The prevalence of computer and Internet addiction among pupils.","19252459"
"The association between Internet addiction and belief of frustration intolerance: the gender difference.","18537496"
"Investigating the Effect of Personality, Internet Literacy, and Use Expectancies in Internet-Use Disorder: A Comparative Study between China and Germany.","29570663"
"Study of Internet addiction in children with attention-deficit hyperactivity disorder and normal control.","30416301"
"Internet addiction and affected factors in primary school students: School-based study.","33966792"
"Affective symptoms as a predictor of internet addiction among young adults.","36419692"
"Worry and Permissive Parenting in Association with the Development of Internet Addiction in Children.","33105760"
"The association between internet addiction and self-injurious behaviour among adolescents.","19959733"
"The Association of Parent-Child Communication With Internet Addiction in Left-Behind Children in China: A Cross-Sectional Study.","34744584"
"Internet addiction mediates the association between cyber victimization and psychological and physical symptoms:moderation by physical exercise.","32245443"
"The longitudinal association between internet addiction and depressive and anxiety symptoms among Chinese adolescents before and during the COVID-19 pandemic.","36743184"
"Assessing clinical trials of Internet addiction treatment: a systematic review and CONSORT evaluation.","21820990"
"Internet Addiction and Its Relationship to Gender, Depression and Anxiety Among Medical Students in Anbar Governorate-West of Iraq.","33402000"
"Adolescents' Internet addiction: Does it all begin with their environment?","37403108"
"Mobile and non-mobile Internet Use Disorder: Specific risks and possible shared Pavlovian conditioning processes. •","33141113"
"Susceptibility of Shy Students to Internet Addiction: A Multiple Mediation Model Involving Chinese Middle-School Students.","31191423"
"The association between Internet addiction and problematic alcohol use in adolescents: the problem behavior model.","18785835"
"Internet addiction detection rate among college students in the People's Republic of China: a meta-analysis.","29849754"
"INTERNET ADDICTION AMONG ADOLESCENTS IN A WESTERN BRAZILIAN AMAZONIAN CITY.","32638945"
"The association between Internet addiction and dissociation among Turkish college students.","22000475"
"The relationship between Internet addiction and depression among migrant children and left-behind children in China.","23002986"
"Addictive Features of Social Media/Messenger Platforms and Freemium Games against the Background of Psychological and Economic Theories.","31340426"
"Internet addiction disorder: prevalence in an Italian student population.","21859396"
"Associations between parental mediation and adolescents' internet addiction: The role of parent-child relationship and adolescents' grades.","36562069"
"The links between healthy, problematic, and addicted Internet use regarding comorbidities and self-concept-related characteristics.","29444606"
"Alexithymia, narcissism and social anxiety in relation to social media and internet addiction symptoms.","35262189"
"The relationships between Internet addiction, subjective vitality, and subjective happiness.","22823517"
"The utility of combining respiratory sinus arrhythmia indices in association with internet addiction.","32084450"
"From Confucianism to psychology: Rebooting Internet addicts in China.","31355662"
"Internet Addiction among Undergraduate Medical Students of a Medical College: A Descriptive Cross-sectional Study.","35690969"
"Effectiveness of a psychological growth camp without internet in the treatment of adolescents at risk of internet addiction: a pilot study.","35481449"
"The relationship between parental mediation and Internet addiction among adolescents, and the association with cyberbullying and depression.","25487108"
"Internet Addiction in Socio-Demographic, Academic, and Psychological Profile of College Students During the COVID-19 Pandemic in the Czech Republic and Slovakia.","35812472"
"Cyberchondria, Anxiety Sensitivity, Hypochondria, and Internet Addiction: Implications for Mental Health Professionals.","36254213"
"Internet Addiction and Depression in Chinese Adolescents: A Moderated Mediation Model.","31798471"
"Internet use behaviors, internet addiction and psychological distress among medical college students: A multi centre study from South India.","30145540"
"Reliability and validity of the Korean version of the internet addiction test among college students.","23678270"
"The Influence of Childhood Trauma and Family Functioning on Internet Addiction in Adolescents: A Chain-Mediated Model Analysis.","36294219"
"Associations between the Risk of Internet Addiction and Problem Behaviors among Korean Adolescents.","23560210"
"The Mediational Role of Coping Strategies in the Relationship Between Self-Esteem and Risk of Internet Addiction.","29899805"
"The factor structure of the internet addiction tool with university students in Jordan.","26440876"
"The Relationship Between Resilience and Internet Addiction: A Multiple Mediation Model Through Peer Relationship and Depression.","29039703"
"A comparative study of Internet addiction between the United States and China.","18991530"
"Association of Increased Impulsiveness and Internet Use Disorder in Adolescents and Young Adults with Different Main Activities on the Internet.","34269080"
"The effects of cognitive-behavioral group therapy for reducing symptoms of internet addiction disorder and promoting quality of life and mental health.","33681908"
"Future Expectations and Internet Addiction Among Adolescents: The Roles of Intolerance of Uncertainty and Perceived Social Support.","34512423"
"Study of internet addiction and its association with depression and insomnia in university students.","32509675"
"Internet Addiction among Secondary School Adolescents: A Mixed Methods Study.","32329462"
"Addiction to technologies: a social psychological perspective of internet addiction.","19178214"
"Impaired orienting in youth with Internet Addiction: Evidence from the Attention Network Task (ANT).","29626832"
"Is the excessive use of microblogs an Internet addiction? Developing a scale for assessing the excessive use of microblogs in Chinese college students.","25405928"
"Social Anxiety and Internet Addiction among Rural Left-behind Children: The Mediating Effect of Loneliness.","29259941"
"The association between intolerance of uncertainty and Internet addiction during the second wave of the coronavirus disease 2019 pandemic: A multiple mediation model considering depression and risk perception.","35385213"
"Internet-Based Self-Assessment for Symptoms of Internet Use Disorder-Impact of Gender, Social Aspects, and Symptom Severity: German Cross-sectional Study.","36633897"
"Association of Internet Addiction with Emotional and Behavioral Characteristics of Adolescents.","32377215"
"Always Online? Internet Addiction and Social Impairment in Psoriasis across Germany.","32545234"
"Internet addiction in young people.","25142474"
"The Relationship Between Social Support and Internet Addiction Among Chinese Adolescents During the COVID-19 Pandemic: A Multiple Mediation Model of Resilience and Post-Traumatic Stress Disorder Symptoms.","34675706"
"Internet gratifications and internet addiction: on the uses and abuses of new media.","15331025"
"Relationship between Internet Addiction and Poor Mental Health among Japanese Adolescents.","33708727"
"Internet addiction and child physical and mental health: Evidence from panel dataset in China.","35469911"
"Network-Based Analysis Reveals Functional Connectivity Related to Internet Addiction Tendency.","26869896"
"Young adults' internet addiction: Prediction by the interaction of parental marital conflict and respiratory sinus arrhythmia.","28800963"
"Internet gambling is a predictive factor of Internet addictive behavior.","25215204"
"The relationship between impulsivity and Internet addiction in a sample of Chinese adolescents.","17765486"
"Prevalence of internet addiction in healthcare professionals: Systematic review and meta-analysis.","32962501"
"A psychometric comparison of the Internet Addiction Test, the Internet-Related Problem Scale, and self-diagnosis.","21067282"
"Politically Motivated Internet Addiction: Relationships among Online Information Exposure, Internet Addiction, FOMO, Psychological Well-being, and Radicalism in Massive Political Turbulence.","31963755"
"Mapping network connectivity between internet addiction and residual depressive symptoms in patients with depression.","36353572"
"[Biological basis of problematic internet use (PIN) and therapeutic implications].","26577405"
"An Affective Neuroscience Framework for the Molecular Study of Internet Addiction.","28018255"
"Exploring the links between alexithymia and cognitive emotion regulation strategies in internet addiction: A network analysis model.","35978791"
"Multi-dimensional correlates of Internet addiction symptoms in adolescents with attention-deficit/hyperactivity disorder.","25466226"
"[The relationship of internet addiction with anxiety and depressive symptomatology].","30109856"
"Associations between overuse of the internet and mental health in adolescents.","23991723"
"Demographic and Psychosocial Factors associated with Internet Addiction among the Pakistani Population during COVID-19: A Web-Based Survey.","36448649"
"The associations between aggressive behaviors and internet addiction and online activities in adolescents.","19465325"
"Internet addiction, insomnia, and violence tendency in adolescents.","35470724"
"The relationship between social support and Internet addiction among Chinese college freshmen: A mediated moderation model.","36687930"
"Prevalence of internet addiction among medical students: a study from Southwestern Iran.","31951693"
"The association of childhood maltreatment with Internet addiction: the serial mediating effects of cognitive emotion regulation strategies and depression.","36933524"
"The risk factors of Internet addiction--a survey of university freshmen.","19395052"
"Internet Addiction among Adolescents May Predict Self-Harm/Suicidal Behavior: A Prospective Study.","29550226"
"Psychometric properties of Young's Internet Addiction Test (IAT) in Urdu language.","30721847"
"Internet Addiction and Related Psychological Factors Among Children and Adolescents in China During the Coronavirus Disease 2019 (COVID-19) Epidemic.","32982806"
"The relationship between internet addiction and peer bullying level of sixth and seventh grade secondary school students.","37127540"
"Internet addiction: reappraisal of an increasingly inadequate concept.","26831456"
"The predictive role of tendency toward mobile learning and emotional intelligence in Internet addiction in healthcare professional students.","35434145"
"Deviant peer affiliation as a mediating variable in the relationship between family cohesion and adaptability and internet addiction among adolescents.","35693840"
"Comorbid internet addiction in male clients of inpatient addiction rehabilitation centers: psychiatric symptoms and mental comorbidity.","24177479"
