"PMID","Year","Month","Title","DOI","Abstract","Full_Author_Name","Author_Address","Language","Publication_Type","Journal_name_short","Conflict_of_Interest_Statement","Journal_Title"
"37139461",2023,NA,"Love Addiction - Current Diagnostic and Therapeutic Paradigms in Clinical ","10.52965/001c.70218 [doi]; 70218","BACKGROUND: We have investigated and analyzed the latest research on love ","Maglia, Marilena Giovanna; Lanzafame, Ines; Quattropani, Maria C; Caponnetto, Pasquale","DEPARTMENT OF EDUCATIONAL SCIENCES, SECTION OF PSYCHOLOGY, UNIVERSITY OF CATANIA, ; CENTER OF EXCELLENCE FOR THE ACCELERATION OF HARM REDUCTION (COEHAR), UNIVERSITY ; DEPARTMENT OF EDUCATIONAL SCIENCES, SECTION OF PSYCHOLOGY, UNIVERSITY OF CATANIA, ; CENTER OF EXCELLENCE FOR THE ACCELERATION OF HARM REDUCTION (COEHAR), UNIVERSITY ; DEPARTMENT OF EDUCATIONAL SCIENCES, SECTION OF PSYCHOLOGY, UNIVERSITY OF CATANIA, ; CENTER OF EXCELLENCE FOR THE ACCELERATION OF HARM REDUCTION (COEHAR), UNIVERSITY ; DEPARTMENT OF EDUCATIONAL SCIENCES, SECTION OF PSYCHOLOGY, UNIVERSITY OF CATANIA, ; CENTER OF EXCELLENCE FOR THE ACCELERATION OF HARM REDUCTION (COEHAR), UNIVERSITY ","eng","Journal Article","Health Psychol Res",NA,"Health psychology research"
"36836480",2023,"Jan","Love Addiction, Adult Attachment Patterns and Self-Esteem: Testing for Mediation ","10.3390/jpm13020247 [doi]; 247","Love addiction is a dysfunctional relational modality that takes on the addiction ","Gori, Alessio; Russo, Sara; Topino, Eleonora","Department of Health Sciences, University of Florence, Via di San Salvi 12, Pad. ; Integrated Psychodynamic Psychotherapy Institute (IPPI), Via Ricasoli 32, 50122 ; Department of Health Sciences, University of Florence, Via di San Salvi 12, Pad. ; Department of Human Sciences, Libera Universita Maria Santissima Assunta (LUMSA), ","eng","Journal Article","J Pers Med","The authors declare no conflict of interest.","Journal of personalized medicine"
"36605173",2022,NA,"Concept of Affective Dependence and Validation of an Affective Dependence Scale.","10.2147/PRBM.S385807 [doi]","BACKGROUND: There is a degree of affective interdependence that is considered ","Sirvent-Ruiz, Carlos Miguel; Moral-Jimenez, Maria de la Villa; Herrero, Juan; Miranda-Roves, Maria; Rodriguez Diaz, Francisco J","Research and Teaching Department, Fundacion Instituto Spiral, Madrid, Spain.; Department of Psychology, University of Oviedo, Oviedo, Spain.; Department of Psychology, University of Oviedo, Oviedo, Spain.; Research and Teaching Department, Fundacion Instituto Spiral, Madrid, Spain.; Department of Psychology, University of Oviedo, Oviedo, Spain.","eng","Journal Article","Psychol Res Behav Manag","The authors report no conflicts of interest in this work.","Psychology research and behavior management"
"34828706",2021,"Nov","Jealousy, Violence, and Sexual Ambivalence in Adolescent Students According to ","10.3390/children8110993 [doi]; 993","BACKGROUND: Emotional dependency in couples involves excessive and dysfunctional ","Arbinaga, Felix; Mendoza-Sierra, Maria Isabel; Caraballo-Aguilar, Belen Maria; Buiza-Calzadilla, Irene; Torres-Rosado, Lidia; Bernal-Lopez, Miriam; Garcia-Martinez, Julia; Fernandez-Ozcorta, Eduardo Jose","Department of Clinical and Experimental Psychology, University of Huelva, 21071 ; Department of Social, Evolutionary and Educational Psychology, University of ; Department of Clinical and Experimental Psychology, University of Huelva, 21071 ; Department of Clinical and Experimental Psychology, University of Huelva, 21071 ; Department of Clinical and Experimental Psychology, University of Huelva, 21071 ; Department of Clinical and Experimental Psychology, University of Huelva, 21071 ; CEU San Pablo Seville School, 41930 Bormujos, Spain.; Department of Physical Activity and Sports, Center for University Studies ","eng","Journal Article","Children (Basel)","The authors declare no conflict of interest.","Children (Basel, Switzerland)"
"28381923",2017,"Mar","Addicted to love: What is love addiction and when should it be treated?",NA,"Recent research suggests that romantic love can be literally addictive. Although ","Earp, Brian D; Wudarczyk, Olga A; Foddy, Bennett; Savulescu, Julian","Uehiro Centre for Practical Ethics, University of Oxford ; Oxford Centre for ; Oxford Centre for Neuroethics, University of Oxford.; Uehiro Centre for Practical Ethics, University of Oxford ; Oxford Centre for ; Uehiro Centre for Practical Ethics, University of Oxford ; Oxford Centre for ","eng","Journal Article","Philos Psychiatr Psychol",NA,"Philosophy, psychiatry, & psychology : PPP"
"25481690",2015,"Apr","Characteristics of students participating in collegiate recovery programs: a ","S0740-5472(14)00229-3 [pii]; 10.1016/j.jsat.2014.11.004 [doi]","Relapse rates are high among individuals with substance use disorders (SUD), and ","Laudet, Alexandre B; Harris, Kitty; Kimball, Thomas; Winters, Ken C; Moberg, D Paul","Center for the Study of Addictions and Recovery, National Development and ; Center for the Study of Addiction and Recovery, Texas Tech University, Lubbock, ; Center for the Study of Addiction and Recovery, Texas Tech University, Lubbock, ; University of Minnesota, Minneapolis, MN, USA.; University of Wisconsin, Madison, WI, USA.","eng","Journal Article","J Subst Abuse Treat",NA,"Journal of substance abuse treatment"
"20545601",2010,"Sep","Is love passion an addictive disorder?","10.3109/00952990.2010.495183 [doi]","AIMS: Inquiry regarding the relationship between passionate love and addiction ","Reynaud, Michel; Karila, Laurent; Blecha, Lisa; Benyamina, Amine","Inserm, U, Paris, France. michel.reynaud@pbr.aphp.fr","eng","Journal Article; Review","Am J Drug Alcohol Abuse",NA,"The American journal of drug and alcohol abuse"
"2192423",1990,"Jun","The sexual response as exercise. A brief review and theoretical proposal.",NA,"The sexual response is a form of exercise which has strong biological and ","Butt, D S","Department of Psychology, University of British Columbia, Vancouver, Canada.","eng","Journal Article; Review","Sports Med",NA,"Sports medicine (Auckland, N.Z.)"
"2197396",1990,"Apr-Jun","The role of incest issues in relapse.",NA,"Comprehensive studies have established that relapse is the most common outcome of ","Young, E B",NA,"eng","Journal Article; Review","J Psychoactive Drugs",NA,"Journal of psychoactive drugs"
"2190254",1990,"Apr","Overcoming the loss of a love: preventing love addiction and promoting positive ",NA,"Counseling and clinical observations clarify views commonly made about the pain ","Timmreck, T C","Department of Health Science and Human Ecology, California State University-San ","eng","Journal Article; Review","Psychol Rep",NA,"Psychological reports"
"7165048",1982,"Fall","Love: addiction or road to self-realization, a second look.",NA,"One aspect of self-realization is to work on constructive intimate relationships ","Simon, J",NA,"eng","Journal Article","Am J Psychoanal",NA,"American journal of psychoanalysis"
"1202964",1975,"Winter","Love: addiction or road to self-realization?",NA,NA,"Simon, J",NA,"eng","Journal Article","Am J Psychoanal",NA,"American journal of psychoanalysis"
