"Title","PMID","Year","Month","DOI","Abstract","Full_Author_Name","Author_Address","Language","Publication_Type","Journal_name_short","Conflict_of_Interest_Statement","Journal_Title","Label"
"Decision making and executive functions in problematic pornography use.",37564242,2023,NA,"10.3389/fpsyt.2023.1191297 [doi]; 1191297","INTRODUCTION: Previous research on cognitive functions in Compulsive Sexual ","Muller, Silke M; Antons, Stephanie","Department of General Psychology, Cognition and Center for Behavioral Addiction ; Erwin L. Hahn Institute for Magnetic Resonance Imaging, Essen, Germany.; Department of General Psychology, Cognition and Center for Behavioral Addiction ; Erwin L. Hahn Institute for Magnetic Resonance Imaging, Essen, Germany.","eng","Journal Article","Front Psychiatry","The authors declare that the research was conducted in the absence of any ","Frontiers in psychiatry","pornography"
"Pornography Consumption and Cognitive-Affective Distress.",37505898,2023,"Aug","10.1097/NMD.0000000000001669 [doi]","According to recent studies, the growing consumption of Internet pornography ","Privara, Michal; Bob, Petr","Center for Neuropsychiatric Research of Traumatic Stress, Department of ","eng","Journal Article; Research Support, Non-U.S. Gov't","J Nerv Ment Dis",NA,"The Journal of nervous and mental disease","pornography"
"How the Rise of Problematic Pornography Consumption and the COVID-19 Pandemic Has Led to a Decrease in Physical Sexual Interactions and Relationships and an Increase in Addictive Behaviors and Cluster B Personality Traits: A Meta-Analysis.",37342297,2023,"Jun","10.7759/cureus.40539 [doi]; e40539","On January 13, 2018, an alert was sent to Hawaii's people that a missile was ","Irizarry, Ricardo; Gallaher, Haley; Samuel, Steven; Soares, Jason; Villela, Julia","Psychiatry, Tropical Texas Behavioral Health, McAllen, USA.; Medical School, Saint James School of Medicine, The Quarter, AIA.; Medical School, Saint James School of Medicine, The Quarter, AIA.; Medical School, Saint James School of Medicine, The Quarter, AIA.; Medical School, Saint James School of Medicine, The Quarter, AIA.","eng","Journal Article; Review","Cureus","The authors have declared that no competing interests exist.","Cureus","pornography"
"On the current psychotherapeutic situation for persons with pornography use disorder in Germany.",37141047,2023,"Jun","10.1556/2006.2023.00011 [doi]","BACKGROUND AND AIMS: For the first time, the ICD-11 provides the diagnosis ","Markert, Charlotte; Storz, Florian; Golder, Sarah; Rechmann, Johanna; Rubel, Julian A; Lalk, Christopher; Vogt, Rabea; Glombiewski, Julia A; Braun, David; Pane-Farre, Christiane A; Michael, Tanja; Mattheus, Hannah K; Dominick, Nanne; Wolfling, Klaus; Lutz, Wolfgang; Schaffrath, Jana; Stangier, Ulrich; Kananian, Schahryar; Struwing, Dirk; Klingelhofer, Doerthe; Valbert, Frederik; Neumann, Anja; Walter, Bertram; Stark, Rudolf","1Department of Psychotherapy and Systems Neuroscience, Justus Liebig University ; 2Bender Institute of Neuroimaging, Justus Liebig University of Giessen, Germany.; 3Center of Mind, Brain and Behavior, Universities of Marburg and Giessen, ; 1Department of Psychotherapy and Systems Neuroscience, Justus Liebig University ; 1Department of Psychotherapy and Systems Neuroscience, Justus Liebig University ; 1Department of Psychotherapy and Systems Neuroscience, Justus Liebig University ; 4Clinical Psychology and Psychotherapy, University of Osnabruck, Germany.; 4Clinical Psychology and Psychotherapy, University of Osnabruck, Germany.; 5Department of Clinical Psychology and Psychotherapy, University Koblenz-Landau, ; 5Department of Clinical Psychology and Psychotherapy, University Koblenz-Landau, ; 6Department of Clinical Psychology, Experimental Psychopathology and ; 6Department of Clinical Psychology, Experimental Psychopathology and ; 7Division of Clinical Psychology and Psychotherapy, Department of Psychology, ; 7Division of Clinical Psychology and Psychotherapy, Department of Psychology, ; 8Outpatient Clinic for Behavioral Addictions, Department of Psychosomatic ; 8Outpatient Clinic for Behavioral Addictions, Department of Psychosomatic ; 9Clinical Psychology and Psychotherapy, University of Trier, Germany.; 9Clinical Psychology and Psychotherapy, University of Trier, Germany.; 10Clinical Psychology and Psychotherapy, Goethe University, Frankfurt, Germany.; 10Clinical Psychology and Psychotherapy, Goethe University, Frankfurt, Germany.; 11Aus-und Weiterbildungseinrichtung fur klinische Verhaltenstherapie (AWKV), ; 11Aus-und Weiterbildungseinrichtung fur klinische Verhaltenstherapie (AWKV), ; 12Institute for Healthcare Management and Research, University Duisburg-Essen, ; 12Institute for Healthcare Management and Research, University Duisburg-Essen, ; 1Department of Psychotherapy and Systems Neuroscience, Justus Liebig University ; 3Center of Mind, Brain and Behavior, Universities of Marburg and Giessen, ; 1Department of Psychotherapy and Systems Neuroscience, Justus Liebig University ; 2Bender Institute of Neuroimaging, Justus Liebig University of Giessen, Germany.; 3Center of Mind, Brain and Behavior, Universities of Marburg and Giessen, ","eng","Journal Article","J Behav Addict","All authors report no financial or other relationship relevant to the subject of ","Journal of behavioral addictions","pornography"
"Pornography: A Concealed Behavior with Serious Consequences.",36989095,2023,"Apr",NA,"OBJECTIVES: The purpose of the current study was to estimate prevalence of ","Noel, Jonathan K; Jacob, Sharon; Swanberg, Jennifer E; Rosenthal, Samantha R","Department of Health Science, College of Health & Wellness, Johnson & Wales ; Department of Health Science, College of Health & Wellness, Johnson & Wales ; Department of Health Science, College of Health & Wellness, Johnson & Wales ; Department of Health Science, College of Health & Wellness, Johnson & Wales ","eng","Journal Article","R I Med J (2013)",NA,"Rhode Island medical journal (2013)","pornography"
"Impact of COVID-19 on adolescent sexual life and attitudes: have we considered all the possible secondary effects of the pandemic?",36939878,2023,"Jun","10.1007/s00431-023-04878-5 [doi]","A significant increase in pornography use has been reported in the adolescent ","Kostopoulou, Eirini","Department of Paediatrics, University General Hospital of Patras, University of ","eng","Journal Article; Review","Eur J Pediatr","The author declares no competing interests.","European journal of pediatrics","pornography"
"Physiological, Psychosocial and Substance Abuse Effects of Pornography Addiction: A Narrative Review.",36793815,2023,"Jan","10.7759/cureus.33703 [doi]; e33703","Internet pornography provides explicit content in various forms and can progress ","Mehmood Qadri, Haseeb; Waheed, Abdul; Munawar, Ali; Saeed, Hasan; Abdullah, Saad; Munawar, Tayyba; Luqman, Shaheer; Saffi, Junaid; Ahmad, Awais; Babar, Muhammad Saad","Surgery, Lahore General Hospital, Lahore, PAK.; Surgery, Lahore General Hospital, Lahore, PAK.; Surgery, Shaikh Zayed Hospital, Lahore, PAK.; Pathology, Allama Iqbal Medical College, Lahore, PAK.; General Surgery, Allama Iqbal Medical College, Lahore, PAK.; Surgery, Lahore General Hospital, Lahore, PAK.; Surgery, Lahore General Hospital, Lahore, PAK.; Surgery, Lahore General Hospital, Lahore, PAK.; Surgery, Jinnah Hospital, Lahore, PAK.; General Surgery, Lahore General Hospital, Lahore, PAK.","eng","Journal Article; Review","Cureus","The authors have declared that no competing interests exist.","Cureus","pornography"
"The Potential Cutaneous Effects of Pornography Addiction: A Narrative Review.",36721540,2022,"Dec","10.7759/cureus.33066 [doi]; e33066","Pornography addiction is an area of increasing concern, particularly due to the ","Rasul, Taha F; Schwartz, Kayla R; Qureshi, Farhan; Eachus, Emily; Henderson, Armen","Dr. Phillip Frost Department of Dermatology and Cutaneous Surgery, University of ; Dr. Phillip Frost Department of Dermatology and Cutaneous Surgery, University of ; Department of Urology, University of Miami Miller School of Medicine, Miami, USA.; Dr. Phillip Frost Department of Dermatology and Cutaneous Surgery, University of ; Department of Internal Medicine, University of Miami Health System, Miami, USA.","eng","Journal Article; Review","Cureus","The authors have declared that no competing interests exist.","Cureus","pornography"
"Males' Lived Experience with Self-Perceived Pornography Addiction: A Qualitative Study of Problematic Porn Use.",36674250,2023,"Jan","10.3390/ijerph20021497 [doi]; 1497","The positive impact of pornography use has been demonstrated; however, most ","Hanseder, Sophia; Dantas, Jaya A R","Curtin School of Population Health, Curtin University, Perth 6102, Australia.; Curtin School of Population Health, Curtin University, Perth 6102, Australia.","eng","Journal Article","Int J Environ Res Public Health","The authors declare no conflict of interest. The funders had no role in the ","International journal of environmental research and public health","pornography"
"Web-Based Relationship Education and Pornography-Related Behaviors: A Single-Group Design During the COVID-19 Pandemic.",36600001,2023,"May","10.1007/s10508-022-02518-x [doi]","Research surrounding pornography and its impact on individual and relationship ","Hatch, S Gabe; Goodman, Zachary T; Hatch, H Dorian; Le, Yunying; Guttman, Shayna; Doss, Brian D","Department of Psychology, University of Miami, Coral Gables, FL, 33146, USA. ; Department of Psychology, University of Miami, Coral Gables, FL, 33146, USA.; Department of Psychology, The Ohio State University, Columbus, OH, USA.; Department of Human Development and Family Studies, The Pennsylvania State ; Department of Psychology, University of Miami, Coral Gables, FL, 33146, USA.; Department of Psychology, University of Miami, Coral Gables, FL, 33146, USA.","eng","Journal Article; Research Support, N.I.H., Extramural; Research Support, U.S. Gov't, Non-P.H.S.","Arch Sex Behav","Dr. Brian Doss is a co-inventor of the intellectual property used in this study ","Archives of sexual behavior","pornography"
