"Title","PMID"
"Online Porn Addiction: What We Know and What We Don't-A Systematic Review.","30650522"
"Neuroscience of Internet Pornography Addiction: A Review and Update.","26393658"
"Pornography Addiction in Adults: A Systematic Review of Definitions and Reported Impact.","27114191"
"Pornography Addiction: An Exploration of the Association Between Use, Perceived Addiction, Erectile Dysfunction, Premature (Early) Ejaculation, and Sexual Satisfaction in Males Aged 18-44 Years.","34400111"
"Pornography addiction and its impacts on intimate female partner wellbeing-a systematic narrative synthesis.","35000564"
"Associations Between Online Pornography Consumption and Sexual Dysfunction in Young Men: Multivariate Analysis Based on an International Web-Based Survey.","34534092"
"The Potential Cutaneous Effects of Pornography Addiction: A Narrative Review.","36721540"
"Males' Lived Experience with Self-Perceived Pornography Addiction: A Qualitative Study of Problematic Porn Use.","36674250"
"Examining the Problematic Pornography Use Model: A Quantitative Exploration of Dysregulated Pornography Use.","34872843"
"Internet-based interventions for behavioral addictions: A systematic review.","36495471"
"Moral Incongruence and Pornography Use: A Critical Review and Integration.","29412013"
"""Pornography Addiction"": Elements for Discussion of a Case Report.","34786657"
"Pornography Consumption and Cognitive-Affective Distress.","37505898"
"Tendencies toward Internet-pornography-use disorder: Differences in men and women regarding attentional biases to pornographic stimuli.","30203692"
"Pornography Addiction: An Exploration of the Association Between Use, Perceived Addiction, Erectile Dysfunction, Premature (Early) Ejaculation, and Sexual Satisfaction in Males Aged 18-44 Years.","37057430"
"Profiling of pornography addiction among children using EEG signals: A systematic literature review.","32892114"
"Physiological, Psychosocial and Substance Abuse Effects of Pornography Addiction: A Narrative Review.","36793815"
"Self-reported addiction to pornography in a nationally representative sample: The roles of use habits, religiousness, and moral incongruence.","30632378"
"On the current psychotherapeutic situation for persons with pornography use disorder in Germany.","37141047"
"Pornography: A Concealed Behavior with Serious Consequences.","36989095"
"mHealth Technologies for Managing Problematic Pornography Use: Content Analysis.","36227634"
"Damaged Goods: Perception of Pornography Addiction as a Mediator Between Religiosity and Relationship Anxiety Surrounding Pornography Use.","28287845"
"Use of pornography in India: Need to explore its implications.","32985442"
"Frequency of use, moral incongruence and religiosity and their relationships with self-perceived addiction to pornography, internet use, social networking and online gaming.","32955140"
"How the Rise of Problematic Pornography Consumption and the COVID-19 Pandemic Has Led to a Decrease in Physical Sexual Interactions and Relationships and an Increase in Addictive Behaviors and Cluster B Personality Traits: A Meta-Analysis.","37342297"
"Psychometric Instruments for Problematic Pornography Use: A Systematic Review.","31284745"
"Psychometric Properties of the Youth Pornography Addiction Screening Tool.","35178193"
"Impact of COVID-19 on adolescent sexual life and attitudes: have we considered all the possible secondary effects of the pandemic?","36939878"
"Assessment of Criteria for Specific Internet-use Disorders (ACSID-11): Introduction of a new screening instrument capturing ICD-11 criteria for gaming disorder and other potential Internet-use disorders.","35394924"
"Examining Correlates of Problematic Internet Pornography Use Among University Students.","27156383"
"Evaluating Pornography Problems Due to Moral Incongruence Model.","31818724"
