"PMID","Year","Month","Title","DOI","Abstract","Full_Author_Name","Author_Address","Language","Publication_Type","Journal_name_short","Conflict_of_Interest_Statement","Journal_Title"
"37074780",2023,"Apr","Patient Feedback on a Mobile Medication Adherence App for Buprenorphine and ","10.2196/40437 [doi]; e40437","BACKGROUND: Opioid use disorders impact the health and well-being of millions of ","Smith, Crystal L; Keever, Abigail; Bowden, Theresa; Olson, Katie; Rodin, Nicole; McDonell, Michael G; Roll, John M; Smoody, Gillian; LeBrun, Jeff; Miguel, Andre Qc; McPherson, Sterling M","Department of Community and Behavioral Health, Elson S Floyd College of Medicine, ; Analytics and PsychoPharmacology Laboratory, Washington State University, ; Program of Excellence in Addictions Research, Washington State University, ; Department of Community and Behavioral Health, Elson S Floyd College of Medicine, ; Analytics and PsychoPharmacology Laboratory, Washington State University, ; Program of Excellence in Addictions Research, Washington State University, ; Analytics and PsychoPharmacology Laboratory, Washington State University, ; Program of Excellence in Addictions Research, Washington State University, ; College of Pharmacy and Pharmaceutical Sciences, Washington State University, ; Ideal Option, Spokane, WA, United States.; Analytics and PsychoPharmacology Laboratory, Washington State University, ; Program of Excellence in Addictions Research, Washington State University, ; College of Pharmacy and Pharmaceutical Sciences, Washington State University, ; Department of Community and Behavioral Health, Elson S Floyd College of Medicine, ; Program of Excellence in Addictions Research, Washington State University, ; Department of Community and Behavioral Health, Elson S Floyd College of Medicine, ; Program of Excellence in Addictions Research, Washington State University, ; Analytics and PsychoPharmacology Laboratory, Washington State University, ; Optimize Health, Seattle, WA, United States.; Department of Community and Behavioral Health, Elson S Floyd College of Medicine, ; Analytics and PsychoPharmacology Laboratory, Washington State University, ; Program of Excellence in Addictions Research, Washington State University, ; Department of Community and Behavioral Health, Elson S Floyd College of Medicine, ; Analytics and PsychoPharmacology Laboratory, Washington State University, ; Program of Excellence in Addictions Research, Washington State University, ","eng","Journal Article","JMIR Form Res","Conflicts of Interest: SMM reports that Optimize Health, in the form of a ","JMIR formative research"
"32784419",2020,"Aug","Selfitis Behavior: Assessing the Italian Version of the Selfitis Behavior Scale ","10.3390/ijerph17165738 [doi]; 5738","Research on selfie-related behavior has recently flourished. The present study ","Monacis, Lucia; Griffiths, Mark D; Limone, Pierpaolo; Sinatra, Maria; Servidio, Rocco","Department of Economics, Management and Territory, University of Foggia, 71121 ; Psychology Department, Nottingham Trent University, Nottingham NG1 4FQ, UK.; Department of Humanities, University of Foggia, 71121 Foggia, Italy.; Department of Educational Sciences, Psychology, Communication, University of ; Department of Cultures, Education and Society, University of Calabria, 87036 ","eng","Journal Article","Int J Environ Res Public Health","The authors declare no conflict of interest.","International journal of environmental research and public health"
"32589601",2020,"Jun","'Selfie'- boon or a bane? A study from a private medical college in Southern ","10.1515/ijamh-2019-0198 [doi]","BACKGROUND: Taking selfies is spreading like a mania across the globe. It may ","Spoorthi, V; Holla, Ramesh; Malavat, Hitesh Krishna; Ismail, Simrin; Kappettu, Sudesh Kumar; Kamineni, Venkata Seshu","Kasturba Medical College, Mangalore, India.; Manipal Academy of Higher Education, Manipal, India.; Department of Community Medicine, Kasturba Medical College, Mangalore, India.; Faculty of Health Sciences, Manipal Academy of Higher Education, Manipal, India, ; Kasturba Medical College, Mangalore, India.; Manipal Academy of Higher Education, Manipal, India.; Kasturba Medical College, Mangalore, India.; Manipal Academy of Higher Education, Manipal, India.; Kasturba Medical College, Mangalore, India.; Manipal Academy of Higher Education, Manipal, India.; Kasturba Medical College, Mangalore, India.; Manipal Academy of Higher Education, Manipal, India.","eng","Journal Article","Int J Adolesc Med Health",NA,"International journal of adolescent medicine and health"
"32521781",2020,"Jun","Use of Instagram by Pre-Service Teacher Education: Smartphone Habits and ","10.3390/ijerph17114097 [doi]; 4097","It is increasingly common to upload photographs on the Internet of sports ","Romero-Rodriguez, Jose-Maria; Rodriguez-Jimenez, Carmen; Ramos Navas-Parejo, Magdalena; Marin-Marin, Jose-Antonio; Gomez-Garcia, Gerardo","Department of Didactics and School Organization, University of Granada, 18071 ; Department of Didactics and School Organization, University of Granada, 18071 ; Department of Didactics and School Organization, University of Granada, 18071 ; Department of Didactics and School Organization, University of Granada, 18071 ; Department of Didactics and School Organization, University of Granada, 18071 ","eng","Journal Article; Research Support, Non-U.S. Gov't","Int J Environ Res Public Health","The authors declare no conflict of interest.","International journal of environmental research and public health"
"32488874",2021,"Jan","Selfie addiction: The impact of personality traits? A cross-sectional study among ","10.1111/ppc.12539 [doi]","OBJECTIVES: To examine the relationship between personality traits (Neuroticism, ","El Khoueiry, Christel; Sacre, Hala; Haddad, Chadia; Akel, Marwan; Saade, Sylvia; Hallit, Souheil; Obeid, Sahar","Drug Information Center, Order of Pharmacists of Lebanon, Byblos, Lebanon.; INSPECT-LB: Institut National de Sante Publique, Epidemiologie Clinique et ; Research and Psychology Departments, Psychiatric Hospital of the Cross, Jal ; INSPECT-LB: Institut National de Sante Publique, Epidemiologie Clinique et ; School of Pharmacy, Lebanese International University, Beirut, Lebanon.; School of Pharmacy, Lebanese International University, Beirut, Lebanon.; Drug Information Center, Order of Pharmacists of Lebanon, Byblos, Lebanon.; Faculty of Medicine and Medical Sciences, Holy Spirit University of Kaslik ; Faculty of Arts and Science, Holy Spirit University of Kaslik (USEK), Jounieh, ; INSPECT-LB: Institut National de Sante Publique, Epidemiologie Clinique et ; Research and Psychology Departments, Psychiatric Hospital of the Cross, Jal ","eng","Journal Article","Perspect Psychiatr Care",NA,"Perspectives in psychiatric care"
"32467852",2020,"Jun","Selfie-engagement on social media: Pathological narcissism, positive expectation, ","10.1016/j.abrep.2020.100263 [doi]; 100263","The current use of social media platforms by active young users/creators of ","Boursier, Valentina; Gioia, Francesca; Griffiths, Mark D","Department of Humanities, University of Naples ""Federico II"", Via Porta di Massa, ; Department of Humanities, University of Naples ""Federico II"", Via Porta di Massa, ; International Gaming Research Unit, Psychology Department, Nottingham Trent ","eng","Journal Article","Addict Behav Rep","In the present study there were no funding sources neither conflict of interest.","Addictive behaviors reports"
"32401225",2020,"May","Social Media Interventions for Risky Drinking Among Adolescents and Emerging ","10.2196/16688 [doi]; e16688","BACKGROUND: Despite intervention efforts to date, the prevalence of risky ","Bonar, Erin E; Schneeberger, Diane M; Bourque, Carrie; Bauermeister, Jose A; Young, Sean D; Blow, Frederic C; Cunningham, Rebecca M; Bohnert, Amy Sb; Zimmerman, Marc A; Walton, Maureen A","Department of Psychiatry, University of Michigan, Ann Arbor, MI, United States.; Addiction Center, University of Michigan, Ann Arbor, MI, United States.; Injury Prevention Center, University of Michigan, Ann Arbor, MI, United States.; Department of Psychiatry, University of Michigan, Ann Arbor, MI, United States.; Addiction Center, University of Michigan, Ann Arbor, MI, United States.; Department of Psychiatry, University of Michigan, Ann Arbor, MI, United States.; Addiction Center, University of Michigan, Ann Arbor, MI, United States.; Department of Family and Community Health, School of Nursing, University of ; Department of Informatics, Donald Bren School of Information and Computer ; Department of Emergency Medicine, University of California Irvine, Irvine, CA, ; Department of Psychiatry, University of Michigan, Ann Arbor, MI, United States.; Addiction Center, University of Michigan, Ann Arbor, MI, United States.; Center for Clinical Management Research, Veterans Health Administration, Ann ; Injury Prevention Center, University of Michigan, Ann Arbor, MI, United States.; Department of Emergency Medicine, University of Michigan, Ann Arbor, MI, United ; Health Behavior & Health Education, School of Public Health, University of ; Department of Psychiatry, University of Michigan, Ann Arbor, MI, United States.; Injury Prevention Center, University of Michigan, Ann Arbor, MI, United States.; Center for Clinical Management Research, Veterans Health Administration, Ann ; Injury Prevention Center, University of Michigan, Ann Arbor, MI, United States.; Health Behavior & Health Education, School of Public Health, University of ; Department of Psychiatry, University of Michigan, Ann Arbor, MI, United States.; Addiction Center, University of Michigan, Ann Arbor, MI, United States.; Injury Prevention Center, University of Michigan, Ann Arbor, MI, United States.","eng","Journal Article","JMIR Res Protoc","Conflicts of Interest: The authors do not have any personal financial interests ","JMIR research protocols"
"29904329",2018,NA,"An Exploratory Study of ""Selfitis"" and the Development of the Selfitis Behavior ","10.1007/s11469-017-9844-x [doi]","In 2014, stories appeared in national and international media claiming that the ","Balakrishnan, Janarthanan; Griffiths, Mark D","Thiagarajar School of Management, Madurai, India.; 2International Gaming Research Unit, Psychology Department, Nottingham Trent ","eng","Journal Article","Int J Ment Health Addict","Compliance with Ethical StandardsThe authors declare that they have no conflict ","International journal of mental health and addiction"
"29558814",2018,"May","Selfitis, selfie addiction, Twitteritis: Irresistible appeal of medical ","10.1177/0004867418763532 [doi]",NA,"Starcevic, Vladan; Billieux, Joel; Schimmenti, Adriano","1 Sydney Medical School, The University of Sydney, Sydney, NSW, Australia.; 2 Department of Psychiatry, Nepean Hospital, Penrith, NSW, Australia.; 3 Addictive and Compulsive Behaviours Lab (ACB-Lab), Institute for Health and ; 4 Faculty of Human and Social Sciences, UKE-Kore University of Enna, Enna, Italy.","eng","Editorial","Aust N Z J Psychiatry",NA,"The Australian and New Zealand journal of psychiatry"
"28843628",2017,"Dec","Association between physiological oscillations in self-esteem, narcissism and ","S0165-1781(17)30425-0 [pii]; 10.1016/j.psychres.2017.08.044 [doi]","Internet addiction is a novel and relatively uninvestigated form of dependence ","Pantic, Igor; Milanovic, Anita; Loboda, Barbara; Blachnio, Agata; Przepiorka, Aneta; Nesic, Dejan; Mazic, Sanja; Dugalic, Stefan; Ristic, Sinisa","University of Belgrade, Faculty of Medicine, Institute of Medical Physiology, ; Clinic for mental disorders ""Dr Laza Lazarevic"", Visegradska 26/II, 11129 ; University of Belgrade, Faculty of Medicine; Clinical Center of Serbia, RS-11129, ; The John Paul II Catholic University of Lublin, Al. Raclawickie 14, 20-950 ; The John Paul II Catholic University of Lublin, Al. Raclawickie 14, 20-950 ; University of Belgrade, Faculty of Medicine, Institute of Medical Physiology, ; University of Belgrade, Faculty of Medicine, Institute of Medical Physiology, ; University of Belgrade, Faculty of Medicine; Clinical Center of Serbia, RS-11129, ; University of East Sarajevo, Faculty of Medicine, Studentska 5, 73300 Foca, ","eng","Journal Article","Psychiatry Res",NA,"Psychiatry research"
