"Title","PMID"
"Selfie addiction: The impact of personality traits? A cross-sectional study among the Lebanese population.","32488874"
"Selfitis, selfie addiction, Twitteritis: Irresistible appeal of medical terminology for problematic behaviours in the digital age.","29558814"
"Selfie-engagement on social media: Pathological narcissism, positive expectation, and body objectification - Which is more influential?","32467852"
"'Selfie'- boon or a bane? A study from a private medical college in Southern India.","32589601"
"Attitudes Toward Selfie Taking in School-going Adolescents: An Exploratory Study.","27335520"
"Association between physiological oscillations in self-esteem, narcissism and internet addiction: A cross-sectional study.","28843628"
"Selfitis Behavior: Assessing the Italian Version of the Selfitis Behavior Scale and Its Mediating Role in the Relationship of Dark Traits with Social Media Addiction.","32784419"
"Use of Instagram by Pre-Service Teacher Education: Smartphone Habits and Dependency Factors.","32521781"
"An Exploratory Study of ""Selfitis"" and the Development of the Selfitis Behavior Scale.","29904329"
"The Influence of Social Media on Addictive Behaviors in College Students.","28458990"
"Smartphone use can be addictive? A case report.","27599674"
"Social Media Interventions for Risky Drinking Among Adolescents and Emerging Adults: Protocol for a Randomized Controlled Trial.","32401225"
"Patient Feedback on a Mobile Medication Adherence App for Buprenorphine and Naloxone: Closed and Open-Ended Survey on Feasibility and Acceptability.","37074780"
