"Title","PMID"
"Pharmacotherapy of Sexual Addiction.","32377953"
"Sexual addiction or hypersexual disorder: different terms for the same problem? A review of the literature.","24001295"
"Online Porn Addiction: What We Know and What We Don't-A Systematic Review.","30650522"
"Drug Addiction.","31747190"
"Pornography Addiction in Adults: A Systematic Review of Definitions and Reported Impact.","27114191"
"Treatments for internet addiction, sex addiction and compulsive buying: A meta-analysis.","32359229"
"Nutrition Support Therapy.","29098678"
"Sexual addictions.","20666699"
"Psychosocial intervention for sexual addiction.","29540923"
"Sexual Addiction as a Legal Defense.","36162862"
"Sexual addiction, compulsivity, and impulsivity among a predominantly female sample of adults who use the internet for sex.","32359233"
"[Sex addiction: losing its taboo].","31006443"
"Sexual addiction, sexual compulsivity, sexual impulsivity, or what? Toward a theoretical model.","15497051"
"A motivation model of sex addiction - Relevance to the controversy over the concept.","36113783"
"Internet sex addiction.","23412082"
"What is sexual addiction?","20432125"
"Existential Issues in Sexual Medicine: The Relation Between Death Anxiety and Hypersexuality.","29129680"
"Sexual addiction in drug addicts: The impact of drug of choice and poly-addiction.","28724038"
"Evaluation and treatment of sex addiction.","23790248"
"Triangular relationship among risky sexual behavior, addiction, and aggression: A systematic review.","28979752"
"Hypersexuality: A Critical Review and Introduction to the ""Sexhavior Cycle"".","28687897"
"Similarities and Differences in Diagnostic Scales.","29098672"
"Sexual-addiction diagnosis supports anti-sex movement.","1923006"
"How to recognise sexual addiction in the sexual health clinic setting?","21772040"
"[Does really sex addiction exist?].","23241714"
"Sexual addiction 25 years on: A systematic and methodological review of empirical literature and an agenda for future research.","33038740"
"The moral maze of sex & porn addiction.","34320446"
"Problematic cybersex: Conceptualization, assessment, and treatment.","26646983"
"Technology-Mediated Sexual Interactions, Social Anxiety, and Sexual Wellbeing: A Scoping Review.","36005215"
"Treating Out of Control Sexual Behavior: Rethinking Sex Addiction.","27487049"
"The Potential Cutaneous Effects of Pornography Addiction: A Narrative Review.","36721540"
"Measuring sexual addiction and compulsivity: a critical review of instruments.","20432124"
"Barriers to female sex addiction treatment in the UK.","27784181"
"[Recovery from Sexual Addiction].","27703106"
"Estimation of Behavioral Addiction Prevalence During COVID-19 Pandemic: A Systematic Review and Meta-analysis.","36118286"
"Is Compulsive Sexual Behavior Different in Women Compared to Men?","34361988"
"Sexual compulsion--relationship with sex, attachment and sexual orientation.","25786496"
"Sexual, addiction and mental health care needs among men who have sex with men practicing chemsex - a cross-sectional study in the Netherlands.","32226730"
"Neurobiological Basis of Hypersexuality.","27503448"
"Validation of a brief sex addiction screening instrument (PATHOS) and prediction of sex addiction in the Iranian population.","33681904"
"Online dating is associated with sex addiction and social anxiety.","30156117"
"Sex addiction.","8232619"
"Sexual addiction: insights from psychoanalysis and functional neuroimaging.","24693342"
"Sexual addiction and marriage and family therapy: facilitating individual and relationship healing through couple therapy.","16933435"
"Is love passion an addictive disorder?","20545601"
"The contribution of personality factors and gender to ratings of sex addiction among men and women who use the Internet for sex purpose.","30378460"
"Should problematic sexual behavior be viewed under the scope of addiction? A systematic review based on DSM-5 substance use disorder criteria.","37519859"
"Compulsive sexual behavior, religiosity, and spirituality: A systematic review.","34971357"
"Conceptualization and Assessment of Hypersexual Disorder: A Systematic Review of the Literature.","28041854"
"Online Sex Addiction: A Qualitative Analysis of Symptoms in Treatment-Seeking Men.","35873234"
"[Sexual addiction: chimera or clinical syndrom? A plea for a clinical conceptualization].","20926060"
"Spanish validation of the Sexual Addiction Screening Test.","30273048"
"What does ""Sexual"" mean in compulsive sexual behavior disorder? •","35895459"
"Sexual Addiction and Associated Factors: The Role of Emotion Dysregulation, Impulsivity, Anxiety and Depression.","34338617"
"Sexual addiction: many conceptions, minimal data.","9564585"
"Characteristics of self-identified sexual addicts in a behavioral addiction outpatient clinic.","27774812"
"Clinical relevance of the proposed sexual addiction diagnostic criteria: relation to the Sexual Addiction Screening Test-Revised.","25303984"
"[Internet addiction].","17803171"
"Mapping the links between sexual addiction and gambling disorder: A Bayesian network approach.","37542792"
"Moral incongruence and addiction: A registered report.","36048067"
"The Short French Internet Addiction Test Adapted to Online Sexual Activities: Validation and Links With Online Sexual Preferences and Addiction Symptoms.","26422118"
"Sexual addiction: designation and treatment.","1291701"
"Personality dimensions of compulsive sexual behavior in the Sex@Brain study.","37384566"
"Hypersexual disorder: a proposed diagnosis for DSM-V.","19937105"
"Incongruence as a Variable Feature of Problematic Sexual Behaviors in an Online Sample of Self-Reported ""Sex Addiction"".","30229518"
"Physiological, Psychosocial and Substance Abuse Effects of Pornography Addiction: A Narrative Review.","36793815"
"Which Techniques Are Used in Psychotherapeutic Interventions for Nonparaphilic Hypersexual Behavior?","27784570"
"Hypersexuality Addiction and Withdrawal: Phenomenology, Neurogenetics and Epigenetics.","26251766"
"BARONESS CHARLOTTA CASTELLI GLEMBAY - WAS SHE HYPERSEXUAL?","35212207"
"Validation and Psychometric Evaluation of the Italian Version of the Bergen-Yale Sex Addiction Scale.","34393683"
"Mindfulness-Based Intervention and Sexuality: A Systematic Review.","36803998"
"The Link Between Boredom and Hypersexuality: A Systematic Review.","32165100"
"[Behavioral Addictions in Psychosomatic Care].","34781382"
"Neurobiology of addiction. An integrative review.","17764663"
"[Sex addiction and the GP practice].","30040298"
"Sexual desire, not hypersexuality, is related to neurophysiological responses elicited by sexual images.","24693355"
"Evangelicalism, sexual morality, and sexual addiction: opposing views and continued conflicts.","20182916"
"Sex addiction and gambling disorder: similarities and differences.","25459420"
"The psychometric properties of the Bergen-Yale sex addiction scale for the Iranian population.","33663448"
"How should severity be determined for the DSM-5 proposed classification of Hypersexual Disorder?","26690616"
"Neural and behavioral correlates of sexual stimuli anticipation point to addiction-like mechanisms in compulsive sexual behavior disorder.","35895609"
"The GAy MEn Sex StudieS: design of an online registration of sexual behaviour of men having sex with men and preliminary results (GAMESSS-study).","23741901"
"Hypersexual behaviour among young adults in Germany: characteristics and personality correlates.","36536318"
"An integrative theoretical framework for understanding sexual motivation, arousal, and behavior.","19308842"
"Sexual Addiction, Hypersexual Behavior and Relative Psychological Dynamics during the Period of Social Distancing and Stay-at-Home Policies Due to COVID-19.","35270395"
"[Can we treat sexual addiction ?].","23888589"
"Sexual Motivations Underlying Compulsive Sexual Behavior in Women and Men from Germany and Hungary.","37057520"
"Sexual Motivations Underlying Compulsive Sexual Behavior in Women and Men From Germany and Hungary.","34906543"
"Paraphilic Thoughts, Behaviors and Sex Addiction in a Sample of Persons Who Use Drugs: A Cross-Sectional Study.","28727662"
"[Societal evolution of sexuality].","23830278"
"Polish adaptation of Sexual Addiction Screening Test - Revised.","28455898"
"Unexplained bone pain and sexual addiction.","29866696"
"Siblings, sex, and shame: The film Shame (2011).","34080943"
"The Development and Validation of the Bergen-Yale Sex Addiction Scale With a Large National Sample.","29568277"
"Compulsive sexual behaviour as a behavioural addiction: the impact of the internet and other issues.","26936832"
"[Sexual addiction? When sexual behavior gets out of control].","20198357"
"Promoting educational, classification, treatment, and policy initiatives.","29895182"
"Diagnosis and treatment of sexual addiction.","8246278"
"Meditation Awareness Training for the Treatment of Sex Addiction: A Case Study.","27348560"
"[The treatment of non-chemical addictions].","30040812"
"Recognition and management of addictive sexual disorders: guide for the primary care clinician.","11271127"
"[French validation of the Sexual Addiction Screening Test (SAST-Fr)].","32151449"
