"Title","PMID","Year","Month","DOI","Abstract","Full_Author_Name","Author_Address","Language","Publication_Type","Journal_name_short","Conflict_of_Interest_Statement","Journal_Title","Label"
"Update on treatment studies for compulsive buying-shopping disorder: A systematic review.",37450373,2023,"Jul","10.1556/2006.2023.00033 [doi]","BACKGROUND AND AIMS: Compulsive buying-shopping disorder (CBSD) is mentioned as ","Muller, Astrid; Laskowski, Nora M; Thomas, Tobias A; Antons, Stephanie; Tahmassebi, Nadja; Steins-Loeber, Sabine; Brand, Matthias; Georgiadou, Ekaterini","1Department of Psychosomatic Medicine and Psychotherapy, Hannover Medical School, ; 1Department of Psychosomatic Medicine and Psychotherapy, Hannover Medical School, ; 2Ruhr-University Bochum, University Clinic for Psychosomatic Medicine and ; 1Department of Psychosomatic Medicine and Psychotherapy, Hannover Medical School, ; 3General Psychology: Cognition and Center for Behavioral Addiction Research ; 4Salus Klinik Friedrichsdorf, Germany.; 5Department of Clinical Psychology and Psychotherapy, University of Bamberg, ; 3General Psychology: Cognition and Center for Behavioral Addiction Research ; 6Erwin L. Hahn Institute for Magnetic Resonance Imaging, Essen, Germany.; 1Department of Psychosomatic Medicine and Psychotherapy, Hannover Medical School, ; 7Department of Psychiatry and Psychotherapy, Paracelsus Medical University ","eng","Journal Article; Review","J Behav Addict",NA,"Journal of behavioral addictions","shopping"
"Online compulsive buying-shopping disorder and social networks-use disorder: More similarities than differences?",37216804,2023,"Jul","S0010-440X(23)00029-9 [pii]; 10.1016/j.comppsych.2023.152392 [doi]","BACKGROUND: Studies in convenience, non-clinical samples of young adults suggest ","Wegmann, Elisa; Muller, Silke M; Kessling, Annica; Joshi, Maithilee; Ihle, Eltje; Wolf, Oliver T; Muller, Astrid","Department of General Psychology, Cognition and Center for Behavioral Addiction ; Department of General Psychology, Cognition and Center for Behavioral Addiction ; Department of General Psychology, Cognition and Center for Behavioral Addiction ; Department of Psychosomatic Medicine and Psychotherapy, Hannover Medical School, ; Department of Psychosomatic Medicine and Psychotherapy, Hannover Medical School, ; Department of Cognitive Psychology, Faculty of Psychology, Ruhr University ; Department of Psychosomatic Medicine and Psychotherapy, Hannover Medical School, ","eng","Journal Article","Compr Psychiatry","Declaration of Competing Interest None.","Comprehensive psychiatry","shopping"
"Comparison of clinicians' and researchers' ratings of proposed diagnostic criteria for compulsive buying-shopping disorder within a Delphi study.",37014876,2023,NA,"10.1371/journal.pone.0283978 [doi]; e0283978","Diagnostic criteria for compulsive buying shopping disorder were recently ","Laskowski, Nora M; Trotzke, Patrick; Ali, Kathina; Fassnacht, Dan B; Kyrios, Mike; Hader, Michael; Muller, Astrid","Medical Faculty, University Clinic for Psychosomatic Medicine and Psychotherapy, ; Department of Psychosomatic Medicine and Psychotherapy, Hannover Medical School, ; General Psychology, Cognition and Center for Behavioral Addiction Research ; IU International University of Applied Sciences, Erfurt, Germany.; College of Education, Psychology and Social Work, Flinders University, Adelaide, ; Research School of Psychology, The Australian National University, Canberra, ; College of Education, Psychology and Social Work, Flinders University, Adelaide, ; Research School of Psychology, The Australian National University, Canberra, ; College of Education, Psychology and Social Work, Flinders University, Adelaide, ; Research School of Psychology, The Australian National University, Canberra, ; Institute of Sociology, Technical University of Dresden, Dresden, Germany.; Department of Psychosomatic Medicine and Psychotherapy, Hannover Medical School, ","eng","Journal Article; Research Support, Non-U.S. Gov't","PLoS One","The authors have declared that no competing interests exist.","PloS one","shopping"
"Buying-shopping disorder, impulsivity, emotional dependence and attachment in adolescents.",36855642,2023,"Feb","10.1007/s12144-023-04425-3 [doi]","In recent years, several studies have shown that the incidence of buying-shopping ","Etxaburu, Nerea; Momene, Janire; Herrero, Marta; Chavez-Vera, Maria Dolores; Olave, Leticia; Iruarrizaga, Itziar; Estevez, Ana","University of Deusto, Bilbao, Spain. GRID: grid.14724.34. ISNI: 0000 0001 0941 ; University of Deusto, Bilbao, Spain. GRID: grid.14724.34. ISNI: 0000 0001 0941 ; University of Deusto, Bilbao, Spain. GRID: grid.14724.34. ISNI: 0000 0001 0941 ; Technical University of Manabi, Portoviejo, Ecuador.; Complutense University of Madrid, Madrid, Spain. GRID: grid.4795.f. ISNI: 0000 ; Complutense University of Madrid, Madrid, Spain. GRID: grid.4795.f. ISNI: 0000 ; Complutense University of Madrid, Madrid, Spain. GRID: grid.4795.f. ISNI: 0000 ; University of Deusto, Bilbao, Spain. GRID: grid.14724.34. ISNI: 0000 0001 0941 ; Psychology Department, University of Deusto, Apartado 1, 48080 Bilbao, Spain. ","eng","Journal Article","Curr Psychol","Conflicts of interest/Competing interestsThe authors declare that they have no ","Current psychology (New Brunswick, N.J.)","shopping"
"Student Stress and Online Shopping Addiction Tendency among College Students in Guangdong Province, China: The Mediating Effect of the Social Support.",36612498,2022,"Dec","10.3390/ijerph20010176 [doi]; 176","Online shopping addiction tendency (OSAT) among college students has become too ","Li, Huimin; Ma, Xinyue; Fang, Jie; Liang, Getian; Lin, Rongsheng; Liao, Weiyan; Yang, Xuesong","School of Human Resources, Guangdong University of Finance & Economics, Guangzhou ; The First Affiliated Hospital of Wenzhou Medical University, Wenzhou 325000, ; School of Human Resources, Guangdong University of Finance & Economics, Guangzhou ; School of Human Resources, Guangdong University of Finance & Economics, Guangzhou ; School of Psychology, South China Normal University, Guangzhou 510631, China.; School of Human Resources, Guangdong University of Finance & Economics, Guangzhou ; Division of Histology and Embryology, Key Laboratory for Regenerative Medicine of ","eng","Journal Article; Research Support, Non-U.S. Gov't","Int J Environ Res Public Health","The authors declare no conflict of interest.","International journal of environmental research and public health","shopping"
"Obsessive-compulsive, harm-avoidance and persistence tendencies in patients with gambling, gaming, compulsive sexual behavior and compulsive buying-shopping disorders/concerns.",36587418,2023,"Apr","S0306-4603(22)00357-4 [pii]; 10.1016/j.addbeh.2022.107591 [doi]","BACKGROUND AND AIMS: There is a growing interest in determining the specific role ","Mestre-Bach, Gemma; Granero, Roser; Fernandez-Aranda, Fernando; Potenza, Marc N; Jimenez-Murcia, Susana","Universidad Internacional de la Rioja, La Rioja, Spain.; Departament de Psicobiologia i Metodologia de les Ciencies de la Salut, ; Ciber Fisiopatologia Obesidad y Nutricion (CIBERObn), Instituto de Salud Carlos ; Department of Psychiatry, Yale University School of Medicine, New Haven, CT, USA; ; Ciber Fisiopatologia Obesidad y Nutricion (CIBERObn), Instituto de Salud Carlos ","eng","Journal Article; Research Support, Non-U.S. Gov't","Addict Behav","Declaration of Competing Interest FFA and SJM received consultancy honoraria from ","Addictive behaviors","shopping"
"Family Subjective Socioeconomic Status and University Students' Online Shopping Addiction: A Gender-Based Analysis.",36472467,2023,"Feb","10.1089/cyber.2021.0344 [doi]","Online shopping addiction has surged among today's university students. Previous ","Fan, Liheng; Li, Kai; Xin, Jie; Wang, Yinling; Li, Yunjia","Institute of Psychology and Behavior, Henan University, Kaifeng, China.; School of Psychology, Faculty of Education, Henan University, Kaifeng, China.; School of Psychology, Faculty of Education, Henan University, Kaifeng, China.; School of Psychology, Faculty of Education, Henan University, Kaifeng, China.; School of Psychology, Faculty of Education, Henan University, Kaifeng, China.; School of Psychology, Faculty of Education, Henan University, Kaifeng, China.","eng","Journal Article","Cyberpsychol Behav Soc Netw",NA,"Cyberpsychology, behavior and social networking","shopping"
"Therapeutic management of buying/shopping disorder: A systematic literature review and evidence-based recommendations.",36405896,2022,NA,"10.3389/fpsyt.2022.1047280 [doi]; 1047280","The prevalence of buying/shopping disorder (B/SD) has been increasing in the last ","Vasiliu, Octavian","Department of Psychiatry, Dr. Carol Davila University Emergency Central Military ","eng","Systematic Review","Front Psychiatry","The author declares that the research was conducted in the absence of any ","Frontiers in psychiatry","shopping"
"Estimation of Behavioral Addiction Prevalence During COVID-19 Pandemic: A Systematic Review and Meta-analysis.",36118286,2022,NA,"10.1007/s40429-022-00435-6 [doi]","PURPOSE OF REVIEW: The COVID-19 pandemic changed people's lifestyles and such ","Alimoradi, Zainab; Lotfi, Aida; Lin, Chung-Ying; Griffiths, Mark D; Pakpour, Amir H","Social Determinants of Health Research Center, Research Institute for Prevention ; Social Determinants of Health Research Center, Research Institute for Prevention ; Institute of Allied Health Sciences, National Cheng Kung University Hospital, ; International Gaming Research Unit, Psychology Department, Nottingham Trent ; Social Determinants of Health Research Center, Research Institute for Prevention ; Department of Nursing, School of Health and Welfare, Jonkoping University, ","eng","Journal Article; Review","Curr Addict Rep","Conflict of InterestThe authors declare no competing interests.","Current addiction reports","shopping"
"Technological Addictions.",36055740,2022,"Sep","S0193-953X(22)00032-6 [pii]; 10.1016/j.psc.2022.04.007 [doi]","Modern technology rewards constant engagement and discourages sparing use, ","Sherer, James; Levounis, Petros","New York University Grossman School of Medicine, 462 1st Avenue, #NB20N11, New ; Rutgers New Jersey Medical School, 357 West 29th Street, #3A, New York, NY 10001, ","eng","Journal Article; Review","Psychiatr Clin North Am",NA,"The Psychiatric clinics of North America","shopping"
