"Title","PMID"
"Technological Addictions.","35792965"
"Object attachment in buying-shopping disorder.","33011674"
"Technological Addictions.","36055740"
"Online compulsive buying-shopping disorder and social networks-use disorder: More similarities than differences?","37216804"
"Proposed diagnostic criteria for compulsive buying-shopping disorder: A Delphi expert consensus study.","33852420"
"Therapeutic management of buying/shopping disorder: A systematic literature review and evidence-based recommendations.","36405896"
"Buying-shopping disorder-is there enough evidence to support its inclusion in ICD-11?","30604662"
"Buying-Shopping Disorder among Women: The Role of Vulnerability to Marketing, Buying Motives, Impulsivity, and Self-Esteem.","33326966"
"Online shopping in treatment-seeking patients with buying-shopping disorder.","31476589"
"Prevalence and construct validity of compulsive buying disorder in shopping mall visitors.","26027442"
"Latent Classes for the Treatment Outcomes in Women with Gambling Disorder and Buying/Shopping Disorder.","35807202"
"Buying-shopping disorder, impulsivity, emotional dependence and attachment in adolescents.","36855642"
"Affective and cognitive processes involved in behavioral addictions.","33684870"
"The things that make us: self and object attachment in hoarding and compulsive buying-shopping disorder.","32950768"
"When Is a New Scale not a New Scale? The Case of the Bergen Shopping Addiction Scale and the Compulsive Online Shopping Scale.","27942256"
"The prevalence of compulsive buying: a meta-analysis.","26517309"
"Estimation of Behavioral Addiction Prevalence During COVID-19 Pandemic: A Systematic Review and Meta-analysis.","36118286"
"Comparison of clinicians' and researchers' ratings of proposed diagnostic criteria for compulsive buying-shopping disorder within a Delphi study.","37014876"
"The Relationship of Shopping-Related Decisions with Materialistic Values Endorsement, Compulsive Buying-Shopping Disorder Symptoms and Everyday Moral Decision Making.","35410054"
"Determinants of object choice and object attachment: Compensatory consumption in compulsive buying-shopping disorder and hoarding disorder.","31914783"
"Who Was Shopping More During the Spring Lockdown 2020 in Germany?","33859584"
"Cue-induced craving and symptoms of online-buying-shopping disorder interfere with performance on the Iowa Gambling Task modified with online-shopping cues.","31060009"
"Problematic Shopping Behavior: An Item Response Theory Examination of the Seven-Item Bergen Shopping Addiction Scale.","35754859"
"The concept of buying-shopping disorder: Comparing latent classes with a diagnostic approach for in-store and online shopping in a representative sample in Switzerland.","32918801"
"[Shopping as problem: shopping addiction].","21117326"
"Buying despite negative consequences: Interaction of craving, implicit cognitive processes, and inhibitory control in the context of buying-shopping disorder.","32652388"
"An experimental examination of cognitive processes and response inhibition in patients seeking treatment for buying-shopping disorder.","30840643"
"Towards an understanding of Internet-based problem shopping behaviour: The concept of online shopping addiction and its proposed predictors.","25215218"
"Managing Problematic Usage of the Internet and Related Disorders in an Era of Diagnostic Transition: An Updated Review.","34497661"
"Motherhood and Treatment Outcome in Female Patients with Compulsive Buying-Shopping Disorder.","35742322"
"Buying-shopping disorder, emotion dysregulation, coping and materialism: a comparative approach with gambling patients and young people and adolescents.","32643498"
"[Behavioral Addictions in Psychosomatic Care].","34781382"
"Disorders due to addictive behaviors: Further issues, debates, and controversies •","35895451"
"Prevalence of Suicidal Behavior and Associated Clinical Correlates in Patients with Behavioral Addictions.","34769603"
"The Bergen Shopping Addiction Scale: reliability and validity of a brief screening test.","26441749"
"Associations of Buying-Shopping Disorder Symptoms with Identity Confusion, Materialism, and Socially Undesirable Personality Features in a Community Sample.","33120395"
"No addiction transfer from preoperative food addiction to other addictive behaviors during the first year after bariatric surgery.","34460134"
"Dorsal and ventral striatum activity in individuals with buying-shopping disorder during cue-exposure: A functional magnetic resonance imaging study.","34156751"
"Online social networking addiction among college students in Singapore: Comorbidity with behavioral addiction and affective disorder.","28262144"
"The prevalence and psychological relation of problem shopping: data from a large-scale sample from Turkey.","34980253"
"The Development and Validation of the Online Shopping Addiction Scale.","28559864"
"Update on treatment studies for compulsive buying-shopping disorder: A systematic review.","37450373"
"Assessment of online compulsive buying: Psychometric properties of the Italian compulsive online shopping scale (COSS).","35149277"
"Compulsive buying gradually increased during the first six months of the Covid-19 outbreak.","35262509"
"Student Stress and Online Shopping Addiction Tendency among College Students in Guangdong Province, China: The Mediating Effect of the Social Support.","36612498"
"Redefining object attachment: Development and validation of a new scale.","36053719"
"Compulsive shopping behaviour and executive dysfunction in young adults.","34894906"
"The experience of gratification and compensation in addictive behaviors: How can these experiences be measured systematically within and across disorders due to addictive behaviors?","35843138"
"Compulsive buying behavior of Smartphones by university students.","34121647"
"The Interaction of Person-Affect-Cognition-Execution (I-PACE) model for addictive behaviors: Update, generalization to addictive behaviors beyond internet-use disorders, and specification of the process character of addictive behaviors.","31247240"
