"PMID","Year","Month","Title","DOI","Abstract","Full_Author_Name","Author_Address","Language","Publication_Type","Journal_name_short","Conflict_of_Interest_Statement","Journal_Title"
"37584040",2023,NA,"Impact of Learning Burnout on Mobile Phone Dependence Among Adolescents in ","10.2147/PRBM.S420711 [doi]","PURPOSE: This paper investigated the prevalence of mobile phone dependence (MPD) ","Wu, Rong; Luo, Yuan; Ren, Pengyu; Ran, Fengjiao; Yang, Xiantao; Gu, Manting; Tuo, Anxie; Yan, Zheng","Department of Epidemiology and Health Statistics, School of Public Health, ; Department of Epidemiology and Health Statistics, School of Public Health, ; Guizhou Drug Evaluation Center, Guiyang, Guizhou, People's Republic of China.; Department of Epidemiology and Health Statistics, School of Public Health, ; School of Public Health, Guizhou Medical University, Guiyang, Guizhou, People's ; School of Public Health, Guizhou Medical University, Guiyang, Guizhou, People's ; School of Medical Humanities, Guizhou Medical University, Guiyang, Guizhou, ; Department of Epidemiology and Health Statistics, School of Public Health, ","eng","Journal Article","Psychol Res Behav Manag","The authors declare that they have no known competing financial interests or ","Psychology research and behavior management"
"37583538",2023,"Jan-Apr","An Integrated Yoga and Cognitive Behavioral Therapy Intervention for Managing ","10.4103/ijoy.ijoy_47_23 [doi]","BACKGROUND: Internet addiction is a behavioral problem that is managed by ","Tadpatrikar, Ashwini; Sharma, Shubham; Sharma, Manoj Kumar; Bhargav, Hemant; Anand, Nitin; Mishra, Prashant","Service for Healthy Use of Technology Clinic, National Institute of Mental Health ; Service for Healthy Use of Technology Clinic, National Institute of Mental Health ; Department of Clinical Psychology, National Institute of Mental Health and Neuro ; Department of Integrative Medicine, National Institute of Mental Health and Neuro ; Department of Clinical Psychology, National Institute of Mental Health and Neuro ; Sankalp Mental Health Care Center, Base Hospital, Indo Tibetan Border Police ","eng","Case Reports","Int J Yoga","There are no conflicts of interest.","International journal of yoga"
"37565327",2023,"Aug","The effect of smartphone addiction on vessel wall thickness, which is a predictor ","10.1017/S1047951123003050 [doi]","AIM: The increasing global popularity of smartphone usage has increased concerns ","Erden, Ibrahim Emre; Bektasoglu, Gokhan","Enka Adapazari High School 11th Grade Student, Sakarya, Turkey.; Department of Cardiology, Atlas University Medical Faculty Medicine Hospital, ","eng","Journal Article","Cardiol Young",NA,"Cardiology in the young"
"37564421",2023,NA,"The role of boredom proneness and self-control in the association between anxiety ","10.3389/fpubh.2023.1201079 [doi]; 1201079","BACKGROUND: Smartphone addiction has been found to be a widespread public health ","Zhang, Li; Wang, Baokai; Xu, Qi; Fu, Chang","School of Public Health and Management, Binzhou Medical University, Yantai, ; Yantai Yuhuangding Hospital, Yantai, Shandong, China.; School of Public Health and Management, Binzhou Medical University, Yantai, ; School of Public Health and Management, Binzhou Medical University, Yantai, ","eng","Journal Article; Research Support, Non-U.S. Gov't","Front Public Health","The authors declare that the research was conducted in the absence of any ","Frontiers in public health"
"37560380",2023,"Jul","Toward the Goal of Leaving No One Behind: Orthostatic Dysregulation.","10.31662/jmaj.2022-0225 [doi]","Orthostatic dysregulation (OD), a common psychosomatic disorder in children, is ","Shinno, Kazuma; Nagamitsu, Shinichiro","Department of Pediatrics, National Hospital Organization Saitama Hospital, ; Department of Pediatrics, Fukuoka University, Fukuoka, Japan.","eng","Journal Article","JMA J","None","JMA journal"
"37544484",2023,"Aug","Factors associated with Korean adolescent's e-cigarette use by the severity level ","S0165-0327(23)00986-2 [pii]; 10.1016/j.jad.2023.08.011 [doi]","BACKGROUND: The use of e-cigarette among Korean adolescents is spreading with ","Kim, Jinyung; Lee, Serim","University of Maryland, School of Social Work, United States of America.; Department of Social Welfare, Ewha Womans University, Republic of Korea. ","eng","Journal Article","J Affect Disord","Declaration of competing interest The authors declare no competing interests.","Journal of affective disorders"
"37542973",2023,"Jul","Can restricting while-in-bed smartphone use improve sleep quality via decreasing ","S0306-4603(23)00220-4 [pii]; 10.1016/j.addbeh.2023.107825 [doi]","BACKGROUND AND AIM: Problematic smartphone use (PSU) has become a global public ","Tu, Zhihao; He, Jingwen; Li, Yinan; Wang, Ziying; Wang, Chuan; Tian, Jianquan; Tang, Yunxiang","Navy Special Medical Center, Naval Medical University, Shanghai 200433, China; ; Department of Medical Psychology, NO. 96110 Hospital, Yinchuan 750021, China; ; Department of Psychology, Naval Medical University, Shangahi 200433, China.; Navy Special Medical Center, Naval Medical University, Shanghai 200433, China; ; Navy Special Medical Center, Naval Medical University, Shanghai 200433, China; ; Navy Special Medical Center, Naval Medical University, Shanghai 200433, China. ; Department of Psychology, Naval Medical University, Shangahi 200433, China. ","eng","Journal Article","Addict Behav","Declaration of Competing Interest The authors declare that they have no known ","Addictive behaviors"
"37539216",2023,"Jul","Intolerance of uncertainty fuels preservice teachers' smartphone dependence ","10.1016/j.heliyon.2023.e17798 [doi]; e17798","OBJECTIVES: We aimed to explore the relationship among intolerance of uncertainty ","Zhang, Sensen; Yong, Shaohong; Tang, Yulun; Feng, He; Chen, Luan; Zhang, Linlin; Deng, Yanli; Chen, Jiatai","Institute of Education, Ningxia University, Yinchuan, China.; Institute of Education, Ningxia University, Yinchuan, China.; Institute of Education, Ningxia University, Yinchuan, China.; Guangxi Vocational College of Safety Engineering, Nanning, China.; Ningxia Preschool Education College, Yinchuan, China.; Yuanjiang People's Court, Yiyang, China.; Langshui Town Council, Yulin, China.; Business School, University of Exeter, Exeter, UK.","eng","Journal Article","Heliyon","The authors declare no competing interests.","Heliyon"
"37530865",2023,"Aug","The relationship between physical activity and interpersonal distress in college ","10.1186/s41155-023-00261-3 [doi]; 18","OBJECTIVE OF THE STUDY: Interpersonal relationships, as an important variable ","Liu, Chong; Sun, Zongchen","College of Physical Education, Yangzhou University, Yangzhou City, Jiangsu ; College of Physical Education, Yangzhou University, Yangzhou City, Jiangsu ","eng","Journal Article","Psicol Reflex Crit","The authors declare that they have no competing interests.","Psicologia, reflexao e critica : revista semestral do Departamento de Psicologia "
"37529314",2023,NA,"Effects of use motivations and alexithymia on smartphone addiction: mediating ","10.3389/fpsyg.2023.1227931 [doi]; 1227931","BACKGROUND AND OBJECTIVES: Concern exists regarding the potential negative ","Jin, Xinquan; Jiang, Qiang; Xiong, Weiyan; Zhao, Wei","Jiangsu Research Center of ""Internet Plus Education,"" Jiangnan University, Wuxi, ; College of Information Science and Technology, Northeast Normal University, ; Department of International Education, Education University of Hong Kong, Hong ; College of Information Science and Technology, Northeast Normal University, ","eng","Journal Article","Front Psychol","The authors declare that the research was conducted in the absence of any ","Frontiers in psychology"
