"Title","PMID","Year","Month","DOI","Abstract","Full_Author_Name","Author_Address","Language","Publication_Type","Journal_name_short","Conflict_of_Interest_Statement","Journal_Title","Label"
"Decision making and executive functions in problematic pornography use.",37564242,2023,NA,"10.3389/fpsyt.2023.1191297 [doi]; 1191297","INTRODUCTION: Previous research on cognitive functions in Compulsive Sexual ","Muller, Silke M; Antons, Stephanie","Department of General Psychology, Cognition and Center for Behavioral Addiction ; Erwin L. Hahn Institute for Magnetic Resonance Imaging, Essen, Germany.; Department of General Psychology, Cognition and Center for Behavioral Addiction ; Erwin L. Hahn Institute for Magnetic Resonance Imaging, Essen, Germany.","eng","Journal Article","Front Psychiatry","The authors declare that the research was conducted in the absence of any ","Frontiers in psychiatry","smart_phone"
"Mapping the links between sexual addiction and gambling disorder: A Bayesian network approach.",37542792,2023,"Jul","S0165-1781(23)00316-5 [pii]; 10.1016/j.psychres.2023.115366 [doi]","Contemporary literature and recent classification systems have expanded the field ","Hunt, Brian; Zarate, Daniel; Gill, Peter; Stavropoulos, Vasileios","Institute for Health and Sport, Victoria University, Melbourne, Australia. ; School of Health and Biomedical Sciences, RMIT University, Melbourne, Australia.; Institute for Health and Sport, Victoria University, Melbourne, Australia.; School of Health and Biomedical Sciences, RMIT University, Melbourne, Australia; ","eng","Journal Article","Psychiatry Res","Declaration of Competing Interest The authors of the present study do not report ","Psychiatry research","smart_phone"
"The World Federation of Societies of Biological Psychiatry guidelines on the assessment and pharmacological treatment of compulsive sexual behaviour disorder.",37522807,2022,"Dec","10.1080/19585969.2022.2134739 [doi]","OBJECTIVES: The current guidelines aim to evaluate the role of pharmacological ","Turner, Daniel; Briken, Peer; Grubbs, Joshua; Malandain, Leo; Mestre-Bach, Gemma; Potenza, Marc N; Thibaut, Florence","Department of Psychiatry and Psychotherapy, University Medical Center Mainz, ; Institute for Sex Research, Sexual Medicine, and Forensic Psychiatry, University ; Department of Psychology, Bowling Green State University, Bowling Green, OH, USA.; Department of Psychiatry and Addictive Disorders, University Hospital Cochin ; Facultad de Ciencias de la Salud, Universidad Internacional de La Rioja, La ; Departments of Psychiatry and Neuroscience and Child Study Center, Yale School of ; Connecticut Mental Health Center, New Haven, CT, USA.; Connecticut Council on Problem Gambling, Wethersfield, CT, USA.; Wu Tsai Institute, Yale University, New Haven, CT, USA.; Department of Psychiatry and Addictive Disorders, University Hospital Cochin ; INSERM U1266, Institute of Psychiatry and Neurosciences, University of Paris ","eng","Journal Article","Dialogues Clin Neurosci","Daniel Turner, PhD, has no conflict of interest with respect to the content of ","Dialogues in clinical neuroscience","smart_phone"
"Should problematic sexual behavior be viewed under the scope of addiction? A systematic review based on DSM-5 substance use disorder criteria.",37519859,2023,"Dec","10.1016/j.abrep.2023.100510 [doi]; 100510","Despite similarities between compulsive sexual disorder and substance use ","Pistre, Natasha; Schreck, Benoit; Grall-Bronnec, Marie; Fatseas, Melina","Department of Addictology, CHU Bordeaux, F-33000 Bordeaux, France.; Nantes Universite, CHU Nantes, UIC Psychiatrie et Sante Mentale, F-44000 Nantes, ; Nantes Universite, Univ Tours, CHU Nantes, INSERM, MethodS in Patient-Centered ; Nantes Universite, CHU Nantes, UIC Psychiatrie et Sante Mentale, F-44000 Nantes, ; Nantes Universite, Univ Tours, CHU Nantes, INSERM, MethodS in Patient-Centered ; Department of Addictology, CHU Bordeaux, F-33000 Bordeaux, France.; Department of Addictology, CH Charles Perrens, F-33000 Bordeaux, France.; Univ. Bordeaux, CNRS, INCIA, UMR 5287, F-33000 Bordeaux, France.","eng","Journal Article; Review","Addict Behav Rep","The authors declare that they have no known competing financial interests or ","Addictive behaviors reports","smart_phone"
"Measuring craving: A systematic review and mapping of assessment instruments. What about sexual craving?",37493019,2023,"Jul","10.1111/add.16287 [doi]","BACKGROUND AND AIMS: Craving is central in the definition of addictive disorders ","Miele, Cecile; Cabe, Julien; Cabe, Nicolas; Bertsch, Ingrid; Brousse, Georges; Pereira, Bruno; Moulin, Valerie; Barrault, Servane","Laboratory QualiPsy, EE1901, Psychology Department, University of Tours, Tours, ; Service d'Addictologie et de pathologies duelles, Pole de psychiatrie, CHU de ; Laboratoire Inter-universitaire de Psychologie Personnalite, Cognition, ; Service d'Addictologie et de pathologies duelles, Pole de psychiatrie, CHU de ; Universite Clermont Auvergne, Clermont Auvergne INP, CHU Clermont-Ferrand, CNRS, ; Service d'Addictologie, Centre Hospitalier Universitaire de Caen, Caen, France.; Normandie Universite, UNICAEN, INSERM, PhIND 'Physiopathology and Imaging of ; Laboratory QualiPsy, EE1901, Psychology Department, University of Tours, Tours, ; Unite de Consultation Psychiatrique Post-Penale (UC3P), CHRU de Tours, Tours, ; Service d'Addictologie et de pathologies duelles, Pole de psychiatrie, CHU de ; Universite Clermont Auvergne, Clermont Auvergne INP, CHU Clermont-Ferrand, CNRS, ; Direction de la Recherche Clinique et de l'Innovation, CHU de Clermont-Ferrand, ; Laboratoire Inter-universitaire de Psychologie Personnalite, Cognition, ; Laboratory QualiPsy, EE1901, Psychology Department, University of Tours, Tours, ; Centre de Soins d'Accompagnement et de Prevention en Addictologie (CSAPA 37), ; Laboratory of Psychopathology and Health Processes, University of Paris, ","eng","Journal Article; Review","Addiction",NA,"Addiction (Abingdon, England)","smart_phone"
"Fetal Fantasy and the Perfect Child: How Certain Challenges of Adolescence may Inform Aspects of the Abortion Debate.",37468672,2023,"Jul","10.1057/s11231-023-09408-8 [doi]","This article explores psychic aspects of abortion, from the fixity of beliefs ","Erdman, Andrew L","LCSW, 235 West 76th Street, Suite 1B, New York, NY, 10023, USA. ","eng","Journal Article","Am J Psychoanal",NA,"American journal of psychoanalysis","smart_phone"
"Personality dimensions of compulsive sexual behavior in the Sex@Brain study.",37384566,2023,"Jun","10.1556/2006.2023.00029 [doi]","BACKGROUND AND AIMS: Hypersexual disorder is characterized by recurrent and ","Engel, Jannis; Carstensen, Marie; Veit, Maria; Sinke, Christopher; Kneer, Jonas; Hartmann, Uwe; Kruger, Tillmann H C","Department of Psychiatry, Social Psychiatry and Psychotherapy, Division of ; Department of Psychiatry, Social Psychiatry and Psychotherapy, Division of ; Department of Psychiatry, Social Psychiatry and Psychotherapy, Division of ; Department of Psychiatry, Social Psychiatry and Psychotherapy, Division of ; Department of Psychiatry, Social Psychiatry and Psychotherapy, Division of ; Department of Psychiatry, Social Psychiatry and Psychotherapy, Division of ; Department of Psychiatry, Social Psychiatry and Psychotherapy, Division of ","eng","Journal Article","J Behav Addict","The authors declare no conflict of interests.","Journal of behavioral addictions","smart_phone"
"How the Rise of Problematic Pornography Consumption and the COVID-19 Pandemic Has Led to a Decrease in Physical Sexual Interactions and Relationships and an Increase in Addictive Behaviors and Cluster B Personality Traits: A Meta-Analysis.",37342297,2023,"Jun","10.7759/cureus.40539 [doi]; e40539","On January 13, 2018, an alert was sent to Hawaii's people that a missile was ","Irizarry, Ricardo; Gallaher, Haley; Samuel, Steven; Soares, Jason; Villela, Julia","Psychiatry, Tropical Texas Behavioral Health, McAllen, USA.; Medical School, Saint James School of Medicine, The Quarter, AIA.; Medical School, Saint James School of Medicine, The Quarter, AIA.; Medical School, Saint James School of Medicine, The Quarter, AIA.; Medical School, Saint James School of Medicine, The Quarter, AIA.","eng","Journal Article; Review","Cureus","The authors have declared that no competing interests exist.","Cureus","smart_phone"
"Childhood Trauma as a Risk Factor for High Risk Behaviors in Adolescents with Borderline Personality Disorder.",37159646,2023,"Jan","10.18502/ijps.v18i1.11414 [doi]","Objective: Childhood trauma is associated with many major short-term and lifelong ","Zashchirinskaia, Oksana; Isagulova, Elena","Saint-Petersburg State University, Saint-Petersburg, Russia.; Clinical Center of the Italian Institute of Micropsychoanalysis, Moscow, Russia.","eng","Journal Article","Iran J Psychiatry","None.","Iranian journal of psychiatry","smart_phone"
"Frequency of and Factors Associated with the Presence of a History of Probable Attention-Deficit Hyperactivity Disorder in a Population of Patients with Sex Addiction.",37088070,2023,NA,"10.1159/000530110 [doi]","INTRODUCTION: Since the first description of sex addiction (SA) by Carnes, ","Schreck, Benoit; Forcier, Camille; Balem, Marianne; Cabelguen, Clemence; Leboucher, Juliette; Grall-Bronnec, Marie; Challet-Bouju, Gaelle","Nantes Universite, CHU Nantes, UIC Psychiatrie et Sante Mentale, Nantes, France.; Nantes Universite, Univ Tours, CHU Nantes, INSERM, MethodS in Patient-centered ; Nantes Universite, CHU Nantes, UIC Psychiatrie et Sante Mentale, Nantes, France.; Nantes Universite, CHU Nantes, UIC Psychiatrie et Sante Mentale, Nantes, France.; Nantes Universite, Univ Tours, CHU Nantes, INSERM, MethodS in Patient-centered ; Nantes Universite, CHU Nantes, UIC Psychiatrie et Sante Mentale, Nantes, France.; Nantes Universite, CHU Nantes, UIC Psychiatrie et Sante Mentale, Nantes, France.; Nantes Universite, CHU Nantes, UIC Psychiatrie et Sante Mentale, Nantes, France.; Nantes Universite, Univ Tours, CHU Nantes, INSERM, MethodS in Patient-centered ; Nantes Universite, CHU Nantes, UIC Psychiatrie et Sante Mentale, Nantes, France.; Nantes Universite, Univ Tours, CHU Nantes, INSERM, MethodS in Patient-centered ","eng","Journal Article","Eur Addict Res",NA,"European addiction research","smart_phone"
"What is Normal Pornography Use in a Highly Religious Area? Exploring Patterns of Pornography Use in Utah.",37057555,2022,"May","10.1016/j.jsxm.2022.02.012 [doi]","BACKGROUND: Pornography has become mainstream in society, including in the state ","Esplin, Charlotte R; Hatch, S Gabe; Ogles, Benjamin M; Wood, David; Rasmussen, Benjamin D; Braithwaite, Scott R","Department of Psychology, Brigham Young University, Provo, Utah, USA.; Department of Psychology, University of Miami, Coral Gables, Forida, USA.; Department of Psychology, Brigham Young University, Provo, Utah, USA.; Department of Psychology, Brigham Young University, Provo, Utah, USA.; Department of Psychology, Brigham Young University, Provo, Utah, USA.; Department of Psychology, Brigham Young University, Provo, Utah, USA.","eng","Journal Article","J Sex Med","Conflict of Interest: The authors report no conflicts of interest.","The journal of sexual medicine","smart_phone"
"Time Goes Back-Time Perspective in Polish Men with Compulsive Sexual Behavior Disorder and Risky Sexual Behavior.",36981863,2023,"Mar","10.3390/ijerph20064954 [doi]; 4954","Many relationships between time perspective and a propensity to engage in risky ","Wyszomirska, Julia; Bak-Sosnowska, Monika","Department of Psychology, Faculty of Health Sciences in Katowice, Medical ; Center for Psychosomatics and Preventive Healthcare, WSB University in Dabrowa ","eng","Journal Article; Research Support, Non-U.S. Gov't","Int J Environ Res Public Health","The authors declare no conflict of interest.","International journal of environmental research and public health","smart_phone"
"Assessing compulsive sexual behavior disorder: The development and international validation of the compulsive sexual behavior disorder-diagnostic inventory (CSBD-DI).",36913189,2023,"Mar","10.1556/2006.2023.00005 [doi]","BACKGROUND AND AIMS: The World Health Organization's International Classification ","Grubbs, Joshua B; Reid, Rory C; Bothe, Beata; Demetrovics, Zsolt; Coleman, Eli; Gleason, Neil; Miner, Michael H; Fuss, Johannes; Klein, Verena; Lewczuk, Karol; Gola, Mateusz; Fernandez, David P; Fernandez, Elaine F; Carnes, Stefanie; Lew-Starowicz, Michal; Kingston, Drew; Kraus, Shane W","1Bowling Green State University, Bowling Green, Ohio, USA.; 2University of California Los Angeles, Los Angeles, California, USA.; 3Universite du Quebec a Trois-Rivieres, Trois-Rivieres, Quebec, Canada.; 4Universite de Montreal, Montreal, Quebec, Canada.; 5Institute of Psychology, ELTE Eotvos Lorand University, Budapest, Hungary.; 6Centre of Excellence in Responsible Gaming, University of Gibraltar, Gibraltar, ; 7University of Minnesota, Minneapolis, Minnesota, USA.; 8University of Washington, Seattle, Washington, USA.; 7University of Minnesota, Minneapolis, Minnesota, USA.; 9University of Duisburg-Essen, Duisburg, Germany.; 10School of Psychology, University of Southampton, UK.; 11Cardinal Stefan Wyszynski University in Warsaw, Poland.; 12University of California San Diego, San Diego, California, USA.; 13Institute of Psychology, Polish Academy of Sciences, Poland.; 14Nottingham Trent University, Nottingham, United Kingdom.; 15Independent Practice.; 16International Institute for Trauma and Addiction Professionals, Carefree, ; 17Department of Psychiatry, Centre of Postgraduate Medical Education, Warsaw, ; 18Institute of Mental Health Research, Royal Ottawa Health Care Group, Ottawa, ; 19Department of Psychiatry, McMaster University, Hamilton, ON, Canada.; 20University of Nevada Las Vegas, Las Vegas, Nevada, USA.","eng","Journal Article","J Behav Addict","All authors declare no coflict of interest in preparing this work. BB is an ","Journal of behavioral addictions","smart_phone"
