"Title","PMID"
"Definition of Substance and Non-substance Addiction.","29098666"
"Is smartphone addiction really an addiction?","29895183"
"Depression, anxiety, and smartphone addiction in university students- A cross sectional study.","28777828"
"Smartphone Addiction and Associated Health Outcomes in Adult Populations: A Systematic Review.","34832011"
"Smartphone Addiction and Sleep Quality on Academic Performance of University Students: An Exploratory Research.","34444042"
"Correlations between mobile phone addiction and anxiety, depression, impulsivity, and poor sleep quality among college students: A systematic review and meta-analysis.","32903205"
"Relationship of smartphone use severity with sleep quality, depression, and anxiety in university students.","26132913"
"Smartphone addiction and depression, anxiety: The role of bedtime procrastination and self-control.","34246950"
"Mobile Phone Addiction Among Children and Adolescents: A Systematic Review.","31800517"
"Relationship between insecure attachment and mobile phone addiction: A meta-analysis.","35413487"
"Internet Addiction, Smartphone Addiction, and Hikikomori Trait in Japanese Young Adult: Social Isolation and Social Network.","31354537"
"An updated of meta-analysis on the relationship between mobile phone addiction and sleep disorder.","35149136"
"Association between Smartphone Addiction and Suicide.","36141872"
"The association between smartphone addiction and thumb/wrist pain: A cross-sectional study.","32150053"
"The correlation between mobile phone addiction and coping style among Chinese adolescents: a meta-analysis.","34654451"
"Mobile Phone Addiction and Academic Procrastination Negatively Impact Academic Achievement Among Chinese Medical Students.","34887808"
"Smartphone use and smartphone addiction among young people in Switzerland.","26690625"
"Evaluating the relationship between smartphone addiction/overuse and musculoskeletal pain among medical students at Qassim University.","31681674"
"The Relationship between Physical Activity, Mobile Phone Addiction, and Irrational Procrastination in Chinese College Students.","34067764"
"Smartphone Addiction and Anxiety in Adolescents - A Cross-sectional Study.","34702436"
"Relationships between Smartphone Addiction and Smartphone Usage Types, Depression, ADHD, Stress, Interpersonal Problems, and Parenting Attitude with Middle School Students.","34002549"
"Smartphone Addiction and Quality of Sleep among Indian Medical Students.","33856961"
"Relationship between eating disorders and internet and smartphone addiction in college students.","33034868"
"Comparison of risk and protective factors associated with smartphone addiction and Internet addiction.","26690626"
"Smartphone addiction, risk factors and its adverse effects in nursing students: A systematic review and meta-analysis.","33485161"
"The relationship between smartphone addiction and musculoskeletal pain prevalence among young population: a cross-sectional study.","33380570"
"The Relationship Between Alexithymia and Mobile Phone Addiction Among Mainland Chinese Students: A Meta-Analysis.","35222110"
"Prevalence of mobile phone addiction among medical students: a systematic review.","37303637"
"Smartphone usage and increased risk of mobile phone addiction: A concurrent study.","29184824"
"A perspective of yoga on smartphone addiction: A narrative review.","36119290"
"Mobile Phone Addiction as an Emerging Behavioral Form of Addiction Among Adolescents in India.","35518537"
"Editorial: Significant Influencing Factors and Effective Interventions of Mobile Phone Addiction.","35572302"
"Smart Healthcare Systems and Precision Medicine.","31705499"
"Smartphone use by health professionals: A review.","33294206"
"Using a smartphone while walking: The cost of smartphone-addiction proneness.","32114216"
"Mobile Phone Dependence, Social Support and Impulsivity in Chinese University Students.","29533986"
"Mobile phone use pattern and addiction in relation to depression and anxiety.","32621504"
"Relationship Between Warm Childhood Memories and Mobile Phone Addiction: A Moderated Mediation Model.","36269848"
"Understanding the construction of 'behavior' in smartphone addiction: A scoping review.","36228362"
"The mobile phone addiction index: Cross gender measurement invariance in adolescents.","35923732"
"Longitudinal Cross-Lagged Analysis Between Mobile Phone Dependence, Friendships, and Depressive Symptoms Among Korean Adolescents.","35613406"
"Post-Traumatic Stress Disorder, Mobile Phone Dependence, and Academic Boredom in Adolescents During the COVID-19 Pandemic.","34790148"
"Association between mobile phone addiction and social support among mainland Chinese teenagers: A meta-analysis.","36589942"
"Addiction-like Behavior Associated with Mobile Phone Usage among Medical Students in Delhi.","30275620"
"A Longitudinal Relationship Between Mother's Smartphone Addiction to Child's Smartphone Addiction.","36465996"
"The Relationship between Mother's Smartphone Addiction and Children's Smartphone Usage.","33517617"
"Risk Factors for Smartphone Addiction in Korean Adolescents: Smartphone Use Patterns.","28875613"
"Adverse Effects of Smartphone Addiction among University Students in South Korea: A Systematic Review.","36611474"
"How and for Whom Is Mobile Phone Addiction Associated with Mind Wandering: The Mediating Role of Fatigue and Moderating Role of Rumination.","36497958"
"Assessment of Semi-Structured Clinical Interview for Mobile Phone Addiction Disorder.","27437008"
"Adolescent mobile phone addiction during the COVID-19 pandemic predicts subsequent suicide risk: a two-wave longitudinal study.","35962376"
"Prevalence of Mobile Phone Dependence in Secondary School Adolescents.","26672469"
"Mobile phone addiction and non-suicidal self-injury among adolescents in China.","36275469"
"The influence of alexithymia on mobile phone addiction: The role of depression, anxiety and stress.","28926906"
"The reciprocal relationship between mobile phone dependence and school adaptation in Korean adolescents: Autoregressive cross-lagged modeling.","35661977"
"The Relationship Between Types of Smartphone Use, Digital Literacy, and Smartphone Addiction in the Elderly.","36327963"
"Smartphone Addiction of Adolescents, Not a Smart Choice.","28875596"
"Parenting and mobile phone addiction tendency of Chinese adolescents: The roles of self-control and future time perspective.","36312090"
"Hypnotised by Your Phone? Smartphone Addiction Correlates With Hypnotisability.","32670109"
"Mobile phone addiction and its association with burnout in Chinese novice nurses: A cross-sectional survey.","33570286"
