"PMID","Year","Month","Title","DOI","Abstract","Full_Author_Name","Author_Address","Language","Publication_Type","Journal_name_short","Conflict_of_Interest_Statement","Journal_Title"
"37442974",2023,"Jul","Conceptualising social media addiction: a longitudinal network analysis of social ","10.1186/s12888-023-04985-5 [doi]; 509","BACKGROUND: Problematic social media use has been identified as negatively ","Tullett-Prado, Deon; Doley, Jo R; Zarate, Daniel; Gomez, Rapson; Stavropoulos, Vasileios","Institute for Health and Sport, Victoria University, Melbourne, Australia.; Institute for Health and Sport, Victoria University, Melbourne, Australia.; RMIT, Melbourne, Australia. Daniel.zarate@live.vu.edu.au.; Federation University, Ballarat, Australia.; RMIT, Melbourne, Australia.; National and Kapodistrian University of Athens, Athens, Greece.","eng","Journal Article","BMC Psychiatry","Dr Vasileios Stavropoulos is an associate editor for BMC Psychiatry. The ","BMC psychiatry"
"37406586",2023,"Jul","Exploring the relationship between social exclusion and social media addiction: ","S0001-6918(23)00156-7 [pii]; 10.1016/j.actpsy.2023.103980 [doi]","Previous studies have examined the relationships between some antecedents and ","Yue, Heng; Yue, Xiwen; Zhang, Xuemin; Liu, Bo; Bao, Hugejiletu","School of Psychology, Inner Mongolia Normal University, Hohhot, Inner Mongolia, ; Beidou College, Wuhan Qingchuan University, Wuhan, Hubei, China.; School of Psychology, Inner Mongolia Normal University, Hohhot, Inner Mongolia, ; School of Psychology, Inner Mongolia Normal University, Hohhot, Inner Mongolia, ; College of Physical Education, Inner Mongolia Normal University, Hohhot, Inner ","eng","Journal Article","Acta Psychol (Amst)","Declaration of competing interest On behalf of all authors, the corresponding ","Acta psychologica"
"37397839",2023,"May","Self-esteem and social media addiction level in adolescents: The mediating role ","10.4103/indianjpsychiatry.indianjpsychiatry_306_22 [doi]","BACKGROUND: There are many studies examining the relationship between social ","Colak, Mehmet; Bingol, Ozlem Sireli; Dayi, Ali","Department of Child and Adolescent Psychiatry, Freelance Physician, Izmir, ; Department of Child and Adolescent Psychiatry, Freelance Physician, Mugla, ; Department of Psychiatry, Beykent University Faculty of Medicine, Istanbul, ","eng","Journal Article","Indian J Psychiatry","There are no conflicts of interest.","Indian journal of psychiatry"
"37372785",2023,"Jun","Relationships between Depression, Fear of Missing Out and Social Media Addiction: ","10.3390/healthcare11121667 [doi]; 1667","The present study examines the relationships between depression, self-esteem, ","Sommantico, Massimiliano; Ramaglia, Ferdinando; Lacatena, Marina","Dynamic Psychology Laboratory, Department of Humanities, University of Naples ; Department of Humanities, University of Naples Federico II, 80133 Naples, Italy.; Department of Humanities, University of Naples Federico II, 80133 Naples, Italy.","eng","Journal Article","Healthcare (Basel)","The authors declare no conflict of interest.","Healthcare (Basel, Switzerland)"
"37366696",2023,"May","The Big Five Personality Domains and Their Facets: Empirical Relations to ","10.3390/bs13060444 [doi]; 444","Relatively common behavioral patterns in adolescence are problematic use of video ","Wartberg, Lutz; Potzel, Katrin; Spindler, Carolin; Kammerl, Rudolf","Department of Psychology, Faculty of Human Sciences, MSH Medical School Hamburg, ; Department of Education, Chair for Pedagogy with a Focus on Media Education, ; Department of Psychology, Faculty of Human Sciences, MSH Medical School Hamburg, ; Department of Education, Chair for Pedagogy with a Focus on Media Education, ","eng","Journal Article","Behav Sci (Basel)","The authors declare no conflict of interest. The funders had no role in the ","Behavioral sciences (Basel, Switzerland)"
"37365830",2023,"Jun","Problematic Gaming in Malaysian University Students: Translation and Psychometric ","10.1177/01632787231185845 [doi]","As research on gaming disorder (GD) is growing globally, the need for a valid and ","Ghazi, Farah Raihana; Gan, Wan Ying; Tung, Serene En Hui; Chen, I-Hua; Poon, Wai Chuen; Siaw, Yan-Li; Ruckwongpatr, Kamolthip; Chen, Jung-Sheng; Huang, Shih-Wei; Griffiths, Mark D; Lin, Chung-Ying","Department of Nutrition, Faculty of Medicine and Health Sciences, Universiti ; Department of Nutrition, Faculty of Medicine and Health Sciences, Universiti ; Division of Nutrition and Dietetics, School of Health Sciences, International ; Chinese Academy of Education Big Data, Qufu Normal University, Qufu, China. ; Sunway Business School, Sunway University, Selangor, Malaysia. RINGGOLD: 65189; Faculty of Education, Universiti Malaya, Malaysia. RINGGOLD: 37447; Institute of Allied Health Sciences, College of Medicine, National Cheng Kung ; Department of Medical Research, E-Da Hospital, I-Shou University, Kaohsiung, ; Institute of Environmental Toxin and Emerging Contaminant, Cheng Shiu University, ; Center for Environmental Toxin and Emerging-contaminant Research, Cheng Shiu ; International Gaming Research Unit, Psychology Department, Nottingham Trent ; Institute of Allied Health Sciences, College of Medicine, National Cheng Kung ; Biostatistics Consulting Center, National Cheng Kung University Hospital, College ; Department of Occupational Therapy, College of Medicine, National Cheng Kung ; Department of Public Health, College of Medicine, National Cheng Kung University, ","eng","Journal Article","Eval Health Prof",NA,"Evaluation & the health professions"
"37364655",2023,"Oct","Social media use as a risk factor for depressive symptoms during pregnancy.","S0165-0327(23)00810-8 [pii]; 10.1016/j.jad.2023.06.045 [doi]","BACKGROUND: Accumulating research has shown associations between excessive social ","Muskens, Lotte; Hulsbosch, Lianne P; van den Heuvel, Marion I; Croes, Emmelyn A J; Kop, Willem J; Pop, Victor J M; Boekhorst, Myrthe G B M","Department of Medical and Clinical Psychology, Tilburg University, Tilburg, the ; Department of Medical and Clinical Psychology, Tilburg University, Tilburg, the ; Department of Cognitive Neuropsychology, Tilburg University, Tilburg, the ; Department of Communication and Cognition, Tilburg University, Tilburg, the ; Department of Medical and Clinical Psychology, Tilburg University, Tilburg, the ; Department of Medical and Clinical Psychology, Tilburg University, Tilburg, the ; Department of Medical and Clinical Psychology, Tilburg University, Tilburg, the ","eng","Journal Article","J Affect Disord","Declaration of competing interest All other authors declare that they have no ","Journal of affective disorders"
"37362061",2023,"Jun","Mediating Roles of Fear of Missing Out and Boredom Proneness on Psychological ","10.1007/s41347-023-00323-4 [doi]","OBJECTIVE: The closure of schools and other educational institutes around the ","Malik, Lipika; Shahnawaz, Md Ghazi; Rehman, Usama; Pragyendu; Uniyal, Ritika; Griffiths, Mark D","Mumbai, India Department of Psychology, Amity University. GRID: grid.444644.2. ; New Delhi, 110025 India Department of Psychology, Jamia Millia Islamia Central ; Aligarh, India 20022 Department of Psychology, Aligarh Muslim University. GRID: ; Delhi, India Department of Applied Psychology, Sri Aurobindo College, Delhi ; New Delhi, 110025 India Department of Psychology, Jamia Millia Islamia Central ; Nottingham, UK International Gaming Research Unit, Psychology Department, ","eng","Journal Article","J Technol Behav Sci","Conflict of InterestThe authors declare no competing interests.","Journal of technology in behavioral science"
"37356318",2023,"Oct","Problematic social media use is associated with depression and similar to ","S0306-4603(23)00176-4 [pii]; 10.1016/j.addbeh.2023.107781 [doi]","While many studies have examined the relationship between problematic social ","Tsilosani, Akaki; Chan, KinHo; Steffens, Adriana; Bolton, Thomas B; Kowalczyk, William J","Hartwick College, Department of Psychology, 1 Hartwick Dr, Oneonta, NY 13820, ; Hartwick College, Department of Psychology, 1 Hartwick Dr, Oneonta, NY 13820, ; Mind Matters Regional Neurofeedback Centers, 189 Main Street, Oneonta, NY 13820, ; Hamilton College, 198 College Hill Road, Clinton, NY 13323, United States. ; Hartwick College, Department of Psychology, 1 Hartwick Dr, Oneonta, NY 13820, ","eng","Journal Article; Research Support, Non-U.S. Gov't","Addict Behav","Declaration of Competing Interest The authors declare that they have no known ","Addictive behaviors"
"37349707",2023,"Jun","Associations between adverse childhood experiences and early adolescent ","10.1186/s12889-023-16111-x [doi]; 1213","BACKGROUND: Problematic screen use, defined as an inability to control use ","Raney, Julia H; Al-Shoaibi, Abubakr A; Ganson, Kyle T; Testa, Alexander; Jackson, Dylan B; Singh, Gurbinder; Sajjad, Omar M; Nagata, Jason M","Department of Pediatrics, Division of Adolescent and Young Adult Medicine, ; Department of Pediatrics, Division of Adolescent and Young Adult Medicine, ; Factor-Inwentash Faculty of Social Work, University of Toronto, Toronto, ON, ; Department of Management, Policy and Community Health, University of Texas Health ; Department of Population, Family and Reproductive Health, Johns Hopkins Bloomberg ; Department of Pediatrics, Division of Adolescent and Young Adult Medicine, ; Geisel School of Medicine, Dartmouth College, Hanover, NH, USA.; Department of Pediatrics, Division of Adolescent and Young Adult Medicine, ","eng","Journal Article","BMC Public Health","The authors declare that they have no competing interests.","BMC public health"
