"Title","PMID"
"Prevalence of social media addiction across 32 nations: Meta-analysis with subgroup analysis of classification schemes and cultural values.","33550200"
"On the Psychology of TikTok Use: A First Glimpse From Empirical Findings.","33816425"
"Technological Addictions.","35792965"
"A review of theories and models applied in studies of social media addiction and implications for future research.","33268185"
"The relationship between addictive use of social media, narcissism, and self-esteem: Findings from a large national survey.","27072491"
"Social media addiction, cyberbullying and cyber victimization of university students.","34561065"
"Global prevalence of digital addiction in general population: A systematic review and meta-analysis.","35150965"
"The impact of heavy and disordered use of games and social media on adolescents' psychological, social, and school functioning.","30264607"
"The association between social media addiction and eating disturbances is mediated by muscle dysmorphia-related symptoms: a cross-sectional study in a sample of young adults.","34176075"
"Characteristics of social media 'detoxification' in university students.","33250011"
"Technological Addictions.","36055740"
"Relationships between Severity of Internet Gaming Disorder, Severity of Problematic Social Media Use, Sleep Quality and Psychological Distress.","32183188"
"The relationship between loneliness, depression, internet and social media addiction among young Polish women.","33660809"
"Editorial: Excessive and problematic smartphone usage.","35935433"
"The contribution of social media addiction to adolescent LIFE: Social appearance anxiety.","35693841"
"Social Media Addiction Among Individuals Who Underwent Rhinoplasty: Myth or Reality?","32366125"
"Does Smartphone Addiction, Social Media Addiction, and/or Internet Game Addiction Affect Adolescents' Interpersonal Interactions?","35628099"
"Social Media Addiction among Vietnam Youths: Patterns and Correlated Factors.","36361288"
"Social media 'addiction': The absence of an attentional bias to social media stimuli.","33852419"
"Social Media Addiction, Self-Compassion, and Psychological Well-Being: A Structural Equation Model.","36628380"
"Social Media Addiction during COVID-19-Mandated Physical Distancing: Relatedness Needs as Motives.","35457489"
"Alexithymia, narcissism and social anxiety in relation to social media and internet addiction symptoms.","35262189"
"Understanding Vaccine Hesitancy: Social Isolation in Relation to Social Media Addiction and COVID-19 Anxiety.","36320979"
"Measurement Invariance of the Bergen Social Media Addiction Scale Across Genders.","35800944"
"Research trends in social media addiction and problematic social media use: A bibliometric analysis.","36458122"
"Social media addiction and social media reactions: The implications for job performance.","30821647"
"Investigation of the Effect of Social Media Addiction on Adults with Depression.","33920478"
"Social media addiction and work engagement among nurses.","33782998"
"Is obesity and body perception disturbance related to social media addiction among university students?","35157558"
"Risk Factors Associated With Social Media Addiction: An Exploratory Study.","35496214"
"Why people are becoming addicted to social media: A qualitative study.","34250109"
"Cognitive functioning and social networking sites addiction - a review.","36342980"
"Social comparisons: A potential mechanism linking problematic social media use with depression.","35895606"
"Social Media Addiction in Young Adult Patients with Anxiety Disorders and Depression.","36447449"
"Orthorexia tendency and social media addiction among candidate doctors and nurses.","33861475"
"Social media addiction and emotions during the disaster recovery period-The moderating role of post-COVID timing.","36264854"
"Heterogeneity of Prevalence of Social Media Addiction Across Multiple Classification Schemes: Latent Profile Analysis.","35006084"
"Social media addiction: technological déjà vu.","31227577"
"Psychometric Properties of the Bergen Social Media Addiction Scale in Korean Young Adults.","35620820"
"Associations between social media addiction, psychological distress, and food addiction among Taiwanese university students.","36945011"
"Smartphone and social media use contributed to individual tendencies towards social media addiction in Italian adolescents during the COVID-19 pandemic.","34875508"
"Social Media in Adolescents: A Retrospective Correlational Study on Addiction.","36832407"
"The association between social media addiction and orthorexia nervosa, eating attitudes, and body image among adolescents.","36562891"
"Systematic review of social media addiction among health workers during the pandemic Covid-19.","37274718"
"Problematic social media use and depressive symptoms among U.S. young adults: A nationally-representative study.","28446367"
"Psychological Flexibility, Coronavirus Anxiety, Humor and Social Media Addiction During COVID-19 Pandemic in Turkey.","35125562"
"Social media addiction: What is the role of content in YouTube?","28914072"
"Peer Victimization and Adolescent Mobile Social Addiction: Mediation of Social Anxiety and Gender Differences.","36078687"
"Estimation of Behavioral Addiction Prevalence During COVID-19 Pandemic: A Systematic Review and Meta-analysis.","36118286"
"Smartphone and social media addiction: Exploring the perceptions and experiences of Canadian teenagers.","33599400"
"Social Media Addiction and Poor Mental Health: Examining the Mediating Roles of Internet Addiction and Phubbing.","36972903"
"Six addiction components of problematic social media use in relation to depression, anxiety, and stress symptoms: a latent profile analysis and network analysis.","37158854"
