"PMID","Year","Month","Title","DOI","Abstract","Full_Author_Name","Author_Address","Language","Publication_Type","Journal_name_short","Conflict_of_Interest_Statement","Journal_Title"
"35954769",2022,"Aug","Heavy Study Investment: An Analysis of the Defense Mechanisms Characterizing ","10.3390/ijerph19159413 [doi]; 9413","Defense mechanisms are unconscious processes that protect a person from excessive ","Loscalzo, Yura; Giannini, Marco","Department of Health Sciences, School of Psychology, University of Florence, ; Department of Health Sciences, School of Psychology, University of Florence, ","eng","Journal Article","Int J Environ Res Public Health","The authors declare no conflict of interest.","International journal of environmental research and public health"
"35564654",2022,"Apr","Studyholism and Study Engagement in Adolescence: The Role of Social Anxiety and ","10.3390/ijerph19095261 [doi]; 5261","Studyholism (or obsession toward study) is a new potential clinical condition ","Loscalzo, Yura; Giannini, Marco","Department of Health Sciences, School of Psychology, University of Florence, ; Department of Health Sciences, School of Psychology, University of Florence, ","eng","Journal Article","Int J Environ Res Public Health","The authors declare no conflict of interest.","International journal of environmental research and public health"
"35211069",2022,NA,"Editorial: Obsessive-Compulsive Related Disorders: Towards an Advancement of the ","10.3389/fpsyg.2022.849610 [doi]; 849610",NA,"Loscalzo, Yura; Giannini, Marco; Rice, Kenneth G","Department of Health Sciences, School of Psychology, University of Florence, ; Department of Health Sciences, School of Psychology, University of Florence, ; Center for the Study of Stress, Trauma, and Resilience, Department of Counseling ","eng","Editorial","Front Psychol","The authors declare that the research was conducted in the absence of any ","Frontiers in psychology"
"35140647",2021,NA,"Studyholism: A New Obsessive-Compulsive Related Disorder? An Analysis of Its ","10.3389/fpsyg.2021.734116 [doi]; 734116","Studyholism (or obsession toward study) is a new potential obsessive-compulsive ","Loscalzo, Yura; Giannini, Marco","Department of Health Sciences, School of Psychology, University of Florence, ; Department of Health Sciences, School of Psychology, University of Florence, ","eng","Journal Article","Front Psychol","The authors declare that the research was conducted in the absence of any ","Frontiers in psychology"
"33680206",2020,"Nov","Studyholism Inventory (SI-10): A Short Instrument for Evaluating Study Obsession ","10.5964/ejop.v16i4.1911 [doi]","Loscalzo and Giannini (Loscalzo, Y., & Giannini, M. [2017]. Studyholism or Study ","Loscalzo, Yura; Giannini, Marco","Department of Health Sciences, School of Psychology, University of Florence, ; Department of Health Sciences, School of Psychology, University of Florence, ","eng","Journal Article","Eur J Psychol","The authors have declared that no competing interests exist.","Europe's journal of psychology"
"33499773",2021,"Jul-Sep","Study addiction and 'dark' personality traits: a cross-sectional survey study ","10.1080/10550887.2021.1872469 [doi]","Background: Research has shown that personality traits can have an important role ","Kircaburun, Kagan; Sural, Irfan; March, Evita; Balta, Sabah; Emirtekin, Emrah; Griffiths, Mark D","International Gaming Research Unit, Psychology Department, Nottingham Trent ; Educational Sciences Department, Duzce University, Duzce, Turkey.; Computer and Instructional Technologies Department, Osmangazi University, ; School of Health and Life Sciences, Federation University Australia, Berwick ; School of Applied Sciences, Yasar University, Izmir, Turkey.; The Centre for Open and Distance Learning, Yasar University, Izmir, Turkey.; International Gaming Research Unit, Psychology Department, Nottingham Trent ","eng","Journal Article","J Addict Dis",NA,"Journal of addictive diseases"
"33494372",2021,"Jan","Studyholism and Study Engagement: What about the Role of Perfectionism, Worry, ","10.3390/ijerph18030910 [doi]; 910","This study aims to deepen the analysis of Studyholism (or obsession toward study) ","Loscalzo, Yura","Department of Health Sciences, School of Psychology, University of Florence, ","eng","Journal Article","Int J Environ Res Public Health","The author declares no conflict of interest.","International journal of environmental research and public health"
"32249923",2020,"Apr","Prevalence and practice of opioid prescription at a Swiss emergency department: ","Swiss Med Wkly. 2020;150:w20202 [pii]; 10.4414/smw.2020.20202 [doi]","AIMS OF THE STUDY: Addiction associated with prescription opioids is increasing ","Gaertner, Katharina; Wildbolz, Samuel; Speidel, Victor; Exadaktylos, Aristomenis K; Hautz, Wolf E; Muller, Martin","Department of Emergency Medicine, Inselspital, Bern University Hospital, Bern, ; Department of Emergency Medicine, Inselspital, Bern University Hospital, Bern, ; Department of Infectious Diseases and Division of General Internal and Emergency ; Department of Emergency Medicine, Inselspital, Bern University Hospital, Bern, ; Department of Emergency Medicine, Inselspital, Bern University Hospital, Bern, ; Department of Emergency Medicine, Inselspital, Bern University Hospital, Bern, ","eng","Journal Article","Swiss Med Wkly",NA,"Swiss medical weekly"
"31379617",2019,NA,"Heavy Study Investment in Italian College Students. An Analysis of Loscalzo and ","10.3389/fpsyt.2019.00489 [doi]; 489","Loscalzo and Giannini (2017) recently proposed the construct of studyholism (or ","Loscalzo, Yura; Giannini, Marco","Department of Health Sciences, School of Psychology, University of Florence, ; Department of Health Sciences, School of Psychology, University of Florence, ","eng","Journal Article","Front Psychiatry",NA,"Frontiers in psychiatry"
"33574951",2019,"Jun","The Dark Side of Study: When Study Negatively Affects Relationships and School ","10.5964/ejop.v15i2.1567 [doi]","This study proposes a new instrument for evaluating the Study-Relationships ","Loscalzo, Yura; Giannini, Marco","Department of Health Sciences, School of Psychology, University of Florence, ; Department of Health Sciences, School of Psychology, University of Florence, ","eng","Journal Article","Eur J Psychol","The authors have declared that no competing interests exist.","Europe's journal of psychology"
"30875650",2019,"Apr","Substance abuse and white matter: Findings, limitations, and future of diffusion ","S0376-8716(18)30493-9 [pii]; 10.1016/j.drugalcdep.2019.02.005 [doi]","Individuals who abuse substances often differ from nonusers in their brain ","Hampton, William H; Hanik, Italia M; Olson, Ingrid R","Department of Psychology, College of Liberal Arts, Temple University, United ; Department of Psychology, College of Liberal Arts, Temple University, United ; Department of Psychology, College of Liberal Arts, Temple University, United ","eng","Journal Article; Research Support, N.I.H., Extramural; Review","Drug Alcohol Depend","Disclosures The authors declare no competing or conflicting financial interests. ","Drug and alcohol dependence"
"30541335",2018,"Dec","Problematic overstudying: Studyholism or study addiction?","10.1556/2006.7.2018.124 [doi]","This commentary addresses Griffiths et al. (2018)'s sixth myth about work ","Loscalzo, Yura; Giannini, Marco","1 Department of Health Sciences, School of Psychology, University of Florence , ; 1 Department of Health Sciences, School of Psychology, University of Florence , ","eng","Comment; Journal Article","J Behav Addict",NA,"Journal of behavioral addictions"
