"Title","PMID","Year","Month","DOI","Abstract","Full_Author_Name","Author_Address","Language","Publication_Type","Journal_name_short","Conflict_of_Interest_Statement","Journal_Title","Label"
"Heavy Study Investment: An Analysis of the Defense Mechanisms Characterizing Studyholism and Study Engagement.",35954769,2022,"Aug","10.3390/ijerph19159413 [doi]; 9413","Defense mechanisms are unconscious processes that protect a person from excessive ","Loscalzo, Yura; Giannini, Marco","Department of Health Sciences, School of Psychology, University of Florence, ; Department of Health Sciences, School of Psychology, University of Florence, ","eng","Journal Article","Int J Environ Res Public Health","The authors declare no conflict of interest.","International journal of environmental research and public health","study"
"Studyholism and Study Engagement in Adolescence: The Role of Social Anxiety and Interpretation Bias as Antecedents.",35564654,2022,"Apr","10.3390/ijerph19095261 [doi]; 5261","Studyholism (or obsession toward study) is a new potential clinical condition ","Loscalzo, Yura; Giannini, Marco","Department of Health Sciences, School of Psychology, University of Florence, ; Department of Health Sciences, School of Psychology, University of Florence, ","eng","Journal Article","Int J Environ Res Public Health","The authors declare no conflict of interest.","International journal of environmental research and public health","study"
"Editorial: Obsessive-Compulsive Related Disorders: Towards an Advancement of the Knowledge of These Internalizing Disorders.",35211069,2022,NA,"10.3389/fpsyg.2022.849610 [doi]; 849610",NA,"Loscalzo, Yura; Giannini, Marco; Rice, Kenneth G","Department of Health Sciences, School of Psychology, University of Florence, ; Department of Health Sciences, School of Psychology, University of Florence, ; Center for the Study of Stress, Trauma, and Resilience, Department of Counseling ","eng","Editorial","Front Psychol","The authors declare that the research was conducted in the absence of any ","Frontiers in psychology","study"
"Studyholism: A New Obsessive-Compulsive Related Disorder? An Analysis of Its Association With Internalizing and Externalizing Features.",35140647,2021,NA,"10.3389/fpsyg.2021.734116 [doi]; 734116","Studyholism (or obsession toward study) is a new potential obsessive-compulsive ","Loscalzo, Yura; Giannini, Marco","Department of Health Sciences, School of Psychology, University of Florence, ; Department of Health Sciences, School of Psychology, University of Florence, ","eng","Journal Article","Front Psychol","The authors declare that the research was conducted in the absence of any ","Frontiers in psychology","study"
"Studyholism Inventory (SI-10): A Short Instrument for Evaluating Study Obsession Within the Heavy Study Investment Framework.",33680206,2020,"Nov","10.5964/ejop.v16i4.1911 [doi]","Loscalzo and Giannini (Loscalzo, Y., & Giannini, M. [2017]. Studyholism or Study ","Loscalzo, Yura; Giannini, Marco","Department of Health Sciences, School of Psychology, University of Florence, ; Department of Health Sciences, School of Psychology, University of Florence, ","eng","Journal Article","Eur J Psychol","The authors have declared that no competing interests exist.","Europe's journal of psychology","study"
"Study addiction and 'dark' personality traits: a cross-sectional survey study among emerging adults.",33499773,2021,"Jul-Sep","10.1080/10550887.2021.1872469 [doi]","Background: Research has shown that personality traits can have an important role ","Kircaburun, Kagan; Sural, Irfan; March, Evita; Balta, Sabah; Emirtekin, Emrah; Griffiths, Mark D","International Gaming Research Unit, Psychology Department, Nottingham Trent ; Educational Sciences Department, Duzce University, Duzce, Turkey.; Computer and Instructional Technologies Department, Osmangazi University, ; School of Health and Life Sciences, Federation University Australia, Berwick ; School of Applied Sciences, Yasar University, Izmir, Turkey.; The Centre for Open and Distance Learning, Yasar University, Izmir, Turkey.; International Gaming Research Unit, Psychology Department, Nottingham Trent ","eng","Journal Article","J Addict Dis",NA,"Journal of addictive diseases","study"
"Studyholism and Study Engagement: What about the Role of Perfectionism, Worry, Overstudy Climate, and Type of School in Adolescence?",33494372,2021,"Jan","10.3390/ijerph18030910 [doi]; 910","This study aims to deepen the analysis of Studyholism (or obsession toward study) ","Loscalzo, Yura","Department of Health Sciences, School of Psychology, University of Florence, ","eng","Journal Article","Int J Environ Res Public Health","The author declares no conflict of interest.","International journal of environmental research and public health","study"
"Prevalence and practice of opioid prescription at a Swiss emergency department: 2013-2017.",32249923,2020,"Apr","Swiss Med Wkly. 2020;150:w20202 [pii]; 10.4414/smw.2020.20202 [doi]","AIMS OF THE STUDY: Addiction associated with prescription opioids is increasing ","Gaertner, Katharina; Wildbolz, Samuel; Speidel, Victor; Exadaktylos, Aristomenis K; Hautz, Wolf E; Muller, Martin","Department of Emergency Medicine, Inselspital, Bern University Hospital, Bern, ; Department of Emergency Medicine, Inselspital, Bern University Hospital, Bern, ; Department of Infectious Diseases and Division of General Internal and Emergency ; Department of Emergency Medicine, Inselspital, Bern University Hospital, Bern, ; Department of Emergency Medicine, Inselspital, Bern University Hospital, Bern, ; Department of Emergency Medicine, Inselspital, Bern University Hospital, Bern, ","eng","Journal Article","Swiss Med Wkly",NA,"Swiss medical weekly","study"
"Heavy Study Investment in Italian College Students. An Analysis of Loscalzo and Giannini's (2017) Studyholism Comprehensive Model.",31379617,2019,NA,"10.3389/fpsyt.2019.00489 [doi]; 489","Loscalzo and Giannini (2017) recently proposed the construct of studyholism (or ","Loscalzo, Yura; Giannini, Marco","Department of Health Sciences, School of Psychology, University of Florence, ; Department of Health Sciences, School of Psychology, University of Florence, ","eng","Journal Article","Front Psychiatry",NA,"Frontiers in psychiatry","study"
"The Dark Side of Study: When Study Negatively Affects Relationships and School Climate. The Study-Relationships Conflict Scale.",33574951,2019,"Jun","10.5964/ejop.v15i2.1567 [doi]","This study proposes a new instrument for evaluating the Study-Relationships ","Loscalzo, Yura; Giannini, Marco","Department of Health Sciences, School of Psychology, University of Florence, ; Department of Health Sciences, School of Psychology, University of Florence, ","eng","Journal Article","Eur J Psychol","The authors have declared that no competing interests exist.","Europe's journal of psychology","study"
"Substance abuse and white matter: Findings, limitations, and future of diffusion tensor imaging research.",30875650,2019,"Apr","S0376-8716(18)30493-9 [pii]; 10.1016/j.drugalcdep.2019.02.005 [doi]","Individuals who abuse substances often differ from nonusers in their brain ","Hampton, William H; Hanik, Italia M; Olson, Ingrid R","Department of Psychology, College of Liberal Arts, Temple University, United ; Department of Psychology, College of Liberal Arts, Temple University, United ; Department of Psychology, College of Liberal Arts, Temple University, United ","eng","Journal Article; Research Support, N.I.H., Extramural; Review","Drug Alcohol Depend","Disclosures The authors declare no competing or conflicting financial interests. ","Drug and alcohol dependence","study"
"Problematic overstudying: Studyholism or study addiction?",30541335,2018,"Dec","10.1556/2006.7.2018.124 [doi]","This commentary addresses Griffiths et al. (2018)'s sixth myth about work ","Loscalzo, Yura; Giannini, Marco","1 Department of Health Sciences, School of Psychology, University of Florence , ; 1 Department of Health Sciences, School of Psychology, University of Florence , ","eng","Comment; Journal Article","J Behav Addict",NA,"Journal of behavioral addictions","study"
