"PMID","Year","Month","Title","DOI","Abstract","Full_Author_Name","Author_Address","Language","Publication_Type","Journal_name_short","Conflict_of_Interest_Statement","Journal_Title"
"35738808",2022,"Jun","Encouraging sun protection early in life: from a successful prevention programme ","10.1111/jdv.18194 [doi]","Children and adolescents have high rates of sunburn and high levels of ","Stockfleth, E; Revol, O","Klinik fur Dermatologie und Ruhr-Universitat Bochum, Gudrunstrasse 52, Bochum, ; Child Development Unit, Hospices Civils de Lyon, Bron, France.","eng","Journal Article; Review","J Eur Acad Dermatol Venereol",NA,"Journal of the European Academy of Dermatology and Venereology : JEADV"
"33100528",2020,"Oct","Skin cancer risk and tanning in pageant contestants.","10.1080/08998280.2020.1775166 [doi]","Since tanned skin may be perceived as a marker of beauty in American pageant ","Phan, Mimi N; Kohn, Jaden; Dao, Harry","College of Medicine, Texas A&M Health Science Center, Houston, Texas.; Department of Obstetrics and Gynecology, John Hopkins University School of ; Department of Dermatology, Loma Linda University Health, Loma Linda, California.","eng","Journal Article","Proc (Bayl Univ Med Cent)",NA,"Proceedings (Baylor University. Medical Center)"
"32622889",2020,"Nov","Heritability of tanning addiction: A twin concordance study.","S0190-9622(20)32106-X [pii]; 10.1016/j.jaad.2020.06.1006 [doi]",NA,"Tripathi, Raghav; Knusel, Konrad D; Mazmudar, Rishabh S; Ezaldein, Harib H; Bordeaux, Jeremy S; Scott, Jeffrey F","Department of Dermatology, Case Western Reserve University School of Medicine, ; Department of Dermatology, Case Western Reserve University School of Medicine, ; Department of Dermatology, Case Western Reserve University School of Medicine, ; Department of Dermatology, Case Western Reserve University School of Medicine, ; Department of Dermatology, Case Western Reserve University School of Medicine, ; Department of Dermatology, Case Western Reserve University School of Medicine, ","eng","Letter; Twin Study","J Am Acad Dermatol",NA,"Journal of the American Academy of Dermatology"
"32412794",2020,"Jul/Aug","Ultraviolet Radiation Seeking Behavior, Mediated by Endogenous beta-Endorphin, Has ","10.1177/1203475420926990 [doi]",NA,"Ouchene, Lydia; Muntyanu, Anastasiya; Netchiporouk, Elena","1236754473 Division of Dermatology, Department of Medicine, McGill University ; 1236754473 Division of Dermatology, Department of Medicine, McGill University ; 1236754473 Division of Dermatology, Department of Medicine, McGill University ","eng","Letter","J Cutan Med Surg",NA,"Journal of cutaneous medicine and surgery"
"31853640",2020,"Nov","Attitudes and practice among dermatologists regarding indoor tanning.","10.1007/s00403-019-02026-4 [doi]","The aim of this study was to explore dermatologists' practices and attitudes ","Nahar, Vinayak K; Wilkerson, Amanda H; Mayer, Jonathan E; Gromley, Zeynep; Berry, David; Nahar, Ludmila; Brodell, Robert T","Department of Dermatology, School of Medicine, University of Mississippi Medical ; Department of Preventive Medicine, School of Medicine/John D. Bower School of ; Department of Human Environmental Sciences, College of Human Environmental ; Department of Dermatology, University of Colorado School of Medicine, Aurora, CO, ; DeBusk College of Osteopathic Medicine, Lincoln Memorial University, Harrogate, ; DeBusk College of Osteopathic Medicine, Lincoln Memorial University, Harrogate, ; Department of Dermatology, School of Medicine, University of Mississippi Medical ; Department of Dermatology, School of Medicine, University of Mississippi Medical ","eng","Journal Article","Arch Dermatol Res",NA,"Archives of dermatological research"
"31185074",2020,"Jan","Genetic Associations with Indoor Tanning Addiction among non-Hispanic White Young ","10.1093/abm/kaz021 [doi]","BACKGROUND: Some young people may become addicted to indoor tanning in a manner ","Mays, Darren; Ahn, Jaeil; Zhang, Bingsong; Atkins, Michael B; Goerlitz, David; Tercyak, Kenneth P","Lombardi Comprehensive Cancer Center, Georgetown University Medical Center, ; Department of Biostatistics, Bioinformatics, and Biomathematics, Georgetown ; Department of Biostatistics, Bioinformatics, and Biomathematics, Georgetown ; Lombardi Comprehensive Cancer Center, Georgetown University Medical Center, ; Lombardi Comprehensive Cancer Center, Georgetown University Medical Center, ; Lombardi Comprehensive Cancer Center, Georgetown University Medical Center, ","eng","Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't","Ann Behav Med",NA,"Annals of behavioral medicine : a publication of the Society of Behavioral "
"30009997",2018,"Oct","Can neuroimmune mechanisms explain the link between ultraviolet light (UV) ","S0889-1591(18)30328-3 [pii]; 10.1016/j.bbi.2018.07.008 [doi]","High ultraviolet (UV) light exposure on the skin acts as a reinforcing stimulus, ","Iacopetta, Krystal; Collins-Praino, Lyndsey E; Buisman-Pijlman, Femke T A; Hutchinson, Mark R","Adelaide Centre for Neuroscience Research, Adelaide Medical School, University of ; Adelaide Centre for Neuroscience Research, Adelaide Medical School, University of ; Adelaide Centre for Neuroscience Research, Adelaide Medical School, University of ; Adelaide Centre for Neuroscience Research, Adelaide Medical School, University of ","eng","Journal Article; Review","Brain Behav Immun",NA,"Brain, behavior, and immunity"
"29941096",2018,"Jul","Tanning Addiction in Adolescents: Directions for Measurement and Intervention ","S0022-202X(18)31974-2 [pii]; 10.1016/j.jid.2018.05.002 [doi]","Little is known about tanning addiction in adolescents. Miller et al. found ","Tripp, Mary K","Department of Behavioral Science, The University of Texas MD Anderson Cancer ","eng","Comment; Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't","J Invest Dermatol",NA,"The Journal of investigative dermatology"
"29481903",2018,"Jul","Prevalence of Tanning Addiction and Behavioral Health Conditions among Ethnically ","S0022-202X(18)30142-8 [pii]; 10.1016/j.jid.2018.02.018 [doi]","Evidence indicates that tanning may be addictive and is associated with other ","Miller, Kimberly A; Piombo, Sarah E; Cho, Junhan; Higgins, Shauna; Wysong, Ashley; Sussman, Steve; Cockburn, Myles G; Leventhal, Adam M","Department of Preventive Medicine, Keck School of Medicine of the University of ; Department of Preventive Medicine, Keck School of Medicine of the University of ; Department of Preventive Medicine, Keck School of Medicine of the University of ; Department of Dermatology, Keck School of Medicine of the University of Southern ; Department of Dermatology, Keck School of Medicine of the University of Southern ; Department of Preventive Medicine, Keck School of Medicine of the University of ; Department of Preventive Medicine, Keck School of Medicine of the University of ; Department of Preventive Medicine, Keck School of Medicine of the University of ","eng","Journal Article","J Invest Dermatol","CONFLICT OF INTEREST The authors state no conflict of interest.","The Journal of investigative dermatology"
"29478244",2018,"Aug","Tanning addiction: conceptualization, assessment and correlates.","10.1111/bjd.16480 [doi]","BACKGROUND: Research into problematic tanning (or 'tanning addiction') has ","Andreassen, C S; Pallesen, S; Torsheim, T; Demetrovics, Z; Griffiths, M D","Department of Clinical Psychology.; Department of Psychosocial Science, University of Bergen, Bergen, Norway.; Department of Psychosocial Science, University of Bergen, Bergen, Norway.; Institute of Psychology, Eotvos Lorand University, Budapest, Hungary.; International Gaming Research Unit, Nottingham Trent University, Nottingham, U.K.","eng","Journal Article","Br J Dermatol",NA,"The British journal of dermatology"
