"Title","PMID","Year","Month","DOI","Abstract","Full_Author_Name","Author_Address","Language","Publication_Type","Journal_name_short","Conflict_of_Interest_Statement","Journal_Title","Label"
"The social construction of workaholism as a representational naturalization.",37408917,2023,"Jun","10.1016/j.heliyon.2023.e17447 [doi]; e17447","Workaholism, a term borrowed from the language around alcoholism, first appeared ","Negura, Lilian; Plante, Nathalie; Namian, Dahlia","University of Ottawa, 120 University Private, Social Sciences Building, Ottawa, ; Universite du Quebec a Montreal, Ecole de travail social, 455, Boulevard ; University of Ottawa, 120 University Private, Social Sciences Building, Ottawa, ","eng","Journal Article","Heliyon","The authors declare the following financial interests/personal relationships ","Heliyon","work"
"Validity and reliability of a Chinese version of the Bergen Work Addiction Scale.",37205064,2023,NA,"10.3389/fpsyg.2023.1029846 [doi]; 1029846","BACKGROUND: Work addiction (WA), which can impair personal relationships, ","Liu, Yuanyuan; Tian, Hongjun; Chen, Xinying; Jia, Feng; Li, Ranli; Sun, Yun; Chen, Langlang; Zhu, Jingjing; Jiang, Deguo; Zhuo, Chuanjun","Department of Psychosomatic Medicine, Tianjin Chest Hospital, Tianjin, China.; Department of Psychiatry, Tianjin Fourth Center Hospital, Tianjin, China.; Department of Psychiatry, Tianjin Anding Hospital, Tianjin, China.; Department of Psychiatry, Tianjin Anding Hospital, Tianjin, China.; Department of Psychiatry, Tianjin Anding Hospital, Tianjin, China.; Department of Psychiatry, Tianjin Anding Hospital, Tianjin, China.; Department of Psychiatry, Wenzhou Seventh People's Hospital, Wenzhou, China.; Department of Psychiatry, Wenzhou Seventh People's Hospital, Wenzhou, China.; Department of Psychiatry, Wenzhou Seventh People's Hospital, Wenzhou, China.; Department of Psychiatry, Tianjin Fourth Center Hospital, Tianjin, China.; Department of Psychiatry, Tianjin Anding Hospital, Tianjin, China.; Department of Psychiatry, Wenzhou Seventh People's Hospital, Wenzhou, China.","eng","Journal Article","Front Psychol","The authors declare that the research was conducted in the absence of any ","Frontiers in psychology","work"
"Effects of ethical climate in association with tenure on work addiction, quality of care and staff retention: a cross-sectional study.",37193593,2023,"May","bmjqs-2022-015824 [pii]; 10.1136/bmjqs-2022-015824 [doi]","OBJECTIVES: Work addiction is not contingent on personality alone; it is also ","Maisonneuve, Francis; Groulx, Patrick; Chenevert, Denis; Grady, Colleen; Coderre-Ball, Angela","Human Resource Management, HEC Montreal, Montreal, Quebec, Canada ; Management, HEC Montreal, Montreal, Quebec, Canada.; Human Resource Management, HEC Montreal, Montreal, Quebec, Canada.; Family Medecine, Queen's University, Kingston, Ontario, Canada.; Family Medecine, Queen's University, Kingston, Ontario, Canada.","eng","Journal Article","BMJ Qual Saf","Competing interests: None declared.","BMJ quality & safety","work"
"Work addiction, work engagement, job burnout, and perceived stress: A network analysis.",37063548,2023,NA,"10.3389/fpsyg.2023.1130069 [doi]; 1130069","INTRODUCTION: Recently, the network theory of mental disorders has been used to ","Bereznowski, Piotr; Atroszko, Pawel Andrzej; Konarski, Roman","Faculty of Social Sciences, Institute of Psychology, University of Gdansk, ; Faculty of Social Sciences, Institute of Psychology, University of Gdansk, ; Faculty of Social Sciences, Institute of Psychology, University of Gdansk, ","eng","Journal Article","Front Psychol","The authors declare that the research was conducted in the absence of any ","Frontiers in psychology","work"
"Severity of behavioral addiction symptoms among young adults using non-prescribed sedatives/hypnotics.",36941849,2023,"Jun","10.1016/j.abrep.2023.100485 [doi]; 100485","INTRODUCTION: Young adulthood is considered a critical period in terms of ","Peter, Lea; Paksi, Borbala; Magi, Anna; Eisinger, Andrea; Kotyuk, Eszter; Czako, Andrea; Griffiths, Mark D; Demetrovics, Zsolt; Ando, Balint","Department of Psychiatry, University of Szeged, 8-10 Koranyi fasor, Szeged ; Institute of Education, ELTE Eotvos Lorand University, 23-27 Kazinczy Street, ; Doctoral School of Psychology, ELTE Eotvos Lorand University, 46 Izabella Street, ; Institute of Psychology, ELTE Eotvos Lorand University, 46 Izabella Street, ; Doctoral School of Psychology, ELTE Eotvos Lorand University, 46 Izabella Street, ; Institute of Psychology, ELTE Eotvos Lorand University, 46 Izabella Street, ; Institute of Psychology, ELTE Eotvos Lorand University, 46 Izabella Street, ; Institute of Psychology, ELTE Eotvos Lorand University, 46 Izabella Street, ; Centre of Excellence in Responsible Gaming, University of Gibraltar, Europa Point ; International Gaming Research Unit, Psychology Department, Nottingham Trent ; Institute of Psychology, ELTE Eotvos Lorand University, 46 Izabella Street, ; Centre of Excellence in Responsible Gaming, University of Gibraltar, Europa Point ; Department of Psychiatry, University of Szeged, 8-10 Koranyi fasor, Szeged ","eng","Journal Article","Addict Behav Rep","The authors declare that they have no known competing financial interests or ","Addictive behaviors reports","work"
"The Role of an Individual and a Situation in Explaining Work Addiction: Disclosing Complex Relations.",36901570,2023,"Mar","10.3390/ijerph20054560 [doi]; 4560","The current study aimed to test the relationships between perfectionism, type A ","Morkeviciute, Modesta; Endriulaitiene, Aukse","Department of Psychology, Faculty of Social Sciences, Vytautas Magnus University, ; Department of Psychology, Faculty of Social Sciences, Vytautas Magnus University, ","eng","Journal Article","Int J Environ Res Public Health","The authors declare that they have no potential conflict of interest with respect ","International journal of environmental research and public health","work"
"How and When May Technostress Impact Workers' Psycho-Physical Health and Work-Family Interface? A Study during the COVID-19 Pandemic in Italy.",36674020,2023,"Jan","10.3390/ijerph20021266 [doi]; 1266","Although a growing body of research has analyzed the determinants and effects of ","Sommovigo, Valentina; Bernuzzi, Chiara; Finstad, Georgia Libera; Setti, Ilaria; Gabanelli, Paola; Giorgi, Gabriele; Fiabane, Elena","Department of Psychology, Faculty of Medicine and Psychology, Sapienza University ; Department of Brain and Behavioural Sciences, Unit of Applied Psychology, ; Department of Human Sciences, European University of Rome, 00163 Rome, Italy.; Department of Brain and Behavioural Sciences, Unit of Applied Psychology, ; Istituti Clinici Scientifici Maugeri, IRCCS, Psychology Unit of Pavia Institute, ; Department of Human Sciences, European University of Rome, 00163 Rome, Italy.; Istituti Clinici Scientifici Maugeri, IRCCS, Department of Physical and ","eng","Journal Article","Int J Environ Res Public Health","The authors declare no conflict of interest.","International journal of environmental research and public health","work"
"Association between workaholism, vital exhaustion, and hair cortisol concentrations among teachers: A longitudinal study testing the moderation effect of neuroticism.",36591097,2022,NA,"10.3389/fpsyg.2022.1046573 [doi]; 1046573","INTRODUCTION: Workaholism in teachers is characterized by the willingness to work ","Wettstein, Alexander; Schneider, Sandra; Jenni, Gabriel; Holtforth, Martin Grosse; Tschacher, Wolfgang; La Marca, Roberto","Department of Research and Development, University of Teacher Education Bern, ; Department of Research and Development, University of Teacher Education Bern, ; Department of Psychology, Clinical Psychology and Psychotherapy, University of ; Department of Research and Development, University of Teacher Education Bern, ; Department of Psychology, Clinical Psychology and Psychotherapy, University of ; Department of Neurology, Psychosomatic Medicine, Bern University Hospital, Bern, ; Experimental Psychology Division, University Clinic for Psychiatry and ; Department of Research and Development, University of Teacher Education Bern, ; Centre for Stress-Related Disorders, Clinica Holistica Engiadina, Susch, ; Department of Clinical Psychology and Psychotherapy, University of Zurich, ","eng","Journal Article","Front Psychol","The authors declare that the research was conducted in the absence of any ","Frontiers in psychology","work"
"Effect of role overload on missed nursing care in China: The role of work addiction and leader-member exchange.",36564925,2023,"May","10.1002/nop2.1565 [doi]","AIM: The aim was to examine the effect of role overload, work addiction and ","Xie, Lin-Li; Jiang, Wenchun; Niyomsilp, Eksiri; Jing, Jie; Feng, Lu; Wen, Yilin; Wang, Li; Zheng, Rongmei","University of Electronic Science and Technology of China, Sichuan Provincial ; School of Medicine, University of Electronic Science and Technology of China, ; Department of Nursing, University of Electronic Science and Technology of China, ; School of Management, Shinawatra University, Pathumthani, Thailand.; School of Medicine, University of Electronic Science and Technology of China, ; Department of Nursing, University of Electronic Science and Technology of China, ; School of Management, Shinawatra University, Pathumthani, Thailand.; University of Electronic Science and Technology of China, Sichuan Provincial ; School of Medicine, University of Electronic Science and Technology of China, ; Shehong Municipal Hospital of Traditional Chinese Medicine, Shehong, China.; The Second People's Hospital of Panzhihua, Panzhihua, China.; Guangyuan Third People's Hospital, Guangyuan, China.","eng","Journal Article; Research Support, Non-U.S. Gov't","Nurs Open","The author(s) declared no potential conflicts of interest with respect to the ","Nursing open","work"
"Validity of a Revised Obsessive-Compulsive Personality Disorder (OCPD) Trait Profile and Its Relationship with Social Interaction Anxiety and Coping.",36469688,2022,"Dec","10.1080/00223891.2022.2145963 [doi]","There is evidence suggesting that the conceptualization and operationalization of ","Seretis, Dionysis; Hart, Claire M; Maguire, Tess","Department of Psychology, University of Southampton, Southampton, UK.; Department of Psychology, University of Southampton, Southampton, UK.; Department of Psychology, University of Southampton, Southampton, UK.","eng","Journal Article","J Pers Assess",NA,"Journal of personality assessment","work"
