"Title","PMID"
"Addiction to Work: A Critical Review of the Workaholism Construct and Recommendations for Assessment.","26489104"
"Work Addiction Test Questionnaire to Assess Workaholism: Validation of French Version.","29439945"
"Advancing Workaholism Research.","33339235"
"Overearning.","23572281"
"Live to Work or Work to Live? An Age-Moderated Mediation Model on the Simultaneous Mechanisms Prompted by Workaholism Among Healthcare Professionals.","31133912"
"Contextualising over-engagement in work: Towards a more global understanding of workaholism as an addiction.","26165458"
"Workaholism: An overview and current status of the research.","25215209"
"Work-Addiction Risk in Athletic Trainers and Its Relationship to Work-Family Conflict and Burnout.","35302614"
"Workaholism Prevention in Occupational Medicine: A Systematic Review.","34281048"
"Work Addiction.","25307676"
"Ten myths about work addiction.","29409339"
"A study of workaholism in Irish academics.","27170737"
"Live to work or love to work: work craving and work engagement.","25296091"
"Addiction to work and factors relating to this: a cross-sectional study on doctors in the state of Paraíba.","28977095"
"Workaholism and work-family interaction among emergency and critical care nurses.","35397978"
"Workaholism as a Mediator between Work-Related Stressors and Health Outcomes.","29303969"
"Stress.","18846841"
"Workaholism: A Review.","24273685"
"Loneliness and the Degree of Addiction to Shopping and Work among Polish Women: The Mediating Role of Depression.","36362516"
"Workaholism in engineers: Prevalence and associated factors.","36244836"
"Workaholism in Korea: Prevalence and Socio-Demographic Differences.","33424681"
"How Do Work Engagement, Workaholism, and the Work-to-Family Interface Affect Each Other? A 7-Year Follow-Up Study.","26053362"
"Workaholism and the Enactment of Bullying Behavior at Work: A Prospective Analysis.","35206587"
"Balancing Work Life: Job Crafting, Work Engagement, and Workaholism in the Finnish Public Sector.","35432088"
"To stop or not to stop, that's the question: about persistence and mood of workaholics and work engaged employees.","21373772"
"Workaholism, sleep disorders, and potential e-learning impacts among Menoufia university staff during COVID-19 pandemic.","34847661"
"Understanding Work Addiction in Adult Children: The Effect of Addicted Parents and Work Motivation.","36141552"
"The extent of workaholism in a group of polish nurses.","30156712"
"Workaholism, presenteeism, work-family conflicts and personal and work outcomes: Testing a moderated mediation model.","33870550"
"How to counter the ten myths about work addiction?: Three postulates for future research.","30541339"
"Work addiction and personality: A meta-analytic study.","33361486"
"Unravelling Work Drive: A Comparison between Workaholism and Overcommitment.","32784893"
"Depression and workaholism in undergraduates: Examining gender as a moderator.","33465021"
"Job autonomy in relation to work engagement and workaholism: Mediation of autonomous and controlled work motivation.","29410554"
"Is workaholism good or bad for employee well-being? The distinctiveness of workaholism and work engagement among Japanese employees.","19834258"
"The Multidimensional Workaholism Scale: Linking the conceptualization and measurement of workaholism.","32039607"
"Work addiction, work engagement, job burnout, and perceived stress: A network analysis.","37063548"
"[Workaholism--hazardous effect of excessive work involvement].","18846996"
"The Effect of Work Connectivity Behavior After-Hours on Employee Psychological Distress: The Role of Leader Workaholism and Work-to-Family Conflict.","35284392"
"The role of circadian typology in the relationship between perfectionism and workaholism.","35603492"
"Work Addiction and Depression, Anxiety, and Stress: the Mediating Role of Food Addiction Among Lebanese Young Adult Workers.","36119945"
"Workaholism and family interaction among nurses.","34909987"
"Meta-Analysis of Factors Associated with Occupational Therapist Burnout.","34987329"
"Workaholism and quality of life: an integrative literature review.","35733533"
"The relationship between study addiction and work addiction: A cross-cultural longitudinal study.","27842448"
"Differential Effects of Workaholism and Work Engagement on the Interference Between Life and Work Domains.","30555590"
"Can Work Engagement Be a Resource for Reducing Workaholism's Undesirable Outcomes? A Multiple Mediating Model Including Moderated Mediation Analysis.","31003474"
"Work addiction as a predictor of anxiety and depression.","33612520"
"Workaholism across European and Asian cultures during the COVID-19 pandemic.","34847620"
"Gender Bias in the Measurement of Workaholism.","27409147"
"Myths about ""The myths about work addiction"".","30556780"
"Problematic overstudying: Studyholism or study addiction?","30541335"
"Workaholism, engagement and family interaction: Comparative study in portuguese and spanish nurses.","33188639"
"[Healthcare for the homeless].","34346610"
"Burnout and poor perceived health in flexible working time in Japanese employees: the role of self-endangering behavior in relation to workaholism, work engagement, and job stressors.","35613895"
"Workaholism and burnout among stricto sensu graduate professors.","35674608"
"Mismatch in working hours and workaholism in permanent waged workers.","32089548"
"The role of workaholism in the job demands-resources model.","26168061"
"A Four-Factor Model of Work Addiction: The Development of the Work Addiction Risk Test Revised.","30982051"
"Labor of love, or love of labor? Psychological capital's mitigating role in the relationship between workaholism and work stress.","36214008"
"Impact of Job Insecurity on Hotel Workers' Workaholism and Work-Family Conflict in Korea.","33114306"
"Workaholism, Work Engagement and Child Well-Being: A Test of the Spillover-Crossover Model.","32867095"
"Meditation awareness training for the treatment of workaholism: A controlled trial.","28425778"
"The Test Based on Meta-Analysis on ""Does Workaholism Prefer Task Performance or Contextual Performance?"".","35586227"
"Workaholism and negative work-related incidents among nurses.","29760300"
"Workaholism, work engagement and work-home outcomes: exploring the mediating role of positive and negative emotions.","23913863"
"Work addiction and presenteeism: The buffering role of managerial support.","28791675"
"Workaholism vs. work engagement: the two different predictors of future well-being and performance.","24696043"
"Work Addiction Among Employees and Self-Employed Workers: An Investigation Based on the Italian Version of the Bergen Work Addiction Scale.","36348817"
"Workaholism among stricto sensu graduate nursing professors in Brazil.","32876284"
"What type of worker are you? Work-related Inventory (WI-10): A comprehensive instrument for the measurement of workaholism.","30856144"
"When workaholism is negatively associated with burnout: A moderated mediation.","36388273"
"Association between Parental Workaholism and Body Mass Index of Offspring: A Prospective Study among Japanese Dual Workers.","27014678"
"Mindfulness buffers the deleterious effects of workaholism for work-family conflict.","35696778"
"The role of general and occupational stress in the relationship between workaholism and work-family/family-work conflicts.","24018995"
"Work as a calling: A theoretical model.","29999369"
"[Workaholism - indications for diagnosis and review of interventions].","26016047"
"Validation of the Japanese version of the Dutch Boredom Scale.","36017566"
"A Critical Analysis of the WAQ: The Development of a Korean Form.","32985356"
"Work-Life Balance and Mental Health Needs of Health Professionals During COVID-19 Pandemic in Turkey.","34849106"
"[Workaholism: between illusion and addiction].","20850599"
"Telecommuting, Off-Time Work, and Intrusive Leadership in Workers' Well-Being.","33804828"
"Daily expression of workaholism and family outcomes: The buffering and magnifying effects of economic resources.","35656622"
"Workaholism: are physicians at risk?","25022279"
"Work addiction: An organizational behavior as well as an addictive behavior?","30541338"
"How CEO Workaholism Influences Firm Performance: The Roles of Collective Organizational Engagement and TMT Power Distance.","34621222"
"How Can Work Addiction Buffer the Influence of Work Intensification on Workplace Well-Being? The Mediating Role of Job Crafting.","32605260"
"Exploring the Link between Work Addiction Risk and Health-Related Outcomes Using Job-Demand-Control Model.","33086543"
"The Relationships between Workaholism and Symptoms of Psychiatric Disorders: A Large-Scale Cross-Sectional Study.","27192149"
"The Antecedents and Consequences of Workaholism: Findings From the Modern Japanese Labor Market.","35369202"
"Work Addiction Risk Test.","27162258"
"Association between workaholism, vital exhaustion, and hair cortisol concentrations among teachers: A longitudinal study testing the moderation effect of neuroticism.","36591097"
"[The Relationship between Workaholism, Burnout and Personality: A Literature Review].","29267421"
"Beyond the myths about work addiction: Toward a consensus on definition and trajectories for future studies on problematic overworking.","30920291"
"Demographic and occupational correlates of workaholism.","22662409"
"The Effect of Work Addiction on Korean Nurses' Professional Quality of Life: A Cross-Sectional Study.","29864059"
"Workaholism as a risk factor for depressive mood, disabling back pain, and sickness absence.","24086457"
"Work addiction is associated with increased stress and reduced quality of life: Validation of the Bergen Work Addiction Scale in Danish.","30615193"
"Psychometric properties of the Portuguese Dutch Work Addiction Scale.","33909873"
"Moving from the terminology debate to a transdisciplinary understanding of the problem.","30541341"
"Work addiction and quality of life: a study with physicians.","28767908"
"It's Been a Hard Day's Night and I've Been Working Like a Dog: Workaholism and Work Engagement in the JD-R Model.","31293485"
"The Unintended Effect of Perceived Transformational Leadership Style on Workaholism: The Mediating Role of Work Motivation.","32605510"
"Smartphone use after work mediates the link between organizational norm of connectivity and emotional exhaustion: Will workaholism make a difference?","34288355"
"Sickness presenteeism determines job satisfaction via affective-motivational states.","26183017"
"A predictive study of antecedent variables of workaholism.","27776608"
"COVID-19 and Stressful Adjustment to Work: A Long-Term Prospective Study About Homeworking for Bank Employees in Italy.","35369135"
"How does workaholism affect worker health and performance? The mediating role of coping.","20169433"
"Development of a work addiction scale.","22490005"
"The assessment of heavy work investment: Psychometric properties of the WI-10 on a sample of Israeli workers.","35431198"
"Work Addiction, Obsessive-Compulsive Personality Disorder, Burn-Out, and Global Burden of Disease: Implications from the ICD-11.","31968540"
"Do I feel ill because I crave for work or do I crave for work because I feel ill? A longitudinal analysis of work craving, self-regulation, and health.","28092192"
"Is it necessary to approach the Heavy-work investment concept in ophthalmology services? The double valence of workaholism.","33367169"
"[Work: a potential addiction].","20344916"
"The Two-Factor Perfectionism Model and Heavy Work Investment in Italy and the U.S.","34533435"
"Assessing the impact of workaholism and work engagement on medical university employee stress and satisfaction levels.","35186447"
"Workaholism and well-being among Japanese dual-earner couples: a spillover-crossover perspective.","21733607"
"Behavioral addictions: a novel challenge for psychopharmacology.","24589040"
