"Title","Author_Info","Journal_Year_Info"
"Definition of Substance and Non-substance Addiction.","Zou Z, et al.","Adv Exp Med Biol. 2017."
"Is Smartphone Addiction in the Younger Population a Public Health Problem?","Loleska S, et al.","Pril (Makedon Akad Nauk Umet Odd Med Nauki). 2021."
"Abstinence from Masturbation and Hypersexuality.","Zimmer F, et al.","Arch Sex Behav. 2020."
"Cognitive-Behavioral Therapy.","An H, et al.","Adv Exp Med Biol. 2017."
"Internet Addiction and Other Behavioral Addictions.","Jorgenson AG, et al.","Child Adolesc Psychiatr Clin N Am. 2016."
"COVID-19 and addiction.","Dubey MJ, et al.","Diabetes Metab Syndr. 2020."
"Neuroscience of Internet Pornography Addiction: A Review and Update.","Love T, et al.","Behav Sci (Basel). 2015."
"Drug Addiction.","Fluyau D, et al.","2022 Aug 29. In: StatPearls [Internet]. Treasure Island (FL): StatPearls Publishing; 2023 Jan–."
"What Is the Evidence for ""Food Addiction?"" A Systematic Review.","Gordon EL, et al.","Nutrients. 2018."
"Is Food Addictive? A Review of the Science.","Gearhardt AN, et al.","Annu Rev Nutr. 2021."
"Expanding the definition of addiction: DSM-5 vs. ICD-11.","Grant JE, et al.","CNS Spectr. 2016."
"Internet and Video Game Addictions: Diagnosis, Epidemiology, and Neurobiology.","Sussman CJ, et al.","Child Adolesc Psychiatr Clin N Am. 2018."
"The assessment and treatment of adult heterosexual men with self-perceived problematic pornography use: A review.","Sniewski L, et al.","Addict Behav. 2018."
"Compulsivity in obsessive-compulsive disorder and addictions.","Figee M, et al.","Eur Neuropsychopharmacol. 2016."
"Impulsivity traits and addiction-related behaviors in youth.","Rømer Thomsen K, et al.","J Behav Addict. 2018."
"Should compulsive sexual behavior be considered an addiction?","Kraus SW, et al.","Addiction. 2016."
"Drug Therapy.","He RH, et al.","Adv Exp Med Biol. 2017."
"Psychotherapy.","He RH, et al.","Adv Exp Med Biol. 2017."
"Personality profiles of substance and behavioral addictions.","Zilberman N, et al.","Addict Behav. 2018."
"Non-Substance Addiction in Childhood and Adolescence–The Internet, Computer Games and Social Media.","Geisel O, et al.","Dtsch Arztebl Int. 2021."
"Summary and Prospect.","Wei Z, et al.","Adv Exp Med Biol. 2017."
"Intense, Passionate, Romantic Love: A Natural Addiction? How the Fields That Investigate Romance and Substance Abuse Can Inform Each Other.","Fisher HE, et al.","Front Psychol. 2016."
"Addictions: current perspectives.","de Magalhães Tavares de Oliveira MP.","J Anal Psychol. 2022."
"Electroencephalography-detected neurophysiology of internet addiction disorder and internet gaming disorder in adolescents - A review.","Sharifat H, et al.","Med J Malaysia. 2021."
"Behavioural addiction-A rising tide?","Chamberlain SR, et al.","Eur Neuropsychopharmacol. 2016."
"Biochemical Diagnosis in Substance and Non-substance Addiction.","Shen W, et al.","Adv Exp Med Biol. 2017."
"Similarities and Differences in Neuroimaging.","Sun YK, et al.","Adv Exp Med Biol. 2017."
"Similarities and Differences in Genetics.","Zhang Y, et al.","Adv Exp Med Biol. 2017."
"Reward processing in obesity, substance addiction and non-substance addiction.","García-García I, et al.","Obes Rev. 2014."
"Similarities and Differences in Neurobiology.","Chen M, et al.","Adv Exp Med Biol. 2017."
"Similarities and Differences in Psychology.","Chen Y, et al.","Adv Exp Med Biol. 2017."
"Depressive symptoms and depression in individuals with internet gaming disorder: A systematic review and meta-analysis.","Ostinelli EG, et al.","J Affect Disord. 2021."
