"Title","Author_Info","Journal_Year_Info"
"Recreational nitrous oxide use: Prevalence and risks.","van Amsterdam J, et al.","Regul Toxicol Pharmacol. 2015."
"Physical Activity and Incident Depression: A Meta-Analysis of Prospective Cohort Studies.","Schuch FB, et al.","Am J Psychiatry. 2018."
"Addiction and the kynurenine pathway: A new dancing couple?","Morales-Puerto N, et al.","Pharmacol Ther. 2021."
"An empirical investigation of dance addiction.","Maraz A, et al.","PLoS One. 2015."
"Conscious dance: Perceived benefits and psychological well-being of participants.","Laird KT, et al.","Complement Ther Clin Pract. 2021."
"Drug addiction therapy. A dance to the music of time.","Goodison L, et al.","Health Serv J. 1999."
"Fractured identities: injury and the balletic body.","Wainwright SP, et al.","Health (London). 2005."
"INTERNET ADDICTION AMONG ADOLESCENTS IN A WESTERN BRAZILIAN AMAZONIAN CITY.","Dalamaria T, et al.","Rev Paul Pediatr. 2021."
"New psychoactive substances in Taiwan: challenges and strategies.","Feng LY, et al.","Curr Opin Psychiatry. 2020."
"Argentine tango: Another behavioral addiction?","Targhetta R, et al.","J Behav Addict. 2013."
"Connecting Through Dance: Understanding Conscious Clubbing Event Experiences.","Hill KM, et al.","Qual Health Res. 2022."
"A Review of Hip Hop-Based Interventions for Health Literacy, Health Behaviors, and Mental Health.","Robinson C, et al.","J Racial Ethn Health Disparities. 2018."
"Why do you dance? Development of the Dance Motivation Inventory (DMI).","Maraz A, et al.","PLoS One. 2015."
"Ecstasy is a dangerous drug.","Murray JB.","Psychol Rep. 2001."
"GHB and synthetic cathinones: clinical effects and potential consequences.","Karila L, et al.","Drug Test Anal. 2011."
"Acute toxic effects of club drugs.","Gable RS.","J Psychoactive Drugs. 2004."
"Party drugs: properties, prevalence, patterns, and problems.","Maxwell JC.","Subst Use Misuse. 2005."
"Animal models of substance abuse and addiction: implications for science, animal welfare, and society.","Lynch WJ, et al.","Comp Med. 2010."
"Mental and Physical (MAP) Training: a neurogenesis-inspired intervention that enhances health in humans.","Shors TJ, et al.","Neurobiol Learn Mem. 2014."
"Use of ""Lean"" Among Electronic Dance Music Party Attendees.","Palamar JJ.","Am J Addict. 2019."
"Aggressiveness in the dreams of drug-naïve and clonazepam-treated patients with isolated REM sleep behavior disorder.","Cavallotti S, et al.","Sleep Med. 2022."
"A review of the nonmedical use of ketamine: use, users and consequences.","Jansen KL.","J Psychoactive Drugs. 2000."
"MDMA ('ecstasy') and other 'club drugs'. The new epidemic.","Koesters SC, et al.","Pediatr Clin North Am. 2002."
"Thizzin'-Ecstasy use contexts and emergent social meanings.","Lee JP, et al.","Addict Res Theory. 2011."
"Frequent Sports Dance May Serve as a Protective Factor for Depression Among College Students: A Real-World Data Analysis in China.","Zhang L, et al.","Psychol Res Behav Manag. 2021."
"A brief overview of the clinical pharmacology of ""club drugs"".","Britt GC, et al.","Subst Use Misuse. 2005."
"Mephedrone, new kid for the chop?","Winstock AR, et al.","Addiction. 2011."
"[Gamma-hydroxybutyric acid (GHB): more than a date rape drug, a potentially addictive drug].","Karila L, et al.","Presse Med. 2009."
"Intervention in professional dance students to increase mental health- and nutrition literacy: A controlled trial with follow up.","Mathisen TF, et al.","Front Sports Act Living. 2022."
"Environmental factors in drinking venues and alcohol-related harm: the evidence base for European intervention.","Hughes K, et al.","Addiction. 2011."
"Researching Lived Experience of Drugs and Crime: A Phenomenological Study of Drug-Dependent Inmates.","Facchin F, et al.","Qual Health Res. 2016."
"Commentary on ""The Father-Daughter Dinner Dance: A Waltz With Ethics and COVID-19"".","Soklaridis S.","Acad Med. 2021."
"'Hotspots' for aggression in licensed drinking venues.","Graham K, et al.","Drug Alcohol Rev. 2012."
"Algorithms to Predict Anxiety and Depression Among University Students in China After Analyzing Lifestyles and Sport Habits.","Zhang L, et al.","Neuropsychiatr Dis Treat. 2021."
"Neurotoxicity of methylenedioxyamphetamines (MDMA; ecstasy) in humans: how strong is the evidence for persistent brain damage?","Gouzoulis-Mayfrank E, et al.","Addiction. 2006."
"Exercise as an Alternative Approach for Treating Smartphone Addiction: A Systematic Review and Meta-Analysis of Random Controlled Trials.","Liu S, et al.","Int J Environ Res Public Health. 2019."
"Nightlife and Drug Use in Tbilisi, Georgia: Results of an Exploratory Qualitative Study.","Beselia A, et al.","J Psychoactive Drugs. 2019."
"No Good Time Without Drugs: Qualitative Study Among Nightlife Attendees in Tbilisi, Georgia.","Kirtadze I, et al.","Adiktologie. 2022."
"Scores on exercise dependence among dancers.","Pierce EF, et al.","Percept Mot Skills. 1993."
"Patterns of recreational drug use at dance events in Edinburgh, Scotland.","Riley SC, et al.","Addiction. 2001."
"A death due to ecstasy - a case report.","Chandra YG, et al.","Med Leg J. 2016."
"Resident Physician Wellness Curriculum: A Study of Efficacy and Satisfaction.","Lefebvre D, et al.","Cureus. 2019."
"Mephedrone: use, subjective effects and health risks.","Winstock A, et al.","Addiction. 2011."
"Places and patterns of drug use in the Scottish dance scene.","Forsyth AJ.","Addiction. 1996."
"Experience Affects EEG Event-Related Synchronization in Dancers and Non-dancers While Listening to Preferred Music.","Nakano H, et al.","Front Psychol. 2021."
"An Artistic Active-Learning Approach to Teaching a Substance Use Disorder Elective Course.","Steinhardt SJ, et al.","Am J Pharm Educ. 2020."
