"Title","Author_Info","Journal","Year","Label"
"A Scoping Review of the Relationship between Running and Mental Health.","Oswald F, et al.","Int J Environ Res Public Health",2020,"exercise"
"Exercise addiction- diagnosis, bio-psychological mechanisms and treatment issues.","Weinstein A, et al.","Curr Pharm Des",2014,"exercise"
"Exercise addiction.","Landolfi E.","Sports Med",2013,"exercise"
"The Effects of Physical Exercise on Mental Health: From Cognitive Improvements to Risk of Addiction.","Caponnetto P, et al.","Int J Environ Res Public Health",2021,"exercise"
"Competitive Bodybuilding: Fitness, Pathology, or Both?","Steele IH, et al.","Harv Rev Psychiatry",2019,"exercise"
"""I aspire to look and feel healthy like the posts convey"": engagement with fitness inspiration on social media and perceptions of its influence on health and wellbeing.","Raggatt M, et al.","BMC Public Health",2018,"exercise"
"Addiction to exercise.","Hausenblas HA, et al.","BMJ",2017,"exercise"
"Excessive Exercise-A Meta-Review.","Colledge F, et al.","Front Psychiatry",2020,"exercise"
"Striving for success or addiction? Exercise dependence among elite Australian athletes.","McNamara J, et al.","J Sports Sci",2012,"exercise"
"[Exercise addiction].","Petit A, et al.","Rev Med Liege",2013,"exercise"
"Frequent exercise: A healthy habit or a behavioral addiction?","Chen WJ.","Chronic Dis Transl Med",2016,"exercise"
"Running addiction.","Živčić Tomić D, et al.","J Sports Med Phys Fitness",2023,"exercise"
"The expanded interactional model of exercise addiction.","Dinardi JS, et al.","J Behav Addict",2021,"exercise"
"Identifying the features of an exercise addiction: A Delphi study.","Macfarlane L, et al.","J Behav Addict",2016,"exercise"
"[Exercise-risks and side effects].","Niedermeier M, et al.","Orthopade",2019,"exercise"
"A Review of the Components of Problematic Exercise in Psychometric Assessment Instruments.","Sicilia Á, et al.","Front Public Health",2022,"exercise"
"Exercise Addiction in Practitioners of Endurance Sports: A Literature Review.","Nogueira A, et al.","Front Psychol",2018,"exercise"
"Exercise addiction and COVID-19-associated restrictions.","Lim MA.","J Ment Health",2021,"exercise"
"The Role of Sports Physiotherapist in Confronting Exercise Addiction.","Quraishi S, et al.","J Lifestyle Med",2021,"exercise"
"[Exercise dependence--symptoms and mechanisms].","Guszkowska M.","Psychiatr Pol",2012,"exercise"
"Methodological and Conceptual Limitations in Exercise Addiction Research.","Szabo A, et al.","Yale J Biol Med",2015,"exercise"
