"Title","Author_Info","Journal_Year_Info"
"Gambling disorder.","Potenza MN, et al.","Nat Rev Dis Primers. 2019."
"Cognitive-Behavioral Therapy.","An H, et al.","Adv Exp Med Biol. 2017."
"Gambling Disorder as an Addictive Disorder and Creative Psychopharmacotherapy.","Hasanović M, et al.","Psychiatr Danub. 2021."
"Attachment and emotion regulation in substance addictions and behavioral addictions.","Estévez A, et al.","J Behav Addict. 2017."
"Treatment of gambling disorder: review of evidence-based aspects for best practice.","Bodor D, et al.","Curr Opin Psychiatry. 2021."
"Gambling disorder.","Suanes PN, et al.","Lancet Psychiatry. 2022."
"Gambling disorder.","van Schalkwyk MCI, et al.","Lancet Psychiatry. 2022."
"Update on Gambling Disorder.","Stefanovics EA, et al.","Psychiatr Clin North Am. 2022."
"Gambling disorder.","[No authors listed]","Nat Rev Dis Primers. 2019."
"Online Gambling Addiction: the Relationship Between Internet Gambling and Disordered Gambling.","Gainsbury SM.","Curr Addict Rep. 2015."
"Gambling Disorder and Stigma: Opportunities for Treatment and Prevention.","Quigley L.","Curr Addict Rep. 2022."
"[Gambling disorder in Japan].","Tanabe H.","Nihon Rinsho. 2015."
"A biopsychological review of gambling disorder.","Quintero GC.","Neuropsychiatr Dis Treat. 2016."
"Pathological gambling: addiction or compulsion?","Blanco C, et al.","Semin Clin Neuropsychiatry. 2001."
"[Gambling addiction].","Böning J, et al.","Nervenarzt. 2013."
"Disordered gambling: a behavioral addiction.","Clark L, et al.","Curr Opin Neurobiol. 2013."
"Brain Imaging in Gambling Disorder.","Quester S, et al.","Curr Addict Rep. 2015."
"Pathological choice: the neuroscience of gambling and gambling addiction.","Clark L, et al.","J Neurosci. 2013."
"Gambling addiction.","Bowden-Jones H, et al.","BMJ. 2011."
"Disordered gambling: the evolving concept of behavioral addiction.","Clark L.","Ann N Y Acad Sci. 2014."
"Pathological Gambling, Gambling Disorder, and Problem Gambling Among the Chinese Ethnic Population Living in Western Countries: Is Culture a Sufficient Explanation for the Reported Excess Rates?","Chee TT, et al.","J Gambl Stud. 2021."
"Similarities and Differences in Diagnostic Criterion.","Wei Z, et al.","Adv Exp Med Biol. 2017."
"A review of gambling disorder and substance use disorders.","Rash CJ, et al.","Subst Abuse Rehabil. 2016."
"Games in the Brain: Neural Substrates of Gambling Addiction.","Murch WS, et al.","Neuroscientist. 2016."
"The latest achievements in the pharmacotherapy of gambling disorder.","Łabuzek K, et al.","Pharmacol Rep. 2014."
"Regulating gambling to prevent addiction: more necessary now than ever.","Chóliz M, et al.","Adicciones. 2016."
"Gambling harms and gambling disorder research funding.","Griffiths SM.","Lancet Psychiatry. 2022."
"The Iowa Gambling Task and the three fallacies of dopamine in gambling disorder.","Linnet J.","Front Psychol. 2013."
"Compulsivity-related neurocognitive performance deficits in gambling disorder: A systematic review and meta-analysis.","van Timmeren T, et al.","Neurosci Biobehav Rev. 2018."
"Gambling disorder in the UK: key research priorities and the urgent need for independent research funding.","Bowden-Jones H, et al.","Lancet Psychiatry. 2022."
"Gambling disorder - Authors' reply.","Bowden-Jones H, et al.","Lancet Psychiatry. 2022."
"Prevalence and determinants of gambling disorder among older adults: a systematic review.","Subramaniam M, et al.","Addict Behav. 2015."
"An overview of gambling disorder: from treatment approaches to risk factors.","Menchon JM, et al.","F1000Res. 2018."
"Gambling Disorder in Veterans: A Review of the Literature and Implications for Future Research.","Levy L, et al.","J Gambl Stud. 2018."
"Telehealth treatment for gambling disorder in the COVID-19 era: seismic shifts and silver linings.","Smith NDL, et al.","Curr Opin Psychiatry. 2022."
