"Title","Author_Info","Journal","Year","Label"
"Gambling disorder.","Potenza MN, et al.","Nat Rev Dis Primers",2019,"gambling"
"Cognitive-Behavioral Therapy.","An H, et al.","Adv Exp Med Biol",2017,"gambling"
"Gambling Disorder as an Addictive Disorder and Creative Psychopharmacotherapy.","Hasanović M, et al.","Psychiatr Danub",2021,"gambling"
"Attachment and emotion regulation in substance addictions and behavioral addictions.","Estévez A, et al.","J Behav Addict",2017,"gambling"
"Treatment of gambling disorder: review of evidence-based aspects for best practice.","Bodor D, et al.","Curr Opin Psychiatry",2021,"gambling"
"Gambling disorder.","Suanes PN, et al.","Lancet Psychiatry",2022,"gambling"
"Gambling disorder.","van Schalkwyk MCI, et al.","Lancet Psychiatry",2022,"gambling"
"Update on Gambling Disorder.","Stefanovics EA, et al.","Psychiatr Clin North Am",2022,"gambling"
"Gambling disorder.","[No authors listed]","Nat Rev Dis Primers",2019,"gambling"
"Online Gambling Addiction: the Relationship Between Internet Gambling and Disordered Gambling.","Gainsbury SM.","Curr Addict Rep",2015,"gambling"
"Gambling Disorder and Stigma: Opportunities for Treatment and Prevention.","Quigley L.","Curr Addict Rep",2022,"gambling"
"[Gambling disorder in Japan].","Tanabe H.","Nihon Rinsho",2015,"gambling"
"A biopsychological review of gambling disorder.","Quintero GC.","Neuropsychiatr Dis Treat",2016,"gambling"
"Pathological gambling: addiction or compulsion?","Blanco C, et al.","Semin Clin Neuropsychiatry",2001,"gambling"
"[Gambling addiction].","Böning J, et al.","Nervenarzt",2013,"gambling"
"Disordered gambling: a behavioral addiction.","Clark L, et al.","Curr Opin Neurobiol",2013,"gambling"
"Brain Imaging in Gambling Disorder.","Quester S, et al.","Curr Addict Rep",2015,"gambling"
"Pathological choice: the neuroscience of gambling and gambling addiction.","Clark L, et al.","J Neurosci",2013,"gambling"
"Gambling addiction.","Bowden-Jones H, et al.","BMJ",2011,"gambling"
"Disordered gambling: the evolving concept of behavioral addiction.","Clark L.","Ann N Y Acad Sci",2014,"gambling"
"Pathological Gambling, Gambling Disorder, and Problem Gambling Among the Chinese Ethnic Population Living in Western Countries: Is Culture a Sufficient Explanation for the Reported Excess Rates?","Chee TT, et al.","J Gambl Stud",2021,"gambling"
"Similarities and Differences in Diagnostic Criterion.","Wei Z, et al.","Adv Exp Med Biol",2017,"gambling"
"A review of gambling disorder and substance use disorders.","Rash CJ, et al.","Subst Abuse Rehabil",2016,"gambling"
"Games in the Brain: Neural Substrates of Gambling Addiction.","Murch WS, et al.","Neuroscientist",2016,"gambling"
"The latest achievements in the pharmacotherapy of gambling disorder.","Łabuzek K, et al.","Pharmacol Rep",2014,"gambling"
"Regulating gambling to prevent addiction: more necessary now than ever.","Chóliz M, et al.","Adicciones",2016,"gambling"
"Gambling harms and gambling disorder research funding.","Griffiths SM.","Lancet Psychiatry",2022,"gambling"
"The Iowa Gambling Task and the three fallacies of dopamine in gambling disorder.","Linnet J.","Front Psychol",2013,"gambling"
"Compulsivity-related neurocognitive performance deficits in gambling disorder: A systematic review and meta-analysis.","van Timmeren T, et al.","Neurosci Biobehav Rev",2018,"gambling"
"Gambling disorder in the UK: key research priorities and the urgent need for independent research funding.","Bowden-Jones H, et al.","Lancet Psychiatry",2022,"gambling"
"Gambling disorder - Authors' reply.","Bowden-Jones H, et al.","Lancet Psychiatry",2022,"gambling"
"Prevalence and determinants of gambling disorder among older adults: a systematic review.","Subramaniam M, et al.","Addict Behav",2015,"gambling"
"An overview of gambling disorder: from treatment approaches to risk factors.","Menchon JM, et al.","F1000Res",2018,"gambling"
"Gambling Disorder in Veterans: A Review of the Literature and Implications for Future Research.","Levy L, et al.","J Gambl Stud",2018,"gambling"
"Telehealth treatment for gambling disorder in the COVID-19 era: seismic shifts and silver linings.","Smith NDL, et al.","Curr Opin Psychiatry",2022,"gambling"
"Pharmacological Treatments for Disordered Gambling: A Meta-analysis.","Goslar M, et al.","J Gambl Stud",2019,"gambling"
"Gambling and substance use: Comorbidity and treatment implications.","Grant JE, et al.","Prog Neuropsychopharmacol Biol Psychiatry",2020,"gambling"
"Gambling disorder: an integrative review of animal and human studies.","Nautiyal KM, et al.","Ann N Y Acad Sci",2017,"gambling"
"Dopaminergic signaling of uncertainty and the aetiology of gambling addiction.","Zack M, et al.","Prog Neuropsychopharmacol Biol Psychiatry",2020,"gambling"
"Ludens: A Gambling Addiction Prevention Program Based on the Principles of Ethical Gambling.","Chóliz M, et al.","J Gambl Stud",2022,"gambling"
"Neural and psychological underpinnings of gambling disorder: A review.","Grant JE, et al.","Prog Neuropsychopharmacol Biol Psychiatry",2016,"gambling"
"Iowa Gambling Task (IGT): twenty years after - gambling disorder and IGT.","Brevers D, et al.","Front Psychol",2013,"gambling"
"The anticipatory dopamine response in addiction: A common neurobiological underpinning of gambling disorder and substance use disorder?","Linnet J.","Prog Neuropsychopharmacol Biol Psychiatry",2020,"gambling"
"Opioid Antagonists for Pharmacological Treatment of Gambling Disorder: Are they Relevant?","Victorri-Vigneau C, et al.","Curr Neuropharmacol",2018,"gambling"
"Pathological gambling and mood disorders: clinical associations and treatment implications.","Kim SW, et al.","J Affect Disord",2006,"gambling"
"Psychological treatments for gambling disorder.","Rash CJ, et al.","Psychol Res Behav Manag",2014,"gambling"
"Risk Factors for Gambling Disorder: A Systematic Review.","Moreira D, et al.","J Gambl Stud",2023,"gambling"
"Introduction to the Gambling Disorder Special Issue.","Parker M.","Issues Ment Health Nurs",2020,"gambling"
"Decision-making (in)flexibility in gambling disorder.","Perandrés-Gómez A, et al.","Addict Behav",2021,"gambling"
"[Gambling disorder - a current issue in Sweden].","Widinghoff C, et al.","Lakartidningen",2018,"gambling"
"Common neurobiological and psychological underpinnings of gambling and substance-use disorders.","Balodis IM, et al.","Prog Neuropsychopharmacol Biol Psychiatry",2020,"gambling"
"Research on the effects of integrated resorts in Korea on gambling addiction.","Jin CH.","J Exerc Rehabil",2015,"gambling"
"Gambling behavior and problems among older adults: a systematic review of empirical studies.","Tse S, et al.","J Gerontol B Psychol Sci Soc Sci",2012,"gambling"
"The epidemiology of pathological gambling.","Cunningham-Williams RM, et al.","Semin Clin Neuropsychiatry",2001,"gambling"
"Bihavioral Addictions in Childhood and Adolescence - Pandemic Knocking Door.","Bećirović E, et al.","Psychiatr Danub",2020,"gambling"
"Where to put Compulsive Sexual Behavior Disorder (CSBD)? Phenomenology matters •","Rumpf HJ, et al.","J Behav Addict",2022,"gambling"
"The efficacy of motivational interviewing for disordered gambling: systematic review and meta-analysis.","Yakovenko I, et al.","Addict Behav",2015,"gambling"
"Psychological online interventions for problem gambling and gambling disorder - A meta-analytic approach.","Augner C, et al.","J Psychiatr Res",2022,"gambling"
"The neural bases of cognitive processes in gambling disorder.","Potenza MN.","Trends Cogn Sci",2014,"gambling"
"[Gambling disorder and alcohol use disorder -- similarities and differences].","Andó B, et al.","Psychiatr Hung",2016,"gambling"
"Treatment modalities for patients with gambling disorder.","Choi SW, et al.","Ann Gen Psychiatry",2017,"gambling"
"Impulsivity in Gambling Disorder and problem gambling: a meta-analysis.","Ioannidis K, et al.","Neuropsychopharmacology",2019,"gambling"
"Gambling-Related Cognitive Distortions in Residential Treatment for Gambling Disorder.","Ledgerwood DM, et al.","J Gambl Stud",2020,"gambling"
"Computational approaches to modeling gambling behaviour: Opportunities for understanding disordered gambling.","Hales CA, et al.","Neurosci Biobehav Rev",2023,"gambling"
"Disordered gambling in adolescents : epidemiology, diagnosis, and treatment.","Pietrzak RH, et al.","Paediatr Drugs",2003,"gambling"
"[Gambling addiction: insights from neuroscience and neuroimaging].","Sescousse G.","Med Sci (Paris)",2015,"gambling"
"Online Gambling Disorder Questionnaire (OGD-Q): An item r'esponse theory examination.","Stavropoulos V, et al.","Addict Behav Rep",2022,"gambling"
"Gambling disorder and its relationship with substance use disorders: implications for nosological revisions and treatment.","Grant JE, et al.","Am J Addict",2015,"gambling"
"Family therapy interventions in India for persons with gambling disorder.","George S, et al.","Asia Pac Psychiatry",2021,"gambling"
"Gambling disorder in minority ethnic groups.","Grant JE, et al.","Addict Behav",2023,"gambling"
"Pathological personality facets and emotion (dys)regulation in gambling disorder.","Rogier G, et al.","Scand J Psychol",2020,"gambling"
"Hormonal responses in gambling versus alcohol abuse: A review of human studies.","Li Y, et al.","Prog Neuropsychopharmacol Biol Psychiatry",2020,"gambling"
"[Gambling Disorder: epidemiology, diagnosis, interpretative models and intervention].","Coriale G, et al.","Riv Psichiatr",2015,"gambling"
"[Gambling in elderly patients].","Guillou Landreat M, et al.","Soins Gerontol",2017,"gambling"
"Oxcarbazepine for Gambling Disorder.","Lin CC, et al.","Am J Ther",2020,"gambling"
"Prevalence of gambling disorder and its correlates among homeless men in Osaka city, Japan.","Hwang C, et al.","J Gambl Stud",2022,"gambling"
"Brain morphometry in adults with gambling disorder.","Bouchard AE, et al.","J Psychiatr Res",2021,"gambling"
"Neurobiological underpinnings of reward anticipation and outcome evaluation in gambling disorder.","Linnet J.","Front Behav Neurosci",2014,"gambling"
"Uncommon and/or bizarre features of dementia: Part III.","Cipriani G, et al.","Acta Neurol Belg",2018,"gambling"
"Gambling-related cognitive distortions mediate the relationship between depression and disordered gambling severity.","Schluter MG, et al.","Addict Behav",2019,"gambling"
"Clinical Features of Gambling Disorder Patients with and Without Food Addiction: Gender-Related Considerations.","Etxandi M, et al.","J Gambl Stud",2022,"gambling"
"[Functional neuroimaging of addiction].","Takahashi H.","Nihon Rinsho",2015,"gambling"
"Applying incentive sensitization models to behavioral addiction.","Rømer Thomsen K, et al.","Neurosci Biobehav Rev",2014,"gambling"
"Profiling Metacognition in Gambling Disorder.","Spada MM, et al.","Behav Cogn Psychother",2015,"gambling"
"The role of microtransactions in Internet Gaming Disorder and Gambling Disorder: A preregistered systematic review.","Raneri PC, et al.","Addict Behav Rep",2022,"gambling"
"Examination of Chinese gambling problems through a socio-historical-cultural perspective.","Tse S, et al.","ScientificWorldJournal",2010,"gambling"
"Casino opening, gambling disorder, and newly developed legislative measures targeting the disorder in Japan.","Higuchi S.","Psychiatry Clin Neurosci",2020,"gambling"
"Disordered gambling in a longitudinal birth cohort: from childhood precursors to adult life outcomes.","Slutske WS, et al.","Psychol Med",2022,"gambling"
