"Title","Author_Info","Journal_Year_Info"
"Association between Internet Gaming Disorder or Pathological Video-Game Use and Comorbid Psychopathology: A Comprehensive Review.","González-Bueso V, et al.","Int J Environ Res Public Health. 2018."
"Systematic review and meta-analysis of epidemiology of internet addiction.","Pan YC, et al.","Neurosci Biobehav Rev. 2020."
"The cognitive psychology of Internet gaming disorder.","King DL, et al.","Clin Psychol Rev. 2014."
"Neurobiological mechanisms underlying internet gaming disorder .","Weinstein A, et al.","Dialogues Clin Neurosci. 2020."
"Internet and Video Game Addictions: Diagnosis, Epidemiology, and Neurobiology.","Sussman CJ, et al.","Child Adolesc Psychiatr Clin N Am. 2018."
"Internet Gaming Disorder: An Emergent Health Issue for Men.","Chen KH, et al.","Am J Mens Health. 2018."
"Neuroscience of Internet Pornography Addiction: A Review and Update.","Love T, et al.","Behav Sci (Basel). 2015."
"Current Research and Viewpoints on Internet Addiction in Adolescents.","Bickham DS.","Curr Pediatr Rep. 2021."
"Behavioral Addictions as Mental Disorders: To Be or Not To Be?","Petry NM, et al.","Annu Rev Clin Psychol. 2018."
"Internet Gaming Disorder (IGD): A Case Report of Social Anxiety.","Nasution FA, et al.","Open Access Maced J Med Sci. 2019."
"Global prevalence of gaming disorder: A systematic review and meta-analysis.","Stevens MW, et al.","Aust N Z J Psychiatry. 2021."
"Treatments of internet gaming disorder: a systematic review of the evidence.","Zajac K, et al.","Expert Rev Neurother. 2020."
"The Comparative Efficacy of Treatments for Children and Young Adults with Internet Addiction/Internet Gaming Disorder: An Updated Meta-Analysis.","Chang CH, et al.","Int J Environ Res Public Health. 2022."
"Cognitive-behavioral therapy for Internet gaming disorder: A systematic review and meta-analysis.","Stevens MWR, et al.","Clin Psychol Psychother. 2019."
"Electroencephalography-detected neurophysiology of internet addiction disorder and internet gaming disorder in adolescents - A review.","Sharifat H, et al.","Med J Malaysia. 2021."
"Gaming disorder: Its delineation as an important condition for diagnosis, management, and prevention.","Saunders JB, et al.","J Behav Addict. 2017."
"Technological Addictions.","Sherer J, et al.","Psychiatr Clin North Am. 2022."
"Internet Gaming Addiction: Disorder or Moral Panic?","Markey PM, et al.","Am J Psychiatry. 2017."
"Typology of Internet gaming disorder and its clinical implications.","Lee SY, et al.","Psychiatry Clin Neurosci. 2017."
"Adolescent Internet gaming addiction and personality characteristics by game genre.","Kim D, et al.","PLoS One. 2022."
"Withdrawal symptoms in internet gaming disorder: A systematic review.","Kaptsis D, et al.","Clin Psychol Rev. 2016."
"Psychometric Properties of the Internet Gaming Disorder Scale-Short-Form (IGDS9-SF): Systematic Review.","Poon LYJ, et al.","J Med Internet Res. 2021."
