"Title","Author_Info","Journal","Year","Label"
"Association between Internet Gaming Disorder or Pathological Video-Game Use and Comorbid Psychopathology: A Comprehensive Review.","González-Bueso V, et al.","Int J Environ Res Public Health",2018,"gaming"
"Systematic review and meta-analysis of epidemiology of internet addiction.","Pan YC, et al.","Neurosci Biobehav Rev",2020,"gaming"
"The cognitive psychology of Internet gaming disorder.","King DL, et al.","Clin Psychol Rev",2014,"gaming"
"Neurobiological mechanisms underlying internet gaming disorder .","Weinstein A, et al.","Dialogues Clin Neurosci",2020,"gaming"
"Internet and Video Game Addictions: Diagnosis, Epidemiology, and Neurobiology.","Sussman CJ, et al.","Child Adolesc Psychiatr Clin N Am",2018,"gaming"
"Internet Gaming Disorder: An Emergent Health Issue for Men.","Chen KH, et al.","Am J Mens Health",2018,"gaming"
"Neuroscience of Internet Pornography Addiction: A Review and Update.","Love T, et al.","Behav Sci (Basel)",2015,"gaming"
"Current Research and Viewpoints on Internet Addiction in Adolescents.","Bickham DS.","Curr Pediatr Rep",2021,"gaming"
"Behavioral Addictions as Mental Disorders: To Be or Not To Be?","Petry NM, et al.","Annu Rev Clin Psychol",2018,"gaming"
"Internet Gaming Disorder (IGD): A Case Report of Social Anxiety.","Nasution FA, et al.","Open Access Maced J Med Sci",2019,"gaming"
"Global prevalence of gaming disorder: A systematic review and meta-analysis.","Stevens MW, et al.","Aust N Z J Psychiatry",2021,"gaming"
"Treatments of internet gaming disorder: a systematic review of the evidence.","Zajac K, et al.","Expert Rev Neurother",2020,"gaming"
"The Comparative Efficacy of Treatments for Children and Young Adults with Internet Addiction/Internet Gaming Disorder: An Updated Meta-Analysis.","Chang CH, et al.","Int J Environ Res Public Health",2022,"gaming"
"Cognitive-behavioral therapy for Internet gaming disorder: A systematic review and meta-analysis.","Stevens MWR, et al.","Clin Psychol Psychother",2019,"gaming"
"Electroencephalography-detected neurophysiology of internet addiction disorder and internet gaming disorder in adolescents - A review.","Sharifat H, et al.","Med J Malaysia",2021,"gaming"
"Gaming disorder: Its delineation as an important condition for diagnosis, management, and prevention.","Saunders JB, et al.","J Behav Addict",2017,"gaming"
"Technological Addictions.","Sherer J, et al.","Psychiatr Clin North Am",2022,"gaming"
"Internet Gaming Addiction: Disorder or Moral Panic?","Markey PM, et al.","Am J Psychiatry",2017,"gaming"
"Typology of Internet gaming disorder and its clinical implications.","Lee SY, et al.","Psychiatry Clin Neurosci",2017,"gaming"
"Adolescent Internet gaming addiction and personality characteristics by game genre.","Kim D, et al.","PLoS One",2022,"gaming"
"Withdrawal symptoms in internet gaming disorder: A systematic review.","Kaptsis D, et al.","Clin Psychol Rev",2016,"gaming"
"Psychometric Properties of the Internet Gaming Disorder Scale-Short-Form (IGDS9-SF): Systematic Review.","Poon LYJ, et al.","J Med Internet Res",2021,"gaming"
"Internet Gaming Disorder in the DSM-5.","Petry NM, et al.","Curr Psychiatry Rep",2015,"gaming"
"Breaking the habit.","Müller KW.","J Behav Addict",2018,"gaming"
"Comparison of frontostriatal circuits in adolescent nicotine addiction and internet gaming disorder.","von Deneen KM, et al.","J Behav Addict",2022,"gaming"
"A Tripartite Neurocognitive Model of Internet Gaming Disorder.","Wei L, et al.","Front Psychiatry",2017,"gaming"
"Comparison of the Video Game Functional Assessment-Revised (VGFA-R) and Internet Gaming Disorder Test (IGD-20).","Sprong ME, et al.","Front Psychol",2019,"gaming"
"Pathologische Mediennutzung bei Kindern und Jugendlichen – eine Perspektive für die Praxis.","Bilke-Hentsch O.","Praxis (Bern 1994)",2017,"gaming"
"Prevalence of gaming disorder: A meta-analysis.","Kim HS, et al.","Addict Behav",2022,"gaming"
"Neurophysiological Markers of Internet Gaming Disorder: A Literature Review of Electroencephalography Studies.","Kashif S Sr, et al.","Cureus",2021,"gaming"
"Reliability Generalization Meta-Analysis of Internet Gaming Disorder Scale.","Gisbert-Pérez J, et al.","Healthcare (Basel)",2022,"gaming"
"A Scoping Review of Cognitive Bias in Internet Addiction and Internet Gaming Disorders.","Chia DXY, et al.","Int J Environ Res Public Health",2020,"gaming"
"Treatment of Internet gaming disorder: An international systematic review and CONSORT evaluation.","King DL, et al.","Clin Psychol Rev",2017,"gaming"
"Sexual Differences in Internet Gaming Disorder (IGD): From Psychological Features to Neuroanatomical Networks.","Marraudino M, et al.","J Clin Med",2022,"gaming"
"Under the umbrella.","Müller KW.","J Behav Addict",2017,"gaming"
"Exploring the prevalence of gaming disorder and Internet gaming disorder: a rapid scoping review.","Darvesh N, et al.","Syst Rev",2020,"gaming"
"Internet gaming disorder treatment: a review of definitions of diagnosis and treatment outcome.","King DL, et al.","J Clin Psychol",2014,"gaming"
"Internet Gaming Disorder: Evidence for a Risk and Resilience Approach.","Warburton WA, et al.","Int J Environ Res Public Health",2022,"gaming"
"Neural Basis of Video Gaming: A Systematic Review.","Palaus M, et al.","Front Hum Neurosci",2017,"gaming"
"The Association Between Internet Gaming Disorder and Sensation Seeking Among Arab Adolescents.","Hamid MS, et al.","Front Psychiatry",2022,"gaming"
"Novel approaches for treating Internet Gaming Disorder: A review of technology-based interventions.","Gorowska M, et al.","Compr Psychiatry",2022,"gaming"
"Neurobiological correlates of internet gaming disorder: Similarities to pathological gambling.","Fauth-Bühler M, et al.","Addict Behav",2017,"gaming"
"Gaming Disorder in Adults with Autism Spectrum Disorder.","Murray A, et al.","J Autism Dev Disord",2022,"gaming"
"Investigating how internet gaming disorder and bodily dissociation experiences vary by game genres.","Casale S, et al.","Cogn Process",2022,"gaming"
"Editorial: Neural Mechanisms Underlying Internet Gaming Disorder.","Zhang JT, et al.","Front Psychiatry",2018,"gaming"
"Reconsidering Internet Gaming Disorder During the COVID-19 Pandemic.","Blake E, et al.","J Technol Behav Sci",2021,"gaming"
"Internet gaming disorder and the DSM-5.","Petry NM, et al.","Addiction",2013,"gaming"
"Game of thorns: Modern day opium.","Bhat PS, et al.","Med J Armed Forces India",2019,"gaming"
"Internet gaming disorder does not qualify as a mental disorder.","Dullur P, et al.","Aust N Z J Psychiatry",2018,"gaming"
"Internet gaming disorder: Trends in prevalence 1998-2016.","Feng W, et al.","Addict Behav",2017,"gaming"
"Conceptual Issues Concerning Internet Addiction and Internet Gaming Disorder: Further Critique on Ryding and Kaye (2017).","Griffiths MD.","Int J Ment Health Addict",2018,"gaming"
"""One level more:"" A narrative review on internet gaming disorder.","Naskar S, et al.","Ind Psychiatry J",2016,"gaming"
"Exploring Internet gaming disorder: an updated perspective of empirical evidence (from 2016 to 2021).","Mestre-Bach G, et al.","Compr Psychiatry",2022,"gaming"
"Internet Gaming Disorder as a formative construct: Implications for conceptualization and measurement.","van Rooij AJ, et al.","Psychiatry Clin Neurosci",2017,"gaming"
"Risk and protective factors of Internet gaming disorder among Chinese people: A meta-analysis.","Ji Y, et al.","Aust N Z J Psychiatry",2022,"gaming"
"Video game disorder and mental wellbeing among university students: a cross-sectional study.","Raouf SYA, et al.","Pan Afr Med J",2022,"gaming"
"Independent component analysis for internet gaming disorder.","Mestre-Bach G, et al.","Dialogues Clin Neurosci",2023,"gaming"
"Effectiveness of multimodal psychotherapeutic intervention for internet gaming disorder.","Sharma MK, et al.","Psychiatry Res",2022,"gaming"
"Reward-related decision-making deficits in internet gaming disorder: a systematic review and meta-analysis.","Yao YW, et al.","Addiction",2022,"gaming"
"Internet Gaming Disorder and Aggression among Students on School Closure during COVID-19 Pandemic.","Joshi A, et al.","J Nepal Health Res Counc",2022,"gaming"
"Internet gaming disorder should qualify as a mental disorder.","King DL, et al.","Aust N Z J Psychiatry",2018,"gaming"
"A network analysis of internet gaming disorder symptoms.","Liu D, et al.","Psychiatry Res",2022,"gaming"
"The Effects of Smartphone and Internet Gaming Addiction on Eating Attitudes Among University Students.","Örnek BY, et al.","Psychiatry Investig",2022,"gaming"
"N-acetylcysteine in the Treatment of Internet Gaming Disorder.","Singh A, et al.","Cureus",2022,"gaming"
"Playerunknown's Battlegrounds: Yet Another Internet Gaming Addiction.","Al-Qahtani AA, et al.","J Ayub Med Coll Abbottabad",2020,"gaming"
"Internet Gaming Disorder in Children and Adolescents with Attention Deficit Hyperactivity Disorder.","Berloffa S, et al.","Children (Basel)",2022,"gaming"
"New developments in brain research of internet and gaming disorder.","Weinstein A, et al.","Neurosci Biobehav Rev",2017,"gaming"
"Preventing Harmful Internet Use-Related Addiction Problems in Europe: A Literature Review and Policy Options.","Lopez-Fernandez O, et al.","Int J Environ Res Public Health",2020,"gaming"
"Why and how to include parents in the treatment of adolescents presenting Internet gaming disorder?","Bonnaire C, et al.","J Behav Addict",2019,"gaming"
"Potential Correlates of Internet Gaming Disorder Among Indonesian Medical Students: Cross-sectional Study.","Siste K, et al.","J Med Internet Res",2021,"gaming"
"Internet gaming disorder and gaming disorder in the context of seeking and not seeking treatment for video-gaming.","Starcevic V, et al.","J Psychiatr Res",2020,"gaming"
"Brain stimulation to treat Internet addiction: A commentary.","Trojak B, et al.","Addict Behav",2017,"gaming"
"Do Individuals with Internet Gaming Disorder Share Personality Traits with Substance-Dependent Individuals?","Giustiniani J, et al.","Int J Environ Res Public Health",2022,"gaming"
"Current Status of Internet Gaming Disorder (IGD) in Japan: New Lifestyle-Related Disease in Children and Adolescents.","Imataka G, et al.","J Clin Med",2022,"gaming"
"A systematic review of the impact of COVID-19 on the game addiction of children and adolescents.","Han TS, et al.","Front Psychiatry",2022,"gaming"
"Internet gaming disorder behaviours: a preliminary exploration of individualism and collectivism profiles.","Stavropoulos V, et al.","BMC Psychiatry",2021,"gaming"
"Similarities and differences between internet gaming disorder and tobacco use disorder: A large-scale network study.","Zheng YB, et al.","Addict Biol",2022,"gaming"
"Internet gaming disorder: Feeling the flow of social games.","Hu E, et al.","Addict Behav Rep",2018,"gaming"
"Emerging insights on internet gaming disorder: Conceptual and measurement issues.","Pontes HM, et al.","Addict Behav Rep",2019,"gaming"
"A Multi-Analysis of Children and Adolescents' Video Gaming Addiction with the AHP and TOPSIS Methods.","Khorsandi A, et al.","Int J Environ Res Public Health",2022,"gaming"
"A meta-analytic review of Internet gaming disorder and the Big Five personality factors.","Chew PKH.","Addict Behav",2022,"gaming"
"Tolerance in Internet gaming disorder: A need for increasing gaming time or something else?","King DL, et al.","J Behav Addict",2017,"gaming"
"Gaming addiction, problematic gaming and engaged gaming - Prevalence and associated characteristics.","André F, et al.","Addict Behav Rep",2020,"gaming"
"Relation between internet gaming addiction and comorbid psychiatric disorders and emotion avoidance among adolescents: A cross-sectional study.","Ahmed GK, et al.","Psychiatry Res",2022,"gaming"
"Editorial: Problematic Gaming, Personality, and Psychiatric Disorders.","Starcevic V, et al.","Front Psychiatry",2020,"gaming"
"Internet Gaming Disorder In Students Of Peshawar: A Cross Sectional Survey.","Salam Z, et al.","J Ayub Med Coll Abbottabad",2019,"gaming"
"Social Bullying Among Undergraduates: The Roles of Internet Gaming Disorder, Risk-Taking Behavior, and Internet Addiction.","Nwanosike CL, et al.","Front Psychol",2022,"gaming"
"Smartphone addiction is more harmful to adolescents than Internet gaming disorder: Divergence in the impact of parenting styles.","Li ZK, et al.","Front Psychol",2022,"gaming"
"Internet Gaming Disorder: Investigating the Clinical Relevance of a New Phenomenon.","Przybylski AK, et al.","Am J Psychiatry",2017,"gaming"
"Altered Reward Processing System in Internet Gaming Disorder.","Raiha S, et al.","Front Psychiatry",2020,"gaming"
"Connectome-based prediction of craving for gaming in internet gaming disorder.","Zhou WR, et al.","Addict Biol",2022,"gaming"
"Managing Problematic Usage of the Internet and Related Disorders in an Era of Diagnostic Transition: An Updated Review.","Dell'Osso B, et al.","Clin Pract Epidemiol Ment Health",2021,"gaming"
"The Cognitive Psychopathology of Internet Gaming Disorder in Adolescence.","King DL, et al.","J Abnorm Child Psychol",2016,"gaming"
"Internet gaming disorder: Inadequate diagnostic criteria wrapped in a constraining conceptual model.","Starcevic V.","J Behav Addict",2017,"gaming"
"The Spanish Version of the Video Game Functional Assessment-Revised.","Sprong ME, et al.","Cyberpsychol Behav Soc Netw",2022,"gaming"
"The Current Status of Psychological Intervention Research for Internet Addiction and Internet Gaming Disorder.","Kim S, et al.","Issues Ment Health Nurs",2019,"gaming"
"Effect of Parental Perception on the Prevalence of Adolescent Internet Gaming Disorder During the COVID-19 Pandemic.","Lee S, et al.","Psychiatry Investig",2022,"gaming"
"Gaming disorder: what doctors need to know.","George S, et al.","Br J Hosp Med (Lond)",2020,"gaming"
