"Title","Author_Info","Journal_Year_Info"
"The relationship between addictive use of social media and video games and symptoms of psychiatric disorders: A large-scale cross-sectional study.","Schou Andreassen C, et al.","Psychol Addict Behav. 2016."
"Internet addiction or excessive internet use.","Weinstein A, et al.","Am J Drug Alcohol Abuse. 2010."
"Behavioral Addictions: Excessive Gambling, Gaming, Internet, and Smartphone Use Among Children and Adolescents.","Derevensky JL, et al.","Pediatr Clin North Am. 2019."
"School victimization and Internet addiction among Chinese adolescents: The mediating roles of life satisfaction and loneliness.","Shi X, et al.","Front Psychol. 2023."
"Internet addiction: a systematic review of epidemiological research for the last decade.","Kuss DJ, et al.","Curr Pharm Des. 2014."
"Internet Addiction Increases in the General Population During COVID-19: Evidence From China.","Li YY, et al.","Am J Addict. 2021."
"Internet Addiction In Medical Students.","Haroon MZ, et al.","J Ayub Med Coll Abbottabad. 2018."
"Internet Addiction: The Role of Parental Care and Mental Health in Adolescence.","Trumello C, et al.","Int J Environ Res Public Health. 2021."
"Neuropsychological Correlates of Internet Addiction.","Pop-Jordanova N, et al.","Pril (Makedon Akad Nauk Umet Odd Med Nauki). 2021."
"Sleep quality, internet addiction and depressive symptoms among undergraduate students in Nepal.","Bhandari PM, et al.","BMC Psychiatry. 2017."
"Internet Addiction.","Gergely F.","Life (Basel). 2022."
"Excessive Smartphone Use Is Associated With Health Problems in Adolescents and Young Adults.","Wacks Y, et al.","Front Psychiatry. 2021."
"Internet Addiction and Depression Among Postgraduate Residents: A cross-sectional survey.","Al Mukhaini AM, et al.","Sultan Qaboos Univ Med J. 2021."
"Association of Internet Addiction With Nonsuicidal Self-injury Among Adolescents in China.","Tang J, et al.","JAMA Netw Open. 2020."
"Internet addiction: Prevalence and relation with mental states in adolescents.","Kawabe K, et al.","Psychiatry Clin Neurosci. 2016."
"Effectiveness of Cognitive Behavioral Therapy-Based Intervention in Preventing Gaming Disorder and Unspecified Internet Use Disorder in Adolescents: A Cluster Randomized Clinical Trial.","Lindenberg K, et al.","JAMA Netw Open. 2022."
"Effect of Exercise Intervention on Internet Addiction and Autonomic Nervous Function in College Students.","Zhang W, et al.","Biomed Res Int. 2022."
"Internet and smartphone use disorder in Asia.","Montag C, et al.","Addict Behav. 2020."
"[Internet addiction].","Nakayama H, et al.","Nihon Rinsho. 2015."
"Association of Cyberbullying and Internet Use Disorder.","Floros G, et al.","Curr Addict Rep. 2022."
"""Internet Addiction"": a Conceptual Minefield.","Ryding FC, et al.","Int J Ment Health Addict. 2018."
"How to overcome taxonomical problems in the study of Internet use disorders and what to do with ""smartphone addiction""?","Montag C, et al.","J Behav Addict. 2021."
"Conceptualizing Internet use disorders: Addiction or coping process?","Kardefelt-Winther D.","Psychiatry Clin Neurosci. 2017."
"The evolution of Internet addiction.","Young KS.","Addict Behav. 2017."
"The correlation of Internet addiction towards adolescents' social interaction.","Yusuf A, et al.","Int J Adolesc Med Health. 2020."
"Association between urbanization and Internet addiction.","Ko CH, et al.","Curr Opin Psychiatry. 2022."
"Psychometric evaluation of the internet addiction test in India.","Sharma MK, et al.","Asian J Psychiatr. 2022."
"The Relationship Between Affective and Obsessive-Compulsive Symptoms in Internet Use Disorder.","Moretta T, et al.","Front Psychol. 2021."
"Investigating the Association Between Adolescent Internet Addiction and Parental Attitudes.","Bilge M, et al.","Int J Public Health. 2022."
"Neurobiological findings related to Internet use disorders.","Park B, et al.","Psychiatry Clin Neurosci. 2017."
"Language processing in Internet use disorder: Task-based fMRI study.","Darnai G, et al.","PLoS One. 2022."
"The relationship between real-life social support and Internet addiction among the elderly in China.","Jia Y, et al.","Front Public Health. 2022."
"Internet Addiction as a Moderator of the Relationship between Cyberhate Severity and Decisional Forgiveness.","Mróz J, et al.","Int J Environ Res Public Health. 2022."
"The association between Internet addiction and psychiatric disorder: a review of the literature.","Ko CH, et al.","Eur Psychiatry. 2012."
"Internet Addiction in the Web of Science Database: A Review of the Literature with Scientific Mapping.","Moreno-Guerrero AJ, et al.","Int J Environ Res Public Health. 2020."
"Internet addiction among Czech adolescents.","Procházka R, et al.","Psych J. 2021."
"The effect of internet addiction and smartphone addiction on sleep quality among Turkish adolescents.","Acikgoz A, et al.","PeerJ. 2022."
"Neurobiological Risk Factors for the Development of Internet Addiction in Adolescents.","Tereshchenko S, et al.","Behav Sci (Basel). 2019."
"The Relationship Between Self-Control and Internet Addiction Among Students: A Meta-Analysis.","Li S, et al.","Front Psychol. 2021."
"The relationship between Internet Use Disorder, depression and burnout among Chinese and German college students.","Peterka-Bonetta J, et al.","Addict Behav. 2019."
"The associations of cognitive distortions with internet addiction and internet activities in adolescents: A cross-sectional study.","Özparlak A, et al.","J Child Adolesc Psychiatr Nurs. 2022."
"The Mediating Effect of Social Anxiety on the Relationship Between Internet Addiction and Aggression in Teenagers.","Çınar Özbay S, et al.","Psychol Rep. 2022."
"Internet Use and Quality of Life: The Multiple Mediating Effects of Risk Perception and Internet Addiction.","Qian B, et al.","Int J Environ Res Public Health. 2022."
"Cognitive functions in Internet addiction - a review.","Cudo A, et al.","Psychiatr Pol. 2019."
"Cultural Correlates of Internet Addiction.","Błachnio A, et al.","Cyberpsychol Behav Soc Netw. 2019."
"Can pharmacotherapy play a role in treating internet addiction disorder?","Łukawski K, et al.","Expert Opin Pharmacother. 2019."
"The Impact of Mental Health Predictors of Internet Addiction among Pre-Service Teachers in Ghana.","Essel HB, et al.","Behav Sci (Basel). 2022."
"Addiction to the Internet and mobile phones and its relationship with loneliness in Iranian adolescents.","Parashkouh NN, et al.","Int J Adolesc Med Health. 2018."
"The effect of COVID-19 uncertainty on internet addiction, happiness and life satisfaction in adolescents.","Evli M, et al.","Arch Psychiatr Nurs. 2022."
"Prevalence and determinants of Internet addiction among the students of professional colleges in the Jammu region.","Kumari R, et al.","J Family Med Prim Care. 2022."
"Analysis of the relationship between personality traits and Internet addiction.","Rachubińska K, et al.","Eur Rev Med Pharmacol Sci. 2021."
"The relationship between internet addiction and aggressive behavior among adolescents during the COVID-19 pandemic: Anxiety as a mediator.","Zhang Y, et al.","Acta Psychol (Amst). 2022."
"Internet Addiction in Constipated Adolescents.","Çakar S, et al.","Turk J Gastroenterol. 2023."
"Effect of Alexithymia on Internet Addiction Among College Students: The Mediating Role of Metacognition Beliefs.","Luo H, et al.","Front Psychol. 2022."
"The Relationship Between Being Bullied and Addictive Internet Use Among Chinese Rural Adolescents: The Mediating Effect of Adult Attachment.","Guo J, et al.","J Interpers Violence. 2022."
"Unpacking the mechanisms underlying the relation between ostracism and Internet addiction.","Poon KT.","Psychiatry Res. 2018."
"Mapping network connectivity between internet addiction and residual depressive symptoms in patients with depression.","Cai H, et al.","Front Psychiatry. 2022."
"The Relationship Between Adolescents' Stress and Internet Addiction: A Mediated-Moderation Model.","Feng Y, et al.","Front Psychol. 2019."
"The 2D:4D Marker and Different Forms of Internet Use Disorder.","Müller M, et al.","Front Psychiatry. 2017."
"Quality of Life in Internet Use Disorder Patients With and Without Comorbid Mental Disorders.","Dieris-Hirche J, et al.","Front Psychiatry. 2022."
"A critical review of ""Internet addiction"" criteria with suggestions for the future.","Van Rooij AJ, et al.","J Behav Addict. 2014."
"Telemedicine as bridge to the offline world for person affected with problematic internet use or internet use disorder and concerned significant others.","Bottel L, et al.","Digit Health. 2023."
"Does cyberchondria predict Internet addiction among students during the COVID-19 pandemic? A web-based survey study.","Mrayyan MT, et al.","Nurs Forum. 2022."
"Medical student Internet usage: is the literature correct to call it addiction? An opinion piece.","Masters K, et al.","GMS J Med Educ. 2020."
"Prevalence of Internet Addiction Among Iranian University Students: A Systematic Review and Meta-analysis.","Salarvand S, et al.","Cyberpsychol Behav Soc Netw. 2022."
"Exercise-Based Interventions for Internet Addiction: Neurobiological and Neuropsychological Evidence.","Li S, et al.","Front Psychol. 2020."
"Prevalence of Internet Addiction in Iran: A Systematic Review and Meta-analysis.","Modara F, et al.","Addict Health. 2017."
"Internet addiction and problematic Internet use: A systematic review of clinical research.","Kuss DJ, et al.","World J Psychiatry. 2016."
"Internet addiction, substance use and alexithymic dimensions in two different faculties' students.","Esen PY, et al.","Cent Eur J Public Health. 2021."
"Personality traits and college students' internet addiction: The mediating roles of general health and self-esteem.","Khosravi M, et al.","Scand J Psychol. 2022."
"Prevention of Internet addiction: A systematic review.","Vondráčková P, et al.","J Behav Addict. 2016."
"The impact of interaction with children on internet addiction in older adults: A moderated mediation model.","Yang Y, et al.","Front Psychol. 2022."
"Shyness, Loneliness Avoidance, and Internet Addiction: What are the Relationships?","Ang CS, et al.","J Psychol. 2018."
"Self-concept clarity and Internet addiction disorder among junior high school students: A moderate mediation model.","Wang Y, et al.","Front Psychiatry. 2022."
"Data on the prevalence of addiction to the Internet among individuals with a history of drug abuse.","Razjouyan K, et al.","Data Brief. 2018."
"How has Internet Addiction been Tracked Over the Last Decade? A Literature Review and 3C Paradigm for Future Research.","Duong XL, et al.","Int J Prev Med. 2020."
"Internet society, internet addiction, and pathological social withdrawal: the chicken and egg dilemma for internet addiction and hikikomori.","Kato TA, et al.","Curr Opin Psychiatry. 2020."
"Editorial: Clinical practices for co-occurring psychiatric and addictive disorders.","Picello A, et al.","Front Psychiatry. 2022."
"The effect of Internet addiction on eating attitude and body image in university students.","Ayran G, et al.","J Child Adolesc Psychiatr Nurs. 2021."
"Why Are Turkish University Students Addicted to the Internet? A Moderated Mediation Model.","Koçak O, et al.","Healthcare (Basel). 2021."
"Opposing associations of Internet Use Disorder symptom domains with structural and functional organization of the striatum: A dimensional neuroimaging approach.","Yu F, et al.","J Behav Addict. 2022."
"Internet Addiction Through the Phase of Adolescence: A Questionnaire Study.","Karacic S, et al.","JMIR Ment Health. 2017."
"Internet addiction test: Croatian preliminary study.","Černja I, et al.","BMC Psychiatry. 2019."
"The evolution of Internet addiction: A global perspective.","Griffiths MD, et al.","Addict Behav. 2016."
"The influence of environmental pressure on Internet Use Disorder in adolescents: The potential mediating role of cognitive function.","Li Y, et al.","Addict Behav. 2020."
"Affective symptoms as a predictor of internet addiction among young adults.","Anand N, et al.","Ind Psychiatry J. 2022."
"Internet addiction: a 21st century epidemic?","Christakis DA.","BMC Med. 2010."
"Feelings of Loneliness: Understanding the Risk of Suicidal Ideation in Adolescents with Internet Addiction. A Theoretical Model to Answer to a Systematic Literature Review, without Results.","Khatcherian E, et al.","Int J Environ Res Public Health. 2022."
"The relationship between internet addiction and risky health behaviors in university students: A cross-sectional study in Turkey.","Özarıcı E, et al.","Perspect Psychiatr Care. 2022."
"Examination of the Correlation Between Internet Addiction and Social Phobia in Adolescents.","Yayan EH, et al.","West J Nurs Res. 2017."
"Internet addiction, headache, and insomnia in university students: a cross-sectional study.","Corrêa Rangel T, et al.","Neurol Sci. 2022."
"Addressing the question of disorder-specific risk factors of internet addiction: a comparison of personality traits in patients with addictive behaviors and comorbid internet addiction.","Müller KW, et al.","Biomed Res Int. 2013."
"Effect of Internet addiction on marital life.","Chattopadhyay S, et al.","Ind Psychiatry J. 2020."
"Comorbidity of Internet use disorder and attention deficit hyperactivity disorder: Two adult case-control studies.","Bielefeld M, et al.","J Behav Addict. 2017."
"Internet Addiction: A Review of the First Twenty Years.","Mihajlov M, et al.","Psychiatr Danub. 2017."
"The association between premenstrual dysphoric disorder and internet use disorder.","Ko CH, et al.","Women Health. 2014."
"The Prevalence of Internet Addiction and Its Relationship with Mental Health Among High School Students in Bushehr, Iran (2018).","Aleebrahim F, et al.","Int J Prev Med. 2022."
"Internet Use Patterns, Internet Addiction, and Psychological Distress Among Engineering University Students: A Study from India.","Anand N, et al.","Indian J Psychol Med. 2018."
"Anxiety-Related Coping Styles, Social Support, and Internet Use Disorder.","Jung S, et al.","Front Psychiatry. 2019."
"Prevalence and determinants of Internet Addiction among medical students and its association with depression.","Ibrahim AK, et al.","J Affect Disord. 2022."
"The Association of Parent-Child Communication With Internet Addiction in Left-Behind Children in China: A Cross-Sectional Study.","Cai J, et al.","Int J Public Health. 2021."
"The association between parental depression and adolescent's Internet addiction in South Korea.","Choi DW, et al.","Ann Gen Psychiatry. 2018."
"The utility of combining respiratory sinus arrhythmia indices in association with internet addiction.","Zhang H, et al.","Int J Psychophysiol. 2020."
"Addiction to the internet and online gaming.","Ng BD, et al.","Cyberpsychol Behav. 2005."
"Relationship between headache and Internet addiction in children.","Tepecik Böyükbaş İ, et al.","Turk J Med Sci. 2019."
"Associations between the dark triad of personality and unspecified/specific forms of Internet-use disorder.","Sindermann C, et al.","J Behav Addict. 2018."
"The Longitudinal Relationship between Internet Addiction and Depressive Symptoms in Adolescents: A Random-Intercept Cross-Lagged Panel Model.","Yi X, et al.","Int J Environ Res Public Health. 2021."
"A Phenotype Classification of Internet Use Disorder in a Large-Scale High-School Study.","Lindenberg K, et al.","Int J Environ Res Public Health. 2018."
"Internet addiction assessment tools: dimensional structure and methodological status.","Lortie CL, et al.","Addiction. 2013."
"Susceptibility of Shy Students to Internet Addiction: A Multiple Mediation Model Involving Chinese Middle-School Students.","Yu Y, et al.","Front Psychol. 2019."
"Evaluation of internet addiction and fear of missing out among nursing students.","Kargın M, et al.","Perspect Psychiatr Care. 2020."
"Internet Addiction Among Male Adolescents in Indonesia: A Qualitative Study.","Rakhmawati W, et al.","Am J Mens Health. 2021."
"The factor structure of the internet addiction tool with university students in Jordan.","Ahmad M, et al.","Issues Ment Health Nurs. 2015."
"Precursor or sequela: pathological disorders in people with Internet addiction disorder.","Dong G, et al.","PLoS One. 2011."
