"Title","Author_Info","Journal","Year","Label"
"The relationship between addictive use of social media and video games and symptoms of psychiatric disorders: A large-scale cross-sectional study.","Schou Andreassen C, et al.","Psychol Addict Behav",2016,"internet"
"Internet addiction or excessive internet use.","Weinstein A, et al.","Am J Drug Alcohol Abuse",2010,"internet"
"Behavioral Addictions: Excessive Gambling, Gaming, Internet, and Smartphone Use Among Children and Adolescents.","Derevensky JL, et al.","Pediatr Clin North Am",2019,"internet"
"School victimization and Internet addiction among Chinese adolescents: The mediating roles of life satisfaction and loneliness.","Shi X, et al.","Front Psychol",2023,"internet"
"Internet addiction: a systematic review of epidemiological research for the last decade.","Kuss DJ, et al.","Curr Pharm Des",2014,"internet"
"Internet Addiction Increases in the General Population During COVID-19: Evidence From China.","Li YY, et al.","Am J Addict",2021,"internet"
"Internet Addiction In Medical Students.","Haroon MZ, et al.","J Ayub Med Coll Abbottabad",2018,"internet"
"Internet Addiction: The Role of Parental Care and Mental Health in Adolescence.","Trumello C, et al.","Int J Environ Res Public Health",2021,"internet"
"Neuropsychological Correlates of Internet Addiction.","Pop-Jordanova N, et al.","Pril (Makedon Akad Nauk Umet Odd Med Nauki)",2021,"internet"
"Sleep quality, internet addiction and depressive symptoms among undergraduate students in Nepal.","Bhandari PM, et al.","BMC Psychiatry",2017,"internet"
"Internet Addiction.","Gergely F.","Life (Basel)",2022,"internet"
"Excessive Smartphone Use Is Associated With Health Problems in Adolescents and Young Adults.","Wacks Y, et al.","Front Psychiatry",2021,"internet"
"Internet Addiction and Depression Among Postgraduate Residents: A cross-sectional survey.","Al Mukhaini AM, et al.","Sultan Qaboos Univ Med J",2021,"internet"
"Association of Internet Addiction With Nonsuicidal Self-injury Among Adolescents in China.","Tang J, et al.","JAMA Netw Open",2020,"internet"
"Internet addiction: Prevalence and relation with mental states in adolescents.","Kawabe K, et al.","Psychiatry Clin Neurosci",2016,"internet"
"Effectiveness of Cognitive Behavioral Therapy-Based Intervention in Preventing Gaming Disorder and Unspecified Internet Use Disorder in Adolescents: A Cluster Randomized Clinical Trial.","Lindenberg K, et al.","JAMA Netw Open",2022,"internet"
"Effect of Exercise Intervention on Internet Addiction and Autonomic Nervous Function in College Students.","Zhang W, et al.","Biomed Res Int",2022,"internet"
"Internet and smartphone use disorder in Asia.","Montag C, et al.","Addict Behav",2020,"internet"
"[Internet addiction].","Nakayama H, et al.","Nihon Rinsho",2015,"internet"
"Association of Cyberbullying and Internet Use Disorder.","Floros G, et al.","Curr Addict Rep",2022,"internet"
