"Title","Author_Info","Journal_Year_Info"
"Online Porn Addiction: What We Know and What We Don't-A Systematic Review.","de Alarcón R, et al.","J Clin Med. 2019."
"Neuroscience of Internet Pornography Addiction: A Review and Update.","Love T, et al.","Behav Sci (Basel). 2015."
"Pornography Addiction in Adults: A Systematic Review of Definitions and Reported Impact.","Duffy A, et al.","J Sex Med. 2016."
"The assessment and treatment of adult heterosexual men with self-perceived problematic pornography use: A review.","Sniewski L, et al.","Addict Behav. 2018."
"Pornography Addiction: An Exploration of the Association Between Use, Perceived Addiction, Erectile Dysfunction, Premature (Early) Ejaculation, and Sexual Satisfaction in Males Aged 18-44 Years.","Whelan G, et al.","J Sex Med. 2021."
"Global prevalence of digital addiction in general population: A systematic review and meta-analysis.","Meng SQ, et al.","Clin Psychol Rev. 2022."
"Technological Addictions.","Sherer J, et al.","Curr Psychiatry Rep. 2022."
"Associations Between Online Pornography Consumption and Sexual Dysfunction in Young Men: Multivariate Analysis Based on an International Web-Based Survey.","Jacobs T, et al.","JMIR Public Health Surveill. 2021."
"Cybersex addiction: Experienced sexual arousal when watching pornography and not real-life sexual contacts makes the difference.","Laier C, et al.","J Behav Addict. 2013."
"Cybersex addiction in heterosexual female users of internet pornography can be explained by gratification hypothesis.","Laier C, et al.","Cyberpsychol Behav Soc Netw. 2014."
"Cybersex addiction in a gay man: a case report.","Skryabin V, et al.","J Addict Dis. 2021."
"Implicit associations in cybersex addiction: Adaption of an Implicit Association Test with pornographic pictures.","Snagowski J, et al.","Addict Behav. 2015."
"Examining the Problematic Pornography Use Model: A Quantitative Exploration of Dysregulated Pornography Use.","Hatch HD, et al.","J Sex Med. 2022."
"The Potential Cutaneous Effects of Pornography Addiction: A Narrative Review.","Rasul TF, et al.","Cureus. 2022."
"Internet-based interventions for behavioral addictions: A systematic review.","Boumparis N, et al.","J Behav Addict. 2022."
"Factors Predicting Cybersex Use and Difficulties in Forming Intimate Relationships among Male and Female Users of Cybersex.","Weinstein AM, et al.","Front Psychiatry. 2015."
"Factor structure of the Cybersex Motives Questionnaire.","Franc E, et al.","J Behav Addict. 2018."
"Symptoms of cybersex addiction can be linked to both approaching and avoiding pornographic stimuli: results from an analog sample of regular cybersex users.","Snagowski J, et al.","Front Psychol. 2015."
"Contribution of sexual desire and motives to the compulsive use of cybersex.","Brahim FB, et al.","J Behav Addict. 2019."
"Males' Lived Experience with Self-Perceived Pornography Addiction: A Qualitative Study of Problematic Porn Use.","Hanseder S, et al.","Int J Environ Res Public Health. 2023."
"Pornography addiction and its impacts on intimate female partner wellbeing-a systematic narrative synthesis.","Aghamiri FS, et al.","J Addict Dis. 2022."
"Getting stuck with pornography? Overuse or neglect of cybersex cues in a multitasking situation is related to symptoms of cybersex addiction.","Schiebener J, et al.","J Behav Addict. 2015."
"Sexual Desire, Mood, Attachment Style, Impulsivity, and Self-Esteem as Predictive Factors for Addictive Cybersex.","Varfi N, et al.","JMIR Ment Health. 2019."
"Moral Incongruence and Pornography Use: A Critical Review and Integration.","Grubbs JB, et al.","J Sex Res. 2019."
"Pornography Addiction: An Exploration of the Association Between Use, Perceived Addiction, Erectile Dysfunction, Premature (Early) Ejaculation, and Sexual Satisfaction in Males Aged 18-44 Years.","Whelan G, et al.","J Sex Med. 2021."
"The moral maze of sex & porn addiction.","Hall P.","Addict Behav. 2021."
"Pornography: A Concealed Behavior with Serious Consequences.","Noel JK, et al.","R I Med J (2013). 2023."
"Profiling of pornography addiction among children using EEG signals: A systematic literature review.","Kang X, et al.","Comput Biol Med. 2020."
"mHealth Technologies for Managing Problematic Pornography Use: Content Analysis.","Henry N, et al.","JMIR Form Res. 2022."
"Tendencies toward Internet-pornography-use disorder: Differences in men and women regarding attentional biases to pornographic stimuli.","Pekal J, et al.","J Behav Addict. 2018."
"""Pornography Addiction"": Elements for Discussion of a Case Report.","Smaniotto B, et al.","Arch Sex Behav. 2022."
"Self-reported addiction to pornography in a nationally representative sample: The roles of use habits, religiousness, and moral incongruence.","Grubbs JB, et al.","J Behav Addict. 2019."
"Psychometric Instruments for Problematic Pornography Use: A Systematic Review.","Fernandez DP, et al.","Eval Health Prof. 2021."
"Use of pornography in India: Need to explore its implications.","Sharma MK, et al.","Natl Med J India. 2019."
"Evaluating Pornography Problems Due to Moral Incongruence Model.","Lewczuk K, et al.","J Sex Med. 2020."
"[Behavioral (non-chemical) addictions and COVID-19].","Egorov AY.","Zh Nevrol Psikhiatr Im S S Korsakova. 2023."
"The Impact of Negative Mood on Event-Related Potentials When Viewing Pornographic Pictures.","Markert C, et al.","Front Psychol. 2021."
"Psychometric Properties of the Youth Pornography Addiction Screening Tool.","Zivari-Rahman M, et al.","Addict Health. 2021."
"Cybersex Addiction: A Study on Spanish College Students.","Ballester-Arnal R, et al.","J Sex Marital Ther. 2017."
"Evaluation and treatment of sex addiction.","Rosenberg KP, et al.","J Sex Marital Ther. 2014."
"Aggravation of Obsessive-Compulsive Disorder Due to Excessive Porn Consumption: A Case Report.","Shrivastava T, et al.","Cureus. 2022."
"Frequency of use, moral incongruence and religiosity and their relationships with self-perceived addiction to pornography, internet use, social networking and online gaming.","Lewczuk K, et al.","Addiction. 2021."
"Damaged Goods: Perception of Pornography Addiction as a Mediator Between Religiosity and Relationship Anxiety Surrounding Pornography Use.","Leonhardt ND, et al.","J Sex Res. 2018."
"Assessment of Criteria for Specific Internet-use Disorders (ACSID-11): Introduction of a new screening instrument capturing ICD-11 criteria for gaming disorder and other potential Internet-use disorders.","Müller SM, et al.","J Behav Addict. 2022."
"Physiological, Psychosocial and Substance Abuse Effects of Pornography Addiction: A Narrative Review.","Mehmood Qadri H, et al.","Cureus. 2023."
"[Relationships among cybersex addiction, gender egalitarianism, sexual attitude and the allowance of sexual violence in adolescents].","Koo HY, et al.","Taehan Kanho Hakhoe Chi. 2007."
"Disorders due to addictive behaviors: Further issues, debates, and controversies •","Griffiths MD.","J Behav Addict. 2022."
"On the current psychotherapeutic situation for persons with pornography use disorder in Germany.","Markert C, et al.","J Behav Addict. 2023."
"Exploring the clinical profile of problematic pornography use.","Ince C, et al.","CNS Spectr. 2020."
"Impaired Recent Verbal Memory in Pornography-Addicted Juvenile Subjects.","Prawiroharjo P, et al.","Neurol Res Int. 2019."
"Examining Correlates of Problematic Internet Pornography Use Among University Students.","Harper C, et al.","J Behav Addict. 2016."
"Self-Perceived Problematic Use of Online Pornography Is Linked to Clinically Relevant Levels of Psychological Distress and Psychopathological Symptoms.","Mennig M, et al.","Arch Sex Behav. 2022."
"Problematic Internet use in drug addicts under treatment in public rehab centers.","Baroni S, et al.","World J Psychiatry. 2019."
"Trait and state impulsivity in males with tendency towards Internet-pornography-use disorder.","Antons S, et al.","Addict Behav. 2018."
"The experience of gratification and compensation in addictive behaviors: How can these experiences be measured systematically within and across disorders due to addictive behaviors?","Wegmann E, et al.","Compr Psychiatry. 2022."
"What does ""Sexual"" mean in compulsive sexual behavior disorder? •","Briken P, et al.","J Behav Addict. 2022."
"Problematic Online Pornography Use: A Media Attendance Perspective.","Sirianni JM, et al.","J Sex Res. 2016."
"Prevalence and Determinants of Problematic Online Pornography Use in a Sample of German Women.","Baranowski AM, et al.","J Sex Med. 2019."
"Roles of Religiosity, Obsessive-Compulsive Symptoms, Scrupulosity, and Shame in Self-Perceived Pornography Addiction: A Preregistered Study.","De Jong DC, et al.","Arch Sex Behav. 2021."
"Online Sex Addiction: A Qualitative Analysis of Symptoms in Treatment-Seeking Men.","Blinka L, et al.","Front Psychiatry. 2022."
