"Title","Author_Info","Journal","Year","Label"
"Online Porn Addiction: What We Know and What We Don't-A Systematic Review.","de Alarcón R, et al.","J Clin Med",2019,"pornography"
"Neuroscience of Internet Pornography Addiction: A Review and Update.","Love T, et al.","Behav Sci (Basel)",2015,"pornography"
"Pornography Addiction in Adults: A Systematic Review of Definitions and Reported Impact.","Duffy A, et al.","J Sex Med",2016,"pornography"
"The assessment and treatment of adult heterosexual men with self-perceived problematic pornography use: A review.","Sniewski L, et al.","Addict Behav",2018,"pornography"
"Pornography Addiction: An Exploration of the Association Between Use, Perceived Addiction, Erectile Dysfunction, Premature (Early) Ejaculation, and Sexual Satisfaction in Males Aged 18-44 Years.","Whelan G, et al.","J Sex Med",2021,"pornography"
"Global prevalence of digital addiction in general population: A systematic review and meta-analysis.","Meng SQ, et al.","Clin Psychol Rev",2022,"pornography"
"Technological Addictions.","Sherer J, et al.","Curr Psychiatry Rep",2022,"pornography"
"Associations Between Online Pornography Consumption and Sexual Dysfunction in Young Men: Multivariate Analysis Based on an International Web-Based Survey.","Jacobs T, et al.","JMIR Public Health Surveill",2021,"pornography"
"Cybersex addiction: Experienced sexual arousal when watching pornography and not real-life sexual contacts makes the difference.","Laier C, et al.","J Behav Addict",2013,"pornography"
"Cybersex addiction in heterosexual female users of internet pornography can be explained by gratification hypothesis.","Laier C, et al.","Cyberpsychol Behav Soc Netw",2014,"pornography"
"Cybersex addiction in a gay man: a case report.","Skryabin V, et al.","J Addict Dis",2021,"pornography"
"Implicit associations in cybersex addiction: Adaption of an Implicit Association Test with pornographic pictures.","Snagowski J, et al.","Addict Behav",2015,"pornography"
"Examining the Problematic Pornography Use Model: A Quantitative Exploration of Dysregulated Pornography Use.","Hatch HD, et al.","J Sex Med",2022,"pornography"
"The Potential Cutaneous Effects of Pornography Addiction: A Narrative Review.","Rasul TF, et al.","Cureus",2022,"pornography"
"Internet-based interventions for behavioral addictions: A systematic review.","Boumparis N, et al.","J Behav Addict",2022,"pornography"
"Factors Predicting Cybersex Use and Difficulties in Forming Intimate Relationships among Male and Female Users of Cybersex.","Weinstein AM, et al.","Front Psychiatry",2015,"pornography"
"Factor structure of the Cybersex Motives Questionnaire.","Franc E, et al.","J Behav Addict",2018,"pornography"
"Symptoms of cybersex addiction can be linked to both approaching and avoiding pornographic stimuli: results from an analog sample of regular cybersex users.","Snagowski J, et al.","Front Psychol",2015,"pornography"
"Contribution of sexual desire and motives to the compulsive use of cybersex.","Brahim FB, et al.","J Behav Addict",2019,"pornography"
"Males' Lived Experience with Self-Perceived Pornography Addiction: A Qualitative Study of Problematic Porn Use.","Hanseder S, et al.","Int J Environ Res Public Health",2023,"pornography"
"Pornography addiction and its impacts on intimate female partner wellbeing-a systematic narrative synthesis.","Aghamiri FS, et al.","J Addict Dis",2022,"pornography"
"Getting stuck with pornography? Overuse or neglect of cybersex cues in a multitasking situation is related to symptoms of cybersex addiction.","Schiebener J, et al.","J Behav Addict",2015,"pornography"
"Sexual Desire, Mood, Attachment Style, Impulsivity, and Self-Esteem as Predictive Factors for Addictive Cybersex.","Varfi N, et al.","JMIR Ment Health",2019,"pornography"
"Moral Incongruence and Pornography Use: A Critical Review and Integration.","Grubbs JB, et al.","J Sex Res",2019,"pornography"
"The moral maze of sex & porn addiction.","Hall P.","Addict Behav",2021,"pornography"
"Pornography: A Concealed Behavior with Serious Consequences.","Noel JK, et al.","R I Med J (2013)",2023,"pornography"
"Profiling of pornography addiction among children using EEG signals: A systematic literature review.","Kang X, et al.","Comput Biol Med",2020,"pornography"
"mHealth Technologies for Managing Problematic Pornography Use: Content Analysis.","Henry N, et al.","JMIR Form Res",2022,"pornography"
"Tendencies toward Internet-pornography-use disorder: Differences in men and women regarding attentional biases to pornographic stimuli.","Pekal J, et al.","J Behav Addict",2018,"pornography"
"""Pornography Addiction"": Elements for Discussion of a Case Report.","Smaniotto B, et al.","Arch Sex Behav",2022,"pornography"
"Self-reported addiction to pornography in a nationally representative sample: The roles of use habits, religiousness, and moral incongruence.","Grubbs JB, et al.","J Behav Addict",2019,"pornography"
"Psychometric Instruments for Problematic Pornography Use: A Systematic Review.","Fernandez DP, et al.","Eval Health Prof",2021,"pornography"
"Use of pornography in India: Need to explore its implications.","Sharma MK, et al.","Natl Med J India",2019,"pornography"
"Evaluating Pornography Problems Due to Moral Incongruence Model.","Lewczuk K, et al.","J Sex Med",2020,"pornography"
"[Behavioral (non-chemical) addictions and COVID-19].","Egorov AY.","Zh Nevrol Psikhiatr Im S S Korsakova",2023,"pornography"
"The Impact of Negative Mood on Event-Related Potentials When Viewing Pornographic Pictures.","Markert C, et al.","Front Psychol",2021,"pornography"
"Psychometric Properties of the Youth Pornography Addiction Screening Tool.","Zivari-Rahman M, et al.","Addict Health",2021,"pornography"
"Cybersex Addiction: A Study on Spanish College Students.","Ballester-Arnal R, et al.","J Sex Marital Ther",2017,"pornography"
"Evaluation and treatment of sex addiction.","Rosenberg KP, et al.","J Sex Marital Ther",2014,"pornography"
"Aggravation of Obsessive-Compulsive Disorder Due to Excessive Porn Consumption: A Case Report.","Shrivastava T, et al.","Cureus",2022,"pornography"
"Frequency of use, moral incongruence and religiosity and their relationships with self-perceived addiction to pornography, internet use, social networking and online gaming.","Lewczuk K, et al.","Addiction",2021,"pornography"
"Damaged Goods: Perception of Pornography Addiction as a Mediator Between Religiosity and Relationship Anxiety Surrounding Pornography Use.","Leonhardt ND, et al.","J Sex Res",2018,"pornography"
"Assessment of Criteria for Specific Internet-use Disorders (ACSID-11): Introduction of a new screening instrument capturing ICD-11 criteria for gaming disorder and other potential Internet-use disorders.","Müller SM, et al.","J Behav Addict",2022,"pornography"
"Physiological, Psychosocial and Substance Abuse Effects of Pornography Addiction: A Narrative Review.","Mehmood Qadri H, et al.","Cureus",2023,"pornography"
"[Relationships among cybersex addiction, gender egalitarianism, sexual attitude and the allowance of sexual violence in adolescents].","Koo HY, et al.","Taehan Kanho Hakhoe Chi",2007,"pornography"
"Disorders due to addictive behaviors: Further issues, debates, and controversies •","Griffiths MD.","J Behav Addict",2022,"pornography"
"On the current psychotherapeutic situation for persons with pornography use disorder in Germany.","Markert C, et al.","J Behav Addict",2023,"pornography"
"Exploring the clinical profile of problematic pornography use.","Ince C, et al.","CNS Spectr",2020,"pornography"
"Impaired Recent Verbal Memory in Pornography-Addicted Juvenile Subjects.","Prawiroharjo P, et al.","Neurol Res Int",2019,"pornography"
"Examining Correlates of Problematic Internet Pornography Use Among University Students.","Harper C, et al.","J Behav Addict",2016,"pornography"
"Self-Perceived Problematic Use of Online Pornography Is Linked to Clinically Relevant Levels of Psychological Distress and Psychopathological Symptoms.","Mennig M, et al.","Arch Sex Behav",2022,"pornography"
