"Title","Author_Info","Journal_Year_Info"
"Sexual addiction or hypersexual disorder: different terms for the same problem? A review of the literature.","Karila L, et al.","Curr Pharm Des. 2014."
"Pharmacotherapy of Sexual Addiction.","Malandain L, et al.","Curr Psychiatry Rep. 2020."
"Online Porn Addiction: What We Know and What We Don't-A Systematic Review.","de Alarcón R, et al.","J Clin Med. 2019."
"Drug Addiction.","Fluyau D, et al.","2022 Aug 29. In: StatPearls [Internet]. Treasure Island (FL): StatPearls Publishing; 2023 Jan–."
"Pornography Addiction in Adults: A Systematic Review of Definitions and Reported Impact.","Duffy A, et al.","J Sex Med. 2016."
"Treatments for internet addiction, sex addiction and compulsive buying: A meta-analysis.","Goslar M, et al.","J Behav Addict. 2020."
"Sexual addictions.","Garcia FD, et al.","Am J Drug Alcohol Abuse. 2010."
"Nutrition Support Therapy.","Xiao LJ, et al.","Adv Exp Med Biol. 2017."
"Sexual Addiction as a Legal Defense.","Nassif J, et al.","J Am Acad Psychiatry Law. 2022."
"Sexual addiction, compulsivity, and impulsivity among a predominantly female sample of adults who use the internet for sex.","Levi G, et al.","J Behav Addict. 2020."
"[Sex addiction: losing its taboo].","Maatoug R, et al.","Soins Psychiatr. 2019."
"Psychosocial intervention for sexual addiction.","George M, et al.","Indian J Psychiatry. 2018."
"Sexual addiction, sexual compulsivity, sexual impulsivity, or what? Toward a theoretical model.","Bancroft J, et al.","J Sex Res. 2004."
"A motivation model of sex addiction - Relevance to the controversy over the concept.","Toates F.","Neurosci Biobehav Rev. 2022."
"[Does really sex addiction exist?].","Echeburúa E.","Adicciones. 2012."
"Existential Issues in Sexual Medicine: The Relation Between Death Anxiety and Hypersexuality.","Watter DN.","Sex Med Rev. 2018."
"Similarities and Differences in Diagnostic Scales.","Xuan B, et al.","Adv Exp Med Biol. 2017."
"Sexual addiction in drug addicts: The impact of drug of choice and poly-addiction.","Antonio N, et al.","Rev Assoc Med Bras (1992). 2017."
"Hypersexuality: A Critical Review and Introduction to the ""Sexhavior Cycle"".","Walton MT, et al.","Arch Sex Behav. 2017."
"The moral maze of sex & porn addiction.","Hall P.","Addict Behav. 2021."
"What is sexual addiction?","Levine SB.","J Sex Marital Ther. 2010."
"How to recognise sexual addiction in the sexual health clinic setting?","Goldmeier D, et al.","Sex Transm Infect. 2011."
"Evaluation and treatment of sex addiction.","Rosenberg KP, et al.","J Sex Marital Ther. 2014."
"The Potential Cutaneous Effects of Pornography Addiction: A Narrative Review.","Rasul TF, et al.","Cureus. 2022."
"Triangular relationship among risky sexual behavior, addiction, and aggression: A systematic review.","Ahmadi K, et al.","Electron Physician. 2017."
"Internet sex addiction.","Lambert LT.","J Addict Med. 2013."
