"Title","Author_Info","Journal","Year","Label"
"Technological Addictions.","Sherer J, et al.","Curr Psychiatry Rep",2022,"shopping"
"Technological Addictions.","Sherer J, et al.","Psychiatr Clin North Am",2022,"shopping"
"Object attachment in buying-shopping disorder.","Müller A, et al.","Curr Opin Psychol",2021,"shopping"
"Online shopping in treatment-seeking patients with buying-shopping disorder.","Müller A, et al.","Compr Psychiatry",2019,"shopping"
"Buying-shopping disorder-is there enough evidence to support its inclusion in ICD-11?","Müller A, et al.","CNS Spectr",2019,"shopping"
"Affective and cognitive processes involved in behavioral addictions.","Wegmann E, et al.","Addict Behav",2021,"shopping"
"Therapeutic management of buying/shopping disorder: A systematic literature review and evidence-based recommendations.","Vasiliu O.","Front Psychiatry",2022,"shopping"
"Proposed diagnostic criteria for compulsive buying-shopping disorder: A Delphi expert consensus study.","Müller A, et al.","J Behav Addict",2021,"shopping"
"Buying-Shopping Disorder among Women: The Role of Vulnerability to Marketing, Buying Motives, Impulsivity, and Self-Esteem.","Chauchard E, et al.","Eur Addict Res",2021,"shopping"
"When Is a New Scale not a New Scale? The Case of the Bergen Shopping Addiction Scale and the Compulsive Online Shopping Scale.","Griffiths MD, et al.","Int J Ment Health Addict",2016,"shopping"
"The prevalence of compulsive buying: a meta-analysis.","Maraz A, et al.","Addiction",2016,"shopping"
"Buying-shopping disorder, impulsivity, emotional dependence and attachment in adolescents.","Etxaburu N, et al.","Curr Psychol",2023,"shopping"
"Estimation of Behavioral Addiction Prevalence During COVID-19 Pandemic: A Systematic Review and Meta-analysis.","Alimoradi Z, et al.","Curr Addict Rep",2022,"shopping"
"[Behavioral Addictions in Psychosomatic Care].","Wölfling K, et al.","Psychother Psychosom Med Psychol",2022,"shopping"
"The concept of buying-shopping disorder: Comparing latent classes with a diagnostic approach for in-store and online shopping in a representative sample in Switzerland.","Augsburger M, et al.","J Behav Addict",2020,"shopping"
"Problematic Shopping Behavior: An Item Response Theory Examination of the Seven-Item Bergen Shopping Addiction Scale.","Zarate D, et al.","Int J Ment Health Addict",2022,"shopping"
"The Relationship of Shopping-Related Decisions with Materialistic Values Endorsement, Compulsive Buying-Shopping Disorder Symptoms and Everyday Moral Decision Making.","Müller A, et al.","Int J Environ Res Public Health",2022,"shopping"
"Who Was Shopping More During the Spring Lockdown 2020 in Germany?","Georgiadou E, et al.","Front Psychiatry",2021,"shopping"
"Determinants of object choice and object attachment: Compensatory consumption in compulsive buying-shopping disorder and hoarding disorder.","Norberg MM, et al.","J Behav Addict",2020,"shopping"
"Latent Classes for the Treatment Outcomes in Women with Gambling Disorder and Buying/Shopping Disorder.","Granero R, et al.","J Clin Med",2022,"shopping"
"The things that make us: self and object attachment in hoarding and compulsive buying-shopping disorder.","Moulding R, et al.","Curr Opin Psychol",2021,"shopping"
"Prevalence and construct validity of compulsive buying disorder in shopping mall visitors.","Maraz A, et al.","Psychiatry Res",2015,"shopping"
"Cue-induced craving and symptoms of online-buying-shopping disorder interfere with performance on the Iowa Gambling Task modified with online-shopping cues.","Trotzke P, et al.","Addict Behav",2019,"shopping"
"[Shopping as problem: shopping addiction].","Nespor K, et al.","Cas Lek Cesk",2010,"shopping"
"Buying despite negative consequences: Interaction of craving, implicit cognitive processes, and inhibitory control in the context of buying-shopping disorder.","Trotzke P, et al.","Addict Behav",2020,"shopping"
"An experimental examination of cognitive processes and response inhibition in patients seeking treatment for buying-shopping disorder.","Vogel B, et al.","PLoS One",2019,"shopping"
"Motherhood and Treatment Outcome in Female Patients with Compulsive Buying-Shopping Disorder.","Mestre-Bach G, et al.","Int J Environ Res Public Health",2022,"shopping"
"Disorders due to addictive behaviors: Further issues, debates, and controversies •","Griffiths MD.","J Behav Addict",2022,"shopping"
