"Title","Author_Info","Journal_Year_Info"
"Definition of Substance and Non-substance Addiction.","Zou Z, et al.","Adv Exp Med Biol. 2017."
"Is smartphone addiction really an addiction?","Panova T, et al.","J Behav Addict. 2018."
"Is Smartphone Addiction in the Younger Population a Public Health Problem?","Loleska S, et al.","Pril (Makedon Akad Nauk Umet Odd Med Nauki). 2021."
"Depression, anxiety, and smartphone addiction in university students- A cross sectional study.","Matar Boumosleh J, et al.","PLoS One. 2017."
"Relationship of smartphone use severity with sleep quality, depression, and anxiety in university students.","Demirci K, et al.","J Behav Addict. 2015."
"Smartphone Addiction and Associated Health Outcomes in Adult Populations: A Systematic Review.","Ratan ZA, et al.","Int J Environ Res Public Health. 2021."
"Mobile Phone Addiction Among Children and Adolescents: A Systematic Review.","Sahu M, et al.","J Addict Nurs. 2019."
"Relationship between insecure attachment and mobile phone addiction: A meta-analysis.","Zhang Y, et al.","Addict Behav. 2022."
"Smartphone use and smartphone addiction among young people in Switzerland.","Haug S, et al.","J Behav Addict. 2015."
"Smartphone addiction and depression, anxiety: The role of bedtime procrastination and self-control.","Geng Y, et al.","J Affect Disord. 2021."
"The correlation between mobile phone addiction and coping style among Chinese adolescents: a meta-analysis.","Lu GL, et al.","Child Adolesc Psychiatry Ment Health. 2021."
"Internet Addiction, Smartphone Addiction, and Hikikomori Trait in Japanese Young Adult: Social Isolation and Social Network.","Tateno M, et al.","Front Psychiatry. 2019."
"Mobile Phone Addiction and Academic Procrastination Negatively Impact Academic Achievement Among Chinese Medical Students.","Tian J, et al.","Front Psychol. 2021."
"Smartphone Addiction and Sleep Quality on Academic Performance of University Students: An Exploratory Research.","Rathakrishnan B, et al.","Int J Environ Res Public Health. 2021."
"Correlations between mobile phone addiction and anxiety, depression, impulsivity, and poor sleep quality among college students: A systematic review and meta-analysis.","Li Y, et al.","J Behav Addict. 2020."
"The association between smartphone addiction and thumb/wrist pain: A cross-sectional study.","Baabdullah A, et al.","Medicine (Baltimore). 2020."
"The Relationship between Physical Activity, Mobile Phone Addiction, and Irrational Procrastination in Chinese College Students.","Shi M, et al.","Int J Environ Res Public Health. 2021."
"An updated of meta-analysis on the relationship between mobile phone addiction and sleep disorder.","Zhang J, et al.","J Affect Disord. 2022."
"Smartphone Addiction and Anxiety in Adolescents - A Cross-sectional Study.","Kim K, et al.","Am J Health Behav. 2021."
"Evaluating the relationship between smartphone addiction/overuse and musculoskeletal pain among medical students at Qassim University.","Alsalameh AM, et al.","J Family Med Prim Care. 2019."
"Comparison of risk and protective factors associated with smartphone addiction and Internet addiction.","Choi SW, et al.","J Behav Addict. 2015."
"Smartphone Addiction and Quality of Sleep among Indian Medical Students.","Chatterjee S, et al.","Psychiatry. 2021."
