"Title","Author_Info","Journal","Year","Label"
"On the Psychology of TikTok Use: A First Glimpse From Empirical Findings.","Montag C, et al.","Front Public Health",2021,"social_media"
"Social Networking Sites and Addiction: Ten Lessons Learned.","Kuss DJ, et al.","Int J Environ Res Public Health",2017,"social_media"
"Prevalence of social media addiction across 32 nations: Meta-analysis with subgroup analysis of classification schemes and cultural values.","Cheng C, et al.","Addict Behav",2021,"social_media"
"The relationship between addictive use of social media, narcissism, and self-esteem: Findings from a large national survey.","Andreassen CS, et al.","Addict Behav",2017,"social_media"
"A review of theories and models applied in studies of social media addiction and implications for future research.","Sun Y, et al.","Addict Behav",2021,"social_media"
"Instagram addiction and the Big Five of personality: The mediating role of self-liking.","Kircaburun K, et al.","J Behav Addict",2018,"social_media"
"The impact of heavy and disordered use of games and social media on adolescents' psychological, social, and school functioning.","van den Eijnden R, et al.","J Behav Addict",2018,"social_media"
"Relationships between Severity of Internet Gaming Disorder, Severity of Problematic Social Media Use, Sleep Quality and Psychological Distress.","Wong HY, et al.","Int J Environ Res Public Health",2020,"social_media"
"Social network site addiction - an overview.","Andreassen CS, et al.","Curr Pharm Des",2014,"social_media"
"Global prevalence of digital addiction in general population: A systematic review and meta-analysis.","Meng SQ, et al.","Clin Psychol Rev",2022,"social_media"
"Technological Addictions.","Sherer J, et al.","Psychiatr Clin North Am",2022,"social_media"
"Technological Addictions.","Sherer J, et al.","Curr Psychiatry Rep",2022,"social_media"
"Development of a Facebook Addiction Scale.","Andreassen CS, et al.","Psychol Rep",2012,"social_media"
"Characteristics of social media 'detoxification' in university students.","El-Khoury J, et al.","Libyan J Med",2021,"social_media"
"Social media addiction, cyberbullying and cyber victimization of university students.","Çimke S, et al.","Arch Psychiatr Nurs",2021,"social_media"
"The relationship between loneliness, depression, internet and social media addiction among young Polish women.","Rachubińska K, et al.","Eur Rev Med Pharmacol Sci",2021,"social_media"
"Problematic social media use and depressive symptoms among U.S. young adults: A nationally-representative study.","Shensa A, et al.","Soc Sci Med",2017,"social_media"
"The association between social media addiction and eating disturbances is mediated by muscle dysmorphia-related symptoms: a cross-sectional study in a sample of young adults.","Imperatori C, et al.","Eat Weight Disord",2022,"social_media"
"Cognitive functioning and social networking sites addiction - a review.","Cudo A, et al.","Psychiatr Pol",2022,"social_media"
"Editorial: Excessive and problematic smartphone usage.","Weinstein A, et al.","Front Psychiatry",2022,"social_media"
"The uses and abuses of Facebook: A review of Facebook addiction.","Ryan T, et al.","J Behav Addict",2014,"social_media"
"Online social networking and addiction--a review of the psychological literature.","Kuss DJ, et al.","Int J Environ Res Public Health",2011,"social_media"
"Facebook addiction and personality.","Rajesh T, et al.","Heliyon",2020,"social_media"
"Social Media Addiction among Vietnam Youths: Patterns and Correlated Factors.","Doan LP, et al.","Int J Environ Res Public Health",2022,"social_media"
"Facebook Addiction: Onset Predictors.","Biolcati R, et al.","J Clin Med",2018,"social_media"
"Social Media Addiction, Self-Compassion, and Psychological Well-Being: A Structural Equation Model.","Mitropoulou EM, et al.","Alpha Psychiatry",2022,"social_media"
"The contribution of social media addiction to adolescent LIFE: Social appearance anxiety.","Caner N, et al.","Curr Psychol",2022,"social_media"
"Social Media Addiction during COVID-19-Mandated Physical Distancing: Relatedness Needs as Motives.","Cheng C, et al.","Int J Environ Res Public Health",2022,"social_media"
"Social comparisons: A potential mechanism linking problematic social media use with depression.","Samra A, et al.","J Behav Addict",2022,"social_media"
"Research trends in social media addiction and problematic social media use: A bibliometric analysis.","Pellegrino A, et al.","Front Psychiatry",2022,"social_media"
"Problematic use or addiction? A scoping review on conceptual and operational definitions of negative social networking sites use in adolescents.","Varona MN, et al.","Addict Behav",2022,"social_media"
"Facebook Addiction Disorder in Germany.","Brailovskaia J, et al.","Cyberpsychol Behav Soc Netw",2018,"social_media"
"Measurement Invariance of the Bergen Social Media Addiction Scale Across Genders.","Yue H, et al.","Front Psychol",2022,"social_media"
"[Facebook addiction].","Dávid B, et al.","Psychiatr Hung",2018,"social_media"
"Estimation of Behavioral Addiction Prevalence During COVID-19 Pandemic: A Systematic Review and Meta-analysis.","Alimoradi Z, et al.","Curr Addict Rep",2022,"social_media"
"Internet and smartphone use disorder in Asia.","Montag C, et al.","Addict Behav",2020,"social_media"
"Does Smartphone Addiction, Social Media Addiction, and/or Internet Game Addiction Affect Adolescents' Interpersonal Interactions?","Yang SY, et al.","Healthcare (Basel)",2022,"social_media"
"Investigation of the Effect of Social Media Addiction on Adults with Depression.","Aydin S, et al.","Healthcare (Basel)",2021,"social_media"
"Social Media Addiction Among Individuals Who Underwent Rhinoplasty: Myth or Reality?","Öztürk G, et al.","Facial Plast Surg Aesthet Med",2020,"social_media"
"Internet use and internet-based addictive behaviours during coronavirus pandemic.","Kovačić Petrović Z, et al.","Curr Opin Psychiatry",2022,"social_media"
"Understanding Vaccine Hesitancy: Social Isolation in Relation to Social Media Addiction and COVID-19 Anxiety.","Erinç ZÖ, et al.","Cureus",2022,"social_media"
"Risk Factors Associated With Social Media Addiction: An Exploratory Study.","Zhao J, et al.","Front Psychol",2022,"social_media"
"Problematic social media use and associated consequences on academic performance decrement during Covid-19.","Ali Homaid A.","Addict Behav",2022,"social_media"
"Problematic Use of Social Media Platforms and Its Association With Depression in Pharmacy Students.","Al Saigh R, et al.","Am J Pharm Educ",2022,"social_media"
"Social media 'addiction': The absence of an attentional bias to social media stimuli.","Thomson K, et al.","J Behav Addict",2021,"social_media"
"The effect of mindfulness on online self-presentation, pressure, and addiction on social media.","You C, et al.","Front Psychol",2022,"social_media"
"Predictors of Problematic Social Media Use: Personality and Life-Position Indicators.","Sheldon P, et al.","Psychol Rep",2021,"social_media"
"Prevalence and Motives of Social Media Use among the Iranian Population.","Chegeni M, et al.","J Environ Public Health",2022,"social_media"
"Psychometric Properties of the Bergen Social Media Addiction Scale in Korean Young Adults.","Shin NY.","Psychiatry Investig",2022,"social_media"
"Social media addiction and emotions during the disaster recovery period-The moderating role of post-COVID timing.","Nur-A Yazdani DM, et al.","PLoS One",2022,"social_media"
"Social media addiction and social media reactions: The implications for job performance.","Zivnuska S, et al.","J Soc Psychol",2019,"social_media"
"Internet Addiction and Excessive Social Networks Use: What About Facebook?","Guedes E, et al.","Clin Pract Epidemiol Ment Health",2016,"social_media"
"Oversharing on Social Media: Anxiety, Attention-Seeking, and Social Media Addiction Predict the Breadth and Depth of Sharing.","Shabahang R, et al.","Psychol Rep",2022,"social_media"
"Problematic Social Networking Site use-effects on mental health and the brain.","Weinstein AM.","Front Psychiatry",2023,"social_media"
"Alexithymia, narcissism and social anxiety in relation to social media and internet addiction symptoms.","Lyvers M, et al.","Int J Psychol",2022,"social_media"
"Heterogeneity of Prevalence of Social Media Addiction Across Multiple Classification Schemes: Latent Profile Analysis.","Cheng C, et al.","J Med Internet Res",2022,"social_media"
"Relationships Among Depression, Online Self-Disclosure, Social Media Addiction, and Other Psychological Variables Among Hungarian University Students.","Piko BF, et al.","J Nerv Ment Dis",2022,"social_media"
"Psychosocial Correlates of Excessive Social Media Use in a Hispanic College Sample.","Lerma M, et al.","Cyberpsychol Behav Soc Netw",2021,"social_media"
"Affective and cognitive processes involved in behavioral addictions.","Wegmann E, et al.","Addict Behav",2021,"social_media"
"A meta-analysis of the problematic social media use and mental health.","Huang C.","Int J Soc Psychiatry",2022,"social_media"
"Social media addiction: technological déjà vu.","Davidson BI, et al.","BMJ",2019,"social_media"
"Social media addiction and work engagement among nurses.","Hoşgör H, et al.","Perspect Psychiatr Care",2021,"social_media"
"Problematic social media use: Conceptualization, assessment and trends in scientific literature.","Casale S.","Addict Behav Rep",2020,"social_media"
"Social Exclusion, Surveillance Use, and Facebook Addiction: The Moderating Role of Narcissistic Grandiosity.","Lim M.","Int J Environ Res Public Health",2019,"social_media"
"Development and Validation of the Social Network Addiction Scale (SNAddS-6S).","Cuadrado E, et al.","Eur J Investig Health Psychol Educ",2020,"social_media"
"The association between social media addiction and orthorexia nervosa, eating attitudes, and body image among adolescents.","Yurtdaş-Depboylu G, et al.","Eat Weight Disord",2022,"social_media"
"Relationship between personality traits and facebook addiction: A meta-analysis.","Rajesh T, et al.","Heliyon",2022,"social_media"
"Social media use in China before and during COVID-19: Preliminary results from an online retrospective survey.","Luo T, et al.","J Psychiatr Res",2021,"social_media"
"Problematic Social Media Use and Depressive Outcomes among College Students in China: Observational and Experimental Findings.","Chen Y, et al.","Int J Environ Res Public Health",2022,"social_media"
"Searching for Social Media Addiction: A Content Analysis of Top Websites Found through Online Search Engines.","McCarroll AM, et al.","Int J Environ Res Public Health",2021,"social_media"
